# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.188
metadata : {}


# id : NWRW1800000024.188.1.1
‘전세기 띄워’ 베트남 기업인들 제주로 제주로

‘전세기	‘/SS+전세기/NNG
더	더/MAG
늘려	늘리/VV+어/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.188.4.3
2007년 호찌민시에 사무소를 개설한 하나은행은 올 하반기에 지점 신청을 낼 예정이다.

2007년	2007/SN+년/NNB
호찌민시에	호찌민시/NNP+에/JKB
사무소를	사무소/NNG+를/JKO
개설한	개설/NNG+하/XSV+ㄴ/ETM
하나은행은	하나은행/NNP+은/JX
올	올/NNG
하반기에	하반기/NNG+에/JKB
지점	지점/NNG
신청을	신청/NNG+을/JKO
낼	내/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.188.4.4
응우옌떤중 총리는 즉석에서 “조속히 설치될 수 있도록 돕겠다”고 약속했다.

응우옌떤중	응우옌떤중/NNP
총리는	총리/NNG+는/JX
즉석에서	즉석/NNG+에서/JKB
“조속히	“/SS+조속히/MAG
설치될	설치/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
돕겠다”고	돕/VV+겠/EP+다/EF+”/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.188.4.5
서종욱 대우건설 사장도 “총 18억달러 규모의 하노이 따이호따이 신도시 개발 사업을 추진중인데, 토지보상 지연으로 사업이 지체되고 있다”며 베트남 정부의 협조를 요청했다.

서종욱	서종욱/NNP
대우건설	대우건설/NNP
사장도	사장/NNG+도/JX
“총	“/SS+총/MMA
18억달러	18/SN+억/NR+달러/NNB
규모의	규모/NNG+의/JKG
하노이	하노이/NNP
따이호따이	따이호따이/NNP
신도시	신/XPN+도시/NNG
개발	개발/NNG
사업을	사업/NNG+을/JKO
추진중인데,	추진/NNG+중/NNB+이/VCP+ㄴ데/EC+,/SP
토지보상	토지/NNG+보상/NNG
지연으로	지연/NNG+으로/JKB
사업이	사업/NNG+이/JKS
지체되고	지체/NNG+되/XSV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
베트남	베트남/NNP
정부의	정부/NNG+의/JKG
협조를	협조/NNG+를/JKO
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.188.4.6
응우옌떤중 총리는 한국 기업인들이 쏟아낸 ‘민원’을 일일이 메모했다가 사안별로 구체적으로 답변하는 등 성의를 보였다.

응우옌떤중	응우옌떤중/NNP
총리는	총리/NNG+는/JX
한국	한국/NNP
기업인들이	기업인/NNG+들/XSN+이/JKS
쏟아낸	쏟/VV+아/EC+내/VX+ㄴ/ETM
‘민원’을	‘/SS+민원/NNG+’/SS+을/JKO
일일이	일일이/MAG
메모했다가	메모/NNG+하/XSV+았/EP+다가/EC
사안별로	사안/NNG+별/XSN+로/JKB
구체적으로	구체/NNG+적/XSN+으로/JKB
답변하는	답변/NNG+하/XSV+는/ETM
등	등/NNB
성의를	성의/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.188.5.1
베트남은 1일까지 계속된 시이오 서밋 행사에 자국 기업인 등을 대거 파견하는 의욕을 보였다.

베트남은	베트남/NNP+은/JX
1일까지	1/SN+일/NNB+까지/JX
계속된	계속/NNG+되/XSV+ㄴ/ETM
시이오	시이오/NNG
서밋	서밋/NNG
행사에	행사/NNG+에/JKB
자국	자국/NNG
기업인	기업인/NNG
등을	등/NNB+을/JKO
대거	대거/MAG
파견하는	파견/NNG+하/XSV+는/ETM
의욕을	의욕/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.188.5.2
이 때문에 행사장 곳곳에선 베트남 기업인들로 넘쳐났다.

이	이/MMD
때문에	때문/NNB+에/JKB
행사장	행사장/NNG
곳곳에선	곳곳/NNG+에서/JKB+ㄴ/JX
베트남	베트남/NNP
기업인들로	기업인/NNG+들/XSN+로/JKB
넘쳐났다.	넘치/VV+어/EC+나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.188.5.3
이번 행사를 주최한 대한상공회의소 관계자는 “공식 등록한 아세안 국가 기업인 수가 전체 323명인데, 이 가운데 96명이 베트남인”이라며 “베트남 정부가 아예 전세기를 띄워 (수행원을 포함해) 이번에 모두 200여명이 한국을 찾은 것으로 안다”고 전했다.

이번	이번/NNG
행사를	행사/NNG+를/JKO
주최한	주최/NNG+하/XSV+ㄴ/ETM
대한상공회의소	대한상공회의소/NNP
관계자는	관계자/NNG+는/JX
“공식	“/SS+공식/NNG
등록한	등록/NNG+하/XSV+ㄴ/ETM
아세안	아세안/NNP
국가	국가/NNG
기업인	기업인/NNG
수가	수/NNG+가/JKS
전체	전체/NNG
323명인데,	323/SN+명/NNB+이/VCP+ㄴ데/EC+,/SP
이	이/MMD
가운데	가운데/NNG
96명이	96/SN+명/NNB+이/JKS
베트남인”이라며	베트남인/NNG+”/SS+이/VCP+라며/EC
“베트남	“/SS+베트남/NNP
정부가	정부/NNG+가/JKS
아예	아예/MAG
전세기를	전세기/NNG+를/JKO
띄워	띄우/VV+어/EC
(수행원을	(/SS+수행원/NNG+을/JKO
포함해)	포함/NNG+하/XSV+아/EC+)/SS
이번에	이번/NNG+에/JKB
모두	모두/MAG
200여명이	200/SN+여/XSN+명/NNB+이/JKS
한국을	한국/NNP+을/JKO
찾은	찾/VV+은/ETM
것으로	것/NNB+으로/JKB
안다”고	알/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.188.5.4
이번 행사에 참가한 베트남 상공회의소의 호앙반아인은 “베트남에서 한국은 첫 번째 비즈니스 상대국으로 인식돼 있다”고 말했다.

이번	이번/NNG
행사에	행사/NNG+에/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
베트남	베트남/NNP
상공회의소의	상공/NNG+회의소/NNG+의/JKG
호앙반아인은	호앙반아인/NNP+은/JX
“베트남에서	“/SS+베트남/NNP+에서/JKB
한국은	한국/NNP+은/JX
첫	첫/MMN
번째	번/NNB+째/XSN
비즈니스	비즈니스/NNG
상대국으로	상대국/NNG+으로/JKB
인식돼	인식/NNG+되/XSV+어/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.188.6.1
이런 베트남의 ‘한국 기업 모시기’는 최근 한국의 베트남 투자규모가 급증하는 등 긴밀해진 양국간 교역관계에 뿌리를 두고 있다.

이런	이런/MMD
베트남의	베트남/NNP+의/JKG
‘한국	‘/SS+한국/NNP
기업	기업/NNG
모시기’는	모시/VV+기/ETN+’/SS+는/JX
최근	최근/MAG
한국의	한국/NNP+의/JKG
베트남	베트남/NNP
투자규모가	투자/NNG+규모/NNG+가/JKS
급증하는	급증/NNG+하/XSV+는/ETM
등	등/NNB
긴밀해진	긴밀하/VA+아/EC+지/VX+ㄴ/ETM
양국간	양국/NNG+간/NNB
교역관계에	교역/NNG+관계/NNG+에/JKB
뿌리를	뿌리/NNG+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.188.6.2
한국무역협회에 따르면, 최근 5년간 베트남에 대한 한국의 투자액은 70억7462만달러(약 8조원)에 이른다.

한국무역협회에	한국무역협회/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
최근	최근/MAG
5년간	5/SN+년/NNB+간/XSN
베트남에	베트남/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
한국의	한국/NNP+의/JKG
투자액은	투자액/NNG+은/JX
70억7462만달러(약	70/SN+억/NR+7462/SN+만/NR+달러/NNB+(/SS+약/MMA
8조원)에	8/SN+조/NR+원/NNB+)/SS+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.188.6.3
다른 아세안 국가들에 비해 월등히 높다.

다른	다른/MMD
아세안	아세안/NNP
국가들에	국가/NNG+들/XSN+에/JKB
비해	비/NNG+하/XSV+아/EC
월등히	월등히/MAG
높다.	높/VA+다/EF+./SF


# id : NWRW1800000024.188.6.4
2004년만 해도 3억달러에 그쳤던 투자액이 2007년엔 25억달러까지 늘었다.

2004년만	2004/SN+년/NNB+만/JX
해도	하/VV+아도/EC
3억달러에	3/SN+억/NR+달러/NNB+에/JKB
그쳤던	그치/VV+었/EP+던/ETM
투자액이	투자액/NNG+이/JKS
2007년엔	2007/SN+년/NNB+에/JKB+ㄴ/JX
25억달러까지	25/SN+억/NR+달러/NNB+까지/JX
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.188.6.5
베트남의 한국 투자액도 2004년 4만5천달러에 그쳤던 것이, 2007년엔 54만달러로 급증했다.

베트남의	베트남/NNP+의/JKG
한국	한국/NNP
투자액도	투자액/NNG+도/JX
2004년	2004/SN+년/NNB
4만5천달러에	4/SN+만/NR+5/SN+천/NR+달러/NNB+에/JKB
그쳤던	그치/VV+었/EP+던/ETM
것이,	것/NNB+이/JKS+,/SP
2007년엔	2007/SN+년/NNB+에/JKB+ㄴ/JX
54만달러로	54/SN+만/NR+달러/NNB+로/JKB
급증했다.	급증/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.188.6.6
김세호 대한상공회의소 국제본부장은 “중국의 인건비가 올라가면서 최근 베트남에 대한 한국 기업들의 투자가 크게 늘었다”고 설명했다.

김세호	김세호/NNP
대한상공회의소	대한상공회의소/NNP
국제본부장은	국제/NNG+본부장/NNG+은/JX
“중국의	“/SS+중국/NNP+의/JKG
인건비가	인건비/NNG+가/JKS
올라가면서	올라가/VV+면서/EC
최근	최근/MAG
베트남에	베트남/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
한국	한국/NNP
기업들의	기업/NNG+들/XSN+의/JKG
투자가	투자/NNG+가/JKS
크게	크/VA+게/EC
늘었다”고	늘/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.188.6.7
외국 투자기업의 비중이 전체 산업규모의 30%에 이르는 베트남의 요구와도 맞아떨어진 셈이다.

외국	외국/NNG
투자기업의	투자/NNG+기업/NNG+의/JKG
비중이	비중/NNG+이/JKS
전체	전체/NNG
산업규모의	산업/NNG+규모/NNG+의/JKG
30%에	30/SN+%/SW+에/JKB
이르는	이르/VV+는/ETM
베트남의	베트남/NNP+의/JKG
요구와도	요구/NNG+와/JKB+도/JX
맞아떨어진	맞아떨어지/VV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


