# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.51
metadata : {}


# id : NWRW1800000041.51.1.1
‘터키의 이한열’ 끝내 사망… 反정부시위 다시 불길

‘터키의	‘/SS+터키/NNP+의/JKG
거리로 나서지 못한 시민들은 집 창문에 서서 숟가락으로 프라이팬과 냄비를 두드렸다.

거리로	거리/NNG+로/JKB
나서지	나서/VV+지/EC
못한	못하/VX+ㄴ/ETM
시민들은	시민/NNG+들/XSN+은/JX
집	집/NNG
창문에	창문/NNG+에/JKB
서서	서/VV+어서/EC
숟가락으로	숟가락/NNG+으로/JKB
프라이팬과	프라이팬/NNG+과/JC
냄비를	냄비/NNG+를/JKO
두드렸다.	두드리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.4.4
터키 반정부 시위에서 유행하는 시위 형태다.

터키	터키/NNP
반정부	반/XPN+정부/NNG
시위에서	시위/NNG+에서/JKB
유행하는	유행/NNG+하/XSV+는/ETM
시위	시위/NNG
형태다.	형태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.51.5.1
터키의 반정부 시위가 한 소년의 죽음으로 더욱 격화되고 있다.

터키의	터키/NNP+의/JKG
반정부	반/XPN+정부/NNG
시위가	시위/NNG+가/JKS
한	한/MMN
소년의	소년/NNG+의/JKG
죽음으로	죽음/NNG+으로/JKB
더욱	더욱/MAG
격화되고	격화/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.51.5.2
주인공은 지난해 6월 빵을 사러 집을 나섰다 시위 진압 경찰이 쏜 최루탄에 머리를 맞은 베르킨 엘반.

주인공은	주인공/NNG+은/JX
지난해	지난해/NNG
6월	6/SN+월/NNB
빵을	빵/NNG+을/JKO
사러	사/VV+러/EC
집을	집/NNG+을/JKO
나섰다	나서/VV+었/EP+다/EC
시위	시위/NNG
진압	진압/NNG
경찰이	경찰/NNG+이/JKS
쏜	쏘/VV+ㄴ/ETM
최루탄에	최루탄/NNG+에/JKB
머리를	머리/NNG+를/JKO
맞은	맞/VV+은/ETM
베르킨	베르킨/NNP
엘반.	엘반/NNP+./SF


# id : NWRW1800000041.51.5.3
그는 269일 동안 혼수상태에서 치료를 받았지만 결국 이날 오전 7시 숨을 거뒀다.

그는	그/NP+는/JX
269일	269/SN+일/NNB
동안	동안/NNG
혼수상태에서	혼수상태/NNG+에서/JKB
치료를	치료/NNG+를/JKO
받았지만	받/VV+았/EP+지만/EC
결국	결국/MAG
이날	이날/NNG
오전	오전/NNG
7시	7/SN+시/NNB
숨을	숨/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.5.4
담당 의사는 “최근 몇 주 동안 상태가 악화돼 몸무게가 16kg까지 줄었다”고 말했다.

담당	담당/NNG
의사는	의사/NNG+는/JX
“최근	“/SS+최근/NNG
몇	몇/NR
주	주/NNB
동안	동안/NNG
상태가	상태/NNG+가/JKS
악화돼	악화/NNG+되/XSV+어/EC
몸무게가	몸무게/NNG+가/JKS
16kg까지	16/SN+kg/SW+까지/JX
줄었다”고	줄/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.51.5.5
엘반의 어머니는 기자들과 만나 “아들의 생명을 앗아간 사람은 에르도안 총리”라며 “그는 심지어 시위대 진압에 나선 경찰들을 영웅이라고 칭송했다”고 분노를 터뜨렸다.

엘반의	엘반/NNP+의/JKG
어머니는	어머니/NNG+는/JX
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
“아들의	“/SS+아들/NNG+의/JKG
생명을	생명/NNG+을/JKO
앗아간	앗/VV+아/EC+가/VX+ㄴ/ETM
사람은	사람/NNG+은/JX
에르도안	에르도안/NNP
총리”라며	총리/NNG+”/SS+이/VCP+라며/EC
“그는	“/SS+그/NP+는/JX
심지어	심지어/MAG
시위대	시위대/NNG
진압에	진압/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
경찰들을	경찰/NNG+들/XSN+을/JKO
영웅이라고	영웅/NNG+이/VCP+라고/EC
칭송했다”고	칭송/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
분노를	분노/NNG+를/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.5.6
검시를 마친 엘반의 시신은 이슬람 종파 중 하나인 알레비파의 사원 ‘제메비’로 옮겨졌다.

검시를	검시/NNG+를/JKO
마친	마치/VV+ㄴ/ETM
엘반의	엘반/NNP+의/JKG
시신은	시신/NNG+은/JX
이슬람	이슬람/NNG
종파	종파/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
알레비파의	알레비파/NNG+의/JKG
사원	사원/NNG
‘제메비’로	‘/SS+제메비/NNP+’/SS+로/JKB
옮겨졌다.	옮기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000041.51.5.7
장례식은 12일 열린다.

장례식은	장례식/NNG+은/JX
12일	12/SN+일/NNB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.51.6.1
1987년 6월 직선제 개헌 요구 시위 도중 최루탄에 맞아 숨진 이한열 씨(당시 연세대 2학년)가 한국 민주화 운동의 상징이 됐듯 꽃다운 나이에 숨진 엘반 또한 터키 민주화 시위의 상징으로 떠오르고 있다.

1987년	1987/SN+년/NNB
6월	6/SN+월/NNB
직선제	직선/NNG+제/XSN
개헌	개헌/NNG
요구	요구/NNG
시위	시위/NNG
도중	도중/NNG
최루탄에	최루탄/NNG+에/JKB
맞아	맞/VV+아/EC
숨진	숨지/VV+ㄴ/ETM
이한열	이한열/NNP
씨(당시	씨/NNB+(/SS+당시/NNG
연세대	연세대/NNP
2학년)가	2/SN+학년/NNG+)/SS+가/JKS
한국	한국/NNP
민주화	민주/NNG+화/XSN
운동의	운동/NNG+의/JKG
상징이	상징/NNG+이/JKC
됐듯	되/VV+었/EP+듯/EC
꽃다운	꽃/NNG+답/XSA+ㄴ/ETM
나이에	나이/NNG+에/JKB
엘반	엘반/NNP
또한	또한/MAG
터키	터키/NNP
시위의	시위/NNG+의/JKG
상징으로	상징/NNG+으로/JKB
떠오르고	떠오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.51.6.2
그의 사망 소식이 전해지자 이스탄불뿐 아니라 앙카라 이즈미르 등 터키 주요 도시에서 수천 명이 거리로 나와 경찰과 충돌했다.

그의	그/NP+의/JKG
사망	사망/NNG
소식이	소식/NNG+이/JKS
전해지자	전하/VV+아/EC+지/VX+자/EC
이스탄불뿐	이스탄불/NNP+뿐/JX
아니라	아니/VCN+라/EC
앙카라	앙카라/NNP
이즈미르	이즈미르/NNP
등	등/NNB
터키	터키/NNP
주요	주요/NNG
도시에서	도시/NNG+에서/JKB
수천	수천/NR
명이	명/NNB+이/JKS
거리로	거리/NNG+로/JKB
나와	나오/VV+아/EC
경찰과	경찰/NNG+과/JKB
충돌했다.	충돌/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.51.6.3
수도 앙카라 크즐라이 광장에 모인 시위대는 “에르도안 정부, 부패 정부, 사임하라”고 외쳤다.

수도	수도/NNG
앙카라	앙카라/NNP
크즐라이	크즐라이/NNP
광장에	광장/NNG+에/JKB
모인	모이/VV+ㄴ/ETM
시위대는	시위대/NNG+는/JX
“에르도안	“/SS+에르도안/NNP
정부,	정부/NNG+,/SP
부패	부패/NNG
사임하라”고	사임/NNG+하/XSV+라/EF+”/SS+고/JKQ
외쳤다.	외치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.6.4
지중해 연안의 메르신에서는 여성 2명이 물대포 차량에 부딪혀 다쳤다.

지중해	지중해/NNP
연안의	연안/NNG+의/JKG
메르신에서는	메르신/NNP+에서/JKB+는/JX
여성	여성/NNG
2명이	2/SN+명/NNB+이/JKS
물대포	물대포/NNG
차량에	차량/NNG+에/JKB
부딪혀	부딪히/VV+어/EC
다쳤다.	다치/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.6.5
에게 해에 접한 터키 3대 도시 이즈미르에서는 일부 학생이 수업을 거부하고 연좌 농성을 벌였다.

에게	에게/NNP
해에	해/NNG+에/JKB
접한	접하/VV+ㄴ/ETM
터키	터키/NNP
3대	3/SN+대/NNG
도시	도시/NNG
이즈미르에서는	이즈미르/NNP+에서/JKB+는/JX
일부	일부/NNG
학생이	학생/NNG+이/JKS
수업을	수업/NNG+을/JKO
거부하고	거부/NNG+하/XSV+고/EC
연좌	연좌/NNG
농성을	농성/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.6.6
경찰은 물대포와 최루탄, 고무탄 등을 발사하며 시위대 해산에 나섰다.

경찰은	경찰/NNG+은/JX
물대포와	물대포/NNG+와/JC
최루탄,	최루탄/NNG+,/SP
고무탄	고무탄/NNG
등을	등/NNB+을/JKO
발사하며	발사/NNG+하/XSV+며/EC
시위대	시위대/NNG
해산에	해산/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.7.1
반정부 시위 격화로 2003년 집권 이후 최대 위기를 맞고 있는 에르도안 총리는 더욱 곤란한 상황에 놓였다.

반정부	반/XPN+정부/NNG
시위	시위/NNG
격화로	격화/NNG+로/JKB
2003년	2003/SN+년/NNB
집권	집권/NNG
이후	이후/NNG
최대	최대/NNG
위기를	위기/NNG+를/JKO
맞고	맞/VV+고/EC
있는	있/VX+는/ETM
에르도안	에르도안/NNP
총리는	총리/NNG+는/JX
더욱	더욱/MAG
곤란한	곤란/NNG+하/XSA+ㄴ/ETM
상황에	상황/NNG+에/JKB
놓였다.	놓이/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.51.7.2
앞서 에르도안 총리는 10억 달러(약 1조680억 원)에 이르는 재산을 은폐하는 방안을 아들과 논의하는 녹음 파일이 폭로돼 곤욕을 치르기도 했다.

앞서	앞서/MAG
에르도안	에르도안/NNP
총리는	총리/NNG+는/JX
10억	10/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
1조680억	1/SN+조/NR+680/SN+억/NR
원)에	원/NNB+)/SS+에/JKB
이르는	이르/VV+는/ETM
재산을	재산/NNG+을/JKO
은폐하는	은폐/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
아들과	아들/NNG+과/JKB
논의하는	논의/NNG+하/XSV+는/ETM
녹음	녹음/NNG
파일이	파일/NNG+이/JKS
폭로돼	폭로/NNG+되/XSV+어/EC
곤욕을	곤욕/NNG+을/JKO
치르기도	치르/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.51.8.1
터키의 주요 노조인 혁명적노동조합총연맹(DISK)도 엘반의 장례식에 참석하겠다는 뜻을 밝혀 터키 정부는 12일 엘반의 장례식이 대규모 반정부 시위로 이어질 가능성에 긴장하고 있다.

터키의	터키/NNP+의/JKG
주요	주요/NNG
노조인	노조/NNG+이/VCP+ㄴ/ETM
혁명적노동조합총연맹(DISK)도	혁명적노동조합총연맹/NNP+(/SS+DISK/SL+)/SS+도/JX
엘반의	엘반/NNP+의/JKG
장례식에	장례식/NNG+에/JKB
참석하겠다는	참석/NNG+하/XSV+겠/EP+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혀	밝히/VV+어/EC
터키	터키/NNP
정부는	정부/NNG+는/JX
12일	12/SN+일/NNB
장례식이	장례식/NNG+이/JKS
대규모	대/XPN+규모/NNG
반정부	반/XPN+정부/NNG
시위로	시위/NNG+로/JKB
이어질	이어지/VV+ㄹ/ETM
가능성에	가능/NNG+성/XSN+에/JKB
긴장하고	긴장/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.51.8.2
CNN은 “30일 지방선거는 단순히 시장을 뽑는 행위가 아니라 에르도안 총리에 대한 심판 투표가 될 것”이라고 분석했다.

CNN은	CNN/SL+은/JX
“30일	“/SS+30/SN+일/NNB
지방선거는	지방/NNG+선거/NNG+는/JX
단순히	단순히/MAG
시장을	시장/NNG+을/JKO
뽑는	뽑/VV+는/ETM
행위가	행위/NNG+가/JKC
아니라	아니/VCN+라/EC
에르도안	에르도안/NNP
총리에	총리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
심판	심판/NNG
투표가	투표/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


