# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.230
metadata : {}


# id : NWRW1800000056.230.1.1
검찰, 전두환 회고록 인세까지 회수 나섰다

검찰,	검찰/NNG+,/SP
검찰은	검찰/NNG+은/JX
1996년	1996/SN+년/NNB
12월	12/SN+월/NNB
전	전/MMD
대통령이	대통령/NNG+이/JKS
특정범죄가중처벌법상	특정/NNG+범죄/NNG+가중/NNG+처벌법/NNG+상/XSN
뇌물죄	뇌물죄/NNG
등으로	등/NNB+으로/JKB
추징금	추징금/NNG
2205억원의	2205/SN+억/NR+원/NNB+의/JKG
판결을	판결/NNG+을/JKO
선고받은	선고/NNG+받/XSV+은/ETM
뒤	뒤/NNG
이듬해	이듬해/NNG
4월	4/SN+월/NNB
대법원에서	대/XPN+법원/NNG+에서/JKB
형이	형/NNG+이/JKS
확정되자	확정/NNG+되/XSV+자/EC
환수에	환수/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.230.8.2
2013년 8월 ‘공무원 범죄에 관한 몰수 특례법’ 개정안이 시행되면서 검찰은 외사부를 중심으로 한 특별환수팀을 꾸려 미국 법무부와 공조하는 등 전 전 대통령 일가의 은닉재산에 대한 추적을 진행 중이다.

2013년	2013/SN+년/NNB
8월	8/SN+월/NNB
‘공무원	‘/SS+공무원/NNG
범죄에	범죄/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
몰수	몰수/NNG
특례법’	특례법/NNG+’/SS
개정안이	개정안/NNG+이/JKS
시행되면서	시행/NNG+되/XSV+면서/EC
검찰은	검찰/NNG+은/JX
외사부를	외사부/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
특별환수팀을	특별/NNG+환수/NNG+팀/NNG+을/JKO
꾸려	꾸리/VV+어/EC
미국	미국/NNP
법무부와	법무부/NNG+와/JKB
공조하는	공조/NNG+하/XSV+는/ETM
등	등/NNB
전	전/MMD
대통령	대통령/NNG
일가의	일가/NNG+의/JKG
은닉재산에	은닉/NNG+재산/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
추적을	추적/NNG+을/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.230.8.3
지금까지 환수한 추징금은 전체 추징금 부과액의 52.22%인 1151억여원이다.

지금까지	지금/NNG+까지/JX
환수한	환수/NNG+하/XSV+ㄴ/ETM
추징금은	추징금/NNG+은/JX
전체	전체/NNG
추징금	추징금/NNG
부과액의	부과액/NNG+의/JKG
52.22%인	52/SN+./SP+22/SN+%/SW+이/VCP+ㄴ/ETM
1151억여원이다.	1151/SN+억/NR+여/XSN+원/NNB+이/VCP+다/EF+./SF


