# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.91
metadata : {}


# id : NWRW1800000041.91.1.1
명지대, 어학특기자 전형 폐지…학생부-실기 위주 선발

명지대,	명지대/NNP+,/SP
정량평가로는	정량/NNG+평가/NNG+로/JKB+는/JX
평가할	평가/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
잠재능력과	잠재/NNG+능력/NNG+과/JC
소질,	소질/NNG+,/SP
가능성	가능/NNG+성/XSN
등을	등/NNB+을/JKO
다각적으로	다각/NNG+적/XSN+으로/JKB
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.6.2
노 입학처장은 “대학 교육과정을 이수할 만한 기초학력이 있는 학생을 선발하는데 초점을 맞추고 있다”며 “학교생활 충실도와 자기주도적 전공에 대한 학습 열정을 평가할 계획”이라고 밝혔다.

노	노/NNP
입학처장은	입학처장/NNG+은/JX
“대학	“/SS+대학/NNG
교육과정을	교육/NNG+과정/NNG+을/JKO
이수할	이수/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
기초학력이	기초/NNG+학력/NNG+이/JKS
있는	있/VA+는/ETM
학생을	학생/NNG+을/JKO
선발하는데	선발/NNG+하/XSV+는/ETM+데/NNB
초점을	초점/NNG+을/JKO
맞추고	맞추/VV+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
“학교생활	“/SS+학교생활/NNG
충실도와	충실도/NNG+와/JC
자기주도적	자기/NNG+주도/NNG+적/XSN
전공에	전공/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
학습	학습/NNG
열정을	열정/NNG+을/JKO
평가할	평가/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.91.7.1
서류평가에서 인성, 전공적합성, 발전가능성을 평가하고 면접평가에서는 인성, 전공적합성 문제해결능력, 의사소통능력을 종합적으로 평가한다.

서류평가에서	서류/NNG+평가/NNG+에서/JKB
인성,	인성/NNG+,/SP
전공적합성,	전공/NNG+적합/NNG+성/XSN+,/SP
발전가능성을	발전/NNG+가능/NNG+성/XSN+을/JKO
평가하고	평가/NNG+하/XSV+고/EC
면접평가에서는	면접/NNG+평가/NNG+에서/JKB+는/JX
전공적합성	전공/NNG+적합/NNG+성/XSN
문제해결능력,	문제/NNG+해결/NNG+능력/NNG+,/SP
의사소통능력을	의사소통/NNG+능력/NNG+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.7.2
학생부 종합 우수자 전형은 10월 25, 26일 면접고사가 실시될 예정이다.

학생부	학생부/NNG
종합	종합/NNG
우수자	우수자/NNG
전형은	전형/NNG+은/JX
10월	10/SN+월/NNB
25,	25/SN+,/SP
26일	26/SN+일/NNB
면접고사가	면접/NNG+고사/NNG+가/JKS
실시될	실시/NNG+되/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.91.7.3
면접은 인성, 문제해결능력, 전공적합성, 의사소통능력 등 4가지 전형요소에 대한 자기소개서와 학생부, 교사추천서를 바탕으로 질의가 이뤄진다.

면접은	면접/NNG+은/JX
인성,	인성/NNG+,/SP
문제해결능력,	문제/NNG+해결/NNG+능력/NNG+,/SP
전공적합성,	전공/NNG+적합/NNG+성/XSN+,/SP
의사소통능력	의사소통/NNG+능력/NNG
등	등/NNB
4가지	4/SN+가지/NNB
전형요소에	전형/NNG+요소/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자기소개서와	자기소개서/NNG+와/JC
학생부,	학생부/NNG+,/SP
교사추천서를	교사/NNG+추천서/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
질의가	질의/NNG+가/JKS
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.7.4
학생 1인당 3명의 면접위원이 약 15분간 질의를 한다.

학생	학생/NNG
1인당	1/SN+인/NNG+당/XSN
3명의	3/SN+명/NNB+의/JKG
면접위원이	면접/NNG+위원/NNG+이/JKS
약	약/MMA
15분간	15/SN+분/NNB+간/XSN
질의를	질의/NNG+를/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.7.5
지원자는 자신이 서류에 기재한 활동과 경험들에 대해 논리정연하게 설명할 수 있어야 한다.

지원자는	지원자/NNG+는/JX
자신이	자신/NNG+이/JKS
서류에	서류/NNG+에/JKB
기재한	기재/NNG+하/XSV+ㄴ/ETM
활동과	활동/NNG+과/JC
경험들에	경험/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
논리정연하게	논리정연하/VA+게/EC
설명할	설명/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어야	있/VA+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.91.8.1
노 입학처장은 “특별한 스펙을 쌓는 것에 부담을 갖기보다는 고등학교 생활을 자기주도적으로 성실하게 하고 교내 활동에 적극적으로 참여한 학생이라면 누구나 지원 가능하다”고 말했다.

노	노/NNP
입학처장은	입학처장/NNG+은/JX
“특별한	“/SS+특별/NNG+하/XSA+ㄴ/ETM
스펙을	스펙/NNG+을/JKO
쌓는	쌓/VV+는/ETM
것에	것/NNB+에/JKB
부담을	부담/NNG+을/JKO
갖기보다는	갖/VV+기/ETN+보다/JKB+는/JX
고등학교	고등학교/NNG
생활을	생활/NNG+을/JKO
자기주도적으로	자기/NNG+주도/NNG+적/XSN+으로/JKB
성실하게	성실/NNG+하/XSA+게/EC
하고	하/VX+고/EC
교내	교내/NNG
활동에	활동/NNG+에/JKB
적극적으로	적극/NNG+적/XSN+으로/JKB
참여한	참여/NNG+하/XSV+ㄴ/ETM
학생이라면	학생/NNG+이/VCP+라면/EC
누구나	누구/NP+나/JX
지원	지원/NNG
가능하다”고	가능/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.91.9.1
학생부 교과 우수자 전형은 학생부 교과 성적을 100% 반영해 선발한다.

학생부	학생부/NNG
교과	교과/NNG
우수자	우수자/NNG
전형은	전형/NNG+은/JX
성적을	성적/NNG+을/JKO
100%	100/SN+%/SW
반영해	반영/NNG+하/XSV+아/EC
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.9.2
수능 최저학력 기준이 있으므로 모의고사 성적과 학생부 성적을 비교해본 뒤 지원을 고려하는 것이 좋다.

수능	수능/NNG
최저학력	최저/NNG+학력/NNG
기준이	기준/NNG+이/JKS
있으므로	있/VA+으므로/EC
모의고사	모의고사/NNG
성적과	성적/NNG+과/JC
학생부	학생부/NNG
성적을	성적/NNG+을/JKO
비교해본	비교/NNG+하/XSV+아/EC+보/VX+ㄴ/ETM
뒤	뒤/NNG
지원을	지원/NNG+을/JKO
고려하는	고려/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000041.91.9.3
학생부 교과 성적만을 반영하며 인문계와 자연계 모두 국어, 영어, 수학, 사회, 과학 교과 내에 이수한 전 과목 성적이 활용된다.

학생부	학생부/NNG
교과	교과/NNG
성적만을	성적/NNG+만/JX+을/JKO
반영하며	반영/NNG+하/XSV+며/EC
인문계와	인문/NNG+계/XSN+와/JC
자연계	자연/NNG+계/XSN
모두	모두/MAG
국어,	국어/NNG+,/SP
영어,	영어/NNP+,/SP
수학,	수학/NNG+,/SP
사회,	사회/NNG+,/SP
과학	과학/NNG
내에	내/NNB+에/JKB
이수한	이수/NNG+하/XSV+ㄴ/ETM
전	전/MMN
과목	과목/NNG
성적이	성적/NNG+이/JKS
활용된다.	활용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.91.9.4
반영되는 과목이 많은 편이므로 교과별 성적이 고르게 우수한 학생이 지원하면 유리하다.

반영되는	반영/NNG+되/XSV+는/ETM
과목이	과목/NNG+이/JKS
많은	많/VA+은/ETM
편이므로	편/NNB+이/VCP+므로/EC
교과별	교과/NNG+별/XSN
성적이	성적/NNG+이/JKS
고르게	고르/VA+게/EC
우수한	우수/NNG+하/XSA+ㄴ/ETM
학생이	학생/NNG+이/JKS
지원하면	지원/NNG+하/XSV+면/EC
유리하다.	유리/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.91.10.1
수능 최저학력기준은 인문계는 수능 4개 영역 중 2개 영역이 각각 3등급 이내거나, 2개 영역 등급의 합이 5등급 이내여야 한다.

수능	수능/NNG
최저학력기준은	최저/NNG+학력/NNG+기준/NNG+은/JX
인문계는	인문/NNG+계/XSN+는/JX
4개	4/SN+개/NNB
영역	영역/NNG
중	중/NNB
2개	2/SN+개/NNB
영역이	영역/NNG+이/JKS
각각	각각/MAG
3등급	3/SN+등급/NNG
이내거나,	이내/NNG+이/VCP+거나/EC+,/SP
등급의	등급/NNG+의/JKG
합이	합/NNG+이/JKS
5등급	5/SN+등급/NNG
이내여야	이내/NNG+이/VCP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.91.10.2
자연계는 수능 4개 영역 중 2개 영역이 각각 4등급 이내거나, 2개 영역의 등급 합이 6등급 이내여야 한다.

자연계는	자연/NNG+계/XSN+는/JX
수능	수능/NNG
4개	4/SN+개/NNB
영역	영역/NNG
중	중/NNB
2개	2/SN+개/NNB
영역이	영역/NNG+이/JKS
각각	각각/MAG
4등급	4/SN+등급/NNG
이내거나,	이내/NNG+이/VCP+거나/EC+,/SP
영역의	영역/NNG+의/JKG
등급	등급/NNG
합이	합/NNG+이/JKS
6등급	6/SN+등급/NNG
이내여야	이내/NNG+이/VCP+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


