# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.64
metadata : {}


# id : NWRW1800000044.64.1.1
뉴욕타임스, ‘인민군 공격 제보’ 홍윤희씨 소개

뉴욕타임스,	뉴욕타임스/NNP+,/SP
병장이던	병장/NNG+이/VCP+던/ETM
홍씨는	홍/NNP+씨/NNB+는/JX
북한군이	북한군/NNG+이/JKS
서울을	서울/NNP+을/JKO
점령할	점령/NNG+하/XSV+ㄹ/ETM
때	때/NNG
빠져나오지	빠져나오/VV+지/EC
못해	못하/VX+아/EC
목숨을	목숨/NNG+을/JKO
구하고자	구하/VV+고자/EC
인민군에	인민군/NNG+에/JKB
입대했다.	입대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.64.5.2
그해 8월 소속 인민군 부대가 부산 인근까지 남하하는 과정에서 ‘인민군 9월 총공격 지시’라는 정보를 접하고 8월31일 탈출해 국군에 귀순했다.

그해	그해/NNG
8월	8/SN+월/NNB
소속	소속/NNG
인민군	인민군/NNG
부대가	부대/NNG+가/JKS
부산	부산/NNP
인근까지	인근/NNG+까지/JX
남하하는	남하/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
‘인민군	‘/SS+인민군/NNG
9월	9/SN+월/NNB
총공격	총공격/NNG
지시’라는	지시/NNG+’/SS+이/VCP+라는/ETM
정보를	정보/NNG+를/JKO
접하고	접하/VV+고/EC
8월31일	8/SN+월/NNB+31/SN+일/NNB
탈출해	탈출/NNG+하/XSV+아/EC
국군에	국군/NNG+에/JKB
귀순했다.	귀순/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.64.5.3
그는 이 정보를 유엔군사령부에서 브리핑까지 했으나 열흘 뒤 간첩 혐의로 연행됐다.

그는	그/NP+는/JX
이	이/MMD
정보를	정보/NNG+를/JKO
유엔군사령부에서	유엔군/NNG+사령부/NNG+에서/JKB
브리핑까지	브리핑/NNG+까지/JX
했으나	하/VV+았/EP+으나/EC
열흘	열흘/NNG
뒤	뒤/NNG
간첩	간첩/NNG
혐의로	혐의/NNG+로/JKB
연행됐다.	연행/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.64.5.4
온갖 고문 끝에 기소돼 사형선고까지 받았다가 두 차례 감형으로 55년 출소했다.

온갖	온갖/MMN
고문	고문/NNG
끝에	끝/NNG+에/JKB
기소돼	기소/NNG+되/XSV+어/EC
사형선고까지	사형/NNG+선고/NNG+까지/JX
받았다가	받/VV+았/EP+다가/EC
두	두/MMN
차례	차례/NNG
감형으로	감형/NNG+으로/JKB
55년	55/SN+년/NNB
출소했다.	출소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.64.6.1
73년 유신정권의 사회안전법 제정 소식에 미국으로 이민을 간 홍씨는 94년 미군 사료를 보다가 인민군 소좌 김성준이 투항해 인민군 총공격을 제보했다는 대목을 발견했다.

73년	73/SN+년/NNB
유신정권의	유신/NNG+정권/NNG+의/JKG
사회안전법	사회/NNG+안전법/NNG
제정	제정/NNG
소식에	소식/NNG+에/JKB
미국으로	미국/NNP+으로/JKB
이민을	이민/NNG+을/JKO
간	가/VV+ㄴ/ETM
홍씨는	홍/NNP+씨/NNB+는/JX
94년	94/SN+년/NNB
미군	미군/NNG
사료를	사료/NNG+를/JKO
보다가	보/VV+다가/EC
인민군	인민군/NNG
소좌	소좌/NNG
김성준이	김성준/NNP+이/JKS
투항해	투항/NNG+하/XSV+아/EC
총공격을	총공격/NNG+을/JKO
제보했다는	제보/NNG+하/XSV+았/EP+다는/ETM
대목을	대목/NNG+을/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.64.6.2
그는 여러 문서를 뒤진 끝에 공식 전사와는 달리 김성준이 제보자가 아니라는 사실을 찾아냈다.

그는	그/NP+는/JX
여러	여러/MMN
문서를	문서/NNG+를/JKO
뒤진	뒤지/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
공식	공식/NNG
전사와는	전사/NNG+와/JKB+는/JX
달리	달리/MAG
김성준이	김성준/NNP+이/JKS
제보자가	제보자/NNG+가/JKC
아니라는	아니/VCN+라는/ETM
사실을	사실/NNG+을/JKO
찾아냈다.	찾아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.64.6.3
이어 2011년 국사편찬위원회에서 그가 9월 총공격 계획을 제보했다는 로이 애플먼 미군 중령의 1954년 메모를 발견했다.

이어	이어/MAG
2011년	2011/SN+년/NNB
국사편찬위원회에서	국사/NNG+편찬/NNG+위원회/NNG+에서/JKB
그가	그/NP+가/JKS
9월	9/SN+월/NNB
총공격	총공격/NNG
계획을	계획/NNG+을/JKO
제보했다는	제보/NNG+하/XSV+았/EP+다는/ETM
로이	로이/NNP
애플먼	애플먼/NNP
미군	미군/NNG
중령의	중령/NNG+의/JKG
1954년	1954/SN+년/NNB
메모를	메모/NNG+를/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.64.6.4
이 증거를 근거로 홍씨는 지난해 2월 서울중앙지법의 재심을 통해 무죄를 선고받았다.

이	이/MMD
증거를	증거/NNG+를/JKO
근거로	근거/NNG+로/JKB
홍씨는	홍/NNP+씨/NNB+는/JX
지난해	지난해/NNG
2월	2/SN+월/NNB
서울중앙지법의	서울중앙지법/NNP+의/JKG
재심을	재심/NNG+을/JKO
통해	통하/VV+아/EC
무죄를	무죄/NNG+를/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.64.7.1
현재 캘리포니아주에 살고 있는 홍씨는 <뉴욕 타임스>에 “63년 동안 나는 반역자라는 낙인이 찍혀 살았다”며 “그러나 진실은 내가 중요한 시기에 한국을 구하는 데 일조했다는 것”이라고 말했다.

현재	현재/MAG
캘리포니아주에	캘리포니아주/NNP+에/JKB
살고	살/VV+고/EC
있는	있/VX+는/ETM
홍씨는	홍/NNP+씨/NNB+는/JX
<뉴욕	</SS+뉴욕/NNP
타임스>에	타임스/NNP+>/SS+에/JKB
“63년	“/SS+63/SN+년/NNB
동안	동안/NNG
나는	나/NP+는/JX
반역자라는	반역자/NNG+이/VCP+라는/ETM
낙인이	낙인/NNG+이/JKS
찍혀	찍히/VV+어/EC
살았다”며	살/VV+았/EP+다/EF+”/SS+며/EC
“그러나	“/SS+그러나/MAJ
진실은	진실/NNG+은/JX
내가	내/NP+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
시기에	시기/NNG+에/JKB
한국을	한국/NNP+을/JKO
구하는	구하/VV+는/ETM
데	데/NNB
일조했다는	일조/NNG+하/XSV+았/EP+다는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


