# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.2
metadata : {}


# id : NWRW1800000037.2.1.1
차이나머니, 국내 패션 이어 화장품까지 넘본다

차이나머니,	차이나머니/NNG+,/SP
패션	패션/NNG
브랜드	브랜드/NNG
인수가	인수/NNG+가/JKS
본격적으로	본격/NNG+적/XSN+으로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.2.4.2
지난해 12월 중국 디샹그룹이 ‘BNX’ ‘카이아크만’을 판매하는 아비스타의 최대주주가 됐다.

지난해	지난해/NNG
12월	12/SN+월/NNB
중국	중국/NNP
디샹그룹이	디샹그룹/NNP+이/JKS
‘BNX’	‘/SS+BNX/SL+’/SS
‘카이아크만’을	‘/SS+카이아크만/NNP+’/SS+을/JKO
판매하는	판매/NNG+하/XSV+는/ETM
아비스타의	아비스타/NNP+의/JKG
최대주주가	최대/NNG+주주/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.2.4.3
이에 앞서 11월에는 더신화의 ‘인터크루’ 캐주얼 브랜드가 중국 안나실업에 넘어갔다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
11월에는	11/SN+월/NNB+에/JKB+는/JX
더신화의	더신화/NNP+의/JKG
‘인터크루’	‘/SS+인터크루/NNP+’/SS
캐주얼	캐주얼/NNG
브랜드가	브랜드/NNG+가/JKS
중국	중국/NNP
안나실업에	안나실업/NNP+에/JKB
넘어갔다.	넘어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.2.5.1
새해 들어서는 3일 ‘블루독’ 등을 운영하는 매출 1500억 원대 서양네트웍스가 홍콩의 리앤드펑 그룹에 매각됐다.

새해	새해/NNG
들어서는	들어서/VV+는/ETM
3일	3/SN+일/NNB
‘블루독’	‘/SS+블루독/NNP+’/SS
등을	등/NNB+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
매출	매출/NNG
1500억	1500/SN+억/NR
원대	원/NNB+대/XSN
서양네트웍스가	서양네트웍스/NNP+가/JKS
홍콩의	홍콩/NNP+의/JKG
리앤드펑	리앤드펑/NNP
그룹에	그룹/NNG+에/JKB
매각됐다.	매각/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.2.5.2
리앤드펑은 지난해 세계적인 프랑스 고급 브랜드 ‘소니아 리키엘’을 인수하는 등 글로벌 인수합병(M&A) 시장의 큰손으로 떠오른 매출 200억 달러(약 21조 원)의 대기업이다.

리앤드펑은	리앤드펑/NNP+은/JX
지난해	지난해/NNG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
프랑스	프랑스/NNP
고급	고급/NNG
브랜드	브랜드/NNG
‘소니아	‘/SS+소니아/NNP
리키엘’을	리키엘/NNP+’/SS+을/JKO
인수하는	인수/NNG+하/XSV+는/ETM
등	등/NNB
글로벌	글로벌/NNG
인수합병(M&A)	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS
시장의	시장/NNG+의/JKG
큰손으로	큰손/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
매출	매출/NNG
200억	200/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
21조	21/SN+조/NR
원)의	원/NNB+)/SS+의/JKG
대기업이다.	대/XPN+기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.2.6.1
○ 차이나 머니, 다음 타깃은 ‘화장품’

○	○/SW
차이나	차이나/NNP
머니,	머니/NNG+,/SP
다음	다음/NNG
타깃은	타깃/NNG+은/JX
‘화장품’	‘/SS+화장품/NNG+’/SS


# id : NWRW1800000037.2.7.1
국내 투자은행(IB) 및 인수합병(M&A) 업계에서는 차이나 머니의 다음 타깃이 화장품이라고 입을 모은다.

국내	국내/NNG
투자은행(IB)	투자/NNG+은행/NNG+(/SS+IB/SL+)/SS
및	및/MAG
인수합병(M&A)	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS
업계에서는	업계/NNG+에서/JKB+는/JX
차이나	차이나/NNP
머니의	머니/NNG+의/JKG
다음	다음/NNG
타깃이	타깃/NNG+이/JKS
화장품이라고	화장품/NNG+이/VCP+라고/EC
입을	입/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.2.7.2
국내 화장품 업체들은 실적이 탄탄해 매물로 잘 나오지 않지만 지분 인수나 재무적 투자 등의 방법을 문의하는 중국 기업들이 줄을 섰다는 것이다.

국내	국내/NNG
화장품	화장품/NNG
업체들은	업체/NNG+들/XSN+은/JX
실적이	실적/NNG+이/JKS
탄탄해	탄탄하/VA+아/EC
매물로	매물/NNG+로/JKB
잘	잘/MAG
나오지	나오/VV+지/EC
않지만	않/VX+지만/EC
지분	지분/NNG
인수나	인수/NNG+나/JC
재무적	재무/NNG+적/XSN
투자	투자/NNG
등의	등/NNB+의/JKG
방법을	방법/NNG+을/JKO
문의하는	문의/NNG+하/XSV+는/ETM
중국	중국/NNP
기업들이	기업/NNG+들/XSN+이/JKS
줄을	줄/NNG+을/JKO
섰다는	서/VV+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.2.8.1
한 IB 관계자는 “최근에만 한국 화장품 기업을 연결해 달라는 요청이 5, 6건 정도 왔다”며 “화장품 기업은 패션업체에 비해 실적이 더 좋은 편이라 몸값이 오르는 상황”이라고 말했다.

한	한/MMN
IB	IB/SL
관계자는	관계자/NNG+는/JX
“최근에만	“/SS+최근/NNG+에/JKB+만/JX
한국	한국/NNP
화장품	화장품/NNG
기업을	기업/NNG+을/JKO
연결해	연결/NNG+하/XSV+아/EC
달라는	달/VX+라는/ETM
요청이	요청/NNG+이/JKS
5,	5/SN+,/SP
6건	6/SN+건/NNB
정도	정도/NNG
왔다”며	오/VV+았/EP+다/EF+”/SS+며/EC
“화장품	“/SS+화장품/NNG
기업은	기업/NNG+은/JX
패션업체에	패션업체/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
실적이	실적/NNG+이/JKS
더	더/MAG
좋은	좋/VA+은/ETM
편이라	편/NNB+이/VCP+라/EC
몸값이	몸값/NNG+이/JKS
오르는	오르/VV+는/ETM
상황”이라고	상황/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.2.8.2
중국 기업들은 전성시대는 지났지만 저력 있는 한국 중견 화장품 업체들의 신생 브랜드에도 관심을 보이고 있다.

중국	중국/NNP
기업들은	기업/NNG+들/XSN+은/JX
전성시대는	전성시대/NNG+는/JX
지났지만	지나/VV+았/EP+지만/EC
저력	저력/NNG
있는	있/VA+는/ETM
한국	한국/NNP
중견	중견/NNG
화장품	화장품/NNG
업체들의	업체/NNG+들/XSN+의/JKG
신생	신생/NNG
브랜드에도	브랜드/NNG+에/JKB+도/JX
관심을	관심/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.2.8.3
이들은 주로 ‘중국 시장에서의 영업망을 가동해 성장을 도와주겠다’고 한국 기업을 설득하고 있다.

이들은	이/NP+들/XSN+은/JX
주로	주로/MAG
‘중국	‘/SS+중국/NNP
시장에서의	시장/NNG+에서/JKB+의/JKG
영업망을	영업망/NNG+을/JKO
가동해	가동/NNG+하/XSV+아/EC
성장을	성장/NNG+을/JKO
도와주겠다’고	도와주/VV+겠/EP+다/EF+’/SS+고/JKQ
한국	한국/NNP
기업을	기업/NNG+을/JKO
설득하고	설득/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.2.9.1
한국 기업에 관심을 보이는 중국 회사들은 주로 주문자상표부착생산(OEM) 방식을 통해 규모를 키운 수출기업이 많다.

한국	한국/NNP
기업에	기업/NNG+에/JKB
관심을	관심/NNG+을/JKO
보이는	보이/VV+는/ETM
중국	중국/NNP
회사들은	회사/NNG+들/XSN+은/JX
주로	주로/MAG
주문자상표부착생산(OEM)	주문자/NNG+상표/NNG+부착/NNG+생산/NNG+(/SS+OEM/SL+)/SS
방식을	방식/NNG+을/JKO
통해	통하/VV+아/EC
규모를	규모/NNG+를/JKO
키운	키우/VV+ㄴ/ETM
수출기업이	수출/NNG+기업/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000037.2.9.2
라이선스를 통해 유럽과 미국 브랜드를 팔아 왔지만 사운을 걸고 중국 시장에 직접 진출하면서 자기 브랜드의 필요성이 생긴 것이다.

라이선스를	라이선스/NNG+를/JKO
통해	통하/VV+아/EC
유럽과	유럽/NNP+과/JC
미국	미국/NNP
브랜드를	브랜드/NNG+를/JKO
팔아	팔/VV+아/EC
왔지만	오/VX+았/EP+지만/EC
사운을	사운/NNG+을/JKO
걸고	걸/VV+고/EC
중국	중국/NNP
시장에	시장/NNG+에/JKB
직접	직접/MAG
진출하면서	진출/NNG+하/XSV+면서/EC
자기	자기/NNG
브랜드의	브랜드/NNG+의/JKG
필요성이	필요/NNG+성/XSN+이/JKS
생긴	생기/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.2.9.3
패션업계 관계자는 “중국의 수출기업들도 해외 경기가 악화되면서 내수시장에 집중하기 시작했다”고 말했다.

패션업계	패션업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“중국의	“/SS+중국/NNP+의/JKG
수출기업들도	수출/NNG+기업/NNG+들/XSN+도/JX
해외	해외/NNG
경기가	경기/NNG+가/JKS
악화되면서	악화/NNG+되/XSV+면서/EC
내수시장에	내수/NNG+시장/NNG+에/JKB
집중하기	집중/NNG+하/XSV+기/ETN
시작했다”고	시작/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.2.10.1
앞으로 2, 3년 동안 한국 패션과 화장품 브랜드 인수에 열을 올리다 아웃도어로 눈을 돌릴 것이라는 예측도 나온다.

앞으로	앞/NNG+으로/JKB
2,	2/SN+,/SP
3년	3/SN+년/NNB
동안	동안/NNG
한국	한국/NNP
패션과	패션/NNG+과/JC
화장품	화장품/NNG
브랜드	브랜드/NNG
인수에	인수/NNG+에/JKB
열을	열/NNG+을/JKO
올리다	올리/VV+다/EC
아웃도어로	아웃도어/NNG+로/JKB
눈을	눈/NNG+을/JKO
돌릴	돌리/VV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예측도	예측/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.2.10.2
실제로 지난해 홍콩에 본부를 두고 있는 사모펀드 유니타스는 한국 아웃도어 브랜드 ‘네파’에 1900억 원을 투자한 바 있다.

실제로	실제로/MAG
지난해	지난해/NNG
홍콩에	홍콩/NNP+에/JKB
본부를	본부/NNG+를/JKO
두고	두/VV+고/EC
있는	있/VX+는/ETM
사모펀드	사모/NNG+펀드/NNG
유니타스는	유니타스/NNP+는/JX
한국	한국/NNP
아웃도어	아웃도어/NNG
브랜드	브랜드/NNG
‘네파’에	‘/SS+네파/NNP+’/SS+에/JKB
1900억	1900/SN+억/NR
원을	원/NNB+을/JKO
투자한	투자/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.2.11.1
○ “인수 아닌 전략적 제휴, 중국 매출 1조 원 목표”

○	○/SW
“인수	“/SS+인수/NNG
아닌	아니/VCN+ㄴ/ETM
전략적	전략/NNG+적/XSN
제휴,	제휴/NNG+,/SP
중국	중국/NNP
매출	매출/NNG
1조	1/SN+조/NR
원	원/NNB
목표”	목표/NNG+”/SS


# id : NWRW1800000037.2.12.1
IB 업계와 패션 업계는 중국 디샹그룹이 아비스타를 인수한 사례를 보면 중국 기업의 한국 브랜드에 대한 갈증을 엿볼 수 있다고 입을 모은다.

IB	IB/SL
업계와	업계/NNG+와/JC
패션	패션/NNG
업계는	업계/NNG+는/JX
중국	중국/NNP
디샹그룹이	디샹그룹/NNP+이/JKS
아비스타를	아비스타/NNP+를/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
사례를	사례/NNG+를/JKO
보면	보/VV+면/EC
기업의	기업/NNG+의/JKG
한국	한국/NNP
브랜드에	브랜드/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
갈증을	갈증/NNG+을/JKO
엿볼	엿보/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
입을	입/NNG+을/JKO
모은다.	모으/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.2.12.2
한 업계 관계자는 “경영권을 보장해 주면서 프리미엄을 얹어 지분을 살 정도면 중국 기업이 얼마나 한국 패션 브랜드를 인수하고 싶어 하는지 알 수 있다”고 전했다.

한	한/MMN
업계	업계/NNG
관계자는	관계자/NNG+는/JX
“경영권을	“/SS+경영/NNG+권/XSN+을/JKO
보장해	보장/NNG+하/XSV+아/EC
주면서	주/VX+면서/EC
프리미엄을	프리미엄/NNG+을/JKO
얹어	얹/VV+어/EC
지분을	지분/NNG+을/JKO
살	사/VV+ㄹ/ETM
정도면	정도/NNG+이/VCP+면/EC
중국	중국/NNP
기업이	기업/NNG+이/JKS
얼마나	얼마나/MAG
한국	한국/NNP
패션	패션/NNG
브랜드를	브랜드/NNG+를/JKO
인수하고	인수/NNG+하/XSV+고/EC
싶어	싶/VX+어/EC
하는지	하/VX+는지/EF
알	알/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.2.13.1
아비스타는 8일 김동근 대표가 주리화 디샹그룹 회장과 함께 비전 선포식을 열고 2020년까지 중국 매출 1조 원 달성을 주요 내용으로 하는 사업계획을 발표했다.

아비스타는	아비스타/NNP+는/JX
8일	8/SN+일/NNB
김동근	김동근/NNP
대표가	대표/NNG+가/JKS
주리화	주리화/NNP
디샹그룹	디샹그룹/NNP
회장과	회장/NNG+과/JKB
함께	함께/MAG
비전	비전/NNG
선포식을	선포식/NNG+을/JKO
열고	열/VV+고/EC
2020년까지	2020/SN+년/NNB+까지/JX
중국	중국/NNP
매출	매출/NNG
1조	1/SN+조/NR
원	원/NNB
달성을	달성/NNG+을/JKO
주요	주요/NNG
내용으로	내용/NNG+으로/JKB
하는	하/VV+는/ETM
사업계획을	사업/NNG+계획/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.2.13.2
아비스타 관계자는 “중국 시장 선점이라는 회사의 미래를 위해 최대주주 자리를 디샹그룹에 넘겨준 것으로 전략적 제휴 성격이 강하다”고 말했다.

아비스타	아비스타/NNP
관계자는	관계자/NNG+는/JX
“중국	“/SS+중국/NNP
시장	시장/NNG
선점이라는	선점/NNG+이/VCP+라는/ETM
회사의	회사/NNG+의/JKG
미래를	미래/NNG+를/JKO
위해	위하/VV+아/EC
최대주주	최대/NNG+주주/NNG
자리를	자리/NNG+를/JKO
디샹그룹에	디샹그룹/NNP+에/JKB
넘겨준	넘겨주/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전략적	전략/NNG+적/XSN
제휴	제휴/NNG
성격이	성격/NNG+이/JKS
강하다”고	강하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.2.13.3
박종렬 HMC투자증권 애널리스트는 “아비스타는 당장 중국 시장 선점 효과를 누릴 수 있을 것”이라며 “상반기에도 중국 회사의 한국 기업 인수가 가시화될 가능성이 높다”고 내다봤다.

박종렬	박종렬/NNP
HMC투자증권	HMC투자증권/NNP
애널리스트는	애널리스트/NNG+는/JX
“아비스타는	“/SS+아비스타/NNP+는/JX
당장	당장/NNG
중국	중국/NNP
시장	시장/NNG
선점	선점/NNG
효과를	효과/NNG+를/JKO
누릴	누리/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“상반기에도	“/SS+상반기/NNG+에/JKB+도/JX
회사의	회사/NNG+의/JKG
한국	한국/NNP
기업	기업/NNG
인수가	인수/NNG+가/JKS
가시화될	가시/NNG+화/XSN+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높다”고	높/VA+다/EF+”/SS+고/JKQ
내다봤다.	내다보/VV+았/EP+다/EF+./SF


