# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.22
metadata : {}


# id : NWRW1800000053.22.1.1
“대형마트 규제후 개인슈퍼 대형화 등 유통지형 변화”

“대형마트	“/SS+대형/NNG+마트/NNG
규제 대상이 되지 않는 규모의 새로운 유통채널이 생겨나면서 주변 소상공인들에게 고객이 이동하는 실질적 효과는 보지 못했다는 지적이다.

규제	규제/NNG
대상이	대상/NNG+이/JKC
되지	되/VV+지/EC
않는	않/VX+는/ETM
규모의	규모/NNG+의/JKG
새로운	새롭/VA+ㄴ/ETM
유통채널이	유통/NNG+채널/NNG+이/JKS
생겨나면서	생겨나/VV+면서/EC
주변	주변/NNG
소상공인들에게	소/XPN+상공인/NNG+들/XSN+에게/JKB
고객이	고객/NNG+이/JKS
이동하는	이동/NNG+하/XSV+는/ETM
실질적	실질/NNG+적/XSN
효과는	효과/NNG+는/JX
보지	보/VV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
지적이다.	지적/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000053.22.4.1
조춘한 경기과학기술대 교수는 25일 국회 의원회관에서 열린 ‘실질적 상생을 위한 유통산업발전법 개정방향 토론회’에서 해당 규제의 현실성이 떨어진다는 연구 결과를 내놨다.

조춘한	조춘한/NNP
경기과학기술대	경기과학기술대/NNP
교수는	교수/NNG+는/JX
25일	25/SN+일/NNB
국회	국회/NNG
의원회관에서	의원/NNG+회관/NNG+에서/JKB
열린	열리/VV+ㄴ/ETM
‘실질적	‘/SS+실질/NNG+적/XSN
상생을	상생/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
유통산업발전법	유통/NNG+산업/NNG+발전법/NNG
개정방향	개정/NNG+방향/NNG
토론회’에서	토론회/NNG+’/SS+에서/JKB
해당	해당/NNG
규제의	규제/NNG+의/JKG
현실성이	현실/NNG+성/XSN+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
연구	연구/NNG
결과를	결과/NNG+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.5.1
조 교수는 대형마트 규제가 실시된 2011년과 지난해 인천, 경기, 대전 등 6개 지역 6개 대형마트의 반경 3km 이내 개인 슈퍼마켓들의 변화 분석 결과를 발표했다.

조	조/NNP
교수는	교수/NNG+는/JX
대형마트	대형/NNG+마트/NNG
규제가	규제/NNG+가/JKS
실시된	실시/NNG+되/XSV+ㄴ/ETM
2011년과	2011/SN+년/NNB+과/JC
지난해	지난해/NNG
인천,	인천/NNP+,/SP
경기,	경기/NNP+,/SP
대전	대전/NNP
등	등/NNB
6개	6/SN+개/NNB
지역	지역/NNG
대형마트의	대형/NNG+마트/NNG+의/JKG
반경	반경/NNG
3km	3/SN+km/SW
이내	이내/NNG
개인	개인/NNG
슈퍼마켓들의	슈퍼마켓/NNG+들/XSN+의/JKG
변화	변화/NNG
분석	분석/NNG
결과를	결과/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.5.2
2011년 1056곳에 달했던 개인 슈퍼마켓 사업체는 지난해 867곳으로 줄었다.

2011년	2011/SN+년/NNB
1056곳에	1056/SN+곳/NNG+에/JKB
달했던	달하/VV+았/EP+던/ETM
개인	개인/NNG
슈퍼마켓	슈퍼마켓/NNG
사업체는	사업체/NNG+는/JX
지난해	지난해/NNG
867곳으로	867/SN+곳/NNG+으로/JKB
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.22.5.3
그러나 같은 기간 전체 매출은 44.4% 증가했고, 점포당 매출액은 83.3% 급증한 것으로 나타났다.

그러나	그러나/MAJ
같은	같/VA+은/ETM
기간	기간/NNG
전체	전체/NNG
매출은	매출/NNG+은/JX
44.4%	44/SN+./SP+4/SN+%/SW
증가했고,	증가/NNG+하/XSV+았/EP+고/EC+,/SP
점포당	점포/NNG+당/XSN
매출액은	매출액/NNG+은/JX
83.3%	83/SN+./SP+3/SN+%/SW
급증한	급증/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.6.1
조 교수는 “규제 이후 소형 슈퍼마켓은 줄어든 반면 대형 개인 슈퍼마켓 수와 점포당 매출액은 크게 늘었다”면서 “소비자 니즈(요구)에 따라 유통지형이 바뀐 것”이라고 설명했다.

조	조/NNP
교수는	교수/NNG+는/JX
“규제	“/SS+규제/NNG
이후	이후/NNG
소형	소형/NNG
슈퍼마켓은	슈퍼마켓/NNG+은/JX
줄어든	줄어들/VV+ㄴ/ETM
반면	반면/NNG
대형	대형/NNG
개인	개인/NNG
슈퍼마켓	슈퍼마켓/NNG
수와	수/NNG+와/JC
점포당	점포/NNG+당/XSN
매출액은	매출액/NNG+은/JX
크게	크/VA+게/EC
늘었다”면서	늘/VV+었/EP+다/EF+”/SS+면서/EC
“소비자	“/SS+소비자/NNG
니즈(요구)에	니즈/NNG+(/SS+요구/NNG+)/SS+에/JKB
따라	따르/VV+아/EC
유통지형이	유통/NNG+지형/NNG+이/JKS
바뀐	바뀌/VV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.6.2
조 교수는 “소형 슈퍼마켓은 성장률이 높은 편의점으로 바뀌었다”면서 “식자재 마트 등 규제를 받지 않는 전문점도 속속 등장했다”고 했다.

조	조/NNP
교수는	교수/NNG+는/JX
“소형	“/SS+소형/NNG
슈퍼마켓은	슈퍼마켓/NNG+은/JX
성장률이	성장/NNG+률/XSN+이/JKS
높은	높/VA+은/ETM
편의점으로	편의점/NNG+으로/JKB
바뀌었다”면서	바뀌/VV+었/EP+다/EF+”/SS+면서/EC
“식자재	“/SS+식자재/NNG
마트	마트/NNG
등	등/NNB
규제를	규제/NNG+를/JKO
받지	받/VV+지/EC
않는	않/VX+는/ETM
전문점도	전문점/NNG+도/JX
속속	속속/MAG
등장했다”고	등장/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.7.1
유통업계의 지형도가 완전히 바뀐 상황에서 중소 상공인 보호만을 위해 대형마트를 규제하는 것은 실효성이 떨어진다는 것이다.

유통업계의	유통업/NNG+계/XSN+의/JKG
지형도가	지형도/NNG+가/JKS
완전히	완전히/MAG
바뀐	바뀌/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
중소	중소/NNG
상공인	상공인/NNG
보호만을	보호/NNG+만/JX+을/JKO
위해	위하/VV+아/EC
대형마트를	대형/NNG+마트/NNG+를/JKO
규제하는	규제/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
실효성이	실효/NNG+성/XSN+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.22.7.2
소셜커머스나 온라인 등 소비자들의 구매 패턴이 바뀌고 있는 상황에서 대형마트 규제에 집착하는 것은 현실성이 떨어진다는 지적도 나왔다.

소셜커머스나	소셜/NNG+커머스/NNG+나/JC
온라인	온라인/NNG
등	등/NNB
소비자들의	소비자/NNG+들/XSN+의/JKG
구매	구매/NNG
패턴이	패턴/NNG+이/JKS
바뀌고	바뀌/VV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
대형마트	대형/NNG+마트/NNG
규제에	규제/NNG+에/JKB
집착하는	집착/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
현실성이	현실/NNG+성/XSN+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
지적도	지적/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.8.1
조 교수는 “이미 물품 구매 등은 온라인에서 활발하게 이뤄지고 있다”면서 “5년 전 규제를 계속 시행하는 것은 사실상 큰 의미가 없다”고 말했다.

조	조/NNP
교수는	교수/NNG+는/JX
“이미	“/SS+이미/MAG
물품	물품/NNG
구매	구매/NNG
등은	등/NNB+은/JX
온라인에서	온라인/NNG+에서/JKB
활발하게	활발하/VA+게/EC
이뤄지고	이뤄지/VV+고/EC
있다”면서	있/VX+다/EF+”/SS+면서/EC
“5년	“/SS+5/SN+년/NNB
전	전/NNG
규제를	규제/NNG+를/JKO
계속	계속/MAG
시행하는	시행/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
사실상	사실/NNG+상/XSN
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.8.2
그는 규제보다 중소 상인들이 새로운 영역을 개척할 수 있도록 도와야 한다고 조언했다.

그는	그/NP+는/JX
규제보다	규제/NNG+보다/JKB
중소	중소/NNG
상인들이	상인/NNG+들/XSN+이/JKS
새로운	새롭/VA+ㄴ/ETM
영역을	영역/NNG+을/JKO
개척할	개척/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
도와야	돕/VV+아야/EC
한다고	하/VX+ㄴ다고/EC
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.22.9.1
조 교수는 “경쟁업종에 대한 규제보다는 대형마트 상권에서 성공할 수 있는 업종 및 업태를 개발하고 공존할 방법을 마련해야 한다”고 덧붙였다.

조	조/NNP
교수는	교수/NNG+는/JX
“경쟁업종에	“/SS+경쟁/NNG+업종/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규제보다는	규제/NNG+보다/JKB+는/JX
대형마트	대형/NNG+마트/NNG
상권에서	상권/NNG+에서/JKB
성공할	성공/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
업종	업종/NNG
및	및/MAG
업태를	업태/NNG+를/JKO
개발하고	개발/NNG+하/XSV+고/EC
공존할	공존/NNG+하/XSV+ㄹ/ETM
방법을	방법/NNG+을/JKO
마련해야	마련/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


