# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.183
metadata : {}


# id : NWRW1800000044.183.1.1
“우면산 산사태 대비 부족했다”

“우면산	“/SS+우면산/NNP
사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
4개	4/SN+개/NNB
지역에	지역/NNG+에/JKB
국한된	국한/NNG+되/XSV+ㄴ/ETM
반면	반면/NNG
이번	이번/NNG
조사는	조사/NNG+는/JX
우면산	우면산/NNP
지역	지역/NNG
전역을	전역/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.183.8.1
조사 결과를 보면 조사단은 우면산 산사태를 2011년 7월27일 오전 7시40분부터 8시40분까지 1시간 동안 150곳에서 산발적으로 발생한 것으로 정리했다.

조사	조사/NNG
결과를	결과/NNG+를/JKO
보면	보/VV+면/EC
조사단은	조사단/NNG+은/JX
우면산	우면산/NNP
산사태를	산사태/NNG+를/JKO
2011년	2011/SN+년/NNB
7월27일	7/SN+월/NNB+27/SN+일/NNB
오전	오전/NNG
7시40분부터	7/SN+시/NNB+40/SN+분/NNB+부터/JX
8시40분까지	8/SN+시/NNB+40/SN+분/NNB+까지/JX
1시간	1/SN+시간/NNB
동안	동안/NNG
150곳에서	150/SN+곳/NNG+에서/JKB
산발적으로	산발/NNG+적/XSN+으로/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
정리했다.	정리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.183.8.2
이에 따른 강우빈도는 위치별로 ‘5년에서 107년’으로 수정됐다.

이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
강우빈도는	강우/NNG+빈도/NNG+는/JX
위치별로	위치/NNG+별/XSN+로/JKB
‘5년에서	‘/SS+5/SN+년/NNB+에서/JKB
107년’으로	107/SN+년/NNB+’/SS+으로/JKB
수정됐다.	수정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000044.183.8.3
이는 1차 조사와 대한토목학회의 최초 보고서 등에서 강우빈도를 ‘당일 오전 9시 기준 120년’으로 잡은 것과 차이가 난다.

이는	이/NP+는/JX
1차	1/SN+차/NNB
조사와	조사/NNG+와/JC
대한토목학회의	대한토목학회/NNP+의/JKG
최초	최초/NNG
보고서	보고서/NNG
등에서	등/NNB+에서/JKB
강우빈도를	강우/NNG+빈도/NNG+를/JKO
‘당일	‘/SS+당일/NNG
오전	오전/NNG
9시	9/SN+시/NNB
기준	기준/NNG
120년’으로	120/SN+년/NNB+’/SS+으로/JKB
잡은	잡/VV+은/ETM
것과	것/NNB+과/JKB
차이가	차이/NNG+가/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.183.8.4
2차 조사의 결론대로면 6명이 사망한 전원마을의 산사태의 강우빈도는 ‘20년 이하’에 불과했다.

2차	2/SN+차/NNB
조사의	조사/NNG+의/JKG
결론대로면	결론/NNG+대로/JX+이/VCP+면/EC
6명이	6/SN+명/NNB+이/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
전원마을의	전원마을/NNP+의/JKG
산사태의	산사태/NNG+의/JKG
강우빈도는	강우/NNG+빈도/NNG+는/JX
‘20년	‘/SS+20/SN+년/NNB
이하’에	이하/NNG+’/SS+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000044.183.9.1
우면산 지질에 대해선 전체 다섯 단계 중 지질 위험이 둘째로 높은 2등급으로 판단했다.

우면산	우면산/NNP
지질에	지질/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
전체	전체/NNG
다섯	다섯/NR
단계	단계/NNG
중	중/NNB
지질	지질/NNG
위험이	위험/NNG+이/JKS
둘째로	둘째/NR+로/JKB
높은	높/VA+은/ETM
2등급으로	2/SN+등급/NNG+으로/JKB
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.183.9.2
이는 인근 관악산 등에 견줘 산사태에 더 취약하다는 것으로, 조사단은 “(이런 위험 등급에도 불구하고) 당시 집중강우에 대한 대비가 부족했던 것이 산사태 발생에 영향을 미쳤다”고 봤다.

이는	이/NP+는/JX
인근	인근/NNG
관악산	관악산/NNP
등에	등/NNB+에/JKB
견줘	견주/VV+어/EC
산사태에	산사태/NNG+에/JKB
더	더/MAG
취약하다는	취약/NNG+하/XSA+다는/ETM
것으로,	것/NNB+으로/JKB+,/SP
조사단은	조사단/NNG+은/JX
“(이런	“/SS+(/SS+이런/MMD
위험	위험/NNG
등급에도	등급/NNG+에/JKB+도/JX
불구하고)	불구하/VV+고/EC+)/SS
당시	당시/NNG
집중강우에	집중/NNG+강우/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대비가	대비/NNG+가/JKS
부족했던	부족/NNG+하/XSA+았/EP+던/ETM
것이	것/NNB+이/JKS
산사태	산사태/NNG
발생에	발생/NNG+에/JKB
영향을	영향/NNG+을/JKO
미쳤다”고	미치/VV+었/EP+다/EF+”/SS+고/JKQ
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.183.9.3
우면산 산사태 한 해 전인 2010년 태풍 곤파스 피해 뒤 덕우암 지구와 공군부대를 포함한 우면산 전 지역에 산사태·토석류 안전대책이 강구됐다면 인명손실 예방과 함께 재산피해도 대폭 줄일 수 있었다는 것이다.

우면산	우면산/NNP
산사태	산사태/NNG
한	한/MMN
해	해/NNB
전인	전/NNG+이/VCP+ㄴ/ETM
2010년	2010/SN+년/NNB
태풍	태풍/NNG
곤파스	곤파스/NNG
피해	피해/NNG
뒤	뒤/NNG
덕우암	덕우암/NNP
지구와	지구/NNG+와/JC
공군부대를	공군/NNG+부대/NNG+를/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
전	전/MMN
지역에	지역/NNG+에/JKB
산사태·토석류	산사태/NNG+·/SP+토석/NNG+류/XSN
안전대책이	안전/NNG+대책/NNG+이/JKS
강구됐다면	강구/NNG+되/XSV+었/EP+다면/EC
인명손실	인명/NNG+손실/NNG
예방과	예방/NNG+과/JKB
함께	함께/MAG
재산피해도	재산/NNG+피해/NNG+도/JX
대폭	대폭/MAG
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있었다는	있/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.183.10.1
주요 쟁점 중 하나인 공군부대와 서초터널 등 인공시설물의 영향에 대해선 “‘정량화하기 어렵거나 미미하다’고 한 토목학회의 조사에 한계가 있다”고 봤다.

주요	주요/NNG
쟁점	쟁점/NNG
중	중/NNB
하나인	하나/NR+이/VCP+ㄴ/ETM
공군부대와	공군/NNG+부대/NNG+와/JC
서초터널	서초터널/NNP
등	등/NNB
인공시설물의	인공/NNG+시설물/NNG+의/JKG
영향에	영향/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“‘정량화하기	“/SS+‘/SS+정량/NNG+화/XSN+하/XSV+기/ETN
어렵거나	어렵/VA+거나/EC
미미하다’고	미미하/VA+다/EF+’/SS+고/JKQ
한	하/VV+ㄴ/ETM
토목학회의	토목학회/NNP+의/JKG
조사에	조사/NNG+에/JKB
한계가	한계/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.183.10.2
공군부대 내부에 고인 물이 넘치거나 지반에 침투해 산사태를 유발한 것은 아닌지, 아니면 다른 방법으로 배수됐는지 등에 대한 분석이 없었다는 것이다.

공군부대	공군/NNG+부대/NNG
내부에	내부/NNG+에/JKB
고인	고이/VV+ㄴ/ETM
물이	물/NNG+이/JKS
넘치거나	넘치/VV+거나/EC
지반에	지반/NNG+에/JKB
침투해	침투/NNG+하/XSV+아/EC
산사태를	산사태/NNG+를/JKO
유발한	유발/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
아닌지,	아니/VCN+ㄴ지/EC+,/SP
아니면	아니/VCN+면/EC
다른	다른/MMD
방법으로	방법/NNG+으로/JKB
배수됐는지	배수/NNG+되/XSV+었/EP+는지/EC
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
분석이	분석/NNG+이/JKS
없었다는	없/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.183.10.3
강남순환도시고속도로의 서초터널 발파로 인한 영향은 미미한 수준으로 판단했다.

강남순환도시고속도로의	강남순환도시고속도로/NNP+의/JKG
서초터널	서초터널/NNP
발파로	발파/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
영향은	영향/NNG+은/JX
미미한	미미하/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
판단했다.	판단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.183.10.4
조성일 서울시 도시안전실장은 “곤파스 피해 이후 행정기관의 조처가 필요했다는 지적에 대해 겸허하게 받아들인다.

조성일	조성일/NNP
서울시	서울시/NNP
도시안전실장은	도시/NNG+안전실장/NNG+은/JX
“곤파스	“/SS+곤파스/NNG
피해	피해/NNG
이후	이후/NNG
행정기관의	행정/NNG+기관/NNG+의/JKG
조처가	조처/NNG+가/JKS
필요했다는	필요/NNG+하/XSA+았/EP+다는/ETM
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
겸허하게	겸허/NNG+하/XSA+게/EC
받아들인다.	받아들이/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.183.10.5
이런 사고가 재발하지 않도록 최선의 노력을 기울이겠다”고 말했다.

이런	이런/MMD
사고가	사고/NNG+가/JKS
재발하지	재발/NNG+하/XSV+지/EC
않도록	않/VX+도록/EC
최선의	최선/NNG+의/JKG
노력을	노력/NNG+을/JKO
기울이겠다”고	기울이/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.183.11.1
유가족들은 2차 조사 진행 자체는 평가했으나 조사 결과에는 불만을 드러냈다.

유가족들은	유가족/NNG+들/XSN+은/JX
2차	2/SN+차/NNB
조사	조사/NNG
진행	진행/NNG
자체는	자체/NNG+는/JX
평가했으나	평가/NNG+하/XSV+았/EP+으나/EC
결과에는	결과/NNG+에/JKB+는/JX
불만을	불만/NNG+을/JKO
드러냈다.	드러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.183.11.2
유가족 대표 임방춘(67)씨는 “인재 측면을 인정했더라도 서울시와 서초구 책임에 대한 성찰은 미흡하다.

유가족	유가족/NNG
대표	대표/NNG
임방춘(67)씨는	임방춘/NNP+(/SS+67/SN+)/SS+씨/NNB+는/JX
“인재	“/SS+인재/NNG
측면을	측면/NNG+을/JKO
인정했더라도	인정/NNG+하/XSV+았/EP+더라도/EC
서울시와	서울시/NNP+와/JC
서초구	서초구/NNP
책임에	책임/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
성찰은	성찰/NNG+은/JX
미흡하다.	미흡/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000044.183.11.3
좀 더 공정한 조사가 필요하다”고 주장했다.

좀	좀/MAG
더	더/MAG
공정한	공정/NNG+하/XSA+ㄴ/ETM
조사가	조사/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


