# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.16
metadata : {}


# id : NWRW1800000040.16.1.1
가구산업에 드리운 불황 ‘유행 재활용’으로 뚫는다

가구산업에	가구/NNG+산업/NNG+에/JKB
민감하기	민감/NNG+하/XSA+기/ETN
때문에	때문/NNB+에/JKB
세계가	세계/NNG+가/JKS
밀라노	밀라노/NNP
가구	가구/NNG
박람회를	박람회/NNG+를/JKO
주목하는	주목/NNG+하/XSV+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.16.8.1
하지만 올해 열기는 예년만 못했다.

하지만	하지만/MAJ
올해	올해/NNG
열기는	열기/NNG+는/JX
예년만	예년/NNG+만/JX
못했다.	못/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000040.16.8.2
한때 2700여개 기업에 달했던 전시 업체도 2000여개에 그쳤고, 참가자 수도 2년 전 33만명에서 올해는 30만명 수준으로 줄어들 전망이다.

한때	한때/MAG
2700여개	2700/SN+여/XSN+개/NNB
기업에	기업/NNG+에/JKB
달했던	달하/VV+았/EP+던/ETM
전시	전시/NNG
업체도	업체/NNG+도/JX
2000여개에	2000/SN+여/XSN+개/NNB+에/JKB
그쳤고,	그치/VV+었/EP+고/EC+,/SP
참가자	참가자/NNG
수도	수/NNG+도/JX
2년	2/SN+년/NNB
전	전/NNG
33만명에서	33/SN+만/NR+명/NNB+에서/JKB
올해는	올해/NNG+는/JX
30만명	30/SN+만/NR+명/NNB
수준으로	수준/NNG+으로/JKB
줄어들	줄어들/VV+ㄹ/ETM
전망이다.	전망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.16.8.3
주관사인 코스밋(박람회 전시 대행사)은 “밀라노 박람회는 (가구의) 유행을 만들어 왔지만, 위험하고 복잡해진 현재 환경에서 유행을 논하는 것은 무의미하다.

주관사인	주관사/NNG+이/VCP+ㄴ/ETM
코스밋(박람회	코스밋/NNP+(/SS+박람회/NNG
전시	전시/NNG
대행사)은	대행사/NNG+)/SS+은/JX
“밀라노	“/SS+밀라노/NNP
박람회는	박람회/NNG+는/JX
(가구의)	(/SS+가구/NNG+의/JKG+)/SS
유행을	유행/NNG+을/JKO
만들어	만들/VV+어/EC
왔지만,	오/VX+았/EP+지만/EC+,/SP
위험하고	위험/NNG+하/XSA+고/EC
복잡해진	복잡하/VA+아/EC+지/VX+ㄴ/ETM
현재	현재/NNG
환경에서	환경/NNG+에서/JKB
논하는	논하/VV+는/ETM
것은	것/NNB+은/JX
무의미하다.	무/XPN+의미/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.16.8.4
이제는 디자인이 어떤 방향으로 진화해야 할지를 고민해야 할 때”라고 올해의 의미를 정리했다.

이제는	이제/NNG+는/JX
디자인이	디자인/NNG+이/JKS
어떤	어떤/MMD
방향으로	방향/NNG+으로/JKB
진화해야	진화/NNG+하/XSV+아야/EC
할지를	하/VX+ㄹ지/EF+를/JKO
고민해야	고민/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
때”라고	때/NNG+”/SS+라고/JKQ
올해의	올해/NNG+의/JKG
의미를	의미/NNG+를/JKO
정리했다.	정리/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.16.9.1
이런 기류를 반영해 올해 전시 제품은 과거 유행했던 양식의 ‘재활용’이 많았다.

이런	이런/MMD
기류를	기류/NNG+를/JKO
반영해	반영/NNG+하/XSV+아/EC
올해	올해/NNG
전시	전시/NNG
제품은	제품/NNG+은/JX
과거	과거/NNG
유행했던	유행/NNG+하/XSV+았/EP+던/ETM
양식의	양식/NNG+의/JKG
‘재활용’이	‘/SS+재/XPN+활용/NNG+’/SS+이/JKS
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000040.16.9.2
안 대표는 “혁신적인 새 제품은 기존 30% 정도에서 5%로 많이 줄었다.

안	안/NNP
대표는	대표/NNG+는/JX
“혁신적인	“/SS+혁신/NNG+적/XSN+이/VCP+ㄴ/ETM
새	새/MMA
제품은	제품/NNG+은/JX
기존	기존/NNG
30%	30/SN+%/SW
정도에서	정도/NNG+에서/JKB
5%로	5/SN+%/SW+로/JKB
많이	많이/MAG
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.16.9.3
이탈리아 경제위기가 반영된 것으로 보인다.

이탈리아	이탈리아/NNP
경제위기가	경제/NNG+위기/NNG+가/JKS
반영된	반영/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.16.9.4
반면 색이나 소재를 바꾸는 기존 제품의 변형이 눈에 띈다”고 말했다.

반면	반면/NNG
색이나	색/NNG+이나/JC
소재를	소재/NNG+를/JKO
바꾸는	바꾸/VV+는/ETM
기존	기존/NNG
제품의	제품/NNG+의/JKG
변형이	변형/NNG+이/JKS
눈에	눈/NNG+에/JKB
띈다”고	띄/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.16.9.5
예를 들어, 이탈리아 유명 가구업체 드리아데의 경우, 20세기 초 오스트리아 빈을 중심으로 유행했던 대리석 양식을 재해석한 제품을 올해 전시 제품으로 내놓았다.

예를	예/NNG+를/JKO
들어,	들/VV+어/EC+,/SP
이탈리아	이탈리아/NNP
유명	유명/NNG
가구업체	가구업체/NNG
드리아데의	드리아데/NNP+의/JKG
경우,	경우/NNG+,/SP
20세기	20/SN+세기/NNG
초	초/NNB
오스트리아	오스트리아/NNP
빈을	빈/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
유행했던	유행/NNG+하/XSV+았/EP+던/ETM
대리석	대리석/NNG
양식을	양식/NNG+을/JKO
재해석한	재/XPN+해석/NNG+하/XSV+ㄴ/ETM
제품을	제품/NNG+을/JKO
올해	올해/NNG
전시	전시/NNG
제품으로	제품/NNG+으로/JKB
내놓았다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.16.10.1
반면 가구 박람회와 함께 격년으로 열리는 사무용 가구전에서는 혁신의 움직임이 눈에 띄었다.

반면	반면/NNG
가구	가구/NNG
박람회와	박람회/NNG+와/JKB
함께	함께/MAG
격년으로	격년/NNG+으로/JKB
열리는	열리/VV+는/ETM
사무용	사무/NNG+용/XSN
가구전에서는	가구전/NNG+에서/JKB+는/JX
혁신의	혁신/NNG+의/JKG
움직임이	움직임/NNG+이/JKS
눈에	눈/NNG+에/JKB
띄었다.	띄/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.16.10.2
프랑스 유명 건축가 장 누벨의 ‘삶을 위한 사무실’이라는 주제의 특별 전시를 중심으로 가정 환경과 밀접하게 다가가는 사무용 가구 제품들이 관람객의 눈길을 끌었다.

프랑스	프랑스/NNP
유명	유명/NNG
건축가	건축가/NNG
장	장/NNP
누벨의	누벨/NNP+의/JKG
‘삶을	‘/SS+삶/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
사무실’이라는	사무실/NNG+’/SS+이/VCP+라는/ETM
주제의	주제/NNG+의/JKG
특별	특별/NNG
전시를	전시/NNG+를/JKO
중심으로	중심/NNG+으로/JKB
가정	가정/NNG
환경과	환경/NNG+과/JKB
밀접하게	밀접/NNG+하/XSA+게/EC
다가가는	다가가/VV+는/ETM
사무용	사무/NNG+용/XSN
가구	가구/NNG
제품들이	제품/NNG+들/XSN+이/JKS
관람객의	관람객/NNG+의/JKG
눈길을	눈길/NNG+을/JKO
끌었다.	끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.16.10.3
코스밋의 클라우디오 루티 사장은 “이번 박람회에서 제시된 새로운 상품은 일반 대중의 흥미를 높이는 동시에 제품 판매팀에 동기를 부여하는 데도 기여할 것”이라고 말했다.

코스밋의	코스밋/NNP+의/JKG
클라우디오	클라우디오/NNP
루티	루티/NNP
사장은	사장/NNG+은/JX
“이번	“/SS+이번/NNG
박람회에서	박람회/NNG+에서/JKB
제시된	제시/NNG+되/XSV+ㄴ/ETM
새로운	새롭/VA+ㄴ/ETM
상품은	상품/NNG+은/JX
일반	일반/NNG
대중의	대중/NNG+의/JKG
흥미를	흥미/NNG+를/JKO
높이는	높이/VV+는/ETM
동시에	동시/NNG+에/JKB
제품	제품/NNG
판매팀에	판매/NNG+팀/NNG+에/JKB
동기를	동기/NNG+를/JKO
부여하는	부여/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
기여할	기여/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.16.11.1
또한 이번 박람회에는 관동대 기능성 목재가구산업육성사업단 ‘목가구 이든’, 디자이너 김태우씨를 비롯한 5개 한국 팀·디자이너들이 신진 디자이너 육성을 위한 ‘살로네 사텔리테’ 전시관에 초대받아 한국적 아름다움 또는 모던한 새 양식의 가구 등으로 호평을 받았다.

또한	또한/MAG
이번	이번/NNG
박람회에는	박람회/NNG+에/JKB+는/JX
관동대	관동대/NNP
기능성	기능/NNG+성/XSN
목재가구산업육성사업단	목재/NNG+가구/NNG+산업/NNG+육성/NNG+사업단/NNG
‘목가구	‘/SS+목가구/NNG
이든’,	이든/NNP+’/SS+,/SP
디자이너	디자이너/NNG
김태우씨를	김태우/NNP+씨/NNB+를/JKO
비롯한	비롯하/VV+ㄴ/ETM
5개	5/SN+개/NNB
한국	한국/NNP
팀·디자이너들이	팀/NNG+·/SP+디자이너/NNG+들/XSN+이/JKS
신진	신진/NNG
육성을	육성/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
‘살로네	‘/SS+살로네/NNP
사텔리테’	사텔리테/NNP+’/SS
전시관에	전시관/NNG+에/JKB
초대받아	초대/NNG+받/XSV+아/EC
한국적	한국/NNP+적/XSN
아름다움	아름다움/NNG
또는	또는/MAG
모던한	모던/NNG+하/XSA+ㄴ/ETM
새	새/MMA
양식의	양식/NNG+의/JKG
가구	가구/NNG
등으로	등/NNB+으로/JKB
호평을	호평/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


