# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.276
metadata : {}


# id : NWRW1800000032.276.1.1
‘벤츠 여검사’ 본격 수사

‘벤츠	‘/SS+벤츠/NNP
ㄴ씨는 수표 1000만원을 현금으로 바꾼 뒤 일부는 직접 사용하고 일부는 법인계좌로 입금했다고 검찰은 밝혔다.

ㄴ씨는	ㄴ/NNG+씨/NNB+는/JX
수표	수표/NNG
1000만원을	1000/SN+만/NR+원/NNB+을/JKO
현금으로	현금/NNG+으로/JKB
바꾼	바꾸/VV+ㄴ/ETM
뒤	뒤/NNG
일부는	일부/NNG+는/JX
직접	직접/MAG
사용하고	사용/NNG+하/XSV+고/EC
법인계좌로	법인/NNG+계좌/NNG+로/JKB
입금했다고	입금/NNG+하/XSV+았/EP+다고/EC
검찰은	검찰/NNG+은/JX
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.276.9.1
또 지난해 12월 서울의 한 백화점에서 샤넬 가방 값 539만여원이 ㄴ씨의 법무법인 신용카드로 결제된 사실을 확인했다고 검찰은 덧붙였다.

또	또/MAG
지난해	지난해/NNG
12월	12/SN+월/NNB
서울의	서울/NNP+의/JKG
한	한/MMN
백화점에서	백화점/NNG+에서/JKB
샤넬	샤넬/NNP
가방	가방/NNG
값	값/NNG
539만여원이	539/SN+만/NR+여/XSN+원/NNB+이/JKS
ㄴ씨의	ㄴ/NNG+씨/NNB+의/JKG
법무법인	법무/NNG+법인/NNG
신용카드로	신용/NNG+카드/NNG+로/JKB
결제된	결제/NNG+되/XSV+ㄴ/ETM
사실을	사실/NNG+을/JKO
확인했다고	확인/NNG+하/XSV+았/EP+다고/EC
검찰은	검찰/NNG+은/JX
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.276.10.1
검찰 관계자는 “ㄴ씨가 ㄱ씨한테 부탁한 사건이 어떻게 처리됐는지 등을 확인해 (금품 및 편의 제공에) 대가성이 있는 것으로 확인되면, 이르면 다음주 ㄱ씨를 불러 조사할 예정”이라고 말했다.

검찰	검찰/NNG
관계자는	관계자/NNG+는/JX
“ㄴ씨가	“/SS+ㄴ/NNG+씨/NNB+가/JKS
ㄱ씨한테	ㄱ/NNG+씨/NNB+한테/JKB
부탁한	부탁/NNG+하/XSV+ㄴ/ETM
사건이	사건/NNG+이/JKS
어떻게	어떻/VA+게/EC
처리됐는지	처리/NNG+되/XSV+었/EP+는지/EC
등을	등/NNB+을/JKO
확인해	확인/NNG+하/XSV+아/EC
(금품	(/SS+금품/NNG
및	및/MAG
편의	편의/NNG
제공에)	제공/NNG+에/JKB+)/SS
대가성이	대가/NNG+성/XSN+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
확인되면,	확인/NNG+되/XSV+면/EC+,/SP
이르면	이르/VA+면/EC
다음주	다음/NNG+주/NNG
ㄱ씨를	ㄱ/NNG+씨/NNB+를/JKO
불러	부르/VV+어/EC
조사할	조사/NNG+하/XSV+ㄹ/ETM
예정”이라고	예정/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


