# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.348
metadata : {}


# id : NWRW1800000054.348.1.1
'특검 연장법' 國會처리 사실상 무산

'특검	'/SS+특검/NNG
총리실에선	총리실/NNG+에서/JKB+ㄴ/JX
"그럴	"/SS+그렇/VA+ㄹ/ETM
가능성은	가능/NNG+성/XSN+은/JX
거의	거의/MAG
없다"고	없/VA+다/EF+"/SS+고/JKQ
하고	하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.348.5.1
권 위원장은 이날 오전 법사위 전체회의에서 "역대 모든 특검법은 여야 원내대표의 합의로 이뤄졌다. 이번 특검 연장 법안도 여야 원내대표 간 합의 또는 여야 법사위 간사 간 합의가 필요하다"며 특검법의 법사위 전체회의 상정을 거부했다.

권	권/NNP
위원장은	위원장/NNG+은/JX
이날	이날/NNG
오전	오전/NNG
법사위	법사위/NNG
전체회의에서	전체/NNG+회의/NNG+에서/JKB
"역대	"/SS+역대/NNG
모든	모든/MMN
특검법은	특검법/NNG+은/JX
여야	여야/NNG
원내대표의	원내/NNG+대표/NNG+의/JKG
합의로	합의/NNG+로/JKB
이뤄졌다.	이뤄지/VV+었/EP+다/EF+./SF
이번	이번/NNG
특검	특검/NNG
연장	연장/NNG
법안도	법안/NNG+도/JX
원내대표	원내/NNG+대표/NNG
간	간/NNB
합의	합의/NNG
또는	또는/MAG
간사	간사/NNG
합의가	합의/NNG+가/JKS
필요하다"며	필요/NNG+하/XSA+다/EF+"/SS+며/EC
특검법의	특검법/NNG+의/JKG
전체회의	전체/NNG+회의/NNG
상정을	상정/NNG+을/JKO
거부했다.	거부/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.348.6.1
야당들은 국회의장이 본회의에 직권 상정해줄 것을 요구했다.

야당들은	야당/NNG+들/XSN+은/JX
국회의장이	국회/NNG+의장/NNG+이/JKS
본회의에	본회의/NNG+에/JKB
직권	직권/NNG
상정해줄	상정/NNG+하/XSV+아/EC+주/VX+ㄹ/ETM
것을	것/NNB+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.348.6.2
그러나 민주당 출신인 정세균 의장은 이날 오후 기자들과 만나 "교섭단체 간 합의가 안 되고 국회법에 나와 있지 않으면 (직권 상정을) 할 수가 없다"고 말했다.

그러나	그러나/MAJ
민주당	민주당/NNP
출신인	출신/NNG+이/VCP+ㄴ/ETM
정세균	정세균/NNP
의장은	의장/NNG+은/JX
이날	이날/NNG
오후	오후/NNG
기자들과	기자/NNG+들/XSN+과/JKB
만나	만나/VV+아/EC
"교섭단체	"/SS+교섭/NNG+단체/NNG
간	간/NNB
합의가	합의/NNG+가/JKC
안	안/MAG
되고	되/VV+고/EC
국회법에	국회법/NNG+에/JKB
나와	나오/VV+아/EC
있지	있/VX+지/EC
않으면	않/VX+으면/EC
(직권	(/SS+직권/NNG
상정을)	상정/NNG+을/JKO+)/SS
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.348.6.3
현행 국회선진화법이 '천재지변이나 전시·사변 등'으로 국회의장의 직권 상정 요건을 엄격하게 제한하고 있어서 특검법 직권 상정은 어렵다는 뜻이다.

현행	현행/NNG
국회선진화법이	국회/NNG+선진/NNG+화/XSN+법/NNG+이/JKS
'천재지변이나	'/SS+천재지변/NNG+이나/JC
전시·사변	전시/NNG+·/SP+사변/NNG
등'으로	등/NNB+'/SS+으로/JKB
국회의장의	국회/NNG+의장/NNG+의/JKG
직권	직권/NNG
상정	상정/NNG
요건을	요건/NNG+을/JKO
엄격하게	엄격/NNG+하/XSA+게/EC
제한하고	제한/NNG+하/XSV+고/EC
있어서	있/VX+어서/EC
특검법	특검법/NNG
상정은	상정/NNG+은/JX
어렵다는	어렵/VA+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.348.7.1
이에 따라 박영수 특검의 활동 연장은 황교안 권한대행의 선택에 맡겨졌다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
박영수	박영수/NNP
특검의	특검/NNG+의/JKG
활동	활동/NNG
연장은	연장/NNG+은/JX
황교안	황교안/NNP
권한대행의	권한/NNG+대행/NNG+의/JKG
선택에	선택/NNG+에/JKB
맡겨졌다.	맡기/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.348.7.2
박영수 특검은 지난 16일 이미 활동 기한 연장을 황 권한대행에게 공식 요청한 상태다.

박영수	박영수/NNP
특검은	특검/NNG+은/JX
지난	지나/VV+ㄴ/ETM
16일	16/SN+일/NNB
이미	이미/MAG
활동	활동/NNG
기한	기한/NNG
연장을	연장/NNG+을/JKO
황	황/NNP
권한대행에게	권한/NNG+대행/NNG+에게/JKB
공식	공식/NNG
요청한	요청/NNG+하/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.348.7.3
이에 대해 황 권한대행은 이날 "법에 따르면 수사 기간 연장 승인 요청은 수사 기간 만료 3일 전에 행하여져야 한다고 규정돼 있다. 관련법에 따라 면밀히 검토 중에 있다"는 입장을 밝혔다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
황	황/NNP
권한대행은	권한/NNG+대행/NNG+은/JX
이날	이날/NNG
"법에	"/SS+법/NNG+에/JKB
따르면	따르/VV+면/EC
수사	수사/NNG
기간	기간/NNG
연장	연장/NNG
승인	승인/NNG
요청은	요청/NNG+은/JX
만료	만료/NNG
3일	3/SN+일/NNB
전에	전/NNG+에/JKB
행하여져야	행하/VV+아/EC+지/VX+어야/EC
한다고	하/VX+ㄴ다고/EC
규정돼	규정/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF
관련법에	관련/NNG+법/NNG+에/JKB
따라	따르/VV+아/EC
면밀히	면밀히/MAG
검토	검토/NNG
중에	중/NNB+에/JKB
있다"는	있/VA+다/EF+"/SS+는/ETM
입장을	입장/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.348.7.4
3일 전에 하도록 한 연장 신청을 그 전에 미리 한 것은 법적으로 문제가 있다는 취지로도 해석됐다.

3일	3/SN+일/NNB
전에	전/NNG+에/JKB
하도록	하/VV+도록/EC
한	하/VV+ㄴ/ETM
연장	연장/NNG
신청을	신청/NNG+을/JKO
그	그/MMD
미리	미리/MAG
것은	것/NNB+은/JX
법적으로	법/NNG+적/XSN+으로/JKB
문제가	문제/NNG+가/JKS
있다는	있/VA+다는/ETM
취지로도	취지/NNG+로/JKB+도/JX
해석됐다.	해석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.348.8.1
야당 관계자는 "특검 연장 법안을 우여곡절 끝에 통과시켜도 황 권한대행이 거부권을 행사할 경우 국회의 재의결 등에 걸리는 시간을 감안하면 현 박영수 특검은 그 전에 활동 기간이 종료된다"고 말했다.

야당	야당/NNG
관계자는	관계자/NNG+는/JX
"특검	"/SS+특검/NNG
연장	연장/NNG
법안을	법안/NNG+을/JKO
우여곡절	우여곡절/NNG
끝에	끝/NNG+에/JKB
통과시켜도	통과/NNG+시키/XSV+어도/EC
황	황/NNP
권한대행이	권한/NNG+대행/NNG+이/JKS
거부권을	거부/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
국회의	국회/NNG+의/JKG
재의결	재/XPN+의결/NNG
등에	등/NNB+에/JKB
걸리는	걸리/VV+는/ETM
시간을	시간/NNG+을/JKO
감안하면	감안/NNG+하/XSV+면/EC
현	현/MMD
박영수	박영수/NNP
특검은	특검/NNG+은/JX
그	그/MMD
전에	전/NNG+에/JKB
활동	활동/NNG
기간이	기간/NNG+이/JKS
종료된다"고	종료/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


