# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.332
metadata : {}


# id : NWRW1800000044.332.1.1
감사원장 “카드사태 감사 적극 검토”

감사원장	감사원장/NNG
황 원장은 또 “최근 국민께 염려를 끼친 동양그룹 사태, 숭례문 복원 사업 등에 대해 감사 전문 역량을 결집해 신속하게 감사를 처리할 계획”이라며 “국민의 불안·의혹 사항과 사회 현안을 적기에 해소하는 등 우리 사회의 문제 해결자로서의 역할을 충실히 수행하고자 한다”고 말했다.

황	황/NNP
원장은	원장/NNG+은/JX
또	또/MAG
“최근	“/SS+최근/NNG
국민께	국민/NNG+께/JKB
염려를	염려/NNG+를/JKO
끼친	끼치/VV+ㄴ/ETM
동양그룹	동양그룹/NNP
사태,	사태/NNG+,/SP
숭례문	숭례문/NNP
복원	복원/NNG
사업	사업/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
감사	감사/NNG
전문	전문/NNG
역량을	역량/NNG+을/JKO
결집해	결집/NNG+하/XSV+아/EC
신속하게	신속/NNG+하/XSA+게/EC
감사를	감사/NNG+를/JKO
처리할	처리/NNG+하/XSV+ㄹ/ETM
계획”이라며	계획/NNG+”/SS+이/VCP+라며/EC
“국민의	“/SS+국민/NNG+의/JKG
불안·의혹	불안/NNG+·/SP+의혹/NNG
사항과	사항/NNG+과/JC
사회	사회/NNG
현안을	현안/NNG+을/JKO
적기에	적기/NNG+에/JKB
해소하는	해소/NNG+하/XSV+는/ETM
등	등/NNB
우리	우리/NP
사회의	사회/NNG+의/JKG
문제	문제/NNG
해결자로서의	해결자/NNG+로서/JKB+의/JKG
역할을	역할/NNG+을/JKO
충실히	충실히/MAG
수행하고자	수행/NNG+하/XSV+고자/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.332.5.2
그는 “구룡마을 개발사업 등 이해관계가 첨예하게 대립하는 사안에 대해 다양한 의견을 충분히 수렴해 공정하고 객관적인 감사 결과를 도출하도록 최대한 노력하겠다”고 말했다.

그는	그/NP+는/JX
“구룡마을	“/SS+구룡마을/NNP
개발사업	개발/NNG+사업/NNG
등	등/NNB
이해관계가	이해관계/NNG+가/JKS
첨예하게	첨예하/VA+게/EC
대립하는	대립/NNG+하/XSV+는/ETM
사안에	사안/NNG+에/JKB
대해	대하/VV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
의견을	의견/NNG+을/JKO
충분히	충분히/MAG
수렴해	수렴/NNG+하/XSV+아/EC
공정하고	공정/NNG+하/XSA+고/EC
객관적인	객관/NNG+적/XSN+이/VCP+ㄴ/ETM
감사	감사/NNG
결과를	결과/NNG+를/JKO
도출하도록	도출/NNG+하/XSV+도록/EC
최대한	최대한/MAG
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.332.6.1
황 원장은 올해 감사원이 역점을 두고 추진할 4대 감사 방향으로 △사회 현안에 적기 대응, 국민적 의혹 해소 도모 △공직 사회의 원칙·기강 확립 △국가 재정 건전성, 공공 부문 효율화 유도 △서민 생활 안정, 지속 가능한 성장 기반 마련 뒷받침 등을 제시했다.

황	황/NNP
원장은	원장/NNG+은/JX
올해	올해/NNG
감사원이	감사원/NNG+이/JKS
역점을	역점/NNG+을/JKO
두고	두/VV+고/EC
추진할	추진/NNG+하/XSV+ㄹ/ETM
4대	4/SN+대/NNG
감사	감사/NNG
방향으로	방향/NNG+으로/JKB
△사회	△/SW+사회/NNG
현안에	현안/NNG+에/JKB
적기	적기/NNG
대응,	대응/NNG+,/SP
국민적	국민/NNG+적/XSN
의혹	의혹/NNG
해소	해소/NNG
도모	도모/NNG
△공직	△/SW+공직/NNG
사회의	사회/NNG+의/JKG
원칙·기강	원칙/NNG+·/SP+기강/NNG
확립	확립/NNG
△국가	△/SW+국가/NNG
재정	재정/NNG
건전성,	건전/NNG+성/XSN+,/SP
공공	공공/NNG
부문	부문/NNG
효율화	효율/NNG+화/XSN
유도	유도/NNG
△서민	△/SW+서민/NNG
생활	생활/NNG
안정,	안정/NNG+,/SP
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
성장	성장/NNG
기반	기반/NNG
마련	마련/NNG
뒷받침	뒷받침/NNG
등을	등/NNB+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


