# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.252
metadata : {}


# id : NWRW1800000052.252.1.1
스폰서 파문이 들추는 ‘검사들의 리그’

스폰서	스폰서/NNG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000052.252.7.1
대검찰청 특별감찰팀(팀장 안병익)은 8일 김 부장검사의 고교 동창인 김아무개(구속)씨 사건을 수사하는 서울서부지검 박아무개 수사검사 등이 김 부장검사의 청탁을 받고 사건을 부적절하게 처리했는지 여부를 집중적으로 들여다보고 있다고 밝혔다.

대검찰청	대/XPN+검찰청/NNG
특별감찰팀(팀장	특별/NNG+감찰/NNG+팀/NNG+(/SS+팀장/NNG
안병익)은	안병익/NNP+)/SS+은/JX
8일	8/SN+일/NNB
김	김/NNP
부장검사의	부장/NNG+검사/NNG+의/JKG
고교	고교/NNG
동창인	동창/NNG+이/VCP+ㄴ/ETM
김아무개(구속)씨	김/NNP+아무개/NP+(/SS+구속/NNG+)/SS+씨/NNB
사건을	사건/NNG+을/JKO
수사하는	수사/NNG+하/XSV+는/ETM
서울서부지검	서울서부지검/NNP
박아무개	박/NNP+아무개/NP
수사검사	수사/NNG+검사/NNG
등이	등/NNB+이/JKS
청탁을	청탁/NNG+을/JKO
받고	받/VV+고/EC
부적절하게	부적절하/VA+게/EC
처리했는지	처리/NNG+하/XSV+았/EP+는지/EF
여부를	여부/NNG+를/JKO
집중적으로	집중/NNG+적/XSN+으로/JKB
들여다보고	들여다보/VV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.252.7.2
지금까지 김 부장검사를 둘러싼 의혹과 관련해 검찰의 조사 대상에 오른 검사는 10여명이다.

지금까지	지금/NNG+까지/JX
김	김/NNP
부장검사를	부장/NNG+검사/NNG+를/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
의혹과	의혹/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
검찰의	검찰/NNG+의/JKG
조사	조사/NNG
대상에	대상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
검사는	검사/NNG+는/JX
10여명이다.	10/SN+여/XSN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.252.8.1
서부지검 소속 부장검사 6명은 김 부장검사 관련 수사가 한창일 때인 지난 6월10일 서울 여의도 한 호텔에서 김 부장검사와 점심을 먹었다.

서부지검	서부지검/NNP
소속	소속/NNG
부장검사	부장/NNG+검사/NNG
6명은	6/SN+명/NNB+은/JX
김	김/NNP
관련	관련/NNG
수사가	수사/NNG+가/JKS
한창일	한창/NNG+이/VCP+ㄹ/ETM
때인	때/NNG+이/VCP+ㄴ/ETM
지난	지나/VV+ㄴ/ETM
6월10일	6/SN+월/NNB+10/SN+일/NNB
서울	서울/NNP
여의도	여의도/NNP
한	한/MMN
호텔에서	호텔/NNG+에서/JKB
부장검사와	부장/NNG+검사/NNG+와/JKB
점심을	점심/NNG+을/JKO
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.252.8.2
김 부장검사는 이 무렵 수사검사인 박아무개 검사와도 인천지검에 같이 근무했던 인연을 내세워 다른 검사 2명과 함께 식사를 했다.

김	김/NNP
부장검사는	부장/NNG+검사/NNG+는/JX
이	이/MMD
무렵	무렵/NNB
수사검사인	수사/NNG+검사/NNG+이/VCP+ㄴ/ETM
박아무개	박/NNP+아무개/NP
검사와도	검사/NNG+와/JKB+도/JX
인천지검에	인천지검/NNP+에/JKB
같이	같이/MAG
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
인연을	인연/NNG+을/JKO
내세워	내세우/VV+어/EC
다른	다른/MMD
검사	검사/NNG
2명과	2/SN+명/NNB+과/JKB
함께	함께/MAG
식사를	식사/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.252.9.1
피의자와 수상한 돈거래를 한 정황이 드러나 대검 감찰본부에 첩보보고까지 된 김 부장검사를 수사검사 등이 따로 만나는 것은 매우 부적절하다는 지적이 검찰 안에서도 나온다.

피의자와	피의자/NNG+와/JKB
수상한	수상하/VA+ㄴ/ETM
돈거래를	돈거래/NNG+를/JKO
한	하/VV+ㄴ/ETM
정황이	정황/NNG+이/JKS
드러나	드러나/VV+아/EC
대검	대검/NNG
감찰본부에	감찰/NNG+본부/NNG+에/JKB
첩보보고까지	첩보/NNG+보고/NNG+까지/JX
된	되/VV+ㄴ/ETM
김	김/NNP
부장검사를	부장/NNG+검사/NNG+를/JKO
수사검사	수사/NNG+검사/NNG
등이	등/NNB+이/JKS
따로	따로/MAG
만나는	만나/VV+는/ETM
것은	것/NNB+은/JX
매우	매우/MAG
부적절하다는	부적절하/VA+다는/ETM
지적이	지적/NNG+이/JKS
검찰	검찰/NNG
안에서도	안/NNG+에서/JKB+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.252.9.2
김 부장검사는 연수원 동기인 의정부지검 고양지청 노아무개 차장검사를 미리 찾아가 고소가 접수되면 사건을 잘 처리해달라는 취지로 부탁을 하기도 했다.

김	김/NNP
부장검사는	부장/NNG+검사/NNG+는/JX
연수원	연수원/NNG
동기인	동기/NNG+이/VCP+ㄴ/ETM
의정부지검	의정부지검/NNP
고양지청	고양/NNP+지청/NNG
노아무개	노/NNP+아무개/NP
차장검사를	차장/NNG+검사/NNG+를/JKO
미리	미리/MAG
찾아가	찾아가/VV+아/EC
고소가	고소/NNG+가/JKS
접수되면	접수/NNG+되/XSV+면/EC
사건을	사건/NNG+을/JKO
잘	잘/MAG
처리해달라는	처리/NNG+하/XSV+아/EC+달/VX+라는/ETM
취지로	취지/NNG+로/JKB
부탁을	부탁/NNG+을/JKO
하기도	하/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.252.9.3
대검찰청 관계자는 “녹취록에 김 부장검사와 접촉한 것으로 나오는 검사들에 대해 필요한 조사를 진행 중이다. 단순히 식사를 한 검사들은 대부분 의혹과 무관할 것으로 보인다”고 밝혔다.

대검찰청	대/XPN+검찰청/NNG
관계자는	관계자/NNG+는/JX
“녹취록에	“/SS+녹취록/NNG+에/JKB
김	김/NNP
부장검사와	부장/NNG+검사/NNG+와/JKB
접촉한	접촉/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나오는	나오/VV+는/ETM
검사들에	검사/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
필요한	필요/NNG+하/XSA+ㄴ/ETM
조사를	조사/NNG+를/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF
단순히	단순히/MAG
식사를	식사/NNG+를/JKO
한	하/VV+ㄴ/ETM
검사들은	검사/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
의혹과	의혹/NNG+과/JKB
무관할	무관하/VA+ㄹ/ETM
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.252.9.4
직접 관련 여부는 조사를 통해 밝혀지겠지만, 적어도 이번 일은 혈연, 지연, 근무 인연을 바탕으로 ‘자신들만의 리그’를 만들어온 검찰 조직 문화에 대한 경고로 받아들여야 한다는 지적이 높다.

직접	직접/NNG
관련	관련/NNG
여부는	여부/NNG+는/JX
조사를	조사/NNG+를/JKO
통해	통하/VV+아/EC
밝혀지겠지만,	밝혀지/VV+겠/EP+지만/EC+,/SP
적어도	적어도/MAG
이번	이번/NNG
일은	일/NNG+은/JX
혈연,	혈연/NNG+,/SP
지연,	지연/NNG+,/SP
근무	근무/NNG
인연을	인연/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
‘자신들만의	‘/SS+자신/NNG+들/XSN+만/JX+의/JKG
리그’를	리그/NNG+’/SS+를/JKO
만들어온	만들/VV+어/EC+오/VX+ㄴ/ETM
검찰	검찰/NNG
조직	조직/NNG
문화에	문화/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경고로	경고/NNG+로/JKB
받아들여야	받아들이/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000052.252.10.1
검찰은 김 부장검사가 김씨로부터 1000만원을 받을 때 차명계좌를 빌려줬다는 의혹을 받고 있는 박아무개 변호사에 대해서도 조사를 벌이고 있다.

검찰은	검찰/NNG+은/JX
김	김/NNP
부장검사가	부장/NNG+검사/NNG+가/JKS
김씨로부터	김/NNP+씨/NNB+로부터/JKB
1000만원을	1000/SN+만/NR+원/NNB+을/JKO
받을	받/VV+을/ETM
때	때/NNG
차명계좌를	차명/NNG+계좌/NNG+를/JKO
빌려줬다는	빌려주/VV+었/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
박아무개	박/NNP+아무개/NP
변호사에	변호사/NNG+에/JKB
대해서도	대하/VV+아서/EC+도/JX
조사를	조사/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.252.10.2
박 변호사는 지난해 김 부장검사가 서울남부지검 증권범죄합동수사단장으로 있을 때 수사 대상에 올랐던 사실을 파악하고, 김 부장검사가 편의를 봐준 게 없는지 조사하고 있다.

박	박/NNP
변호사는	변호사/NNG+는/JX
지난해	지난해/NNG
김	김/NNP
부장검사가	부장/NNG+검사/NNG+가/JKS
서울남부지검	서울남부지검/NNP
증권범죄합동수사단장으로	증권/NNG+범죄/NNG+합동/NNG+수사단장/NNG+으로/JKB
있을	있/VA+을/ETM
때	때/NNG
수사	수사/NNG
대상에	대상/NNG+에/JKB
올랐던	오르/VV+았/EP+던/ETM
사실을	사실/NNG+을/JKO
파악하고,	파악/NNG+하/XSV+고/EC+,/SP
편의를	편의/NNG+를/JKO
봐준	봐주/VV+ㄴ/ETM
게	거/NNB+이/JKS
없는지	없/VA+는지/EF
조사하고	조사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


