# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.52
metadata : {}


# id : NWRW1800000056.52.1.1
LG 새 스마트폰 ‘V30’ 3가지 관전 포인트

LG	LG/SL
‘미운	‘/SS+밉/VA+ㄴ/ETM
오리새끼’가	오리/NNG+새끼/NNG+’/SS+가/JKC
돼버린	되/VV+어/EC+버리/VX+ㄴ/ETM
스마트폰	스마트폰/NNG
사업의	사업/NNG+의/JKG
지속가능성이	지속/NNG+가능/NNG+성/XSN+이/JKS
시험대에	시험대/NNG+에/JKB
오를	오르/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.52.7.3
올 2분기 스마트폰 사업(MC부문)은 1324억원 적자를 내는 등 9분기 연속 마이너스를 보였다.

올	올/NNG
2분기	2/SN+분기/NNG
스마트폰	스마트폰/NNG
사업(MC부문)은	사업/NNG+(/SS+MC/SL+부문/NNG+)/SS+은/JX
1324억원	1324/SN+억/NR+원/NNB
적자를	적자/NNG+를/JKO
내는	내/VV+는/ETM
등	등/NNB
9분기	9/SN+분기/NNG
연속	연속/NNG
마이너스를	마이너스/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.52.8.1
김동원 케이비(KB)증권 연구원은 “올초 출시한 G6는 제품 완성도를 높이고 마케팅도 강화했지만 삼성 갤럭시S8과의 경쟁, 예상보다 늘어난 아이폰7의 판매로 (부진에 빠져) 2분기 적자가 확대된 것으로 추정한다”고 말했다.

김동원	김동원/NNP
케이비(KB)증권	케이비/NNP+(/SS+KB/SL+)/SS+증권/NNG
연구원은	연구원/NNG+은/JX
“올초	“/SS+올/NNG+초/NNB
출시한	출시/NNG+하/XSV+ㄴ/ETM
G6는	G/SL+6/SN+는/JX
제품	제품/NNG
완성도를	완성도/NNG+를/JKO
높이고	높이/VV+고/EC
마케팅도	마케팅/NNG+도/JX
강화했지만	강화/NNG+하/XSV+았/EP+지만/EC
삼성	삼성/NNP
갤럭시S8과의	갤럭시S8/NNP+과/JKB+의/JKG
경쟁,	경쟁/NNG+,/SP
예상보다	예상/NNG+보다/JKB
늘어난	늘어나/VV+ㄴ/ETM
아이폰7의	아이폰7/NNP+의/JKG
판매로	판매/NNG+로/JKB
(부진에	(/SS+부진/NNG+에/JKB
빠져)	빠지/VV+어/EC+)/SS
2분기	2/SN+분기/NNG
적자가	적자/NNG+가/JKS
확대된	확대/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
추정한다”고	추정/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.52.9.1
그렇다고 쉽사리 스마트폰을 포기하기도 어렵다.

그렇다고	그렇/VA+다고/EC
쉽사리	쉽사리/MAG
스마트폰을	스마트폰/NNG+을/JKO
포기하기도	포기/NNG+하/XSV+기/ETN+도/JX
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000056.52.9.2
소비자가 들고 다니는 모바일 기기인 스마트폰은 향후 엘지전자의 미래 먹거리인 스마트가전이나 스마트카와 결합할 가능성이 크다.

소비자가	소비자/NNG+가/JKS
들고	들/VV+고/EC
다니는	다니/VV+는/ETM
모바일	모바일/NNG
기기인	기기/NNG+이/VCP+ㄴ/ETM
스마트폰은	스마트폰/NNG+은/JX
향후	향후/NNG
엘지전자의	엘지전자/NNP+의/JKG
미래	미래/NNG
먹거리인	먹거리/NNG+이/VCP+ㄴ/ETM
스마트가전이나	스마트/NNG+가전/NNG+이나/JC
스마트카와	스마트카/NNG+와/JKB
결합할	결합/NNG+하/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000056.52.9.3
또 엘지디스플레이, 엘지화학 등 계열사와도 밀접한 관련이 있다.

또	또/MAG
엘지디스플레이,	엘지디스플레이/NNP+,/SP
엘지화학	엘지화학/NNP
등	등/NNB
계열사와도	계열사/NNG+와/JKB+도/JX
밀접한	밀접/NNG+하/XSA+ㄴ/ETM
관련이	관련/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.52.9.4
엘지전자 관계자는 “스마트폰 사업은 버릴수 있는 사업이 아니다.

엘지전자	엘지전자/NNP
관계자는	관계자/NNG+는/JX
“스마트폰	“/SS+스마트폰/NNG
사업은	사업/NNG+은/JX
버릴수	버리/VV+ㄹ/ETM+수/NNB
있는	있/VA+는/ETM
사업이	사업/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000056.52.9.5
계속 유지해야 하는 사업이다”고 말했다.

계속	계속/MAG
유지해야	유지/NNG+하/XSV+아야/EC
하는	하/VX+는/ETM
사업이다”고	사업/NNG+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.52.9.6
매각설이 끊이지 않지만, 버릴 수 없는 이유다.

매각설이	매각설/NNG+이/JKS
끊이지	끊이/VV+지/EC
않지만,	않/VX+지만/EC+,/SP
버릴	버리/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.52.9.7
V30의 성공 여부에 따라 조성진 엘지전자 부회장이 스마트폰 사업에 얼마나 집중할지 판단하는 시금석이 될 것으로 보인다.

V30의	V/SL+30/SN+의/JKG
성공	성공/NNG
여부에	여부/NNG+에/JKB
따라	따르/VV+아/EC
조성진	조성진/NNP
엘지전자	엘지전자/NNP
부회장이	부회장/NNG+이/JKS
스마트폰	스마트폰/NNG
사업에	사업/NNG+에/JKB
얼마나	얼마나/MAG
집중할지	집중/NNG+하/XSV+ㄹ지/EC
판단하는	판단/NNG+하/XSV+는/ETM
시금석이	시금석/NNG+이/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.52.10.1
둘째, 소비자에게 끼치는 영향도 크다.

둘째,	둘째/NR+,/SP
소비자에게	소비자/NNG+에게/JKB
끼치는	끼치/VV+는/ETM
영향도	영향/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000056.52.10.2
국내 스마트폰 시장은 현재 삼성전자와 애플 위주로 재편된 상태다.

국내	국내/NNG
스마트폰	스마트폰/NNG
시장은	시장/NNG+은/JX
현재	현재/MAG
삼성전자와	삼성전자/NNP+와/JC
애플	애플/NNP
위주로	위주/NNG+로/JKB
재편된	재편/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.52.10.3
팬택이 사라진 상황에서 엘지전자마저 철수하게 되면, 소비자들의 선택권은 그만큼 줄어들 수밖에 없다.

팬택이	팬택/NNP+이/JKS
사라진	사라지/VV+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
엘지전자마저	엘지전자/NNP+마저/JX
철수하게	철수/NNG+하/XSV+게/EC
되면,	되/VV+면/EC+,/SP
소비자들의	소비자/NNG+들/XSN+의/JKG
선택권은	선택/NNG+권/XSN+은/JX
그만큼	그만큼/MAG
줄어들	줄어들/VV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000056.52.10.4
엘지 스마트폰의 북미 수출량이 많은 이유도 현지 이동통신사들이 전략적으로 애플과 삼성의 과점을 견제하는 수단으로 삼는 경우가 많기 때문이다.

엘지	엘지/NNP
스마트폰의	스마트폰/NNG+의/JKG
북미	북미/NNP
수출량이	수출량/NNG+이/JKS
많은	많/VA+은/ETM
이유도	이유/NNG+도/JX
현지	현지/NNG
이동통신사들이	이동/NNG+통신사/NNG+들/XSN+이/JKS
전략적으로	전략/NNG+적/XSN+으로/JKB
애플과	애플/NNP+과/JC
삼성의	삼성/NNP+의/JKG
과점을	과점/NNG+을/JKO
견제하는	견제/NNG+하/XSV+는/ETM
수단으로	수단/NNG+으로/JKB
삼는	삼/VV+는/ETM
경우가	경우/NNG+가/JKS
많기	많/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.52.11.1
끝으로 V30은 전체 스마트폰 산업 구도에도 영향을 미칠 가능성이 크다.

끝으로	끝/NNG+으로/JKB
V30은	V/SL+30/SN+은/JX
전체	전체/NNG
스마트폰	스마트폰/NNG
산업	산업/NNG
구도에도	구도/NNG+에/JKB+도/JX
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다.	크/VA+다/EF+./SF


# id : NWRW1800000056.52.11.2
스마트폰 디스플레이의 무게중심은 오엘이디로 옮겨가고 있다.

스마트폰	스마트폰/NNG
디스플레이의	디스플레이/NNG+의/JKG
무게중심은	무게/NNG+중심/NNG+은/JX
오엘이디로	오엘이디/NNG+로/JKB
옮겨가고	옮기/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.52.11.3
주로 삼성디스플레이가 공급한다.

주로	주로/MAG
삼성디스플레이가	삼성디스플레이/NNP+가/JKS
공급한다.	공급/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.52.11.4
갤럭시와 맞선 다른 스마트폰들 역시 삼성 부품으로 만들어지는 셈이다.

갤럭시와	갤럭시/NNP+와/JKB
맞선	맞서/VV+ㄴ/ETM
다른	다른/MMD
스마트폰들	스마트폰/NNG+들/XSN
역시	역시/MAG
삼성	삼성/NNP
부품으로	부품/NNG+으로/JKB
만들어지는	만들/VV+어/EC+지/VX+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.52.11.5
이런 상황에서 V30는 엘지디스플레이의 오엘이디를 탑재한다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
V30는	V/SL+30/SN+는/JX
엘지디스플레이의	엘지디스플레이/NNP+의/JKG
오엘이디를	오엘이디/NNG+를/JKO
탑재한다.	탑재/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.52.11.6
김영우 에스케이(SK)증권 연구원은 “V30이 ‘번인’(화면을 꺼도 이미지가 사라지지 않는 현상) 등 품질과 수명에 문제가 없다면 스마트폰 업체들이 삼성 부품에서 벗어날 수 있다”고 말했다.

김영우	김영우/NNP
에스케이(SK)증권	에스케이/NNP+(/SS+SK/SL+)/SS+증권/NNG
연구원은	연구원/NNG+은/JX
“V30이	“/SS+V/SL+30/SN+이/JKS
‘번인’(화면을	‘/SS+번인/NNG+’/SS+(/SS+화면/NNG+을/JKO
꺼도	끄/VV+어도/EC
이미지가	이미지/NNG+가/JKS
사라지지	사라지/VV+지/EC
않는	않/VX+는/ETM
현상)	현상/NNG+)/SS
등	등/NNB
품질과	품질/NNG+과/JC
수명에	수명/NNG+에/JKB
문제가	문제/NNG+가/JKS
없다면	없/VA+다면/EC
스마트폰	스마트폰/NNG
업체들이	업체/NNG+들/XSN+이/JKS
삼성	삼성/NNP
부품에서	부품/NNG+에서/JKB
벗어날	벗어나/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.52.11.7
부품 공급업체가 늘어나면 경쟁으로 공급 단가가 낮아져 스마트폰 값이 떨어질 수 있다.

부품	부품/NNG
공급업체가	공급업체/NNG+가/JKS
늘어나면	늘어나/VV+면/EC
경쟁으로	경쟁/NNG+으로/JKB
공급	공급/NNG
단가가	단가/NNG+가/JKS
낮아져	낮/VA+아/EC+지/VX+어/EC
스마트폰	스마트폰/NNG
값이	값/NNG+이/JKS
떨어질	떨어지/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


