# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.1
metadata : {}


# id : NWRW1800000024.1.1.1
‘농익은’ 서른여섯 “황소 몰고 뛰어라” ‘물오른’ 스물넷

‘농익은’	‘/SS+농익/VV+은/ETM+’/SS
# id : NWRW1800000024.1.4.5
그래도, “잔치는 아직 끝나지 않았다”라는 그들의 외침은 허투루 들리지 않는다.

그래도,	그래도/MAJ+,/SP
“잔치는	“/SS+잔치/NNG+는/JX
아직	아직/MAG
끝나지	끝나/VV+지/EC
않았다”라는	않/VX+았/EP+다/EF+”/SS+이/VCP+라는/ETM
그들의	그/NP+들/XSN+의/JKG
외침은	외침/NNG+은/JX
허투루	허투루/MAG
들리지	들리/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000024.1.4.6
■ 스물넷, 전성기여 오라=축구대표팀은 1985년생이 대세를 이룬다.

■	■/SW
스물넷,	스물넷/NR+,/SP
전성기여	전성기/NNG+여/JKV
오라=축구대표팀은	오/VV+라/EF+=/SW+축구/NNG+대표/NNG+팀/NNG+은/JX
1985년생이	1985/SN+년/NNB+생/XSN+이/JKS
대세를	대세/NNG+를/JKO
이룬다.	이루/VV+ㄴ다/EF+./SF


# id : NWRW1800000024.1.4.7
박주영(AS모나코)부터 이근호(대구FC)·정성룡(성남 일화)·서동현(수원 삼성) 등이 모두 1985년 소띠 해에 태어난 선수들이다.

박주영(AS모나코)부터	박주영/NNP+(/SS+AS모나코/NNP+)/SS+부터/JX
이근호(대구FC)·정성룡(성남	이근호/NNP+(/SS+대구FC/NNP+)/SS+·/SP+정성룡/NNP+(/SS+성남/NNP
일화)·서동현(수원	일화/NNP+)/SS+·/SP+서동현/NNP+(/SS+수원/NNP
삼성)	삼성/NNP+)/SS
등이	등/NNB+이/JKS
모두	모두/MAG
1985년	1985/SN+년/NNB
소띠	소띠/NNG
해에	해/NNG+에/JKB
태어난	태어나/VV+ㄴ/ETM
선수들이다.	선수/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.1.4.8
허정무 대표팀 감독의 세대교체 의지와 맞물려 이들은 대표팀의 한 축을 이루면서 2010년 남아공 월드컵 본선 티켓을 얻기 위해 뛰고 있다.

허정무	허정무/NNP
대표팀	대표/NNG+팀/NNG
감독의	감독/NNG+의/JKG
세대교체	세대교체/NNG
의지와	의지/NNG+와/JKB
맞물려	맞물리/VV+어/EC
이들은	이/NP+들/XSN+은/JX
대표팀의	대표/NNG+팀/NNG+의/JKG
한	한/MMN
축을	축/NNG+을/JKO
이루면서	이루/VV+면서/EC
2010년	2010/SN+년/NNB
남아공	남아공/NNP
월드컵	월드컵/NNG
본선	본선/NNG
티켓을	티켓/NNG+을/JKO
얻기	얻/VV+기/ETN
위해	위하/VV+아/EC
뛰고	뛰/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.1.5.1
2008~2009 프로배구 V리그에서도 1985년생 활약이 도드라지고 있다.

2008~2009	2008/SN+~/SO+2009/SN
프로배구	프로/NNG+배구/NNG
V리그에서도	V/SL+리그/NNG+에서/JKB+도/JX
1985년생	1985/SN+년/NNB+생/XSN
활약이	활약/NNG+이/JKS
도드라지고	도드라지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.1.5.2
기흉이란 짐을 안고 있지만, 박철우는 파괴력 넘치는 고공 스파이크로 현대캐피탈을 1위로 이끌고 있다.

기흉이란	기흉/NNG+이/VCP+란/ETM
짐을	짐/NNG+을/JKO
안고	안/VV+고/EC
있지만,	있/VX+지만/EC+,/SP
박철우는	박철우/NNP+는/JX
파괴력	파괴력/NNG
넘치는	넘치/VV+는/ETM
고공	고공/NNG
스파이크로	스파이크/NNG+로/JKB
현대캐피탈을	현대캐피탈/NNP+을/JKO
1위로	1/SN+위/NNB+로/JKB
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.1.5.3
김요한(LIG손해보험) 또한 데뷔 시즌 때 부진을 만회하며 고군분투 중이고, 지에스(GS)칼텍스 주포 김민지도 시즌 개막에 앞서 맹장수술이라는 암초를 만났으나, 팀의 정규리그 2연패를 위해 서서히 제 기량을 선보이고 있다.

김요한(LIG손해보험)	김요한/NNP+(/SS+LIG손해보험/NNP+)/SS
또한	또한/MAG
데뷔	데뷔/NNG
시즌	시즌/NNG
때	때/NNG
부진을	부진/NNG+을/JKO
만회하며	만회/NNG+하/XSV+며/EC
고군분투	고군분투/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
지에스(GS)칼텍스	지에스/NNP+(/SS+GS/SL+)/SS+칼텍스/NNP
주포	주포/NNG
김민지도	김민지/NNP+도/JX
개막에	개막/NNG+에/JKB
앞서	앞서/VV+어/EC
맹장수술이라는	맹장/NNG+수술/NNG+이/VCP+라는/ETM
암초를	암초/NNG+를/JKO
만났으나,	만나/VV+았/EP+으나/EC+,/SP
팀의	팀/NNG+의/JKG
정규리그	정규/NNG+리그/NNG
2연패를	2/SN+연패/NNG+를/JKO
위해	위하/VV+아/EC
서서히	서서히/MAG
제	저/NP+의/JKG
기량을	기량/NNG+을/JKO
선보이고	선보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.1.6.1
본의 아니게 서장훈 트레이드 파문의 진원지가 되어버린 하승진(전주 KCC)도 절치부심 중이다.

본의	본의/NNG
아니게	아니/VCN+게/EC
서장훈	서장훈/NNP
트레이드	트레이드/NNG
파문의	파문/NNG+의/JKG
진원지가	진원지/NNG+가/JKC
되어버린	되/VV+어/EC+버리/VX+ㄴ/ETM
하승진(전주	하승진/NNP+(/SS+전주/NNP
KCC)도	KCC/SL+)/SS+도/JX
절치부심	절치부심/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.1.6.2
서장훈이 인천 전자랜드로 옮겨가면서 그의 어깨는 더욱 무거워졌다.

서장훈이	서장훈/NNP+이/JKS
인천	인천/NNP
전자랜드로	전자랜드/NNP+로/JKB
옮겨가면서	옮기/VV+어/EC+가/VX+면서/EC
그의	그/NP+의/JKG
어깨는	어깨/NNG+는/JX
더욱	더욱/MAG
무거워졌다.	무거워지/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.1.6.3
프로야구에선 당차게 삼성의 4번타자 자리를 꿰찬 박석민, 2004년 신인왕 출신으로 상무에서 제대한 오재영(히어로즈), 그리고 롯데 좌완투수 장원준과 포수 강민호 등이 1985년 소띠생이다.

프로야구에선	프로/NNG+야구/NNG+에서/JKB+ㄴ/JX
당차게	당차/VA+게/EC
삼성의	삼성/NNP+의/JKG
4번타자	4/SN+번/NNB+타자/NNG
자리를	자리/NNG+를/JKO
꿰찬	꿰차/VV+ㄴ/ETM
박석민,	박석민/NNP+,/SP
2004년	2004/SN+년/NNB
신인왕	신인왕/NNG
출신으로	출신/NNG+으로/JKB
상무에서	상무/NNP+에서/JKB
제대한	제대/NNG+하/XSV+ㄴ/ETM
오재영(히어로즈),	오재영/NNP+(/SS+히어로즈/NNP+)/SS+,/SP
그리고	그리고/MAJ
롯데	롯데/NNP
좌완투수	좌완/NNG+투수/NNG
장원준과	장원준/NNP+과/JC
포수	포수/NNG
강민호	강민호/NNP
등이	등/NNB+이/JKS
1985년	1985/SN+년/NNB
소띠생이다.	소띠/NNG+생/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.1.7.1
이 밖에 베이징 올림픽 역도 금메달리스트 사재혁과 한국육상 세단뛰기의 희망 김덕현도 소띠해에 힘차게 태어난 스포츠 스타들이다.

이	이/MMD
밖에	밖/NNG+에/JKB
베이징	베이징/NNP
올림픽	올림픽/NNG
역도	역도/NNG
금메달리스트	금메달리스트/NNG
사재혁과	사재혁/NNP+과/JC
한국육상	한국/NNP+육상/NNG
세단뛰기의	세단뛰기/NNG+의/JKG
희망	희망/NNG
김덕현도	김덕현/NNP+도/JX
소띠해에	소띠/NNG+해/NNG+에/JKB
힘차게	힘차/VA+게/EC
태어난	태어나/VV+ㄴ/ETM
스포츠	스포츠/NNG
스타들이다.	스타/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000024.1.7.2
국외로 눈을 돌리면 2008 베이징올림픽 수영 8관왕 마이클 펠프스(미국), 크리스티아누 호날두(맨체스터 유나이티드)가 1985년에 태어났다.

국외로	국외/NNG+로/JKB
눈을	눈/NNG+을/JKO
돌리면	돌리/VV+면/EC
2008	2008/SN
베이징올림픽	베이징/NNP+올림픽/NNG
수영	수영/NNG
8관왕	8관왕/NNG
마이클	마이클/NNP
펠프스(미국),	펠프스/NNP+(/SS+미국/NNP+)/SS+,/SP
크리스티아누	크리스티아누/NNP
호날두(맨체스터	호날두/NNP+(/SS+맨체스터/NNP
유나이티드)가	유나이티드/NNP+)/SS+가/JKS
1985년에	1985/SN+년/NNB+에/JKB
태어났다.	태어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.1.7.3
이들은 현재 생애 최고의 시기에 도달했거나, 전성기를 향해 우직한 소걸음으로 한발자국씩 나아가고 있다.

이들은	이/NP+들/XSN+은/JX
현재	현재/MAG
생애	생애/NNG
최고의	최고/NNG+의/JKG
시기에	시기/NNG+에/JKB
도달했거나,	도달/NNG+하/XSV+았/EP+거나/EC+,/SP
전성기를	전성기/NNG+를/JKO
향해	향하/VV+아/EC
우직한	우직하/VA+ㄴ/ETM
소걸음으로	소걸음/NNG+으로/JKB
한발자국씩	한/MMN+발자국/NNG+씩/XSN
나아가고	나아가/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000024.1.7.4
“소띠 해에 황소뿔의 진면모를 보여주겠다”는 각오가 맹렬하다.

“소띠	“/SS+소띠/NNG
해에	해/NNG+에/JKB
황소뿔의	황소/NNG+뿔/NNG+의/JKG
진면모를	진면모/NNG+를/JKO
보여주겠다”는	보이/VV+어/EC+주/VX+겠/EP+다/EF+”/SS+는/ETM
각오가	각오/NNG+가/JKS
맹렬하다.	맹렬하/VA+다/EF+./SF


