# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.118
metadata : {}


# id : NWRW1800000048.118.1.1
막 나가는 ‘아베의 동지’…일본 극우의 맨얼굴

막	막/MAG
등의	등/NNB+의/JKG
터무니	터무니/NNG
없는	없/VA+는/ETM
발언을	발언/NNG+을/JKO
일삼다가,	일삼/VV+다가/EC+,/SP
아베	아베/NNP
총리가	총리/NNG+가/JKS
임명했던	임명/NNG+하/XSV+았/EP+던/ETM
<엔에이치케이>(NHK)	</SS+엔에이치케이/NNP+>/SS+(/SS+NHK/SL+)/SS
경영위원직에서	경영/NNG+위원직/NNG+에서/JKB
지난	지나/VV+ㄴ/ETM
2월	2/SN+월/NNB
물러난	물러나/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.118.9.1
말을 안 듣는 언론을 응징하려면 “게이단렌(한국의 전경련에 해당)이 움직여야 한다”는 노골적인 언론 탄압 발언으로 ‘엄중 주의’ 처분을 받은 오니시 히데오(68) 의원도 28일 자신의 누리집에서 “제 발언이 혼란을 일으킨 데 대해 반성한다”고 하면서도, “‘이것에 지지 말고 할 말은 해달라’는 격려의 말을 받았다”며 발언을 정당화하려는 태도를 보였다.

말을	말/NNG+을/JKO
안	안/MAG
듣는	듣/VV+는/ETM
언론을	언론/NNG+을/JKO
응징하려면	응징/NNG+하/XSV+려면/EC
“게이단렌(한국의	“/SS+게이단렌/NNG+(/SS+한국/NNP+의/JKG
전경련에	전경련/NNP+에/JKB
해당)이	해당/NNG+)/SS+이/JKS
움직여야	움직이/VV+어야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
노골적인	노골/NNG+적/XSN+이/VCP+ㄴ/ETM
언론	언론/NNG
탄압	탄압/NNG
발언으로	발언/NNG+으로/JKB
‘엄중	‘/SS+엄중/NNG
주의’	주의/NNG+’/SS
처분을	처분/NNG+을/JKO
받은	받/VV+은/ETM
오니시	오니시/NNP
히데오(68)	히데오/NNP+(/SS+68/SN+)/SS
의원도	의원/NNG+도/JX
28일	28/SN+일/NNB
자신의	자신/NNG+의/JKG
누리집에서	누리집/NNG+에서/JKB
“제	“/SS+저/NP+의/JKG
발언이	발언/NNG+이/JKS
혼란을	혼란/NNG+을/JKO
일으킨	일으키/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
반성한다”고	반성/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
하면서도,	하/VV+면서/EC+도/JX+,/SP
“‘이것에	“/SS+‘/SS+이것/NP+에/JKB
지지	지/VV+지/EC
말고	말/VX+고/EC
할	하/VV+ㄹ/ETM
말은	말/NNG+은/JX
해달라’는	하/VV+아/EC+달/VX+라/EF+’/SS+는/ETM
격려의	격려/NNG+의/JKG
받았다”며	받/VV+았/EP+다/EF+”/SS+며/EC
발언을	발언/NNG+을/JKO
정당화하려는	정당화/NNG+하/XSV+려는/ETM
태도를	태도/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.118.10.1
이에 대해 에다노 유키오 민주당 간사장은 29일 “아베 총리의 둔감한 자세가 최대 문제다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
에다노	에다노/NNP
유키오	유키오/NNP
민주당	민주당/NNP
간사장은	간사장/NNG+은/JX
29일	29/SN+일/NNB
“아베	“/SS+아베/NNP
총리의	총리/NNG+의/JKG
둔감한	둔감/NNG+하/XSA+ㄴ/ETM
자세가	자세/NNG+가/JKS
최대	최대/NNG
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.118.10.2
아베 총리가 (이 문제에 대해) 어떤 대응과 발언을 하는지 엄중히 지켜보겠다”고 경고했다.

아베	아베/NNP
총리가	총리/NNG+가/JKS
(이	(/SS+이/MMD
문제에	문제/NNG+에/JKB
대해)	대하/VV+아/EC+)/SS
어떤	어떤/MMD
대응과	대응/NNG+과/JC
발언을	발언/NNG+을/JKO
하는지	하/VV+는지/EF
엄중히	엄중히/MAG
지켜보겠다”고	지켜보/VV+겠/EP+다/EF+”/SS+고/JKQ
경고했다.	경고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.118.10.3
그는 이어 “표현과 보도의 자유에 대한 이해가 없는 정권이 국민의 여론을 무시해가며 군사정책을 강행하려 하고 있다”며 아베 총리를 비판했다.

그는	그/NP+는/JX
이어	이어/MAG
“표현과	“/SS+표현/NNG+과/JC
보도의	보도/NNG+의/JKG
자유에	자유/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
이해가	이해/NNG+가/JKS
없는	없/VA+는/ETM
정권이	정권/NNG+이/JKS
국민의	국민/NNG+의/JKG
여론을	여론/NNG+을/JKO
무시해가며	무시/NNG+하/XSV+아/EC+가/VX+며/EC
군사정책을	군사/NNG+정책/NNG+을/JKO
강행하려	강행/NNG+하/XSV+려/EC
하고	하/VX+고/EC
있다”며	있/VX+다/EF+”/SS+며/EC
아베	아베/NNP
총리를	총리/NNG+를/JKO
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


