# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.361
metadata : {}


# id : NWRW1800000022.361.1.1
中 화장터, 유골 2800여개 바꿔치기 들통;"시간 절약하기 위해서" 앞에 화장한 유골 건네

中	中/SH
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.361.3.4
즉시 사무실 수색에 들어간 유족들은 결국 어느 빈방에서 리어산씨의 멀쩡한 시신을 찾아냈다.

즉시	즉시/NNG
사무실	사무실/NNG
수색에	수색/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
유족들은	유족/NNG+들/XSN+은/JX
결국	결국/MAG
어느	어느/MMD
빈방에서	빈방/NNG+에서/JKB
리어산씨의	리어산/NNP+씨/NNB+의/JKG
멀쩡한	멀쩡하/VA+ㄴ/ETM
시신을	시신/NNG+을/JKO
찾아냈다.	찾아내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.361.4.1
유족들이 다그치자 화장장의 젊은 직원은 "시간을 절약하기 위해 미리 소각한 다른 시신의 유골을 준비했다가 유족들이 준 유골함에 채워 주도록 선배 직원들한테 배웠다"며 "2007년 취직 이후 지금까지 2800여 유골들을 바꿔 전달했다"고 자백했다.

유족들이	유족/NNG+들/XSN+이/JKS
다그치자	다그치/VV+자/EC
화장장의	화장장/NNG+의/JKG
젊은	젊/VA+은/ETM
직원은	직원/NNG+은/JX
"시간을	"/SS+시간/NNG+을/JKO
절약하기	절약/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
미리	미리/MAG
소각한	소각/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
시신의	시신/NNG+의/JKG
유골을	유골/NNG+을/JKO
준비했다가	준비/NNG+하/XSV+았/EP+다가/EC
준	주/VV+ㄴ/ETM
유골함에	유골함/NNG+에/JKB
채워	채우/VV+어/EC
주도록	주/VX+도록/EC
선배	선배/NNG
직원들한테	직원/NNG+들/XSN+한테/JKB
배웠다"며	배우/VV+었/EP+다/EF+"/SS+며/EC
"2007년	"/SS+2007/SN+년/NNB
취직	취직/NNG
이후	이후/NNG
지금까지	지금/NNG+까지/JX
2800여	2800/SN+여/XSN
유골들을	유골/NNG+들/XSN+을/JKO
바꿔	바꾸/VV+어/EC
전달했다"고	전달/NNG+하/XSV+았/EP+다/EF+"/SS+고/JKQ
자백했다.	자백/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.361.5.1
이 소식이 알려지자 유족 등 시민 수천명이 거리로 쏟아져 나와 시위를 벌였고, 시위대 1000여명은 지난 14일 시(市) 청사로 몰려가 담당 국장을 집단 폭행한 뒤 병원으로 실려 보냈다.

이	이/MMD
소식이	소식/NNG+이/JKS
알려지자	알려지/VV+자/EC
유족	유족/NNG
등	등/NNB
시민	시민/NNG
수천명이	수천/NR+명/NNB+이/JKS
거리로	거리/NNG+로/JKB
쏟아져	쏟아지/VV+어/EC
나와	나오/VV+아/EC
시위를	시위/NNG+를/JKO
벌였고,	벌이/VV+었/EP+고/EC+,/SP
시위대	시위대/NNG
1000여명은	1000/SN+여/XSN+명/NNB+은/JX
지난	지나/VV+ㄴ/ETM
14일	14/SN+일/NNB
시(市)	시/NNG+(/SS+市/SH+)/SS
청사로	청사/NNG+로/JKB
몰려가	몰려가/VV+아/EC
담당	담당/NNG
국장을	국장/NNG+을/JKO
집단	집단/NNG
폭행한	폭행/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
병원으로	병원/NNG+으로/JKB
실려	실리/VV+어/EC
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.361.5.2
처음엔 "하나만 바뀌었다"고 부인하던 화장장과 시 당국도 나중엔 "2800여개가 맞다"고 인정했다.

처음엔	처음/NNG+에/JKB+ㄴ/JX
"하나만	"/SS+하나/NR+만/JX
바뀌었다"고	바뀌/VV+었/EP+다/EF+"/SS+고/JKQ
부인하던	부인/NNG+하/XSV+던/ETM
화장장과	화장장/NNG+과/JC
시	시/NNG
당국도	당국/NNG+도/JX
나중엔	나중/NNG+에/JKB+ㄴ/JX
"2800여개가	"/SS+2800/SN+여/XSN+개/NNB+가/JKS
맞다"고	맞/VV+다/EF+"/SS+고/JKQ
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.361.5.3
15일 다른 유족들과 함께 톄링시에 손해배상을 청구한 한 유족은 "내 부모가 아닌 다른 분의 유골로 장례를 치른 뒤 제사를 지내고, 내 부모의 유골은 지금 어디에 있는지도 모른다는 현실이 악몽 같다"고 울먹였다.

15일	15/SN+일/NNB
다른	다른/MMD
유족들과	유족/NNG+들/XSN+과/JKB
함께	함께/MAG
톄링시에	톄링시/NNP+에/JKB
손해배상을	손해/NNG+배상/NNG+을/JKO
청구한	청구/NNG+하/XSV+ㄴ/ETM
한	한/MMN
유족은	유족/NNG+은/JX
"내	"/SS+나/NP+의/JKG
부모가	부모/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
분의	분/NNB+의/JKG
유골로	유골/NNG+로/JKB
장례를	장례/NNG+를/JKO
치른	치르/VV+ㄴ/ETM
뒤	뒤/NNG
제사를	제사/NNG+를/JKO
지내고,	지내/VV+고/EC+,/SP
내	나/NP+의/JKG
부모의	부모/NNG+의/JKG
유골은	유골/NNG+은/JX
지금	지금/MAG
어디에	어디/NP+에/JKB
있는지도	있/VA+는지/EF+도/JX
모른다는	모르/VV+ㄴ다는/ETM
현실이	현실/NNG+이/JKS
악몽	악몽/NNG
같다"고	같/VA+다/EF+"/SS+고/JKQ
울먹였다.	울먹이/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.361.5.4
그는 화장장 직원들에게 "너희 부모 유골도 이렇게 할 것이냐"고 분통을 터뜨렸다.

그는	그/NP+는/JX
화장장	화장장/NNG
직원들에게	직원/NNG+들/XSN+에게/JKB
"너희	"/SS+너희/NP
부모	부모/NNG
유골도	유골/NNG+도/JX
이렇게	이렇/VA+게/EC
할	하/VV+ㄹ/ETM
것이냐"고	것/NNB+이/VCP+냐/EF+"/SS+고/JKQ
분통을	분통/NNG+을/JKO
터뜨렸다.	터뜨리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.361.5.5
홍콩의 사우스차이나 모닝포스트는 16일 "현대 중국의 소름 끼치는 도덕성 상실을 보여주는 끔찍한 사건"이라고 보도했다.

홍콩의	홍콩/NNP+의/JKG
사우스차이나	사우스차이나/NNP
모닝포스트는	모닝포스트/NNP+는/JX
16일	16/SN+일/NNB
"현대	"/SS+현대/NNG
중국의	중국/NNP+의/JKG
소름	소름/NNG
끼치는	끼치/VV+는/ETM
도덕성	도덕/NNG+성/XSN
상실을	상실/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
끔찍한	끔찍하/VA+ㄴ/ETM
사건"이라고	사건/NNG+"/SS+이라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


