# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.234
metadata : {}


# id : NWRW1800000036.234.1.1
송파구청 확장 이전 서울시 사실상 불허

송파구청	송파구청/NNP
의사를	의사/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.234.6.1
박 구청장은 “구청사가 협소하고, 주차난은 물론 일대를 롯데 쪽이 개발하면서 민원 등이 많아 청사 이전이 필요하다”며 “시에 수차례 건의했으나 박원순 시장의 (반토건) 정책과 특정기업 특혜 시비 소지로 부정적인 것 같다”고 말했다.

박	박/NNP
구청장은	구청장/NNG+은/JX
“구청사가	“/SS+구/NNG+청사/NNG+가/JKS
협소하고,	협소하/VA+고/EC+,/SP
주차난은	주차난/NNG+은/JX
물론	물론/MAG
일대를	일대/NNG+를/JKO
롯데	롯데/NNP
쪽이	쪽/NNB+이/JKS
개발하면서	개발/NNG+하/XSV+면서/EC
민원	민원/NNG
등이	등/NNB+이/JKS
많아	많/VA+아/EC
청사	청사/NNG
이전이	이전/NNG+이/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
“시에	“/SS+시/NNG+에/JKB
수차례	수차례/NNG
건의했으나	건의/NNG+하/XSV+았/EP+으나/EC
박원순	박원순/NNP
시장의	시장/NNG+의/JKG
(반토건)	(/SS+반/XPN+토건/NNG+)/SS
정책과	정책/NNG+과/JC
특정기업	특정/NNG+기업/NNG
특혜	특혜/NNG
시비	시비/NNG
소지로	소지/NNG+로/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.234.7.1
송파구청사는 1993년 입주한 본관(지상 7층·지하 2층)과 1998년 추가건축한 지상 10층짜리 신관으로 구성되어 있다.

송파구청사는	송파구/NNP+청사/NNG+는/JX
1993년	1993/SN+년/NNB
입주한	입주/NNG+하/XSV+ㄴ/ETM
본관(지상	본관/NNG+(/SS+지상/NNG
7층·지하	7/SN+층/NNG+·/SP+지하/NNG
2층)과	2/SN+층/NNG+)/SS+과/JC
1998년	1998/SN+년/NNB
추가건축한	추가/NNG+건축/NNG+하/XSV+ㄴ/ETM
지상	지상/NNG
10층짜리	10/SN+층/NNG+짜리/XSN
신관으로	신관/NNG+으로/JKB
구성되어	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.234.7.2
청사 이전 계획은 지난해 9월께 롯데물산이 지상 123층짜리 롯데슈퍼타워 건립을 위해 맞붙은 송파구청사 부지 매입 의사를 밝히면서 구체화해왔다.

청사	청사/NNG
이전	이전/NNG
계획은	계획/NNG+은/JX
지난해	지난해/NNG
9월께	9/SN+월/NNB+께/XSN
롯데물산이	롯데물산/NNP+이/JKS
지상	지상/NNG
123층짜리	123/SN+층/NNG+짜리/XSN
롯데슈퍼타워	롯데슈퍼타워/NNP
건립을	건립/NNG+을/JKO
위해	위하/VV+아/EC
맞붙은	맞붙/VV+은/ETM
송파구청사	송파구/NNP+청사/NNG
부지	부지/NNG
매입	매입/NNG
의사를	의사/NNG+를/JKO
밝히면서	밝히/VV+면서/EC
구체화해왔다.	구체/NNG+화/XSN+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.234.7.3
롯데 쪽이 구청사를 매입할 경우, 블록 전체가 롯데슈퍼타워를 중심으로 한 초대형 ‘롯데타운’으로 바뀔 수 있다.

롯데	롯데/NNP
쪽이	쪽/NNB+이/JKS
구청사를	구/NNG+청사/NNG+를/JKO
매입할	매입/NNG+하/XSV+ㄹ/ETM
경우,	경우/NNG+,/SP
블록	블록/NNG
전체가	전체/NNG+가/JKS
롯데슈퍼타워를	롯데슈퍼타워/NNP+를/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
초대형	초/XPN+대형/NNG
‘롯데타운’으로	‘/SS+롯데타운/NNP+’/SS+으로/JKB
바뀔	바뀌/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


