# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.274
metadata : {}


# id : NWRW1800000028.274.1.1
마이크로크레디트 조합 만든 동자동 사람들 /“쪽방촌의 종잣돈, 희망을 빌려드려요”

마이크로크레디트	마이크로크레디트/NNG
가졌고,	가지/VV+었/EP+고/EC+,/SP
한	한/MMN
달에	달/NNB+에/JKB
5천(1계좌)~5만원까지	5/SN+천/NR+(/SS+1/SN+계좌/NNG+)/SS+~/SO+5/SN+만/NR+원/NNB+까지/JX
넉	넉/MMN
달째	달/NNB+째/XSN
돈을	돈/NNG+을/JKO
모으고	모으/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.274.4.4
형편이 닿지 않는 달엔 돈을 내지 않아도 된다.

형편이	형편/NNG+이/JKS
닿지	닿/VV+지/EC
않는	않/VX+는/ETM
달엔	달/NNG+에/JKB+ㄴ/JX
돈을	돈/NNG+을/JKO
내지	내/VV+지/EC
않아도	않/VX+아도/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.274.5.1
출자금이 충분히 모이면 주민들은 긴급한 생활자금, 주거비 등의 용도로 10만~15만원 정도까지 소액대출을 받을 수 있다.

출자금이	출자금/NNG+이/JKS
충분히	충분히/MAG
모이면	모이/VV+면/EC
주민들은	주민/NNG+들/XSN+은/JX
긴급한	긴급/NNG+하/XSA+ㄴ/ETM
생활자금,	생활/NNG+자금/NNG+,/SP
주거비	주거비/NNG
등의	등/NNB+의/JKG
용도로	용도/NNG+로/JKB
10만~15만원	10/SN+만/NR+~/SO+15/SN+만/NR+원/NNB
정도까지	정도/NNG+까지/JX
소액대출을	소액/NNG+대출/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.274.5.2
대출 금리는 연 2%로 정했고, 담보도 필요없다.

대출	대출/NNG
금리는	금리/NNG+는/JX
연	연/NNG
2%로	2/SN+%/SW+로/JKB
정했고,	정하/VV+았/EP+고/EC+,/SP
담보도	담보/NNG+도/JX
필요없다.	필요/NNG+없/VA+다/EF+./SF


# id : NWRW1800000028.274.5.3
한번 빌려간 돈을 모두 갚으면 횟수와 상관없이 언제든 다시 돈을 빌려줄 계획이라고 한다.

한번	한번/NNG
빌려간	빌리/VV+어/EC+가/VX+ㄴ/ETM
돈을	돈/NNG+을/JKO
모두	모두/MAG
갚으면	갚/VV+으면/EC
횟수와	횟수/NNG+와/JKB
상관없이	상관없이/MAG
언제든	언제/NP+든/JX
다시	다시/MAG
빌려줄	빌리/VV+어/EC+주/VX+ㄹ/ETM
계획이라고	계획/NNG+이/VCP+라고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.274.5.4
박씨는 “은행은 우리가 돈을 갚을 능력도, 의지도 없다고 생각한 탓인지 한 푼의 돈도 빌려주지 않는다”며 “그동안은 아무리 사정이 급해도 속수무책이었지만 이제는 그렇지 않다”고 말했다.

박씨는	박/NNP+씨/NNB+는/JX
“은행은	“/SS+은행/NNG+은/JX
우리가	우리/NP+가/JKS
돈을	돈/NNG+을/JKO
갚을	갚/VV+을/ETM
능력도,	능력/NNG+도/JX+,/SP
의지도	의지/NNG+도/JX
없다고	없/VA+다고/EC
생각한	생각/NNG+하/XSV+ㄴ/ETM
탓인지	탓/NNG+이/VCP+ㄴ지/EC
한	한/MMN
푼의	푼/NNB+의/JKG
돈도	돈/NNG+도/JX
빌려주지	빌리/VV+어/EC+주/VX+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“그동안은	“/SS+그동안/NNG+은/JX
아무리	아무리/MAG
사정이	사정/NNG+이/JKS
급해도	급하/VA+아도/EC
속수무책이었지만	속수무책/NNG+이/VCP+었/EP+지만/EC
이제는	이제/NNG+는/JX
그렇지	그렇/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.274.6.1
입소문이 퍼지면서 애초 22명이던 조합원이 넉 달 만에 62명으로 3배 가까이 늘었다.

입소문이	입소문/NNG+이/JKS
퍼지면서	퍼지/VV+면서/EC
애초	애초/NNG
22명이던	22/SN+명/NNB+이/VCP+던/ETM
조합원이	조합원/NNG+이/JKS
넉	넉/MMN
달	달/NNB
만에	만/NNB+에/JKB
62명으로	62/SN+명/NNB+으로/JKB
3배	3/SN+배/NNG
가까이	가까이/MAG
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.274.6.2
출자금은 첫달에 18명이 30만원을 내더니, 이후 매달 40명 안팎이 70만~90만원까지 돈을 내고 있다.

출자금은	출자금/NNG+은/JX
첫달에	첫/MMN+달/NNG+에/JKB
18명이	18/SN+명/NNB+이/JKS
30만원을	30/SN+만/NR+원/NNB+을/JKO
내더니,	내/VV+더니/EC+,/SP
이후	이후/NNG
매달	매달/MAG
40명	40/SN+명/NNB
안팎이	안팎/NNG+이/JKS
70만~90만원까지	70/SN+만/NR+~/SO+90/SN+만/NR+원/NNB+까지/JX
돈을	돈/NNG+을/JKO
내고	내/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.274.6.3
이 지역 주민들에게 5000원 이상은 적은 돈이 아니지만 여럿이 힘을 합치니 4개월 만에 어느덧 268만9000원이라는 적지 않은 돈이 모였다.

이	이/MMD
지역	지역/NNG
주민들에게	주민/NNG+들/XSN+에게/JKB
5000원	5000/SN+원/NNB
이상은	이상/NNG+은/JX
적은	적/VA+은/ETM
돈이	돈/NNG+이/JKS
아니지만	아니/VCN+지만/EC
여럿이	여럿/NNG+이/JKS
힘을	힘/NNG+을/JKO
합치니	합치/VV+니/EC
4개월	4/SN+개월/NNB
만에	만/NNB+에/JKB
어느덧	어느덧/MAG
268만9000원이라는	268/SN+만/NR+9000/SN+원/NNB+이/VCP+라는/ETM
적지	적/VA+지/EC
않은	않/VX+은/ETM
모였다.	모이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.274.6.4
가을께부터는 포장마차나 일일주점 등 수익사업도 할 계획이다.

가을께부터는	가을/NNG+께/XSN+부터/JX+는/JX
포장마차나	포장마차/NNG+나/JC
일일주점	일일/NNG+주점/NNG
등	등/NNB
수익사업도	수익/NNG+사업/NNG+도/JX
할	하/VV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.274.7.1
이태헌 추진위원장은 “일자리와 소득이 한정된 현실에서 힘든 일을 당해도 발만 동동 구르던 주민들이 자구책을 생각해낸 것”이라며 “쪽방, 고시원의 가난한 이들이 서로 어깨를 기대어 살아가는 공동체의 모습을 보여줄 수 있을 것”이라고 말했다.

이태헌	이태헌/NNP
추진위원장은	추진/NNG+위원장/NNG+은/JX
“일자리와	“/SS+일자리/NNG+와/JC
소득이	소득/NNG+이/JKS
한정된	한정/NNG+되/XSV+ㄴ/ETM
현실에서	현실/NNG+에서/JKB
힘든	힘들/VA+ㄴ/ETM
일을	일/NNG+을/JKO
당해도	당하/VV+아도/EC
발만	발/NNG+만/JX
동동	동동/MAG
구르던	구르/VV+던/ETM
주민들이	주민/NNG+들/XSN+이/JKS
자구책을	자구책/NNG+을/JKO
생각해낸	생각/NNG+하/XSV+아/EC+내/VX+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“쪽방,	“/SS+쪽방/NNG+,/SP
고시원의	고시원/NNG+의/JKG
가난한	가난/NNG+하/XSA+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
서로	서로/MAG
어깨를	어깨/NNG+를/JKO
기대어	기대/VV+어/EC
살아가는	살아가/VV+는/ETM
공동체의	공동체/NNG+의/JKG
모습을	모습/NNG+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


