# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.278
metadata : {}


# id : NWRW1800000022.278.1.1
[충청] 전 세계 어린 환경 영웅들 대전 온다 'UNEP 툰자 환경회의' 오늘 개막;미래 주역 기후변화 토의 결의안 덴마크 총회 제출

[충청]	[/SS+충청/NNP+]/SS
가치를	가치/NNG+를/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
큰	크/VA+ㄴ/ETM
행사"라고	행사/NNG+"/SS+라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.278.8.1
환경회의 참여학생은 각자 진행 중인 또는 진행 예정인 환경프로젝트를 UNEP 본부에 제출, 엄격한 심사를 거쳐 선발된다.

환경회의	환경/NNG+회의/NNG
참여학생은	참여/NNG+학생/NNG+은/JX
각자	각자/MAG
진행	진행/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
또는	또는/MAG
예정인	예정/NNG+이/VCP+ㄴ/ETM
환경프로젝트를	환경/NNG+프로젝트/NNG+를/JKO
UNEP	UNEP/SL
본부에	본부/NNG+에/JKB
제출,	제출/NNG+,/SP
엄격한	엄격/NNG+하/XSA+ㄴ/ETM
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
선발된다.	선발/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.278.8.2
www.unep.or.kr/2009 , www.unep.or.kr

www.unep.or.kr/2009	www/SL+./SP+unep/SL+./SP+or/SL+./SP+kr/SL+//SP+2009/SN
,	,/SP
www.unep.or.kr	www/SL+./SP+unep/SL+./SP+or/SL+./SP+kr/SL


