# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.176
metadata : {}


# id : NWRW1800000054.176.1.1
[떠나요, 자전거길로] (3) 독특한 매력 지닌 인천·서울

[떠나요,	[/SS+떠나/VV+아요/EF+,/SP
산책로	산책로/NNG
등을	등/NNB+을/JKO
마음껏	마음껏/MAG
돌아볼	돌아보/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.176.5.3
이곳을 지나면 장수천을 거쳐 인천대공원으로 이어지는 길이 기다리고 있다.

이곳을	이곳/NP+을/JKO
지나면	지나/VV+면/EC
장수천을	장수천/NNP+을/JKO
거쳐	거치/VV+어/EC
인천대공원으로	인천대공원/NNP+으로/JKB
이어지는	이어지/VV+는/ETM
길이	길/NNG+이/JKS
기다리고	기다리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.176.5.4
편백나무·소나무·전나무·메타세쿼이아 등이 들어찬 인천대공원 숲길은 지난해 산림청 등이 주관한 '전국 아름다운 숲 선정 대회'에서 입상하기도 했다.

편백나무·소나무·전나무·메타세쿼이아	편백나무/NNG+·/SP+소나무/NNG+·/SP+전나무/NNG+·/SP+메타세쿼이아/NNG
등이	등/NNB+이/JKS
들어찬	들어차/VV+ㄴ/ETM
인천대공원	인천대공원/NNP
숲길은	숲길/NNG+은/JX
지난해	지난해/NNG
산림청	산림청/NNG
주관한	주관/NNG+하/XSV+ㄴ/ETM
'전국	'/SS+전국/NNG
아름다운	아름답/VA+ㄴ/ETM
숲	숲/NNG
선정	선정/NNG
대회'에서	대회/NNG+'/SS+에서/JKB
입상하기도	입상/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.176.5.5
공원 주변엔 추어탕 골목 등 음식점이 즐비하다.

공원	공원/NNG
주변엔	주변/NNG+에/JKB+ㄴ/JX
추어탕	추어탕/NNG
골목	골목/NNG
등	등/NNB
음식점이	음식점/NNG+이/JKS
즐비하다.	즐비하/VA+다/EF+./SF


# id : NWRW1800000054.176.6.1
◇수향 8경과 세 섬 달리기

◇수향	◇/SW+수향/NNG
8경과	8/SN+경/NNG+과/JKB
세	세/MMN
섬	섬/NNG
달리기	달리기/NNG


# id : NWRW1800000054.176.7.1
아라뱃길(옛 경인운하)의 자전거길은 동호인들 사이에선 유명한 코스다.

아라뱃길(옛	아라뱃길/NNP+(/SS+옛/MMA
경인운하)의	경인운하/NNP+)/SS+의/JKG
자전거길은	자전거/NNG+길/NNG+은/JX
동호인들	동호인/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
유명한	유명/NNG+하/XSA+ㄴ/ETM
코스다.	코스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.176.7.2
한강 갑문에서 서해까지 왕복 44㎞(남쪽길 21㎞·북쪽길 23㎞), 너비 5~8m의 길이 시원하게 펼쳐진다.

한강	한강/NNP
갑문에서	갑문/NNG+에서/JKB
서해까지	서해/NNP+까지/JX
왕복	왕복/NNG
44㎞(남쪽길	44/SN+㎞/SW+(/SS+남쪽/NNG+길/NNG
21㎞·북쪽길	21/SN+㎞/SW+·/SP+북쪽/NNG+길/NNG
23㎞),	23/SN+㎞/SW+)/SS+,/SP
너비	너비/NNG
5~8m의	5/SN+~/SO+8/SN+m/SW+의/JKG
길이	길/NNG+이/JKS
시원하게	시원하/VA+게/EC
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.176.7.3
자전거 도로가 차도에서 분리돼 안전하고, 길도 평탄해 편하게 즐길 수 있다.

자전거	자전거/NNG
도로가	도로/NNG+가/JKS
차도에서	차도/NNG+에서/JKB
분리돼	분리/NNG+되/XSV+어/EC
안전하고,	안전/NNG+하/XSA+고/EC+,/SP
길도	길/NNG+도/JX
평탄해	평탄/NNG+하/XSA+아/EC
편하게	편하/VA+게/EC
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.176.7.4
물길과 어우러진 여덟 가지 아름다운 경치, 이른바 '수향 8경(水鄕 八景)'을 감상하는 맛도 좋다.

물길과	물길/NNG+과/JKB
어우러진	어우러지/VV+ㄴ/ETM
여덟	여덟/NR
가지	가지/NNB
아름다운	아름답/VA+ㄴ/ETM
경치,	경치/NNG+,/SP
이른바	이른바/MAG
'수향	'/SS+수향/NNG
8경(水鄕	8/SN+경/NNG+(/SS+水鄕/SH
八景)'을	八景/SH+)/SS+'/SS+을/JKO
감상하는	감상/NNG+하/XSV+는/ETM
맛도	맛/NNG+도/JX
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000054.176.7.5
서해 낙조(落照), 아라 인천여객터미널, 시천가람터, 아라폭포, 수향원, 두리생태공원, 아라김포여객터미널, 한강 둔치엔 볼거리와 즐길 거리가 풍성하다.

서해	서해/NNP
낙조(落照),	낙조/NNG+(/SS+落照/SH+)/SS+,/SP
아라	아라/NNP
인천여객터미널,	인천여객터미널/NNP+,/SP
시천가람터,	시천가람터/NNP+,/SP
아라폭포,	아라폭포/NNP+,/SP
수향원,	수향원/NNP+,/SP
두리생태공원,	두리생태공원/NNP+,/SP
아라김포여객터미널,	아라김포여객터미널/NNP+,/SP
한강	한강/NNP
둔치엔	둔치/NNG+에/JKB+ㄴ/JX
볼거리와	볼거리/NNG+와/JC
즐길	즐기/VV+ㄹ/ETM
거리가	거리/NNB+가/JKS
풍성하다.	풍성/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.176.8.1
인천 앞바다에 있는 신도-시도-모도는 서로가 다리로 이어져 있는 '삼형제 섬'이다.

인천	인천/NNP
앞바다에	앞바다/NNG+에/JKB
있는	있/VX+는/ETM
신도-시도-모도는	신도/NNP+-/SO+시도/NNP+-/SO+모도/NNP+는/JX
서로가	서로/NNG+가/JKS
다리로	다리/NNG+로/JKB
이어져	이어지/VV+어/EC
'삼형제	'/SS+삼/NR+형제/NNG
섬'이다.	섬/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.176.8.2
인천국제공항 북쪽 삼목 선착장에서 배로 10여 분이면 닿는 신도 선착장부터 이 세 섬을 잇는 자전거길이 시작된다.

인천국제공항	인천국제공항/NNP
북쪽	북쪽/NNG
삼목	삼목/NNP
선착장에서	선착장/NNG+에서/JKB
배로	배/NNG+로/JKB
10여	10/SN+여/XSN
분이면	분/NNB+이/VCP+면/EC
닿는	닿/VV+는/ETM
신도	신도/NNP
선착장부터	선착장/NNG+부터/JX
이	이/MMD
세	세/MMN
섬을	섬/NNG+을/JKO
잇는	잇/VV+는/ETM
자전거길이	자전거/NNG+길/NNG+이/JKS
시작된다.	시작/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.176.8.3
섬길을 달리다 보면 드라마 '풀하우스'의 세트장이 있었던 수기 해변, 그 근처에 있는 드라마 '슬픈 연가' 촬영지, 사랑과 성(性)을 주제로 한 조각품 100여 점이 전시돼 있는 모도 배미꾸미 조각 공원 등을 만난다.

섬길을	섬/NNG+길/NNG+을/JKO
달리다	달리/VV+다/EC
보면	보/VX+면/EC
드라마	드라마/NNG
'풀하우스'의	'/SS+풀하우스/NNP+'/SS+의/JKG
세트장이	세트장/NNG+이/JKS
있었던	있/VA+었/EP+던/ETM
수기	수기/NNP
해변,	해변/NNG+,/SP
그	그/MMD
근처에	근처/NNG+에/JKB
있는	있/VX+는/ETM
'슬픈	'/SS+슬프/VA+ㄴ/ETM
연가'	연가/NNG+'/SS
촬영지,	촬영지/NNG+,/SP
사랑과	사랑/NNG+과/JC
성(性)을	성/NNG+(/SS+性/SH+)/SS+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
조각품	조각품/NNG
100여	100/SN+여/XSN
점이	점/NNB+이/JKS
전시돼	전시/NNG+되/XSV+어/EC
모도	모도/NNP
배미꾸미	배미꾸미/NNP
조각	조각/NNG
공원	공원/NNG
등을	등/NNB+을/JKO
만난다.	만나/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.176.9.1
◇울창한 숲과 강변을 누빈다

◇울창한	◇/SW+울창하/VA+ㄴ/ETM
숲과	숲/NNG+과/JC
강변을	강변/NNG+을/JKO
누빈다	누비/VV+ㄴ다/EF


# id : NWRW1800000054.176.10.1
서울 성동구 서울숲의 자전거길은 115만6498㎡(약 35만평)의 숲속에 굽이굽이 난 코스(6㎞)를 누비며 신록을 만끽하기에 제격이다.

서울	서울/NNP
성동구	성동구/NNP
서울숲의	서울숲/NNP+의/JKG
자전거길은	자전거/NNG+길/NNG+은/JX
115만6498㎡(약	115/SN+만/NR+6498/SN+㎡/SW+(/SS+약/MMA
35만평)의	35/SN+만/NR+평/NNB+)/SS+의/JKG
숲속에	숲속/NNG+에/JKB
굽이굽이	굽이굽이/MAG
난	나/VV+ㄴ/ETM
코스(6㎞)를	코스/NNG+(/SS+6/SN+㎞/SW+)/SS+를/JKO
누비며	누비/VV+며/EC
신록을	신록/NNG+을/JKO
만끽하기에	만끽/NNG+하/XSV+기/ETN+에/JKB
제격이다.	제격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.176.10.2
분당선 서울숲역 3번 출구로 나와 바로 들어갈 수 있어 접근성도 좋다.

분당선	분당선/NNP
서울숲역	서울숲역/NNP
3번	3/SN+번/NNB
출구로	출구/NNG+로/JKB
나와	나오/VV+아/EC
바로	바로/MAG
들어갈	들어가/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
접근성도	접근/NNG+성/XSN+도/JX
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000054.176.10.3
뚝섬유원지(지하철 7호선) 인근 한강 자전거 도로를 9㎞쯤 달리다 곧바로 진입하는 방법도 있다.

뚝섬유원지(지하철	뚝섬유원지/NNP+(/SS+지하철/NNG
7호선)	7/SN+호선/NNB+)/SS
인근	인근/NNG
한강	한강/NNP
자전거	자전거/NNG
도로를	도로/NNG+를/JKO
9㎞쯤	9/SN+㎞/SW+쯤/XSN
달리다	달리/VV+다/EC
곧바로	곧바로/MAG
진입하는	진입/NNG+하/XSV+는/ETM
방법도	방법/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.176.11.1
공원 산책길 옆으로 난 자전거길을 따라 달리다 보면 수도(水道)박물관, 곤충식물원, 나비정원, 습지초화원 등 다양한 볼거리가 펼쳐진다.

공원	공원/NNG
산책길	산책/NNG+길/NNG
옆으로	옆/NNG+으로/JKB
난	나/VV+ㄴ/ETM
자전거길을	자전거/NNG+길/NNG+을/JKO
따라	따르/VV+아/EC
달리다	달리/VV+다/EC
보면	보/VX+면/EC
수도(水道)박물관,	수도/NNG+(/SS+水道/SH+)/SS+박물관/NNG+,/SP
곤충식물원,	곤충/NNG+식물원/NNG+,/SP
나비정원,	나비/NNG+정원/NNG+,/SP
습지초화원	습지/NNG+초화원/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
볼거리가	볼거리/NNG+가/JKS
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.176.11.2
가장 깊숙한 생태숲에 있는 꽃사슴 먹이 주기 행사장은 아이들에게 인기다.

가장	가장/MAG
깊숙한	깊숙하/VA+ㄴ/ETM
생태숲에	생태/NNG+숲/NNG+에/JKB
있는	있/VA+는/ETM
꽃사슴	꽃사슴/NNG
먹이	먹이/NNG
주기	주/VV+기/ETN
행사장은	행사장/NNG+은/JX
아이들에게	아이/NNG+들/XSN+에게/JKB
인기다.	인기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.176.11.3
방사장엔 꽃사슴 40마리, 고라니 10마리, 다람쥐 30마리가 살고 있다.

방사장엔	방사장/NNG+에/JKB+ㄴ/JX
꽃사슴	꽃사슴/NNG
40마리,	40/SN+마리/NNB+,/SP
고라니	고라니/NNG
10마리,	10/SN+마리/NNB+,/SP
다람쥐	다람쥐/NNG
30마리가	30/SN+마리/NNB+가/JKS
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.176.11.4
초등학교 2학년 아들과 매주 서울숲을 찾는 인근 주민 박찬구(43)씨는 "아이가 주말만 되면 사슴이 보고 싶다며 자전거를 타자고 조른다"고 말했다.

초등학교	초등학교/NNG
2학년	2/SN+학년/NNG
아들과	아들/NNG+과/JKB
매주	매주/MAG
서울숲을	서울숲/NNP+을/JKO
찾는	찾/VV+는/ETM
인근	인근/NNG
주민	주민/NNG
박찬구(43)씨는	박찬구/NNP+(/SS+43/SN+)/SS+씨/NNB+는/JX
"아이가	"/SS+아이/NNG+가/JKS
주말만	주말/NNG+만/JX
되면	되/VV+면/EC
사슴이	사슴/NNG+이/JKS
보고	보/VV+고/EC
싶다며	싶/VX+다며/EC
자전거를	자전거/NNG+를/JKO
타자고	타/VV+자고/EC
조른다"고	조르/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.176.11.5
지금은 구제역 예방 차원에서 사슴에게 먹이를 줄 수 없지만 관람은 가능하다.

지금은	지금/NNG+은/JX
구제역	구제역/NNG
예방	예방/NNG
차원에서	차원/NNG+에서/JKB
사슴에게	사슴/NNG+에게/JKB
먹이를	먹이/NNG+를/JKO
줄	주/VV+ㄹ/ETM
수	수/NNB
없지만	없/VA+지만/EC
관람은	관람/NNG+은/JX
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000054.176.12.1
생태숲 위를 가로지르는 길이 603m짜리 보행 전망교에서 바라보는 한강 석양은 아름답기로 이름났다.

생태숲	생태/NNG+숲/NNG
위를	위/NNG+를/JKO
가로지르는	가로지르/VV+는/ETM
길이	길/NNG+이/JKS
603m짜리	603/SN+m/SW+짜리/XSN
보행	보행/NNG
전망교에서	전망교/NNG+에서/JKB
바라보는	바라보/VV+는/ETM
한강	한강/NNP
석양은	석양/NNG+은/JX
아름답기로	아름답/VA+기/ETN+로/JKB
이름났다.	이름나/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.176.12.2
잠시 자전거를 다리 난간에 세워두고 서 있노라면, 온몸에 붉은 노을이 스며드는 듯하다.

잠시	잠시/MAG
자전거를	자전거/NNG+를/JKO
다리	다리/NNG
난간에	난간/NNG+에/JKB
세워두고	세우/VV+어/EC+두/VX+고/EC
서	서/VV+어/EC
있노라면,	있/VX+노라면/EC+,/SP
온몸에	온몸/NNG+에/JKB
붉은	붉/VA+은/ETM
노을이	노을/NNG+이/JKS
스며드는	스며들/VV+는/ETM
듯하다.	듯/NNB+하/XSA+다/EF+./SF


# id : NWRW1800000054.176.12.3
서울숲 남쪽 13번 출구로 빠지면 한강변 자전거길로 접어든다.

서울숲	서울숲/NNP
남쪽	남쪽/NNG
13번	13/SN+번/NNB
출구로	출구/NNG+로/JKB
빠지면	빠지/VV+면/EC
한강변	한강/NNP+변/NNG
자전거길로	자전거/NNG+길/NNG+로/JKB
접어든다.	접어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.176.12.4
숲속을 빠져나와 강바람을 맞는 느낌이 색다르다.

숲속을	숲속/NNG+을/JKO
빠져나와	빠져나오/VV+아/EC
강바람을	강바람/NNG+을/JKO
맞는	맞/VV+는/ETM
느낌이	느낌/NNG+이/JKS
색다르다.	색다르/VA+다/EF+./SF


# id : NWRW1800000054.176.12.5
공원 안에 자전거 대여점은 없다.

공원	공원/NNG
안에	안/NNG+에/JKB
자전거	자전거/NNG
대여점은	대여점/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000054.176.12.6
서울숲역 3번 출구에서 200m 떨어진 곳에서 공공 자전거 따릉이를 빌릴 수는 있다.

서울숲역	서울숲역/NNP
3번	3/SN+번/NNB
출구에서	출구/NNG+에서/JKB
200m	200/SN+m/SW
떨어진	떨어지/VV+ㄴ/ETM
곳에서	곳/NNG+에서/JKB
공공	공공/NNG
자전거	자전거/NNG
따릉이를	따릉이/NNP+를/JKO
빌릴	빌리/VV+ㄹ/ETM
수는	수/NNB+는/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.176.12.7
총 10대가 있으며 한 시간 이용료는 1000원이다.

총	총/MMA
10대가	10/SN+대/NNB+가/JKS
있으며	있/VA+으며/EC
한	한/MMN
시간	시간/NNG
이용료는	이용료/NNG+는/JX
1000원이다.	1000/SN+원/NNB+이/VCP+다/EF+./SF


