# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.57
metadata : {}


# id : NWRW1800000040.57.1.1
“론스타 떠났어도 싸움 아직 안끝났다”

“론스타	“/SS+론스타/NNP
그동안의	그동안/NNG+의/JKG
자료와	자료/NNG+와/JC
기록을	기록/NNG+을/JKO
모아	모으/VV+아/EC
발간한	발간/NNG+하/XSV+ㄴ/ETM
<론스타	</SS+론스타/NNP
투쟁백서>를	투쟁/NNG+백서/NNG+>/SS+를/JKO
내보이며	내보이/VV+며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.57.6.2
백서는 2003년 론스타의 외환은행 인수 이후 10년 동안의 투쟁 일지와 화보, 좌담회 등을 담은 2권의 본책과 각종 성명, 투쟁 속보, 토론회, 언론보도 등을 담은 6권의 별책으로 구성돼 있다.

백서는	백서/NNG+는/JX
2003년	2003/SN+년/NNB
론스타의	론스타/NNP+의/JKG
외환은행	외환은행/NNP
인수	인수/NNG
이후	이후/NNG
10년	10/SN+년/NNB
동안의	동안/NNG+의/JKG
투쟁	투쟁/NNG
일지와	일지/NNG+와/JC
화보,	화보/NNG+,/SP
좌담회	좌담회/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
2권의	2/SN+권/NNB+의/JKG
본책과	본책/NNG+과/JC
각종	각종/NNG
성명,	성명/NNG+,/SP
속보,	속보/NNG+,/SP
토론회,	토론회/NNG+,/SP
언론보도	언론/NNG+보도/NNG
6권의	6/SN+권/NNB+의/JKG
별책으로	별책/NNG+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.57.6.3
김 위원장은 “투기자본의 금융장악 실상과 폐해를 알린 범국민적 투쟁을 누군가는 정리할 필요가 있었고, 지난한 투쟁을 해온 노조가 책임져야 한다고 생각했다”고 했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
“투기자본의	“/SS+투기/NNG+자본/NNG+의/JKG
금융장악	금융/NNG+장악/NNG
실상과	실상/NNG+과/JC
폐해를	폐해/NNG+를/JKO
알린	알리/VV+ㄴ/ETM
범국민적	범/XPN+국민/NNG+적/XSN
투쟁을	투쟁/NNG+을/JKO
누군가는	누구/NP+이/VCP+ㄴ가/EF+는/JX
정리할	정리/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있었고,	있/VA+었/EP+고/EC+,/SP
지난한	지난하/VA+ㄴ/ETM
해온	하/VV+아/EC+오/VX+ㄴ/ETM
노조가	노조/NNG+가/JKS
책임져야	책임지/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
생각했다”고	생각/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.57.7.1
‘국제통화기금(IMF) 외환위기’의 여파가 지속되던 2003년 10월, 2조1549억원에 외환은행을 사들여 대주주가 됐던 론스타는 지난해 초 하나금융그룹에 지분을 매각하면서 5조원에 가까운 순이익을 챙기고 국내 금융시장을 떠났다.

‘국제통화기금(IMF)	‘/SS+국제통화기금/NNP+(/SS+IMF/SL+)/SS
외환위기’의	외환/NNG+위기/NNG+’/SS+의/JKG
여파가	여파/NNG+가/JKS
지속되던	지속/NNG+되/XSV+던/ETM
2003년	2003/SN+년/NNB
10월,	10/SN+월/NNB+,/SP
2조1549억원에	2/SN+조/NR+1549/SN+억/NR+원/NNB+에/JKB
외환은행을	외환은행/NNP+을/JKO
사들여	사들이/VV+어/EC
대주주가	대/XPN+주주/NNG+가/JKC
됐던	되/VV+었/EP+던/ETM
론스타는	론스타/NNP+는/JX
지난해	지난해/NNG
초	초/NNB
하나금융그룹에	하나금융그룹/NNP+에/JKB
지분을	지분/NNG+을/JKO
매각하면서	매각/NNG+하/XSV+면서/EC
5조원에	5/SN+조/NR+원/NNB+에/JKB
가까운	가깝/VA+ㄴ/ETM
순이익을	순이익/NNG+을/JKO
챙기고	챙기/VV+고/EC
국내	국내/NNG
금융시장을	금융/NNG+시장/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.57.7.2
그러나 론스타 문제는 현재진행형이다.

그러나	그러나/MAJ
론스타	론스타/NNP
문제는	문제/NNG+는/JX
현재진행형이다.	현재/NNG+진행/NNG+형/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000040.57.7.3
론스타는 외환은행을 팔고 나서도 매각 과정이 부당하게 지연돼 큰 손해를 봤다고 주장하며, 한국 정부를 상대로 투자자-국가 소송(ISD)을 제기했다.

론스타는	론스타/NNP+는/JX
외환은행을	외환은행/NNP+을/JKO
팔고	팔/VV+고/EC
나서도	나/VX+아서/EC+도/JX
매각	매각/NNG
과정이	과정/NNG+이/JKS
부당하게	부당/NNG+하/XSA+게/EC
지연돼	지연/NNG+되/XSV+어/EC
큰	크/VA+ㄴ/ETM
손해를	손해/NNG+를/JKO
봤다고	보/VV+았/EP+다고/EC
주장하며,	주장/NNG+하/XSV+며/EC+,/SP
한국	한국/NNP
정부를	정부/NNG+를/JKO
상대로	상대/NNG+로/JKB
투자자-국가	투자자/NNG+-/SO+국가/NNG
소송(ISD)을	소송/NNG+(/SS+ISD/SL+)/SS+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.57.8.1
“론스타는 지난해 11월 한국 정부를 제소를 하면서 다시 돌아왔습니다.

“론스타는	“/SS+론스타/NNP+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
한국	한국/NNP
정부를	정부/NNG+를/JKO
제소를	제소/NNG+를/JKO
하면서	하/VV+면서/EC
다시	다시/MAG
돌아왔습니다.	돌아오/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000040.57.8.2
정부가 패소할 경우 지나간 ‘10년 전쟁’을 뛰어넘는 후폭풍이 있을 것이지만, 금융당국은 ‘론스타는 아무 문제가 없다’고 강변하지 않습니까.”

정부가	정부/NNG+가/JKS
패소할	패소/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
지나간	지나가/VV+ㄴ/ETM
‘10년	‘/SS+10/SN+년/NNB
전쟁’을	전쟁/NNG+’/SS+을/JKO
뛰어넘는	뛰어넘/VV+는/ETM
후폭풍이	후폭풍/NNG+이/JKS
있을	있/VA+을/ETM
것이지만,	것/NNB+이/VCP+지만/EC+,/SP
금융당국은	금융/NNG+당국/NNG+은/JX
‘론스타는	‘/SS+론스타/NNP+는/JX
아무	아무/MMD
문제가	문제/NNG+가/JKS
없다’고	없/VA+다/EF+’/SS+고/JKQ
강변하지	강변/NNG+하/XSV+지/EC
않습니까.”	않/VX+습니까/EF+./SF+”/SS


# id : NWRW1800000040.57.9.1
일각에선 론스타 문제를 냉정하게 봐야 한다는 시각도 있다.

일각에선	일각/NNG+에서/JKB+ㄴ/JX
론스타	론스타/NNP
문제를	문제/NNG+를/JKO
냉정하게	냉정/NNG+하/XSA+게/EC
봐야	보/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
시각도	시각/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.57.9.2
론스타의 자본 성격, 외환은행의 가치 평가, 위법·불법 논란 등은 국민 정서로 해결할 수 없는 문제이기 때문이다.

론스타의	론스타/NNP+의/JKG
자본	자본/NNG
성격,	성격/NNG+,/SP
외환은행의	외환은행/NNP+의/JKG
가치	가치/NNG
평가,	평가/NNG+,/SP
위법·불법	위법/NNG+·/SP+불법/NNG
논란	논란/NNG
등은	등/NNB+은/JX
국민	국민/NNG
정서로	정서/NNG+로/JKB
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
문제이기	문제/NNG+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.57.9.3
김 위원장은 “금융당국이 투기자본을 끌어들이면서 금융산업에 끼친 영향이 굉장히 많다.

김	김/NNP
위원장은	위원장/NNG+은/JX
“금융당국이	“/SS+금융/NNG+당국/NNG+이/JKS
투기자본을	투기/NNG+자본/NNG+을/JKO
끌어들이면서	끌어들이/VV+면서/EC
금융산업에	금융/NNG+산업/NNG+에/JKB
끼친	끼치/VV+ㄴ/ETM
영향이	영향/NNG+이/JKS
굉장히	굉장히/MAG
많다.	많/VA+다/EF+./SF


# id : NWRW1800000040.57.9.4
불법 매각의 진상을 밝혀내고 잘못된 금융정책을 확인하는 작업은 백서 발간 이후에도 계속될 것이다”라고 말했다.

불법	불법/NNG
매각의	매각/NNG+의/JKG
진상을	진상/NNG+을/JKO
밝혀내고	밝혀내/VV+고/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
금융정책을	금융/NNG+정책/NNG+을/JKO
확인하는	확인/NNG+하/XSV+는/ETM
작업은	작업/NNG+은/JX
백서	백서/NNG
발간	발간/NNG
이후에도	이후/NNG+에/JKB+도/JX
계속될	계속/NNG+되/XSV+ㄹ/ETM
것이다”라고	것/NNB+이/VCP+다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.57.10.1
론스타가 대주주로 있던 지난 10년, 외환은행 직원들은 전쟁과도 같은 나날을 보내야 했다.

론스타가	론스타/NNP+가/JKS
대주주로	대/XPN+주주/NNG+로/JKB
있던	있/VA+던/ETM
지난	지나/VV+ㄴ/ETM
10년,	10/SN+년/NNB+,/SP
외환은행	외환은행/NNP
직원들은	직원/NNG+들/XSN+은/JX
전쟁과도	전쟁/NNG+과/JKB+도/JX
같은	같/VA+은/ETM
나날을	나날/NNG+을/JKO
보내야	보내/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.57.10.2
4000명이 넘는 대규모 집회가 20여차례, 300명 안팎의 크고 작은 집회도 200여차례나 열렸다.

4000명이	4000/SN+명/NNB+이/JKS
넘는	넘/VV+는/ETM
대규모	대/XPN+규모/NNG
집회가	집회/NNG+가/JKS
20여차례,	20/SN+여/XSN+차례/NNG+,/SP
300명	300/SN+명/NNB
안팎의	안팎/NNG+의/JKG
크고	크/VA+고/EC
작은	작/VA+은/ETM
집회도	집회/NNG+도/JX
200여차례나	200/SN+여/XSN+차례/NNG+나/JX
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.57.10.3
조직과 정체성도 많이 훼손됐다.

조직과	조직/NNG+과/JC
정체성도	정체/NNG+성/XSN+도/JX
많이	많이/MAG
훼손됐다.	훼손/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.57.10.4
김 위원장은 “외환은행이 독자생존할 능력이 충분한데도 해외 투기펀드에 희생될 수 없음을 국민들에게 알려내야 했다.

김	김/NNP
위원장은	위원장/NNG+은/JX
“외환은행이	“/SS+외환은행/NNP+이/JKS
독자생존할	독자/NNG+생존/NNG+하/XSV+ㄹ/ETM
능력이	능력/NNG+이/JKS
충분한데도	충분하/VA+ㄴ데/EC+도/JX
해외	해외/NNG
투기펀드에	투기/NNG+펀드/NNG+에/JKB
희생될	희생/NNG+되/XSV+ㄹ/ETM
수	수/NNB
없음을	없/VA+음/ETN+을/JKO
국민들에게	국민/NNG+들/XSN+에게/JKB
알려내야	알리/VV+어/EC+내/VX+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.57.10.5
아직도 론스타의 망령은 사라지지 않았다.

아직도	아직/MAG+도/JX
론스타의	론스타/NNP+의/JKG
망령은	망령/NNG+은/JX
사라지지	사라지/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000040.57.10.6
외환은행 직원들의 고통도 끝나지 않고 있다”고 말했다.

외환은행	외환은행/NNP
직원들의	직원/NNG+들/XSN+의/JKG
고통도	고통/NNG+도/JX
끝나지	끝나/VV+지/EC
않고	않/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


