# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.241
metadata : {}


# id : NWRW1800000030.241.1.1
[태평로] 아이야! 1년을 버텨줘 고맙다

[태평로]	[/SS+태평로/NNP+]/SS
분위기만으로	분위기/NNG+만/JX+으로/JKB
'합격(合格)'이란	'/SS+합격/NNG+(/SS+合格/SH+)/SS+'/SS+이/VCP+란/ETM
단어의	단어/NNG+의/JKG
무게를	무게/NNG+를/JKO
달아본	달/VV+아/EC+보/VX+ㄴ/ETM
모양이었다.	모양/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.241.3.3
식사를 마치고 나오니 30년 전 기자가 걷던 신촌 거리엔 젊은이들이 봄의 전령(傳令)처럼 활보하고 있었다.

식사를	식사/NNG+를/JKO
마치고	마치/VV+고/EC
나오니	나오/VV+니/EC
30년	30/SN+년/NNB
전	전/NNG
기자가	기자/NNG+가/JKS
걷던	걷/VV+던/ETM
신촌	신촌/NNP
거리엔	거리/NNG+에/JKB+ㄴ/JX
젊은이들이	젊은이/NNG+들/XSN+이/JKS
봄의	봄/NNG+의/JKG
전령(傳令)처럼	전령/NNG+(/SS+傳令/SH+)/SS+처럼/JKB
활보하고	활보/NNG+하/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.241.4.1
대학 입시의 험난한 관문을 통과한 이들은 캠퍼스에서 꿈결 같은 4년을 보내고 사회로 날아오를 것이다.

대학	대학/NNG
입시의	입시/NNG+의/JKG
험난한	험난하/VA+ㄴ/ETM
관문을	관문/NNG+을/JKO
통과한	통과/NNG+하/XSV+ㄴ/ETM
이들은	이/NNB+들/XSN+은/JX
캠퍼스에서	캠퍼스/NNG+에서/JKB
꿈결	꿈결/NNG
같은	같/VA+은/ETM
4년을	4/SN+년/NNB+을/JKO
보내고	보내/VV+고/EC
사회로	사회/NNG+로/JKB
날아오를	날아오르/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.241.4.2
그런데 이 기분 좋은 날, 자꾸 큰아이의 재수(再修) 생활이 떠오르는 건 1년 세월이 누군가에게 조롱당한 것 같은 느낌이 들었기 때문이다.

그런데	그런데/MAJ
이	이/MMD
기분	기분/NNG
좋은	좋/VA+은/ETM
날,	날/NNG+,/SP
자꾸	자꾸/MAG
큰아이의	큰아이/NNG+의/JKG
재수(再修)	재수/NNG+(/SS+再修/SH+)/SS
생활이	생활/NNG+이/JKS
떠오르는	떠오르/VV+는/ETM
건	거/NNB+ㄴ/JX
1년	1/SN+년/NNB
세월이	세월/NNG+이/JKS
누군가에게	누구/NP+이/VCP+ㄴ가/EF+에게/JKB
조롱당한	조롱/NNG+당하/XSV+ㄴ/ETM
것	것/NNB
같은	같/VA+은/ETM
느낌이	느낌/NNG+이/JKS
들었기	들/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.241.5.1
돌이켜보면 작년과 올해, 큰아이가 수능(修能)에서 틀린 문제 수는 같다.

돌이켜보면	돌이키/VV+어/EC+보/VX+면/EC
작년과	작년/NNG+과/JC
올해,	올해/NNG+,/SP
큰아이가	큰아이/NNG+가/JKS
수능(修能)에서	수능/NNG+(/SS+修能/SH+)/SS+에서/JKB
틀린	틀리/VV+ㄴ/ETM
문제	문제/NNG
수는	수/NNG+는/JX
같다.	같/VA+다/EF+./SF


# id : NWRW1800000030.241.5.2
수학 하나 더 맞고 영어 하나 더 틀렸을 뿐이다.

수학	수학/NNG
하나	하나/NR
더	더/MAG
맞고	맞/VV+고/EC
영어	영어/NNP
틀렸을	틀리/VV+었/EP+을/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.241.5.3
그런데 '2, 2, 1, 1, 2'이던 언수외(言數外)와 사탐 2과목의 등급이 '1, 1, 1, 1, 2'로 변했다.

그런데	그런데/MAJ
'2,	'/SS+2/SN+,/SP
2,	2/SN+,/SP
1,	1/SN+,/SP
2'이던	2/SN+'/SS+이/VCP+던/ETM
언수외(言數外)와	언수외/NNG+(/SS+言數外/SH+)/SS+와/JC
사탐	사탐/NNG
2과목의	2/SN+과목/NNG+의/JKG
등급이	등급/NNG+이/JKS
'1,	'/SS+1/SN+,/SP
2'로	2/SN+'/SS+로/JKB
변했다.	변하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.5.4
표준점수도 14점 올랐다.

표준점수도	표준/NNG+점수/NNG+도/JX
14점	14/SN+점/NNB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.5.5
전국 등수(等數)도 5000등 상승했다.

전국	전국/NNG
등수(等數)도	등수/NNG+(/SS+等數/SH+)/SS+도/JX
5000등	5000/SN+등/NNB
상승했다.	상승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.5.6
그 덕인지 작년엔 지원한 전 대학마다 다 떨어지고 '강대'라 불리는 유명 재수학원 종합반에 합격했을 뿐인데 올해는 4곳에 지원해 3승1패를 거뒀다.

그	그/MMD
덕인지	덕/NNG+이/VCP+ㄴ지/EC
작년엔	작년/NNG+에/JKB+ㄴ/JX
지원한	지원/NNG+하/XSV+ㄴ/ETM
전	전/MMN
대학마다	대학/NNG+마다/JX
다	다/MAG
떨어지고	떨어지/VV+고/EC
'강대'라	'/SS+강대/NNP+'/SS+라/JKQ
불리는	불리/VV+는/ETM
유명	유명/NNG
재수학원	재수/NNG+학원/NNG
종합반에	종합반/NNG+에/JKB
합격했을	합격/NNG+하/XSV+았/EP+을/ETM
뿐인데	뿐/NNB+이/VCP+ㄴ데/EC
올해는	올해/NNG+는/JX
4곳에	4/SN+곳/NNG+에/JKB
지원해	지원/NNG+하/XSV+아/EC
3승1패를	3/SN+승/NNB+1/SN+패/NNB+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.241.6.1
수험생들 사이에 '불(火)수능' '물(水)수능'이란 은어가 있다.

수험생들	수험/NNG+생/XSN+들/XSN
사이에	사이/NNG+에/JKB
'불(火)수능'	'/SS+불/NNG+(/SS+火/SH+)/SS+수능/NNG+'/SS
'물(水)수능'이란	'/SS+물/NNG+(/SS+水/SH+)/SS+수능/NNG+'/SS+이/VCP+란/ETM
은어가	은어/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.241.6.2
수능이 어렵게 나왔을 때와 쉽게 출제됐을 때를 가리키는 말이다.

수능이	수능/NNG+이/JKS
어렵게	어렵/VA+게/EC
나왔을	나오/VV+았/EP+을/ETM
때와	때/NNG+와/JC
쉽게	쉽/VA+게/EC
출제됐을	출제/NNG+되/XSV+었/EP+을/ETM
때를	때/NNG+를/JKO
가리키는	가리키/VV+는/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.241.6.3
'불수능'이면 대학입시에서 수능의 비중이 커진다.

'불수능'이면	'/SS+불수능/NNG+'/SS+이/VCP+면/EC
대학입시에서	대학/NNG+입시/NNG+에서/JKB
수능의	수능/NNG+의/JKG
비중이	비중/NNG+이/JKS
커진다.	커지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.241.6.4
이는 다른 변수가 줄어든다는 뜻도 된다.

이는	이/NP+는/JX
다른	다른/MMD
변수가	변수/NNG+가/JKS
줄어든다는	줄어들/VV+ㄴ다는/ETM
뜻도	뜻/NNG+도/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.241.6.5
그 반대일 때는 어떨까.

그	그/MMD
반대일	반대/NNG+이/VCP+ㄹ/ETM
때는	때/NNG+는/JX
어떨까.	어떻/VA+ㄹ까/EF+./SF


# id : NWRW1800000030.241.7.1
대학들은 나름대로 전형(銓衡) 방법을 개발했다.

대학들은	대학/NNG+들/XSN+은/JX
나름대로	나름/NNB+대로/JX
전형(銓衡)	전형/NNG+(/SS+銓衡/SH+)/SS
방법을	방법/NNG+을/JKO
개발했다.	개발/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.7.2
전국 대학의 전형 수를 다 더하면 2500개가 넘는다.

전국	전국/NNG
대학의	대학/NNG+의/JKG
전형	전형/NNG
수를	수/NNG+를/JKO
다	다/MAG
더하면	더/MAG+하/XSV+면/EC
2500개가	2500/SN+개/NNB+가/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000030.241.7.3
학부모나 학생들이 그 내용을 샅샅이 알 리 없다.

학부모나	학부모/NNG+나/JC
학생들이	학생/NNG+들/XSN+이/JKS
그	그/MMD
내용을	내용/NNG+을/JKO
샅샅이	샅샅이/MAG
알	알/VV+ㄹ/ETM
리	리/NNB
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.241.7.4
그런데 그게 함정도 기회도 된다.

그런데	그런데/MAJ
그게	그거/NP+이/JKS
함정도	함정/NNG+도/JX
기회도	기회/NNG+도/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.241.7.5
예컨대 이런 식이다.

예컨대	예컨대/MAG
이런	이런/MMD
식이다.	식/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.241.8.1
수험생들은 수시 1·2차에 주로 상향도전한다.

수험생들은	수험/NNG+생/XSN+들/XSN+은/JX
수시	수시/NNG
1·2차에	1/SN+·/SP+2/SN+차/NNB+에/JKB
주로	주로/MAG
상향도전한다.	상향/NNG+도전/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000030.241.8.2
대입 수시는 수능·내신의 비중이 한정되기에 잘 골라 뭐 한 가지만 잘해도 '대박'이 난다.

대입	대입/NNG
수시는	수시/NNG+는/JX
수능·내신의	수능/NNG+·/SP+내신/NNG+의/JKG
비중이	비중/NNG+이/JKS
한정되기에	한정/NNG+되/XSV+기/ETN+에/JKB
잘	잘/MAG
골라	고르/VV+아/EC
뭐	뭐/NP
한	한/MMN
가지만	가지/NNB+만/JX
잘해도	잘/MAG+하/XSV+아도/EC
'대박'이	'/SS+대/XPN+박/NNG+'/SS+이/JKS
난다.	나/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.241.8.3
능력의 총량(總量)보다 장기(長技) 하나가 빛을 발하는 순간이다.

능력의	능력/NNG+의/JKG
총량(總量)보다	총량/NNG+(/SS+總量/SH+)/SS+보다/JKB
장기(長技)	장기/NNG+(/SS+長技/SH+)/SS
하나가	하나/NR+가/JKS
빛을	빛/NNG+을/JKO
발하는	발하/VV+는/ETM
순간이다.	순간/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.241.8.4
정시에도 맹점이 있다.

정시에도	정시/NNG+에/JKB+도/JX
맹점이	맹점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.241.8.5
일반대 가·나·다군(群)에 산업대군까지 네 번을 지원할 수 있어 합격자들이 연쇄적으로 이동하는데, 입학정원의 최대 10배까지 움직이는 대학이 있다.

일반대	일반대/NNG
가·나·다군(群)에	가·나·다군/NNG+(/SS+群/SH+)/SS+에/JKB
산업대군까지	산업대군/NNG+까지/JX
네	네/MMN
번을	번/NNB+을/JKO
지원할	지원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
합격자들이	합격자/NNG+들/XSN+이/JKS
연쇄적으로	연쇄/NNG+적/XSN+으로/JKB
이동하는데,	이동/NNG+하/XSV+는데/EC+,/SP
입학정원의	입학/NNG+정원/NNG+의/JKG
최대	최대/NNG
10배까지	10/SN+배/NNG+까지/JX
움직이는	움직이/VV+는/ETM
대학이	대학/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.241.8.6
즉 선발인원이 20명이면 200등까지 합격할 수 있다.

즉	즉/MAG
선발인원이	선발/NNG+인원/NNG+이/JKS
20명이면	20/SN+명/NNB+이/VCP+면/EC
200등까지	200/SN+등/NNB+까지/JX
합격할	합격/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.241.9.1
이때 제일 중요한 건 '정보'며, 신나는 건 사교육 기관이다.

이때	이때/NNG
제일	제일/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
건	거/NNB+ㄴ/JX
'정보'며,	'/SS+정보/NNG+'/SS+이/VCP+며/EC+,/SP
신나는	신나/VV+는/ETM
사교육	사교육/NNG
기관이다.	기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.241.9.2
정보의 환금성(換金性)이 보장되기 때문이다.

정보의	정보/NNG+의/JKG
환금성(換金性)이	환금/NNG+성/XSN+(/SS+換金性/SH+)/SS+이/JKS
보장되기	보장/NNG+되/XSV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.241.9.3
이는 바꿔 말해 현역보다 재수생, 시골보다 대도시, 가난한 집보다 부잣집 자식이 성공할 확률이 높다는 뜻도 된다.

이는	이/NP+는/JX
바꿔	바꾸/VV+어/EC
말해	말/NNG+하/XSV+아/EC
현역보다	현역/NNG+보다/JKB
재수생,	재수/NNG+생/XSN+,/SP
시골보다	시골/NNG+보다/JKB
대도시,	대/XPN+도시/NNG+,/SP
가난한	가난/NNG+하/XSA+ㄴ/ETM
집보다	집/NNG+보다/JKB
부잣집	부잣집/NNG
자식이	자식/NNG+이/JKS
성공할	성공/NNG+하/XSV+ㄹ/ETM
확률이	확률/NNG+이/JKS
높다는	높/VA+다는/ETM
뜻도	뜻/NNG+도/JX
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.241.10.1
이주호 교육부 장관이 "올해 수능을 쉽게 내겠다"고 말했다.

이주호	이주호/NNP
교육부	교육부/NNG
장관이	장관/NNG+이/JKS
"올해	"/SS+올해/NNG
수능을	수능/NNG+을/JKO
쉽게	쉽/VA+게/EC
내겠다"고	내/VV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.10.2
그 말을 들으며 그가 수험생 아버지 노릇을 해봤는지 궁금했다.

그	그/MMD
말을	말/NNG+을/JKO
들으며	듣/VV+으며/EC
그가	그/NP+가/JKS
수험생	수험/NNG+생/XSN
아버지	아버지/NNG
노릇을	노릇/NNG+을/JKO
해봤는지	하/VV+아/EC+보/VX+았/EP+는지/EC
궁금했다.	궁금하/VA+았/EP+다/EF+./SF


# id : NWRW1800000030.241.10.3
그러다 난리나면 내년엔 또 방침이 바뀔 텐데, 그 장단에 죽어나는 건 아이들과 부모뿐인 걸 알까?

그러다	그러/VV+다/EC
난리나면	난리/NNG+나/VV+면/EC
내년엔	내년/NNG+에/JKB+ㄴ/JX
또	또/MAG
방침이	방침/NNG+이/JKS
바뀔	바뀌/VV+ㄹ/ETM
텐데,	터/NNB+이/VCP+ㄴ데/EC+,/SP
그	그/MMD
장단에	장단/NNG+에/JKB
죽어나는	죽어나/VV+는/ETM
건	거/NNB+ㄴ/JX
아이들과	아이/NNG+들/XSN+과/JC
부모뿐인	부모/NNG+뿐/JX+이/VCP+ㄴ/ETM
걸	거/NNB+ㄹ/JKO
알까?	알/VV+ㄹ까/EF+?/SF


# id : NWRW1800000030.241.11.1
큰아이는 재수하며 스트레스 때문인지 탈모(脫毛) 증세를 보였다.

큰아이는	큰아이/NNG+는/JX
재수하며	재수/NNG+하/XSV+며/EC
스트레스	스트레스/NNG
때문인지	때문/NNB+이/VCP+ㄴ지/EC
탈모(脫毛)	탈모/NNG+(/SS+脫毛/SH+)/SS
증세를	증세/NNG+를/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.241.11.2
웃는 얼굴을 본 기억이 거의 없다.

웃는	웃/VV+는/ETM
얼굴을	얼굴/NNG+을/JKO
본	보/VV+ㄴ/ETM
기억이	기억/NNG+이/JKS
거의	거의/MAG
없다.	없/VA+다/EF+./SF


# id : NWRW1800000030.241.11.3
그러면서 "작년에 (입시제도를) 이 정도 알았으면 실패하지 않았을 것"이라고 말했다.

그러면서	그러/VV+면서/EC
"작년에	"/SS+작년/NNG+에/JKB
(입시제도를)	(/SS+입시/NNG+제도/NNG+를/JKO+)/SS
이	이/MMD
정도	정도/NNG
알았으면	알/VV+았/EP+으면/EC
실패하지	실패/NNG+하/XSV+지/EC
않았을	않/VX+았/EP+을/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.11.4
달래보고 화도 내봤지만 "제발 참으라"고 비는 수밖에 없었다.

달래보고	달래/VV+어/EC+보/VX+고/EC
화도	화/NNG+도/JX
내봤지만	내보/VV+았/EP+지만/EC
"제발	"/SS+제발/MAG
참으라"고	참/VV+으라/EF+"/SS+고/JKQ
비는	비/VV+는/ETM
수밖에	수/NNB+밖에/JX
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.241.11.5
"저러다 큰일 나겠구나" 하고 마음 졸인 1년이 드디어 끝났다.

"저러다	"/SS+저러/VV+다/EC
큰일	큰일/NNG
나겠구나"	나/VV+겠/EP+구나/EF+"/SS
하고	하/VV+고/EC
마음	마음/NNG
졸인	졸이/VV+ㄴ/ETM
1년이	1/SN+년/NNB+이/JKS
드디어	드디어/MAG
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.241.11.6
그러면서 재수 권하는 사회 건설에, 사교육기관 살려 경제를 부양하려는 듯한 정권의 무개념(無槪念)에 화가 났다.

그러면서	그러/VV+면서/EC
재수	재수/NNG
권하는	권/NNG+하/XSV+는/ETM
사회	사회/NNG
건설에,	건설/NNG+에/JKB+,/SP
사교육기관	사교육/NNG+기관/NNG
살려	살리/VV+어/EC
경제를	경제/NNG+를/JKO
부양하려는	부양/NNG+하/XSV+려는/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
정권의	정권/NNG+의/JKG
무개념(無槪念)에	무/XPN+개념/NNG+(/SS+無槪念/SH+)/SS+에/JKB
화가	화/NNG+가/JKS
났다.	나/VV+았/EP+다/EF+./SF


