# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.6
metadata : {}


# id : NWRW1800000029.6.1.1
갤럭시S, 美서도 업그레이드 시작

갤럭시S,	갤럭시S/NNP+,/SP
이와 관련해 일부 미국 소비자가 삼성과 T모바일을 상대로 집단소송 움직임을 보이자 서둘러 OS 업그레이드를 결정했다.

이와	이/NP+와/JKB
관련해	관련/NNG+하/XSV+아/EC
일부	일부/NNG
미국	미국/NNP
소비자가	소비자/NNG+가/JKS
삼성과	삼성/NNP+과/JC
T모바일을	T모바일/NNP+을/JKO
상대로	상대/NNG+로/JKB
집단소송	집단/NNG+소송/NNG
움직임을	움직임/NNG+을/JKO
보이자	보이/VV+자/EC
서둘러	서두르/VV+어/EC
OS	OS/SL
업그레이드를	업그레이드/NNG+를/JKO
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.6.4.1
▶본보 21일자 B2면 참조

▶본보	▶/SW+본보/NNG
21일자	21/SN+일/NNB+자/NNG
B2면	B/SL+2/SN+면/NNG
참조	참조/NNG


# id : NWRW1800000029.6.5.1
이날 삼성과 T모바일은 ‘갤럭시S의 신형 4G 모델을 띄우기 위한 마케팅 목적으로 양사가 업그레이드를 일부러 늦췄다’는 지적에 대해 ‘기술적인 문제’ 때문이었다며 부인했다.

이날	이날/NNG
삼성과	삼성/NNP+과/JC
T모바일은	T모바일/NNP+은/JX
‘갤럭시S의	‘/SS+갤럭시S/NNP+의/JKG
신형	신형/NNG
4G	4/SN+G/SL
모델을	모델/NNG+을/JKO
띄우기	띄우/VV+기/ETN
위한	위하/VV+ㄴ/ETM
마케팅	마케팅/NNG
목적으로	목적/NNG+으로/JKB
양사가	양/MMN+사/NNG+가/JKS
업그레이드를	업그레이드/NNG+를/JKO
일부러	일부러/MAG
늦췄다’는	늦추/VV+었/EP+다/EF+’/SS+는/ETM
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
‘기술적인	‘/SS+기술/NNG+적/XSN+이/VCP+ㄴ/ETM
문제’	문제/NNG+’/SS
때문이었다며	때문/NNB+이/VCP+었/EP+다며/EC
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.6.5.2
T모바일의 콜 브로드맨 최고마케팅책임자(CMO)는 PC전문지인 PC맥닷컴과 가진 인터뷰에서 “갤럭시S의 업그레이드 지연은 마케팅이나 판매 등과 관련된 것이 아니라 단순히 기술적인 문제였다”며 “삼성이 지난해 11월말 프로요 업그레이드 기본 프로그램을 우리 측에 보냈지만 연말 휴가시즌이 겹친 데다 기능 통합과 최적화 등 품질 관리에 시간이 걸렸다”고 해명했다.

T모바일의	T모바일/NNP+의/JKG
콜	콜/NNP
브로드맨	브로드맨/NNP
최고마케팅책임자(CMO)는	최고/NNG+마케팅/NNG+책임자/NNG+(/SS+CMO/SL+)/SS+는/JX
PC전문지인	PC/SL+전문지/NNG+이/VCP+ㄴ/ETM
PC맥닷컴과	PC맥닷컴/NNP+과/JKB
가진	가지/VV+ㄴ/ETM
인터뷰에서	인터뷰/NNG+에서/JKB
“갤럭시S의	“/SS+갤럭시S/NNP+의/JKG
업그레이드	업그레이드/NNG
지연은	지연/NNG+은/JX
마케팅이나	마케팅/NNG+이나/JX
판매	판매/NNG
등과	등/NNB+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니라	아니/VCN+라/EC
단순히	단순히/MAG
기술적인	기술/NNG+적/XSN+이/VCP+ㄴ/ETM
문제였다”며	문제/NNG+이/VCP+었/EP+다/EF+”/SS+며/EC
“삼성이	“/SS+삼성/NNP+이/JKS
지난해	지난해/NNG
11월말	11/SN+월/NNB+말/NNB
프로요	프로요/NNP
기본	기본/NNG
프로그램을	프로그램/NNG+을/JKO
우리	우리/NP
측에	측/NNB+에/JKB
보냈지만	보내/VV+었/EP+지만/EC
연말	연말/NNG
휴가시즌이	휴가/NNG+시즌/NNG+이/JKS
겹친	겹치/VV+ㄴ/ETM
데다	데/NNB+다/JX
기능	기능/NNG
통합과	통합/NNG+과/JC
최적화	최적/NNG+화/XSN
등	등/NNB
품질	품질/NNG
관리에	관리/NNG+에/JKB
시간이	시간/NNG+이/JKS
걸렸다”고	걸리/VV+었/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.6.6.1
하지만 전자업계 관계자는 “이미 11월 한국에서 시행된 업그레이드를 미국의 바뀐 사양에 적용하느라 수개월이 소요됐다는 것은 잘 납득이 안 간다”며 “어차피 갤럭시S의 기본 사양은 한국과 미국이 동일하기 때문에 불과 며칠이면 간단히 해결할 수 있는 문제”라고 지적했다.

하지만	하지만/MAJ
전자업계	전자업/NNG+계/XSN
관계자는	관계자/NNG+는/JX
“이미	“/SS+이미/MAG
11월	11/SN+월/NNB
한국에서	한국/NNP+에서/JKB
시행된	시행/NNG+되/XSV+ㄴ/ETM
업그레이드를	업그레이드/NNG+를/JKO
미국의	미국/NNP+의/JKG
바뀐	바뀌/VV+ㄴ/ETM
사양에	사양/NNG+에/JKB
적용하느라	적용/NNG+하/XSV+느라/EC
수개월이	수개월/NNG+이/JKS
소요됐다는	소요/NNG+되/XSV+었/EP+다는/ETM
것은	것/NNB+은/JX
잘	잘/MAG
납득이	납득/NNG+이/JKS
안	안/MAG
간다”며	가/VV+ㄴ다/EF+”/SS+며/EC
“어차피	“/SS+어차피/MAG
갤럭시S의	갤럭시S/NNP+의/JKG
기본	기본/NNG
사양은	사양/NNG+은/JX
한국과	한국/NNP+과/JC
미국이	미국/NNP+이/JKS
동일하기	동일/NNG+하/XSA+기/ETN
때문에	때문/NNB+에/JKB
불과	불과/MAG
며칠이면	며칠/NNG+이/VCP+면/EC
간단히	간단히/MAG
해결할	해결/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
문제”라고	문제/NNG+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.6.7.1
삼성전자가 미국의 4위 통신업체인 T모바일을 통해 우선적으로 업그레이드를 시작했으나 버라이존과 AT&T, 스프린트 등 다른 통신사에서의 업그레이드 일정이 아직 확정되지 않은 데다 일부 사용자의 집단소송 움직임 때문에 논란의 불씨는 남아 있다.

삼성전자가	삼성전자/NNP+가/JKS
미국의	미국/NNP+의/JKG
4위	4/SN+위/NNB
통신업체인	통신업체/NNG+이/VCP+ㄴ/ETM
T모바일을	T모바일/NNP+을/JKO
통해	통하/VV+아/EC
우선적으로	우선/NNG+적/XSN+으로/JKB
업그레이드를	업그레이드/NNG+를/JKO
시작했으나	시작/NNG+하/XSV+았/EP+으나/EC
버라이존과	버라이존/NNP+과/JC
AT&T,	AT/SL+&/SW+T/SL+,/SP
스프린트	스프린트/NNP
등	등/NNB
다른	다른/MMD
통신사에서의	통신사/NNG+에서/JKB+의/JKG
업그레이드	업그레이드/NNG
일정이	일정/NNG+이/JKS
아직	아직/MAG
확정되지	확정/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
데다	데/NNB+다/JX
일부	일부/NNG
사용자의	사용자/NNG+의/JKG
집단소송	집단/NNG+소송/NNG
움직임	움직임/NNG
때문에	때문/NNB+에/JKB
논란의	논란/NNG+의/JKG
불씨는	불씨/NNG+는/JX
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.6.8.1
집단소송이 어떻게 마무리될 것인지와 관련해 삼성 관계자는 “현재 양측의 변호사가 만나 협의 중”이라며 “문제의 원인이 해결됐으니 소송까진 가지 않을 것으로 기대한다”고 말했다.

집단소송이	집단/NNG+소송/NNG+이/JKS
어떻게	어떻/VA+게/EC
마무리될	마무리/NNG+되/XSV+ㄹ/ETM
것인지와	것/NNB+이/VCP+ㄴ지/EF+와/JKB
관련해	관련/NNG+하/XSV+아/EC
삼성	삼성/NNP
관계자는	관계자/NNG+는/JX
“현재	“/SS+현재/MAG
양측의	양측/NNG+의/JKG
변호사가	변호사/NNG+가/JKS
만나	만나/VV+아/EC
협의	협의/NNG
중”이라며	중/NNB+”/SS+이/VCP+라며/EC
“문제의	“/SS+문제/NNG+의/JKG
원인이	원인/NNG+이/JKS
해결됐으니	해결/NNG+되/XSV+었/EP+으니/EC
소송까진	소송/NNG+까지/JX+ㄴ/JX
가지	가/VV+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


