# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.284
metadata : {}


# id : NWRW1800000032.284.1.1
‘사찰 피해’ 김종익씨 횡령혐의 대부분 공소기각범죄 근거자료도 없이 기소 ‘검찰의 굴욕’

‘사찰	‘/SS+사찰/NNG
기재가	기재/NNG+가/JKS
없다”는	없/VA+다/EF+”/SS+는/ETM
이유로	이유/NNG+로/JKB
대부분	대/XPN+부분/NNG
‘공소기각’	‘/SS+공소/NNG+기각/NNG+’/SS
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.284.5.2
검찰이 정치적 보복 차원에서 김씨를 무리하게 기소했다는 비판이 불가피할 것으로 보인다.

검찰이	검찰/NNG+이/JKS
정치적	정치/NNG+적/XSN
보복	보복/NNG
차원에서	차원/NNG+에서/JKB
김씨를	김/NNP+씨/NNB+를/JKO
무리하게	무리/NNG+하/XSA+게/EC
기소했다는	기소/NNG+하/XSV+았/EP+다는/ETM
비판이	비판/NNG+이/JKS
불가피할	불가피하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000032.284.6.1
검찰 수사는 지난해 조전혁 한나라당 의원의 수사의뢰로 시작됐다.

검찰	검찰/NNG
수사는	수사/NNG+는/JX
지난해	지난해/NNG
조전혁	조전혁/NNP
한나라당	한나라당/NNP
의원의	의원/NNG+의/JKG
수사의뢰로	수사/NNG+의뢰/NNG+로/JKB
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.284.6.2
국무총리실 공직윤리지원관실이 김씨 등 민간인을 불법사찰했다는 의혹이 사실로 확인돼가던 지난해 7월 조 의원은 “김씨가 조성한 비자금이 참여정부 실세들에게 흘러갔다”며 검찰에 수사를 의뢰했다.

국무총리실	국무총리실/NNG
공직윤리지원관실이	공직/NNG+윤리/NNG+지원관실/NNG+이/JKS
김씨	김/NNP+씨/NNB
등	등/NNB
민간인을	민간인/NNG+을/JKO
불법사찰했다는	불법/NNG+사찰/NNG+하/XSV+았/EP+다는/ETM
의혹이	의혹/NNG+이/JKS
사실로	사실/NNG+로/JKB
확인돼가던	확인/NNG+되/XSV+어/EC+가/VX+던/ETM
지난해	지난해/NNG
7월	7/SN+월/NNB
조	조/NNP
의원은	의원/NNG+은/JX
“김씨가	“/SS+김/NNP+씨/NNB+가/JKS
조성한	조성/NNG+하/XSV+ㄴ/ETM
비자금이	비자금/NNG+이/JKS
참여정부	참여/NNG+정부/NNG
실세들에게	실세/NNG+들/XSN+에게/JKB
흘러갔다”며	흘러가/VV+았/EP+다/EF+”/SS+며/EC
검찰에	검찰/NNG+에/JKB
수사를	수사/NNG+를/JKO
의뢰했다.	의뢰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.284.6.3
검찰은 10개월 동안 케이비한마음의 회계자료를 샅샅이 조사한 뒤, 2005년 3월부터 3년6개월 동안 8750만원의 회삿돈을 횡령한 혐의로 김씨를 불구속 기소했다.

검찰은	검찰/NNG+은/JX
10개월	10/SN+개월/NNB
동안	동안/NNG
케이비한마음의	케이비한마음/NNP+의/JKG
회계자료를	회계/NNG+자료/NNG+를/JKO
샅샅이	샅샅이/MAG
조사한	조사/NNG+하/XSV+ㄴ/ETM
뒤,	뒤/NNG+,/SP
2005년	2005/SN+년/NNB
3월부터	3/SN+월/NNB+부터/JX
3년6개월	3/SN+년/NNB+6/SN+개월/NNB
8750만원의	8750/SN+만/NR+원/NNB+의/JKG
회삿돈을	회삿돈/NNG+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
김씨를	김/NNP+씨/NNB+를/JKO
불구속	불/XPN+구속/NNG
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.284.6.4
조 의원의 애초 주장과 달리 참여정부 실세에게 흘러간 돈은 나오지 않았다.

조	조/NNP
의원의	의원/NNG+의/JKG
애초	애초/NNG
주장과	주장/NNG+과/JKB
달리	달리/MAG
참여정부	참여/NNG+정부/NNG
실세에게	실세/NNG+에게/JKB
흘러간	흘러가/VV+ㄴ/ETM
돈은	돈/NNG+은/JX
나오지	나오/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.284.7.1
검찰은 김씨가 비자금 수천만원을 회식비 등에 썼다고 주장하면서도 구체적인 증거 자료를 내놓지 못했다.

검찰은	검찰/NNG+은/JX
김씨가	김/NNP+씨/NNB+가/JKS
비자금	비자금/NNG
수천만원을	수천만/NR+원/NNB+을/JKO
회식비	회식비/NNG
등에	등/NNB+에/JKB
썼다고	쓰/VV+었/EP+다고/EC
주장하면서도	주장/NNG+하/XSV+면서/EC+도/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
증거	증거/NNG
자료를	자료/NNG+를/JKO
내놓지	내놓/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.284.7.2
8000여만원 횡령 사건에 이례적으로 공판검사가 아닌 주임검사가 직접 재판에 참여했지만, 김씨가 얼마나 되는 돈을 어디에 썼는지 등이 적힌 ‘범죄일람표’조차 제출하지 못했다.

8000여만원	8000/SN+여/XSN+만/NR+원/NNB
횡령	횡령/NNG
사건에	사건/NNG+에/JKB
이례적으로	이례/NNG+적/XSN+으로/JKB
공판검사가	공판/NNG+검사/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
주임검사가	주임/NNG+검사/NNG+가/JKS
직접	직접/MAG
재판에	재판/NNG+에/JKB
참여했지만,	참여/NNG+하/XSV+았/EP+지만/EC+,/SP
김씨가	김/NNP+씨/NNB+가/JKS
얼마나	얼마나/MAG
되는	되/VV+는/ETM
돈을	돈/NNG+을/JKO
어디에	어디/NP+에/JKB
썼는지	쓰/VV+었/EP+는지/EF
등이	등/NNB+이/JKS
적힌	적히/VV+ㄴ/ETM
‘범죄일람표’조차	‘/SS+범죄/NNG+일람표/NNG+’/SS+조차/JX
제출하지	제출/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.284.7.3
재판 내내 변호인은 “검찰이 범죄를 특정하지 않으면 방어권을 행사할 수 없다”며 “이 사건은 공소 자체가 성립되지 않는다”고 주장했다.

재판	재판/NNG
내내	내내/MAG
변호인은	변호인/NNG+은/JX
“검찰이	“/SS+검찰/NNG+이/JKS
범죄를	범죄/NNG+를/JKO
특정하지	특정/NNG+하/XSV+지/EC
않으면	않/VX+으면/EC
방어권을	방어/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“이	“/SS+이/MMD
사건은	사건/NNG+은/JX
공소	공소/NNG
자체가	자체/NNG+가/JKS
성립되지	성립/NNG+되/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.284.8.1
13일 법원은 검찰의 기소에 절차적 문제가 있다고 판단하고 6750만원을 횡령한 혐의에 대해 공소기각 판결했다.

13일	13/SN+일/NNB
법원은	법원/NNG+은/JX
검찰의	검찰/NNG+의/JKG
기소에	기소/NNG+에/JKB
절차적	절차/NNG+적/XSN
문제가	문제/NNG+가/JKS
있다고	있/VA+다고/EC
판단하고	판단/NNG+하/XSV+고/EC
6750만원을	6750/SN+만/NR+원/NNB+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
혐의에	혐의/NNG+에/JKB
대해	대하/VV+아/EC
공소기각	공소/NNG+기각/NNG
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.284.8.2
공소기각이란 형식적 요건을 갖추지 못한 사건에 대해 재판부가 더 이상 심리를 하지 않고 재판을 끝내는 것을 말한다.

공소기각이란	공소/NNG+기각/NNG+이/VCP+란/ETM
형식적	형식/NNG+적/XSN
요건을	요건/NNG+을/JKO
갖추지	갖추/VV+지/EC
못한	못하/VX+ㄴ/ETM
사건에	사건/NNG+에/JKB
대해	대하/VV+아/EC
재판부가	재판부/NNG+가/JKS
더	더/MAG
이상	이상/NNG
심리를	심리/NNG+를/JKO
하지	하/VV+지/EC
않고	않/VX+고/EC
재판을	재판/NNG+을/JKO
끝내는	끝내/VV+는/ETM
것을	것/NNB+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.284.8.3
재판부는 “공소사실이 특정되었다고 볼 수 없다”며 “범행기간이 매우 장기간으로 적혀 있고, 관련 근거자료가 없는 이 사건에서는 김씨가 그 사용처를 모두 기억해 진술하는 것이 쉽지 않을 것으로 보이고, 비자금을 관리·보관한 다른 사람들이 비자금을 사용했을 가능성도 배제할 수 없으므로, 김씨의 방어권이 침해될 우려가 있다”고 밝혔다.

재판부는	재판부/NNG+는/JX
“공소사실이	“/SS+공소/NNG+사실/NNG+이/JKS
특정되었다고	특정/NNG+되/XSV+었/EP+다고/EC
볼	보/VV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
“범행기간이	“/SS+범행/NNG+기간/NNG+이/JKS
매우	매우/MAG
장기간으로	장기간/NNG+으로/JKB
적혀	적히/VV+어/EC
있고,	있/VX+고/EC+,/SP
관련	관련/NNG
근거자료가	근거/NNG+자료/NNG+가/JKS
없는	없/VA+는/ETM
이	이/MMD
사건에서는	사건/NNG+에서/JKB+는/JX
김씨가	김/NNP+씨/NNB+가/JKS
그	그/MMD
사용처를	사용처/NNG+를/JKO
모두	모두/MAG
기억해	기억/NNG+하/XSV+아/EC
진술하는	진술/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것으로	것/NNB+으로/JKB
보이고,	보이/VV+고/EC+,/SP
비자금을	비자금/NNG+을/JKO
관리·보관한	관리/NNG+·/SP+보관/NNG+하/XSV+ㄴ/ETM
다른	다른/MMD
사람들이	사람/NNG+들/XSN+이/JKS
사용했을	사용/NNG+하/XSV+았/EP+을/ETM
가능성도	가능/NNG+성/XSN+도/JX
배제할	배제/NNG+하/XSV+ㄹ/ETM
없으므로,	없/VA+으므로/EC+,/SP
김씨의	김/NNP+씨/NNB+의/JKG
방어권이	방어/NNG+권/XSN+이/JKS
침해될	침해/NNG+되/XSV+ㄹ/ETM
우려가	우려/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.284.9.1
하지만 재판부는 8750만원 가운데, 김씨가 은사의 병원 치료비 등에 사용한 2000만원에 대해서는 유죄를 인정해 벌금 500만원을 선고했다.

하지만	하지만/MAJ
재판부는	재판부/NNG+는/JX
8750만원	8750/SN+만/NR+원/NNB
가운데,	가운데/NNG+,/SP
김씨가	김/NNP+씨/NNB+가/JKS
은사의	은사/NNG+의/JKG
병원	병원/NNG
치료비	치료비/NNG
등에	등/NNB+에/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
2000만원에	2000/SN+만/NR+원/NNB+에/JKB
대해서는	대하/VV+아서/EC+는/JX
유죄를	유죄/NNG+를/JKO
인정해	인정/NNG+하/XSV+아/EC
벌금	벌금/NNG
500만원을	500/SN+만/NR+원/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.284.9.2
김씨는 “수사 초기에 검사가 ‘비자금의 70%만 사용처가 맞아도 범죄의도가 없었다고 판단할 수 있으니 금액을 맞춰달라’고 해서 개인비용으로 사용한 은사 병원비 2000만원을 검찰에서 진술했는데, 그 부분이 회삿돈을 횡령한 것으로 법원에서 인정됐다”며 “5년 전 몇십만원 쓴 돈을 지금 어떻게 기억할 수 있겠느냐”고 반문했다.

김씨는	김/NNP+씨/NNB+는/JX
“수사	“/SS+수사/NNG
초기에	초기/NNG+에/JKB
검사가	검사/NNG+가/JKS
‘비자금의	‘/SS+비자금/NNG+의/JKG
70%만	70/SN+%/SW+만/JX
사용처가	사용처/NNG+가/JKS
맞아도	맞/VV+아도/EC
범죄의도가	범죄/NNG+의도/NNG+가/JKS
없었다고	없/VA+었/EP+다고/EC
판단할	판단/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있으니	있/VA+으니/EC
금액을	금액/NNG+을/JKO
맞춰달라’고	맞추/VV+어/EC+달/VX+라/EF+’/SS+고/JKQ
해서	하/VV+아서/EC
개인비용으로	개인/NNG+비용/NNG+으로/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
은사	은사/NNG
병원비	병원비/NNG
2000만원을	2000/SN+만/NR+원/NNB+을/JKO
검찰에서	검찰/NNG+에서/JKB
진술했는데,	진술/NNG+하/XSV+았/EP+는데/EC+,/SP
그	그/MMD
부분이	부분/NNG+이/JKS
회삿돈을	회삿돈/NNG+을/JKO
횡령한	횡령/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
법원에서	법원/NNG+에서/JKB
인정됐다”며	인정/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“5년	“/SS+5/SN+년/NNB
전	전/NNG
몇십만원	몇/NR+십만/NR+원/NNB
쓴	쓰/VV+ㄴ/ETM
돈을	돈/NNG+을/JKO
지금	지금/MAG
어떻게	어떻/VA+게/EC
기억할	기억/NNG+하/XSV+ㄹ/ETM
있겠느냐”고	있/VA+겠/EP+느냐/EF+”/SS+고/JKQ
반문했다.	반문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.284.10.1
김씨 쪽 최강욱 변호사는 “판례와 상식에 맞지 않는 검찰의 기소가 결국 김씨를 흠집내기 위한 것이었음이 법원의 공소기각으로 증명됐다”며 “유죄 부분에 대해선 판결문을 받아본 뒤 항소 여부를 결정하겠다”고 밝혔다.

김씨	김/NNP+씨/NNB
쪽	쪽/NNB
최강욱	최강욱/NNP
변호사는	변호사/NNG+는/JX
“판례와	“/SS+판례/NNG+와/JC
상식에	상식/NNG+에/JKB
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
검찰의	검찰/NNG+의/JKG
기소가	기소/NNG+가/JKS
결국	결국/MAG
김씨를	김/NNP+씨/NNB+를/JKO
흠집내기	흠집/NNG+내/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것이었음이	것/NNB+이/VCP+었/EP+음/ETN+이/JKS
법원의	법원/NNG+의/JKG
공소기각으로	공소/NNG+기각/NNG+으로/JKB
증명됐다”며	증명/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“유죄	“/SS+유죄/NNG
부분에	부분/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
판결문을	판결문/NNG+을/JKO
받아본	받/VV+아/EC+보/VX+ㄴ/ETM
뒤	뒤/NNG
항소	항소/NNG
여부를	여부/NNG+를/JKO
결정하겠다”고	결정/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


