# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.369
metadata : {}


# id : NWRW1800000032.369.1.1
통일장관 유임 왜?

통일장관	통일/NNG+장관/NNG
내에	내/NNB+에/JKB
최근	최근/MAG
북한이	북한/NNP+이/JKS
남쪽과의	남쪽/NNG+과/JKB+의/JKG
비핵화	비핵/NNG+화/XSN
회담을	회담/NNG+을/JKO
수용하는	수용/NNG+하/XSV+는/ETM
등	등/NNB
남북대화	남북/NNP+대화/NNG
재개를	재개/NNG+를/JKO
위해	위하/VV+아/EC
‘유화적인’	‘/SS+유화/NNG+적/XSN+이/VCP+ㄴ/ETM+’/SS
자세를	자세/NNG+를/JKO
보이는	보이/VV+는/ETM
것은	것/NNB+은/JX
정부의	정부/NNG+의/JKG
‘원칙	‘/SS+원칙/NNG
있는’	있/VA+는/ETM+’/SS
태도	태도/NNG
때문이라는	때문/NNB+이/VCP+라는/ETM
인식이	인식/NNG+이/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.369.9.1
일단 남북관계는 장기간 파행 가능성이 높아졌다.

일단	일단/MAG
남북관계는	남북/NNP+관계/NNG+는/JX
장기간	장기간/NNG
파행	파행/NNG
가능성이	가능/NNG+성/XSN+이/JKS
높아졌다.	높아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.369.9.2
최근 정부는 6자회담과 천안함·연평도 사건의 분리 추진 방침을 정한 것으로 알려지면서, 6자회담이 남북관계 개선의 출발점이 될 수 있는 것 아니냐는 전망도 나왔다.

최근	최근/MAG
정부는	정부/NNG+는/JX
6자회담과	6/SN+자/NNB+회담/NNG+과/JKB
천안함·연평도	천안함/NNP+·/SP+연평도/NNP
사건의	사건/NNG+의/JKG
분리	분리/NNG
추진	추진/NNG
방침을	방침/NNG+을/JKO
정한	정하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려지면서,	알려지/VV+면서/EC+,/SP
6자회담이	6/SN+자/NNB+회담/NNG+이/JKS
남북관계	남북/NNP+관계/NNG
개선의	개선/NNG+의/JKG
출발점이	출발점/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VV+는/ETM
것	것/NNB
아니냐는	아니/VCN+냐는/ETM
전망도	전망/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.369.9.3
그러나 현 장관의 유임은 두 사안의 분리 처리가 제한적일 것임을 예고하는 것이라는 해석이 많다.

그러나	그러나/MAJ
현	현/NNP
장관의	장관/NNG+의/JKG
유임은	유임/NNG+은/JX
두	두/MMN
사안의	사안/NNG+의/JKG
분리	분리/NNG
처리가	처리/NNG+가/JKS
제한적일	제한/NNG+적/XSN+이/VCP+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
예고하는	예고/NNG+하/XSV+는/ETM
것이라는	것/NNB+이/VCP+라는/ETM
해석이	해석/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000032.369.9.4
실제 현 장관은 두 사안의 연계 쪽에 더 무게를 둬 온 것으로 알려졌다.

실제	실제/NNG
현	현/NNP
장관은	장관/NNG+은/JX
두	두/MMN
사안의	사안/NNG+의/JKG
연계	연계/NNG
쪽에	쪽/NNB+에/JKB
더	더/MAG
무게를	무게/NNG+를/JKO
둬	두/VV+어/EC
온	오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


