# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.203
metadata : {}


# id : NWRW1800000038.203.1.1
CJ·전두환… "중앙지검, 서초동 온 뒤 가장 바빠"

CJ·전두환…	CJ/SL+·/SP+전두환/NNP+…/SE
서울중앙지검이 굵직한 대형 사건을 잇따라 터뜨리며 화제의 중심으로 떠오르고 있다.

서울중앙지검이	서울중앙지검/NNP+이/JKS
굵직한	굵직하/VA+ㄴ/ETM
대형	대형/NNG
사건을	사건/NNG+을/JKO
잇따라	잇따르/VV+아/EC
터뜨리며	터뜨리/VV+며/EC
화제의	화제/NNG+의/JKG
중심으로	중심/NNG+으로/JKB
떠오르고	떠오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.203.4.2
한 검찰 간부는 "1989년 서초동 청사 신축 이래로 이 건물에서 지금처럼 초대형 사건이 동시다발적으로 터진 적은 거의 없었다"고 말했다.

한	한/MMN
검찰	검찰/NNG
간부는	간부/NNG+는/JX
"1989년	"/SS+1989/SN+년/NNB
서초동	서초동/NNP
청사	청사/NNG
신축	신축/NNG
이래로	이래/NNB+로/JKB
이	이/MMD
건물에서	건물/NNG+에서/JKB
지금처럼	지금/NNG+처럼/JKB
초대형	초/XPN+대형/NNG
사건이	사건/NNG+이/JKS
동시다발적으로	동시다발/NNG+적/XSN+으로/JKB
터진	터지/VV+ㄴ/ETM
적은	적/NNB+은/JX
거의	거의/MAG
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.203.5.1
◇지검장, 휴가 취소 구내식당 이용

◇지검장,	◇/SW+지검장/NNG+,/SP
휴가	휴가/NNG
취소	취소/NNG
구내식당	구내식당/NNG
이용	이용/NNG


# id : NWRW1800000038.203.6.1
올 초만 해도 서울중앙지검 분위기는 정반대였다.

올	올/NNG
초만	초/NNB+만/JX
해도	하/VV+아도/EC
서울중앙지검	서울중앙지검/NNP
분위기는	분위기/NNG+는/JX
정반대였다.	정반대/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000038.203.6.2
새 정권 출범 이후 검사들이 인사이동만을 기다리며 일손을 놓고 있었다.

새	새/MMA
정권	정권/NNG
출범	출범/NNG
이후	이후/NNG
검사들이	검사/NNG+들/XSN+이/JKS
인사이동만을	인사이동/NNG+만/JX+을/JKO
기다리며	기다리/VV+며/EC
일손을	일손/NNG+을/JKO
놓고	놓/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.203.6.3
그러나 4월 인사가 마무리되자 대형 사건이 하나 둘 터지기 시작했다.

그러나	그러나/MAJ
4월	4/SN+월/NNB
인사가	인사/NNG+가/JKS
마무리되자	마무리/NNG+되/XSV+자/EC
대형	대형/NNG
사건이	사건/NNG+이/JKS
하나	하나/NR
둘	둘/NR
터지기	터지/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.203.6.4
대검 중수부가 32년 만에 폐지되면서, 대형 사건 첩보는 모두 중앙지검으로 몰렸다.

대검	대검/NNG
중수부가	중수부/NNG+가/JKS
32년	32/SN+년/NNB
만에	만/NNB+에/JKB
폐지되면서,	폐지/NNG+되/XSV+면서/EC+,/SP
대형	대형/NNG
사건	사건/NNG
첩보는	첩보/NNG+는/JX
모두	모두/MAG
중앙지검으로	중앙지검/NNP+으로/JKB
몰렸다.	몰리/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.203.6.5
중앙지검을 취재하는 기자들은 올 초엔 뉴스거리가 없다고 불평하다가, 요즘엔 검찰의 '접시 돌리기' 같은 사건 몰아치기에 어지러워하고 있다.

중앙지검을	중앙지검/NNP+을/JKO
취재하는	취재/NNG+하/XSV+는/ETM
기자들은	기자/NNG+들/XSN+은/JX
올	올/NNG
초엔	초/NNB+에/JKB+ㄴ/JX
뉴스거리가	뉴스거리/NNG+가/JKS
없다고	없/VA+다고/EC
불평하다가,	불평/NNG+하/XSV+다가/EC+,/SP
요즘엔	요즘/NNG+에/JKB+ㄴ/JX
검찰의	검찰/NNG+의/JKG
'접시	'/SS+접시/NNG
돌리기'	돌리/VV+기/ETN+'/SS
같은	같/VA+은/ETM
사건	사건/NNG
몰아치기에	몰아치/VV+기/ETN+에/JKB
어지러워하고	어지럽/VA+어/EC+하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000038.203.7.1
30개 부서 210명 검사를 지휘하는 조영곤 서울중앙지검장은 오는 8일부터 일주일간 휴가 계획을 세웠다가 취소했다.

30개	30/SN+개/NNB
부서	부서/NNG
210명	210/SN+명/NNB
검사를	검사/NNG+를/JKO
지휘하는	지휘/NNG+하/XSV+는/ETM
조영곤	조영곤/NNP
서울중앙지검장은	서울중앙지검장/NNG+은/JX
오는	오/VV+는/ETM
8일부터	8/SN+일/NNB+부터/JX
일주일간	일주일/NNG+간/XSN
휴가	휴가/NNG
계획을	계획/NNG+을/JKO
세웠다가	세우/VV+었/EP+다가/EC
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.203.7.2
'CJ그룹 로비 수사' 등 대형 사건들이 마무리될 조짐이 안 보이는 데다, 정치권에서 '남북 정상회담 대화록'을 둘러싼 민감한 고소·고발장을 쉴 새 없이 들이밀면서 자리를 비우기 어려워진 것이다.

'CJ그룹	'/SS+CJ그룹/NNP
로비	로비/NNG
수사'	수사/NNG+'/SS
등	등/NNB
대형	대형/NNG
사건들이	사건/NNG+들/XSN+이/JKS
마무리될	마무리/NNG+되/XSV+ㄹ/ETM
조짐이	조짐/NNG+이/JKS
안	안/MAG
보이는	보이/VV+는/ETM
데다,	데/NNB+다/JX+,/SP
정치권에서	정치/NNG+권/XSN+에서/JKB
'남북	'/SS+남북/NNP
정상회담	정상/NNG+회담/NNG
대화록'을	대화록/NNG+'/SS+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
민감한	민감/NNG+하/XSA+ㄴ/ETM
고소·고발장을	고소/NNG+·/SP+고발장/NNG+을/JKO
쉴	쉬/VV+ㄹ/ETM
새	새/NNG
없이	없이/MAG
들이밀면서	들이밀/VV+면서/EC
자리를	자리/NNG+를/JKO
비우기	비우/VV+기/ETN
어려워진	어렵/VA+어/EC+지/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.203.7.3
조 지검장은 요즘 저녁 약속을 거의 잡지 않고 청사 구내식당에서 검사들과 식사한다.

조	조/NNP
지검장은	지검장/NNG+은/JX
요즘	요즘/NNG
저녁	저녁/NNG
약속을	약속/NNG+을/JKO
거의	거의/MAG
잡지	잡/VV+지/EC
않고	않/VX+고/EC
청사	청사/NNG
구내식당에서	구내식당/NNG+에서/JKB
검사들과	검사/NNG+들/XSN+과/JKB
식사한다.	식사/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.203.8.1
◇200명 동원 25곳 압수수색도 예사

◇200명	◇/SW+200/SN+명/NNB
동원	동원/NNG
25곳	25/SN+곳/NNG
압수수색도	압수/NNG+수색/NNG+도/JX
예사	예사/NNG


# id : NWRW1800000038.203.9.1
요즘 주목받는 서울중앙지검 간부는 이진한 2차장과 박정식 3차장이다.

요즘	요즘/NNG
주목받는	주목/NNG+받/XSV+는/ETM
서울중앙지검	서울중앙지검/NNP
간부는	간부/NNG+는/JX
이진한	이진한/NNP
2차장과	2/SN+차장/NNG+과/JC
박정식	박정식/NNP
3차장이다.	3/SN+차장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.203.9.2
2차장은 공안, 3차장은 특수 사건을 주로 지휘한다.

2차장은	2/SN+차장/NNG+은/JX
공안,	공안/NNG+,/SP
3차장은	3/SN+차장/NNG+은/JX
특수	특수/NNG
사건을	사건/NNG+을/JKO
주로	주로/MAG
지휘한다.	지휘/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.203.9.3
2차장은 대개 간첩이나 선거 사건 외에는 크게 주목받을 일이 없었지만, 요즘 정국을 흔드는 사건은 모두 2차장 산하라는 말이 나온다.

2차장은	2/SN+차장/NNG+은/JX
대개	대개/MAG
간첩이나	간첩/NNG+이나/JC
선거	선거/NNG
사건	사건/NNG
외에는	외/NNB+에/JKB+는/JX
크게	크/VA+게/EC
주목받을	주목/NNG+받/XSV+을/ETM
일이	일/NNG+이/JKS
없었지만,	없/VA+었/EP+지만/EC+,/SP
요즘	요즘/NNG
정국을	정국/NNG+을/JKO
흔드는	흔들/VV+는/ETM
사건은	사건/NNG+은/JX
모두	모두/MAG
2차장	2/SN+차장/NNG
산하라는	산하/NNG+이/VCP+라는/ETM
말이	말/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.203.9.4
요즘 정치권 최대 이슈인 '국정원 정치·선거 개입 의혹 사건' '남북 정상회담 대화록 실종' 사건, '전두환 전 대통령 추징금 집행 사건' 등을 모두 2차장이 지휘한다.

요즘	요즘/NNG
정치권	정치/NNG+권/XSN
최대	최대/NNG
이슈인	이슈/NNG+이/VCP+ㄴ/ETM
'국정원	'/SS+국정원/NNG
정치·선거	정치/NNG+·/SP+선거/NNG
개입	개입/NNG
의혹	의혹/NNG
사건'	사건/NNG+'/SS
'남북	'/SS+남북/NNP
정상회담	정상/NNG+회담/NNG
대화록	대화록/NNG
실종'	실종/NNG+'/SS
사건,	사건/NNG+,/SP
'전두환	'/SS+전두환/NNP
전	전/MMD
대통령	대통령/NNG
추징금	추징금/NNG
집행	집행/NNG
등을	등/NNB+을/JKO
모두	모두/MAG
2차장이	2/SN+차장/NNG+이/JKS
지휘한다.	지휘/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.203.10.1
박정식 3차장 산하 부서들 역시 하루가 멀다고 압수수색을 나간다.

박정식	박정식/NNP
3차장	3/SN+차장/NNG
산하	산하/NNG
부서들	부서/NNG+들/XSN
역시	역시/MAG
하루가	하루/NNG+가/JKS
멀다고	멀/VA+다고/EC
압수수색을	압수/NNG+수색/NNG+을/JKO
나간다.	나가/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.203.10.2
최근 특수2부가 CJ그룹 비자금 수사로 이재현(53) 회장을 구속기소한 데 이어, 국세청 로비 의혹으로 수사를 확대하자 '대검 중수부'를 특수2부가 대체하고 있다는 평을 듣는다.

최근	최근/NNG
특수2부가	특수/NNG+2/SN+부/NNG+가/JKS
CJ그룹	CJ그룹/NNP
비자금	비자금/NNG
수사로	수사/NNG+로/JKB
이재현(53)	이재현/NNP+(/SS+53/SN+)/SS
회장을	회장/NNG+을/JKO
구속기소한	구속/NNG+기소/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어,	잇/VV+어/EC+,/SP
국세청	국세청/NNG
로비	로비/NNG
의혹으로	의혹/NNG+으로/JKB
수사를	수사/NNG+를/JKO
확대하자	확대/NNG+하/XSV+자/EC
'대검	'/SS+대검/NNG
중수부'를	중수부/NNG+'/SS+를/JKO
대체하고	대체/NNG+하/XSV+고/EC
있다는	있/VX+다는/ETM
평을	평/NNG+을/JKO
듣는다.	듣/VV+는다/EF+./SF


# id : NWRW1800000038.203.11.1
요즘은 수백명을 동원해 수십 곳을 압수수색하는 일도 예사가 됐다.

요즘은	요즘/NNG+은/JX
수백명을	수백/NR+명/NNB+을/JKO
동원해	동원/NNG+하/XSV+아/EC
수십	수십/NR
곳을	곳/NNG+을/JKO
압수수색하는	압수/NNG+수색/NNG+하/XSV+는/ETM
일도	일/NNG+도/JX
예사가	예사/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.203.11.2
지난 5월 특수1부는 4대강 입찰 담합 사건 수사를 위해 수사관 200여명을 동원해 건설사 25곳을 압수수색했다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
특수1부는	특수/NNG+1/SN+부/NNG+는/JX
4대강	4/SN+대/NNG+강/NNG
입찰	입찰/NNG
담합	담합/NNG
사건	사건/NNG
수사를	수사/NNG+를/JKO
위해	위하/VV+아/EC
수사관	수사관/NNG
200여명을	200/SN+여/XSN+명/NNB+을/JKO
동원해	동원/NNG+하/XSV+아/EC
건설사	건설사/NNG
25곳을	25/SN+곳/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.203.11.3
전두환 추징금 환수팀은 관련자 50여명을 출국 금지하고, 총 40여곳을 압수수색했다.

전두환	전두환/NNP
추징금	추징금/NNG
환수팀은	환수/NNG+팀/NNG+은/JX
관련자	관련자/NNG
50여명을	50/SN+여/XSN+명/NNB+을/JKO
출국	출국/NNG
금지하고,	금지/NNG+하/XSV+고/EC+,/SP
총	총/MMA
40여곳을	40/SN+여/XSN+곳/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.203.12.1
◇과도한 수사 경쟁 부작용도

◇과도한	◇/SW+과도/NNG+하/XSA+ㄴ/ETM
수사	수사/NNG
경쟁	경쟁/NNG
부작용도	부작용/NNG+도/JX


# id : NWRW1800000038.203.13.1
특수부에 질세라 금융조세조사부나 첨단범죄수사부 등 다른 인지 부서도 성과를 내려고 노력 중이다.

특수부에	특수부/NNG+에/JKB
질세라	지/VV+ㄹ세라/EC
금융조세조사부나	금융/NNG+조세/NNG+조사부/NNG+나/JC
첨단범죄수사부	첨단/NNG+범죄/NNG+수사부/NNG
등	등/NNB
다른	다른/MMD
인지	인지/NNG
부서도	부서/NNG+도/JX
성과를	성과/NNG+를/JKO
내려고	내/VV+려고/EC
노력	노력/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.203.13.2
그러다 '사고'도 터진다.

그러다	그러/VV+다/EC
'사고'도	'/SS+사고/NNG+'/SS+도/JX
터진다.	터지/VV+ㄴ다/EF+./SF


# id : NWRW1800000038.203.13.3
지난달 검찰 수사를 받던 김종학 PD가 담당 검사를 비판하는 유서를 남기고 스스로 목숨을 끊었다.

지난달	지난달/NNG
검찰	검찰/NNG
수사를	수사/NNG+를/JKO
받던	받/VV+던/ETM
김종학	김종학/NNP
PD가	PD/SL+가/JKS
담당	담당/NNG
검사를	검사/NNG+를/JKO
비판하는	비판/NNG+하/XSV+는/ETM
유서를	유서/NNG+를/JKO
남기고	남기/VV+고/EC
스스로	스스로/MAG
목숨을	목숨/NNG+을/JKO
끊었다.	끊/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.203.13.4
검찰은 "강압 수사는 없었다"고 했지만, 일부 검사들은 과도한 수사 경쟁을 원인으로 지목하기도 한다.

검찰은	검찰/NNG+은/JX
"강압	"/SS+강압/NNG
수사는	수사/NNG+는/JX
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
했지만,	하/VV+았/EP+지만/EC+,/SP
일부	일부/NNG
검사들은	검사/NNG+들/XSN+은/JX
과도한	과도/NNG+하/XSA+ㄴ/ETM
수사	수사/NNG
경쟁을	경쟁/NNG+을/JKO
원인으로	원인/NNG+으로/JKB
지목하기도	지목/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.203.13.5
한 검사장 출신 변호사는 "검찰은 거악을 척결하는 본연의 임무에 조용히 충실하고 정치권은 민감한 이슈를 무조건 검찰에 떠넘기는 태도를 버려야 한다"고 말했다.

한	한/MMN
검사장	검사장/NNG
출신	출신/NNG
변호사는	변호사/NNG+는/JX
"검찰은	"/SS+검찰/NNG+은/JX
거악을	거악/NNG+을/JKO
척결하는	척결/NNG+하/XSV+는/ETM
본연의	본연/NNG+의/JKG
임무에	임무/NNG+에/JKB
조용히	조용히/MAG
충실하고	충실/NNG+하/XSA+고/EC
정치권은	정치/NNG+권/XSN+은/JX
민감한	민감/NNG+하/XSA+ㄴ/ETM
이슈를	이슈/NNG+를/JKO
무조건	무/XPN+조건/NNG
검찰에	검찰/NNG+에/JKB
떠넘기는	떠넘기/VV+는/ETM
태도를	태도/NNG+를/JKO
버려야	버리/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


