# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.26
metadata : {}


# id : NWRW1800000029.26.1.1
삼성그룹 핵심계열사들 세무조사중

삼성그룹	삼성그룹/NNP
점수를	점수/NNG+를/JKO
묻는	묻/VV+는/ETM
기자들의	기자/NNG+들/XSN+의/JKG
질문에	질문/NNG+에/JKB
“낙제점을	“/SS+낙제점/NNG+을/JKO
주면	주/VV+면/EC
안	안/MAG
되겠고…”라고	되/VV+겠/EP+고/EC+…/SE+”/SS+라고/JKQ
말해	말/NNG+하/XSV+아/EC
청와대의	청와대/NNP+의/JKG
‘심기’를	‘/SS+심기/NNG+’/SS+를/JKO
건드린	건드리/VV+ㄴ/ETM
일과	일/NNG+과/JKB
무관치	무관하/VA+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
해석을	해석/NNG+을/JKO
내놓는다.	내놓/VV+는다/EF+./SF


# id : NWRW1800000029.26.8.1
또 최근 재벌기업의 계열사에 대한 ‘일감 몰아주기’나 비상장 계열사의 오너 일가에 대한 과도한 배당 등에 비판이 일고 있는 가운데 정부가 ‘대기업 손보기’에 나설 개연성이 크다는 해석도 나온다.

또	또/MAG
최근	최근/MAG
재벌기업의	재벌/NNG+기업/NNG+의/JKG
계열사에	계열사/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
‘일감	‘/SS+일감/NNG
몰아주기’나	몰아주기/NNG+’/SS+나/JC
비상장	비/XPN+상장/NNG
계열사의	계열사/NNG+의/JKG
오너	오너/NNG
일가에	일가/NNG+에/JKB
과도한	과도/NNG+하/XSA+ㄴ/ETM
배당	배당/NNG
등에	등/NNB+에/JKB
비판이	비판/NNG+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
정부가	정부/NNG+가/JKS
‘대기업	‘/SS+대/XPN+기업/NNG
손보기’에	손보기/NNG+’/SS+에/JKB
나설	나서/VV+ㄹ/ETM
개연성이	개연/NNG+성/XSN+이/JKS
크다는	크/VA+다는/ETM
해석도	해석/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.26.8.2
그러나 삼성 측은 “세무조사를 받을 때가 돼서 받는 것일 뿐”이라며 확대 해석을 경계했다.

그러나	그러나/MAJ
삼성	삼성/NNP
측은	측/NNB+은/JX
“세무조사를	“/SS+세무/NNG+조사/NNG+를/JKO
받을	받/VV+을/ETM
때가	때/NNG+가/JKC
돼서	되/VV+어서/EC
받는	받/VV+는/ETM
것일	것/NNB+이/VCP+ㄹ/ETM
뿐”이라며	뿐/NNB+”/SS+이/VCP+라며/EC
확대	확대/NNG
해석을	해석/NNG+을/JKO
경계했다.	경계/NNG+하/XSV+았/EP+다/EF+./SF


