# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.72
metadata : {}


# id : NWRW1800000033.72.1.1
佛 ‘유대인 테러’ 용의자는 알카에다 요원

佛	佛/SH
현장에	현장/NNG+에/JKB
나와	나오/VV+아/EC
작전	작전/NNG
상황을	상황/NNG+을/JKO
직접	직접/MAG
점검했다.	점검/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.5.5
경찰은 메라가 권총 외에 칼라시니코프 소총, 이스라엘제 우지 기관단총, 수류탄 등을 소지한 채 저항하고 있다고 밝혔다.

경찰은	경찰/NNG+은/JX
메라가	메라/NNP+가/JKS
권총	권총/NNG
외에	외/NNB+에/JKB
칼라시니코프	칼라시니코프/NNP
소총,	소총/NNG+,/SP
이스라엘제	이스라엘제/NNG
우지	우지/NNG
기관단총,	기관/NNG+단총/NNG+,/SP
수류탄	수류탄/NNG
등을	등/NNB+을/JKO
소지한	소지/NNG+하/XSV+ㄴ/ETM
채	채/NNB
저항하고	저항/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.72.6.1
현장에는 메라의 모친이 불려왔지만 “자식에게 아무런 영향력이 없다”며 중재를 거부한 것으로 알려졌다.

현장에는	현장/NNG+에/JKB+는/JX
메라의	메라/NNP+의/JKG
모친이	모친/NNG+이/JKS
불려왔지만	불리/VV+어/EC+오/VX+았/EP+지만/EC
“자식에게	“/SS+자식/NNG+에게/JKB
아무런	아무런/MMD
영향력이	영향력/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
중재를	중재/NNG+를/JKO
거부한	거부/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.72.6.2
또 이번 테러에 연루된 혐의로 소환된 메라의 동생 차에서 폭발물이 발견됐다.

또	또/MAG
이번	이번/NNG
테러에	테러/NNG+에/JKB
연루된	연루/NNG+되/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
소환된	소환/NNG+되/XSV+ㄴ/ETM
메라의	메라/NNP+의/JKG
동생	동생/NNG
차에서	차/NNG+에서/JKB
폭발물이	폭발물/NNG+이/JKS
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.72.6.3
프랑스24 방송은 “메라가 모든 살해 장면을 동영상으로 스스로 녹화했으며 인터넷에 올리겠다고 말했다”고 보도했다.

프랑스24	프랑스/NNP+24/SN
방송은	방송/NNG+은/JX
“메라가	“/SS+메라/NNP+가/JKS
모든	모든/MMN
살해	살해/NNG
장면을	장면/NNG+을/JKO
동영상으로	동영상/NNG+으로/JKB
스스로	스스로/MAG
녹화했으며	녹화/NNG+하/XSV+았/EP+으며/EC
인터넷에	인터넷/NNG+에/JKB
올리겠다고	올리/VV+겠/EP+다고/EC
말했다”고	말/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.7.1
클로드 게앙 내무장관은 “메라는 무자헤딘의 일원이며 알카에다 소속이라고 밝혔다”며 “그는 수년 전부터 국내정보국의 감시 대상이었다”고 말했다.

클로드	클로드/NNP
게앙	게앙/NNP
내무장관은	내무/NNG+장관/NNG+은/JX
“메라는	“/SS+메라/NNP+는/JX
무자헤딘의	무자헤딘/NNP+의/JKG
일원이며	일원/NNG+이/VCP+며/EC
알카에다	알카에다/NNP
소속이라고	소속/NNG+이/VCP+라고/EC
밝혔다”며	밝히/VV+었/EP+다/EF+”/SS+며/EC
“그는	“/SS+그/NP+는/JX
수년	수년/NNG
전부터	전/NNG+부터/JX
국내정보국의	국내/NNG+정보국/NNG+의/JKG
감시	감시/NNG
대상이었다”고	대상/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.7.2
수사팀에 따르면 메라는 2010년과 2011년 두 차례 파키스탄을 방문해 아프가니스탄 접경 지역 와지리스탄에 있는 파키스탄탈레반운동(TTP) 캠프를 방문해 테러 훈련을 받았다.

수사팀에	수사/NNG+팀/NNG+에/JKB
따르면	따르/VV+면/EC
메라는	메라/NNP+는/JX
2010년과	2010/SN+년/NNB+과/JC
2011년	2011/SN+년/NNB
두	두/MMN
차례	차례/NNG
파키스탄을	파키스탄/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
아프가니스탄	아프가니스탄/NNP
접경	접경/NNG
지역	지역/NNG
와지리스탄에	와지리스탄/NNP+에/JKB
있는	있/VA+는/ETM
파키스탄탈레반운동(TTP)	파키스탄/NNP+탈레반/NNP+운동/NNG+(/SS+TTP/SL+)/SS
캠프를	캠프/NNG+를/JKO
테러	테러/NNG
훈련을	훈련/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.7.3
이후 아프가니스탄으로 들어가 칸다하르와 자불에 머무르며 아프가니스탄 탈레반 세력에 합류했다고 한다.

이후	이후/NNG
아프가니스탄으로	아프가니스탄/NNP+으로/JKB
들어가	들어가/VV+아/EC
칸다하르와	칸다하르/NNP+와/JC
자불에	자불/NNP+에/JKB
머무르며	머무르/VV+며/EC
아프가니스탄	아프가니스탄/NNP
탈레반	탈레반/NNP
세력에	세력/NNG+에/JKB
합류했다고	합류/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.72.7.4
로이터통신은 메라가 폭탄 제조 혐의로 2007년 12월 체포돼 칸다하르 주 교도소에 수감됐지만 2008년 6월 탈레반의 대공세 과정에서 다른 수감자 1000여 명과 함께 탈출했다고 보도했다.

로이터통신은	로이터통신/NNP+은/JX
메라가	메라/NNP+가/JKS
폭탄	폭탄/NNG
제조	제조/NNG
혐의로	혐의/NNG+로/JKB
2007년	2007/SN+년/NNB
12월	12/SN+월/NNB
체포돼	체포/NNG+되/XSV+어/EC
칸다하르	칸다하르/NNP
주	주/NNG
교도소에	교도소/NNG+에/JKB
수감됐지만	수감/NNG+되/XSV+었/EP+지만/EC
2008년	2008/SN+년/NNB
6월	6/SN+월/NNB
탈레반의	탈레반/NNP+의/JKG
대공세	대/XPN+공세/NNG
과정에서	과정/NNG+에서/JKB
다른	다른/MMD
수감자	수감자/NNG
1000여	1000/SN+여/XSN
명과	명/NNB+과/JKB
함께	함께/MAG
탈출했다고	탈출/NNG+하/XSV+았/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.8.1
프랑스 정부는 3건의 연쇄테러가 발생한 뒤 수사관 160여 명과 수천 명의 군경을 동원하는 등 사상 최대의 범인 검거 작전을 벌여왔다.

프랑스	프랑스/NNP
정부는	정부/NNG+는/JX
3건의	3/SN+건/NNB+의/JKG
연쇄테러가	연쇄/NNG+테러/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
수사관	수사관/NNG
160여	160/SN+여/XSN
명과	명/NNB+과/JC
수천	수천/NR
명의	명/NNB+의/JKG
군경을	군경/NNG+을/JKO
동원하는	동원/NNG+하/XSV+는/ETM
등	등/NNB
사상	사상/NNG
최대의	최대/NNG+의/JKG
범인	범인/NNG
검거	검거/NNG
작전을	작전/NNG+을/JKO
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000033.72.8.2
곤혹스러운 입장에 처한 프랑스 이슬람단체들은 “메라의 범죄는 비난받아 마땅하다”면서도 “그와 선량한 99%의 프랑스 무슬림은 아무 관계가 없다”고 강조했다.

곤혹스러운	곤혹/NNG+스럽/XSA+ㄴ/ETM
입장에	입장/NNG+에/JKB
처한	처하/VV+ㄴ/ETM
프랑스	프랑스/NNP
이슬람단체들은	이슬람/NNG+단체/NNG+들/XSN+은/JX
“메라의	“/SS+메라/NNP+의/JKG
범죄는	범죄/NNG+는/JX
비난받아	비난/NNG+받/XSV+아/EC
마땅하다”면서도	마땅하/VA+다/EF+”/SS+면서/EC+도/JX
“그와	“/SS+그/NP+와/JKB
선량한	선량/NNG+하/XSA+ㄴ/ETM
99%의	99/SN+%/SW+의/JKG
무슬림은	무슬림/NNG+은/JX
아무	아무/MMD
관계가	관계/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.9.1
프랑스 국적의 이슬람 극단주의자가 자국에서 테러를 저지른 건 이번이 처음이다.

프랑스	프랑스/NNP
국적의	국적/NNG+의/JKG
이슬람	이슬람/NNG
극단주의자가	극단주의자/NNG+가/JKS
자국에서	자국/NNG+에서/JKB
테러를	테러/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
건	거/NNB+ㄴ/JX
이번이	이번/NNG+이/JKS
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.72.9.2
파키스탄정보국(ISI) 등에 따르면 현재 100여 명의 유럽 국적자들이 와지리스탄 등지에서 테러 훈련을 받고 있다.

파키스탄정보국(ISI)	파키스탄/NNP+정보국/NNG+(/SS+ISI/SL+)/SS
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
현재	현재/MAG
100여	100/SN+여/XSN
명의	명/NNB+의/JKG
유럽	유럽/NNP
국적자들이	국적자/NNG+들/XSN+이/JKS
와지리스탄	와지리스탄/NNP
등지에서	등지/NNB+에서/JKB
테러	테러/NNG
훈련을	훈련/NNG+을/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.72.9.3
이 가운데 절반은 독일 국적자이고 프랑스인은 10여 명 정도이며 이들은 유럽의 본국으로 돌아가 테러 조직의 뿌리를 내리는 게 목표라고 르몽드지는 전했다.

이	이/MMD
가운데	가운데/NNG
절반은	절반/NNG+은/JX
독일	독일/NNP
국적자이고	국적자/NNG+이/VCP+고/EC
프랑스인은	프랑스인/NNG+은/JX
10여	10/SN+여/XSN
명	명/NNB
정도이며	정도/NNG+이/VCP+며/EC
이들은	이/NP+들/XSN+은/JX
유럽의	유럽/NNP+의/JKG
본국으로	본국/NNG+으로/JKB
돌아가	돌아가/VV+아/EC
테러	테러/NNG
조직의	조직/NNG+의/JKG
뿌리를	뿌리/NNG+를/JKO
내리는	내리/VV+는/ETM
게	거/NNB+이/JKS
목표라고	목표/NNG+이/VCP+라고/EC
르몽드지는	르몽드지/NNP+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.72.9.4
르피가로지는 일부 무슬림 출신 유럽인들이 쇠퇴해가는 알카에다의 뛰어난 신병 역할을 하고 있다고 전했다.

르피가로지는	르피가로지/NNP+는/JX
일부	일부/NNG
무슬림	무슬림/NNG
출신	출신/NNG
유럽인들이	유럽인/NNG+들/XSN+이/JKS
쇠퇴해가는	쇠퇴/NNG+하/XSV+아/EC+가/VX+는/ETM
알카에다의	알카에다/NNP+의/JKG
뛰어난	뛰어나/VA+ㄴ/ETM
신병	신병/NNG
역할을	역할/NNG+을/JKO
하고	하/VV+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


