# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.411
metadata : {}


# id : NWRW1800000040.411.1.1
북핵 ‘위협-사용임박-사용’ 3단계로 나눠 핵우산·MD 등 군사능력 총동원 사전억제

북핵	북핵/NNG
대응	대응/NNG
방안을	방안/NNG+을/JKO
정립한	정립/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.411.6.2
공동성명서를 보면 “동 전략은 전시·평시 북한의 주요 위협 시나리오에 대한 억제의 맞춤화를 위해 동맹의 전략적 틀을 확립하고, 억제 효과를 극대화하기 위한 동맹 능력의 통합을 강화할 것”이라고 설명했다.

공동성명서를	공동/NNG+성명서/NNG+를/JKO
보면	보/VV+면/EC
“동	“/SS+동/MMD
전략은	전략/NNG+은/JX
전시·평시	전시/NNG+·/SP+평시/NNG
북한의	북한/NNP+의/JKG
주요	주요/NNG
위협	위협/NNG
시나리오에	시나리오/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
억제의	억제/NNG+의/JKG
맞춤화를	맞춤/NNG+화/XSN+를/JKO
위해	위하/VV+아/EC
동맹의	동맹/NNG+의/JKG
전략적	전략/NNG+적/XSN
틀을	틀/NNG+을/JKO
확립하고,	확립/NNG+하/XSV+고/EC+,/SP
억제	억제/NNG
효과를	효과/NNG+를/JKO
극대화하기	극대/NNG+화/XSN+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
동맹	동맹/NNG
능력의	능력/NNG+의/JKG
통합을	통합/NNG+을/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.411.6.3
다시 말해 북한의 핵위협에 대해 한국군과 미군이 가용할 수 있는 모든 전력을 동원해 적극 대응하겠다는 것이다.

다시	다시/MAG
말해	말/NNG+하/XSV+아/EC
북한의	북한/NNP+의/JKG
핵위협에	핵/NNG+위협/NNG+에/JKB
대해	대하/VV+아/EC
한국군과	한국군/NNG+과/JC
미군이	미군/NNG+이/JKS
가용할	가용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모든	모든/MMN
전력을	전력/NNG+을/JKO
동원해	동원/NNG+하/XSV+아/EC
적극	적극/NNG
대응하겠다는	대응/NNG+하/XSV+겠/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.411.7.1
맞춤형 억제는 구체적으로 미국이 한국에 제공하는 핵우산과 한·미의 재래식 타격능력, 미사일방어(MD) 능력 등 세 축으로 돼 있다.

맞춤형	맞춤/NNG+형/XSN
억제는	억제/NNG+는/JX
구체적으로	구체/NNG+적/XSN+으로/JKB
미국이	미국/NNP+이/JKS
한국에	한국/NNP+에/JKB
제공하는	제공/NNG+하/XSV+는/ETM
핵우산과	핵우산/NNG+과/JC
한·미의	한·미/NNP+의/JKG
재래식	재래식/NNG
타격능력,	타격/NNG+능력/NNG+,/SP
미사일방어(MD)	미사일/NNG+방어/NNG+(/SS+MD/SL+)/SS
능력	능력/NNG
등	등/NNB
세	세/MMN
축으로	축/NNG+으로/JKB
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000040.411.7.2
이 가운데 한국군이 동원할 수 있는 전력은 박근혜 대통령이 전날 “조기에 확보하겠다”고 밝힌 ‘킬 체인’과 ‘한국형 미사일방어체계’가 핵심이다.

이	이/MMD
가운데	가운데/NNG
한국군이	한국군/NNG+이/JKS
동원할	동원/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
전력은	전력/NNG+은/JX
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
전날	전날/NNG
“조기에	“/SS+조기/NNG+에/JKB
확보하겠다”고	확보/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
‘킬	‘/SS+킬/NNG
체인’과	체인/NNG+’/SS+과/JC
‘한국형	‘/SS+한국/NNP+형/XSN
미사일방어체계’가	미사일/NNG+방어/NNG+체계/NNG+’/SS+가/JKS
핵심이다.	핵심/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.411.7.3
킬 체인은 핵과 미사일을 발사 전에 공격하는 시스템이고 한국형 미사일방어체계는 발사 뒤 요격하는 시스템이다.

킬	킬/NNG
체인은	체인/NNG+은/JX
핵과	핵/NNG+과/JC
미사일을	미사일/NNG+을/JKO
발사	발사/NNG
전에	전/NNG+에/JKB
공격하는	공격/NNG+하/XSV+는/ETM
시스템이고	시스템/NNG+이/VCP+고/EC
한국형	한국/NNP+형/XSN
미사일방어체계는	미사일/NNG+방어/NNG+체계/NNG+는/JX
뒤	뒤/NNG
요격하는	요격/NNG+하/XSV+는/ETM
시스템이다.	시스템/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.411.7.4
이 두 체계를 갖추는 데 앞으로 5년 동안 9조6천억원이 든다.

이	이/MMD
두	두/MMN
체계를	체계/NNG+를/JKO
갖추는	갖추/VV+는/ETM
데	데/NNB
앞으로	앞/NNG+으로/JKB
5년	5/SN+년/NNB
동안	동안/NNG
9조6천억원이	9/SN+조/NR+6/SN+천억/NR+원/NNB+이/JKS
든다.	들/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.411.7.5
김종대 <디펜스21플러스> 편집장은 “킬 체인을 하려면 탐지-요격-확인-추가 방어 등 여러 능력을 갖춰야 하는데, 한국군이 첫번째인 탐지 능력이라도 갖췄는지 의문”이라고 말했다.

김종대	김종대/NNP
<디펜스21플러스>	</SS+디펜스21플러스/NNP+>/SS
편집장은	편집장/NNG+은/JX
“킬	“/SS+킬/NNG
체인을	체인/NNG+을/JKO
하려면	하/VV+려면/EC
탐지-요격-확인-추가	탐지/NNG+-/SO+요격/NNG+-/SO+확인/NNG+-/SO+추가/NNG
방어	방어/NNG
등	등/NNB
여러	여러/MMN
능력을	능력/NNG+을/JKO
갖춰야	갖추/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
한국군이	한국군/NNG+이/JKS
첫번째인	첫/MMN+번/NNB+째/XSN+이/VCP+ㄴ/ETM
탐지	탐지/NNG
능력이라도	능력/NNG+이/VCP+라도/EC
갖췄는지	갖추/VV+었/EP+는지/EC
의문”이라고	의문/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.411.8.1
정욱식 평화네트워크 대표는 “맞춤형 억제전략을 통해 한-미 동맹과 대북 억제력을 강화할 수 있겠지만, 동시에 북한도 핵과 미사일 능력을 강화하려 할 것이다.

정욱식	정욱식/NNP
평화네트워크	평화네트워크/NNP
대표는	대표/NNG+는/JX
“맞춤형	“/SS+맞춤/NNG+형/XSN
억제전략을	억제/NNG+전략/NNG+을/JKO
통해	통하/VV+아/EC
한-미	한-미/NNP
동맹과	동맹/NNG+과/JC
대북	대북/NNG
억제력을	억제력/NNG+을/JKO
강화할	강화/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
동시에	동시/NNG+에/JKB
북한도	북한/NNP+도/JX
핵과	핵/NNG+과/JC
미사일	미사일/NNG
능력을	능력/NNG+을/JKO
강화하려	강화/NNG+하/XSV+려/EC
할	하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.411.8.2
결국 한반도에서 전쟁의 위험을 높일 수 있다”고 우려했다.

결국	결국/MAG
한반도에서	한반도/NNP+에서/JKB
전쟁의	전쟁/NNG+의/JKG
위험을	위험/NNG+을/JKO
높일	높이/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
우려했다.	우려/NNG+하/XSV+았/EP+다/EF+./SF


