# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.95
metadata : {}


# id : NWRW1800000024.95.1.1
엘지·전자랜드 /지옥서 따낸 마지막 6강티켓

엘지·전자랜드	엘지/NNP+·/SP+전자랜드/NNP
케이티에프(KTF)를	케이티에프/NNP+(/SS+KTF/SL+)/SS+를/JKO
68-66,	68/SN+-/SO+66/SN+,/SP
2점	2/SN+점/NNB
차	차/NNG
역전승을	역전승/NNG+을/JKO
거두고	거두/VV+고/EC
5위를	5/SN+위/NNB+를/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.95.3.2
올 시즌 내내 가슴을 졸이며 경기를 지휘한 초보 사령탑 강을준 감독은 모처럼 활짝 웃었다.

올	올/NNG
시즌	시즌/NNG
내내	내내/MAG
가슴을	가슴/NNG+을/JKO
졸이며	졸이/VV+며/EC
경기를	경기/NNG+를/JKO
지휘한	지휘/NNG+하/XSV+ㄴ/ETM
초보	초보/NNG
사령탑	사령탑/NNG
강을준	강을준/NNP
감독은	감독/NNG+은/JX
모처럼	모처럼/MAG
활짝	활짝/MAG
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.95.3.3
1~2쿼터 앞서가다가 3쿼터 케이티에프의 반격에 역전을 허용했다.

1~2쿼터	1/SN+~/SO+2/SN+쿼터/NNB
앞서가다가	앞서가/VV+다가/EC
3쿼터	3/SN+쿼터/NNB
케이티에프의	케이티에프/NNP+의/JKG
반격에	반격/NNG+에/JKB
역전을	역전/NNG+을/JKO
허용했다.	허용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.95.3.4
만약 졌다면 1승을 앞서 있던 케이티앤지에 6강 티켓을 내줘야 했다.

만약	만약/MAG
졌다면	지/VV+었/EP+다면/EC
1승을	1/SN+승/NNB+을/JKO
앞서	앞서/VV+어/EC
있던	있/VX+던/ETM
케이티앤지에	케이티앤지/NNP+에/JKB
6강	6/SN+강/NNB
티켓을	티켓/NNG+을/JKO
내줘야	내주/VV+어야/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.95.3.5
그러나 4쿼터 중반 아이반 존슨의 투혼으로 짜릿한 뒤집기에 성공했다.

그러나	그러나/MAJ
4쿼터	4/SN+쿼터/NNB
중반	중반/NNG
아이반	아이반/NNP
존슨의	존슨/NNP+의/JKG
투혼으로	투혼/NNG+으로/JKB
짜릿한	짜릿하/VA+ㄴ/ETM
뒤집기에	뒤집기/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.95.3.6
말 그대로 ‘용궁 갔다 온 기분’이었을 것이다.

말	말/NNG
그대로	그대로/MAG
‘용궁	‘/SS+용궁/NNG
갔다	가/VV+았/EP+다/EC
온	오/VV+ㄴ/ETM
기분’이었을	기분/NNG+’/SS+이/VCP+었/EP+을/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000024.95.4.1
최희암 인천 전자랜드 감독도 속이 시커멓게 탔으나 최후에 웃었다.

최희암	최희암/NNP
인천	인천/NNP
전자랜드	전자랜드/NNP
감독도	감독/NNG+도/JX
속이	속/NNG+이/JKS
시커멓게	시커멓/VA+게/EC
탔으나	타/VV+았/EP+으나/EC
최후에	최후/NNG+에/JKB
웃었다.	웃/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.95.4.2
전자랜드는 서울 에스케이 원정경기에서 줄곧 앞서며 90-84로 이겼다.

전자랜드는	전자랜드/NNP+는/JX
서울	서울/NNP
에스케이	에스케이/NNP
원정경기에서	원정/NNG+경기/NNG+에서/JKB
줄곧	줄곧/MAG
앞서며	앞서/VV+며/EC
90-84로	90/SN+-/SO+84/SN+로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.95.4.3
6위로 6강티켓 확보.

6위로	6/SN+위/NNB+로/JKB
6강티켓	6/SN+강/NNB+티켓/NNG
확보.	확보/NNG+./SF


# id : NWRW1800000024.95.4.4
전자랜드는 3쿼터 김성철이 5반칙 퇴장당하고, 4쿼터 정영삼의 부상 아웃으로 고비를 만났다.

전자랜드는	전자랜드/NNP+는/JX
3쿼터	3/SN+쿼터/NNB
김성철이	김성철/NNP+이/JKS
5반칙	5/SN+반칙/NNG
퇴장당하고,	퇴장/NNG+당하/XSV+고/EC+,/SP
4쿼터	4/SN+쿼터/NNB
정영삼의	정영삼/NNP+의/JKG
부상	부상/NNG
아웃으로	아웃/NNG+으로/JKB
고비를	고비/NNG+를/JKO
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.95.4.5
그러나 서장훈을 중심으로 한 탄탄한 골밑 운영으로 승리를 거뒀다.

그러나	그러나/MAJ
서장훈을	서장훈/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
탄탄한	탄탄하/VA+ㄴ/ETM
골밑	골/NNG+밑/NNG
운영으로	운영/NNG+으로/JKB
승리를	승리/NNG+를/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.95.5.1
지난해 10월31일 시작한 정규리그는 모비스의 우승과 함께 4개월여의 장정을 마쳤다.

지난해	지난해/NNG
10월31일	10/SN+월/NNB+31/SN+일/NNB
시작한	시작/NNG+하/XSV+ㄴ/ETM
정규리그는	정규/NNG+리그/NNG+는/JX
모비스의	모비스/NNP+의/JKG
우승과	우승/NNG+과/JKB
함께	함께/MAG
4개월여의	4/SN+개월/NNB+여/XSN+의/JKG
장정을	장정/NNG+을/JKO
마쳤다.	마치/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.95.5.2
27일부터는 3위(케이씨씨)-6위(전자랜드), 4위(삼성)-5위(엘지)의 6강 플레이오프(5전3선승제)를 시작한다.

27일부터는	27/SN+일/NNB+부터/JX+는/JX
3위(케이씨씨)-6위(전자랜드),	3/SN+위/NNB+(/SS+케이씨씨/NNP+)/SS+-/SO+6/SN+위/NNB+(/SS+전자랜드/NNP+)/SS+,/SP
4위(삼성)-5위(엘지)의	4/SN+위/NNB+(/SS+삼성/NNP+)/SS+-/SO+5/SN+위/NNB+(/SS+엘지/NNP+)/SS+의/JKG
6강	6/SN+강/NNB
플레이오프(5전3선승제)를	플레이오프/NNG+(/SS+5/SN+전/NNB+3/SN+선승/NNG+제/XSN+)/SS+를/JKO
시작한다.	시작/NNG+하/XSV+ㄴ다/EF+./SF


