# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.88
metadata : {}


# id : NWRW1800000049.88.1.1
[2016대한민국 경영대상]신가치투자로 유명한 ‘돈 벌어주는 방송’, 세계로TV

[2016대한민국	[/SS+2016/SN+대한민국/NNP
관련한	관련/NNG+하/XSV+ㄴ/ETM
정보나	정보/NNG+나/JC
강연회	강연회/NNG
안내	안내/NNG
등을	등/NNB+을/JKO
무료로	무료/NNG+로/JKB
제공하는	제공/NNG+하/XSV+는/ETM
세계로TV는	세계로TV/NNP+는/JX
홈페이지	홈페이지/NNG
무료회원	무료/NNG+회원/NNG
가입	가입/NNG
등	등/NNB
고객이	고객/NNG+이/JKS
손쉽게	손쉽/VA+게/EC
다가갈	다가가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
질	질/NNG
높은	높/VA+은/ETM
서비스를	서비스/NNG+를/JKO
실현하고	실현/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


