# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.3
metadata : {}


# id : NWRW1800000044.3.1.1
존슨앤드존슨 ‘콘택트렌즈, 이 가격 아래로 팔지마라’ 강요

존슨앤드존슨	존슨앤드존슨/NNP
정도인데,	정도/NNG+이/VCP+ㄴ데/EC+,/SP
존슨앤드존슨이	존슨앤드존슨/NNP+이/JKS
점유율	점유/NNG+율/XSN
45%로	45/SN+%/SW+로/JKB
1위를	1/SN+위/NNB+를/JKO
차지하고	차지/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.3.6.1
공정위 조사결과, 존슨앤드존슨은 1998년 아큐브 콘택트렌즈를 국내에 출시하면서 안경원 쪽에 소비자 판매가격을 제시했다.

공정위	공정위/NNG
조사결과,	조사/NNG+결과/NNG+,/SP
존슨앤드존슨은	존슨앤드존슨/NNP+은/JX
1998년	1998/SN+년/NNB
아큐브	아큐브/NNP
콘택트렌즈를	콘택트렌즈/NNG+를/JKO
국내에	국내/NNG+에/JKB
출시하면서	출시/NNG+하/XSV+면서/EC
안경원	안경원/NNG
쪽에	쪽/NNB+에/JKB
소비자	소비자/NNG
판매가격을	판매/NNG+가격/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.3.6.2
존슨앤드존슨은 이어 안경원 쪽과, 거래금액의 10%를 할인해주는 대신 자신이 정한 가격 이하로 제품을 팔면 약정 해제와 할인금액 취소 등의 불이익을 준다는 할인거래약정을 체결했다.

존슨앤드존슨은	존슨앤드존슨/NNP+은/JX
이어	잇/VV+어/EC
안경원	안경원/NNG
쪽과,	쪽/NNB+과/JKB+,/SP
거래금액의	거래/NNG+금액/NNG+의/JKG
10%를	10/SN+%/SW+를/JKO
할인해주는	할인/NNG+하/XSV+아/EC+주/VX+는/ETM
대신	대신/NNG
자신이	자신/NNG+이/JKS
정한	정하/VV+ㄴ/ETM
가격	가격/NNG
이하로	이하/NNG+로/JKB
제품을	제품/NNG+을/JKO
팔면	팔/VV+면/EC
약정	약정/NNG
해제와	해제/NNG+와/JC
할인금액	할인/NNG+금액/NNG
취소	취소/NNG
등의	등/NNB+의/JKG
불이익을	불/XPN+이익/NNG+을/JKO
준다는	주/VV+ㄴ다는/ETM
할인거래약정을	할인/NNG+거래/NNG+약정/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.3.6.3
존슨앤드존슨은 또 영업사원 등을 고용해 안경원들의 실제 판매가격을 조사해 자신이 정한 판매가격을 제대로 준수하는지 점검하기까지 했다.

존슨앤드존슨은	존슨앤드존슨/NNP+은/JX
또	또/MAG
영업사원	영업/NNG+사원/NNG
등을	등/NNB+을/JKO
고용해	고용/NNG+하/XSV+아/EC
안경원들의	안경원/NNG+들/XSN+의/JKG
실제	실제/NNG
판매가격을	판매/NNG+가격/NNG+을/JKO
조사해	조사/NNG+하/XSV+아/EC
자신이	자신/NNG+이/JKS
정한	정하/VV+ㄴ/ETM
제대로	제대로/MAG
준수하는지	준수/NNG+하/XSV+는지/EC
점검하기까지	점검/NNG+하/XSV+기/ETN+까지/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.3.6.4
존슨앤드존순은 정해준 가격보다 낮게 판매하는 안경원에 대해서는 공급중단 조처를 취했다.

존슨앤드존순은	존슨앤드존순/NNP+은/JX
정해준	정하/VV+아/EC+주/VX+ㄴ/ETM
가격보다	가격/NNG+보다/JKB
낮게	낮/VA+게/EC
판매하는	판매/NNG+하/XSV+는/ETM
안경원에	안경원/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
공급중단	공급/NNG+중단/NNG
조처를	조처/NNG+를/JKO
취했다.	취하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.3.7.1
존슨앤드존슨은 거래 안경원 쪽에 비거래 안경원에는 제품을 판매하지 않는 조건을 부과했다.

존슨앤드존슨은	존슨앤드존슨/NNP+은/JX
거래	거래/NNG
안경원	안경원/NNG
쪽에	쪽/NNB+에/JKB
비거래	비/XPN+거래/NNG
안경원에는	안경원/NNG+에/JKB+는/JX
제품을	제품/NNG+을/JKO
판매하지	판매/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
조건을	조건/NNG+을/JKO
부과했다.	부과/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.3.7.2
이를 이행하지 않는 안경원에는 약정해제 및 할인금액을 취소한다는 내용의 약정을 맺었다.

이를	이/NP+를/JKO
이행하지	이행/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
안경원에는	안경원/NNG+에/JKB+는/JX
약정해제	약정/NNG+해제/NNG
및	및/MAG
할인금액을	할인/NNG+금액/NNG+을/JKO
취소한다는	취소/NNG+하/XSV+ㄴ다는/ETM
내용의	내용/NNG+의/JKG
약정을	약정/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.3.7.3
공정위는 존슨앤드존슨이 2007년 1월부터 2010년 4월까지 판매가격을 위반하거나 비거래 안경원에 제품을 유출한 154개 안경원에 대해 최소 2주일부터 최장 1개월 간 제품 공급을 중단했다고 밝혔다.

공정위는	공정위/NNG+는/JX
존슨앤드존슨이	존슨앤드존슨/NNP+이/JKS
2007년	2007/SN+년/NNB
1월부터	1/SN+월/NNB+부터/JX
2010년	2010/SN+년/NNB
4월까지	4/SN+월/NNB+까지/JX
판매가격을	판매/NNG+가격/NNG+을/JKO
위반하거나	위반/NNG+하/XSV+거나/EC
비거래	비/XPN+거래/NNG
안경원에	안경원/NNG+에/JKB
제품을	제품/NNG+을/JKO
유출한	유출/NNG+하/XSV+ㄴ/ETM
154개	154/SN+개/NNB
대해	대하/VV+아/EC
최소	최소/NNG
2주일부터	2/SN+주일/NNB+부터/JX
최장	최장/NNG
1개월	1/SN+개월/NNB
간	간/XSN
제품	제품/NNG
공급을	공급/NNG+을/JKO
중단했다고	중단/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.3.8.1
공정위는 이번 조처로 콘택트렌즈의 가격경쟁이 활성화돼, 가격거품이 제거되고 소비자들의 부담이 완화될 것으로 기대했다.

공정위는	공정위/NNG+는/JX
이번	이번/NNG
조처로	조처/NNG+로/JKB
콘택트렌즈의	콘택트렌즈/NNG+의/JKG
가격경쟁이	가격/NNG+경쟁/NNG+이/JKS
활성화돼,	활성/NNG+화/XSN+되/XSV+어/EC+,/SP
가격거품이	가격/NNG+거품/NNG+이/JKS
제거되고	제거/NNG+되/XSV+고/EC
소비자들의	소비자/NNG+들/XSN+의/JKG
부담이	부담/NNG+이/JKS
완화될	완화/NNG+되/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대했다.	기대/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.3.8.2
하지만 존슨앤드존슨이 법 위반 기간 중에 판매한 금액이 2500억원 정도인데 과징금은 0.8% 수준에 불과해 제재 효과가 미흡하다는 지적도 나온다.

하지만	하지만/MAJ
존슨앤드존슨이	존슨앤드존슨/NNP+이/JKS
법	법/NNG
위반	위반/NNG
기간	기간/NNG
중에	중/NNB+에/JKB
판매한	판매/NNG+하/XSV+ㄴ/ETM
금액이	금액/NNG+이/JKS
2500억원	2500/SN+억/NR+원/NNB
정도인데	정도/NNG+이/VCP+ㄴ데/EC
과징금은	과징금/NNG+은/JX
0.8%	0/SN+./SP+8/SN+%/SW
수준에	수준/NNG+에/JKB
불과해	불과/MAG+하/XSA+아/EC
제재	제재/NNG
효과가	효과/NNG+가/JKS
미흡하다는	미흡/NNG+하/XSA+다는/ETM
지적도	지적/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000044.3.8.3
또 공정위는 소멸시효(5년) 때문에 2007년 이후 거래분만 과징금 부과대상으로 삼았으나, 존슨앤드존슨의 법 위반은 1997년 처음 국내에 콘택트렌즈를 공급할 때부터 시작됐다.

또	또/MAG
공정위는	공정위/NNG+는/JX
소멸시효(5년)	소멸/NNG+시효/NNG+(/SS+5/SN+년/NNB+)/SS
때문에	때문/NNB+에/JKB
2007년	2007/SN+년/NNB
이후	이후/NNG
거래분만	거래분/NNG+만/JX
과징금	과징금/NNG
부과대상으로	부과/NNG+대상/NNG+으로/JKB
삼았으나,	삼/VV+았/EP+으나/EC+,/SP
존슨앤드존슨의	존슨앤드존슨/NNP+의/JKG
법	법/NNG
위반은	위반/NNG+은/JX
1997년	1997/SN+년/NNB
처음	처음/NNG
국내에	국내/NNG+에/JKB
콘택트렌즈를	콘택트렌즈/NNG+를/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
때부터	때/NNG+부터/JX
시작됐다.	시작/NNG+되/XSV+었/EP+다/EF+./SF


