# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.248
metadata : {}


# id : NWRW1800000052.248.1.1
“‘세월호 식당칸 공기주입 성공’은 청와대 위한 거짓보고”

“‘세월호	“/SS+‘/SS+세월호/NNP
지난 5월 해경본청 실지조사를 통해 서버에 있는 하드디스크 3대를 복제해, 참사 당일(2014년 4월16일)부터 그해 12월 말까지 남아있는 녹취파일 101만여개 중 일부를 분석한 결과다.

지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
해경본청	해경/NNG+본청/NNG
실지조사를	실지/NNG+조사/NNG+를/JKO
통해	통하/VV+아/EC
서버에	서버/NNG+에/JKB
있는	있/VA+는/ETM
하드디스크	하드/NNG+디스크/NNG
3대를	3/SN+대/NNB+를/JKO
복제해,	복제/NNG+하/XSV+아/EC+,/SP
참사	참사/NNG
당일(2014년	당일/NNG+(/SS+2014/SN+년/NNB
4월16일)부터	4/SN+월/NNB+16/SN+일/NNB+)/SS+부터/JX
그해	그해/NNG
12월	12/SN+월/NNB
말까지	말/NNB+까지/JX
남아있는	남/VV+아/EC+있/VX+는/ETM
녹취파일	녹취/NNG+파일/NNG
101만여개	101/SN+만/NR+여/XSN+개/NNB
중	중/NNB
일부를	일부/NNG+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.248.7.1
특조위가 이날 공개한 녹취파일에 따르면, 이춘재 당시 해경 경비안전국장은 “공기호스를 식당칸까지 가려면 시간이 많이 걸려서 안 되니 현재 35m 지점에 설치된 그 부근 객실에 공기주입구를 설치하는 걸로 지시가 내려갔다”고 말한다.

특조위가	특조위/NNG+가/JKS
이날	이날/NNG
공개한	공개/NNG+하/XSV+ㄴ/ETM
녹취파일에	녹취/NNG+파일/NNG+에/JKB
따르면,	따르/VV+면/EC+,/SP
이춘재	이춘재/NNP
당시	당시/NNG
해경	해경/NNG
경비안전국장은	경비/NNG+안전국장/NNG+은/JX
“공기호스를	“/SS+공기/NNG+호스/NNG+를/JKO
식당칸까지	식당/NNG+칸/NNG+까지/JX
가려면	가/VV+려면/EC
시간이	시간/NNG+이/JKS
많이	많이/MAG
걸려서	걸리/VV+어서/EC
안	안/MAG
되니	되/VV+니/EC
현재	현재/MAG
35m	35/SN+m/SW
지점에	지점/NNG+에/JKB
설치된	설치/NNG+되/XSV+ㄴ/ETM
그	그/MMD
부근	부근/NNG
객실에	객실/NNG+에/JKB
공기주입구를	공기/NNG+주입구/NNG+를/JKO
설치하는	설치/NNG+하/XSV+는/ETM
걸로	거/NNB+ㄹ로/JKB
지시가	지시/NNG+가/JKS
내려갔다”고	내려가/VV+았/EP+다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.248.7.2
하지만 2014년 4월18일 해경은 ‘생존자가 많이 모여 있던 3층 식당칸에 공기주입이 성공했으니 실종자들의 생존 가능성이 있다’고 밝혔다.

하지만	하지만/MAJ
2014년	2014/SN+년/NNB
4월18일	4/SN+월/NNB+18/SN+일/NNB
해경은	해경/NNG+은/JX
‘생존자가	‘/SS+생존자/NNG+가/JKS
많이	많이/MAG
모여	모이/VV+어/EC
있던	있/VX+던/ETM
3층	3/SN+층/NNG
식당칸에	식당/NNG+칸/NNG+에/JKB
공기주입이	공기/NNG+주입/NNG+이/JKS
성공했으니	성공/NNG+하/XSV+았/EP+으니/EC
실종자들의	실종자/NNG+들/XSN+의/JKG
생존	생존/NNG
가능성이	가능/NNG+성/XSN+이/JKS
있다’고	있/VA+다/EF+’/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.248.7.3
실제로는 공기주입 호스 연결이 쉬운 조타실 근처에 공기주입을 시도해놓고 과장 내지 거짓된 발표를 한 것이다.

실제로는	실제로/MAG+는/JX
공기주입	공기/NNG+주입/NNG
호스	호스/NNG
연결이	연결/NNG+이/JKS
쉬운	쉽/VA+ㄴ/ETM
조타실	조타실/NNG
근처에	근처/NNG+에/JKB
공기주입을	공기/NNG+주입/NNG+을/JKO
시도해놓고	시도/NNG+하/XSV+아/EC+놓/VX+고/EC
과장	과장/NNG
내지	내지/MAG
거짓된	거짓/NNG+되/XSA+ㄴ/ETM
발표를	발표/NNG+를/JKO
한	하/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.248.7.4
이에 대해 박종운 특조위 상임위원은 “당시 공기를 주입할 상황이 아니었음에도 청와대 보고를 위해 강행된 것”이라고 주장했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
박종운	박종운/NNP
특조위	특조위/NNG
상임위원은	상임/NNG+위원/NNG+은/JX
“당시	“/SS+당시/NNG
공기를	공기/NNG+를/JKO
주입할	주입/NNG+하/XSV+ㄹ/ETM
상황이	상황/NNG+이/JKC
아니었음에도	아니/VCN+었/EP+음/ETN+에/JKB+도/JX
청와대	청와대/NNP
보고를	보고/NNG+를/JKO
위해	위하/VV+아/EC
강행된	강행/NNG+되/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.248.7.5
참사 다음날인 4월17일 진도체육관을 찾은 박근혜 대통령은 ‘실종자들이 살아 있을 가능성에 대비해 공기를 주입해달라’는 가족들의 요청에 “공기를 넣으려고 했는데 잘 안됐다면 왜 그런지 설명해야 한다.

참사	참사/NNG
다음날인	다음날/NNG+이/VCP+ㄴ/ETM
4월17일	4/SN+월/NNB+17/SN+일/NNB
진도체육관을	진도체육관/NNP+을/JKO
찾은	찾/VV+은/ETM
박근혜	박근혜/NNP
대통령은	대통령/NNG+은/JX
‘실종자들이	‘/SS+실종자/NNG+들/XSN+이/JKS
살아	살/VV+아/EC
있을	있/VX+을/ETM
가능성에	가능/NNG+성/XSN+에/JKB
대비해	대비/NNG+하/XSV+아/EC
공기를	공기/NNG+를/JKO
주입해달라’는	주입/NNG+하/XSV+아/EC+달/VX+라/EF+’/SS+는/ETM
가족들의	가족/NNG+들/XSN+의/JKG
요청에	요청/NNG+에/JKB
“공기를	“/SS+공기/NNG+를/JKO
넣으려고	넣/VV+으려고/EC
했는데	하/VX+았/EP+는데/EC
잘	잘/MAG
안됐다면	안/MAG+되/XSV+었/EP+다면/EC
왜	왜/MAG
그런지	그렇/VA+ㄴ지/EF
설명해야	설명/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000052.248.7.6
가족들의 신뢰를 받게 해달라”고 당시 곁에 있던 김석균 해양경찰청장을 비롯한 정부 관계자들에게 말한 바 있다.

가족들의	가족/NNG+들/XSN+의/JKG
신뢰를	신뢰/NNG+를/JKO
받게	받/VV+게/EC
해달라”고	하/VX+아/EC+달/VX+라/EF+”/SS+고/JKQ
당시	당시/NNG
곁에	곁/NNG+에/JKB
있던	있/VA+던/ETM
김석균	김석균/NNP
해양경찰청장을	해양/NNG+경찰청장/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
정부	정부/NNG
관계자들에게	관계자/NNG+들/XSN+에게/JKB
말한	말/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.248.8.1
참사 당시 선체 내부 탐색을 위해 투입된 수중탐사기인 무인로봇(ROV)도 실제로는 선체 내부에 진입하지 못했다는 분석결과도 나왔다.

참사	참사/NNG
당시	당시/NNG
선체	선체/NNG
내부	내부/NNG
탐색을	탐색/NNG+을/JKO
위해	위하/VV+아/EC
투입된	투입/NNG+되/XSV+ㄴ/ETM
수중탐사기인	수중/NNG+탐사기/NNG+이/VCP+ㄴ/ETM
무인로봇(ROV)도	무인/NNG+로봇/NNG+(/SS+ROV/SL+)/SS+도/JX
실제로는	실제로/MAG+는/JX
내부에	내부/NNG+에/JKB
진입하지	진입/NNG+하/XSV+지/EC
못했다는	못하/VX+았/EP+다는/ETM
분석결과도	분석/NNG+결과/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.248.8.2
당시 정부는 무인로봇 2대를 운용했고 선체 내부 진입에 성공했다고 밝혔지만 주파수공용통신 녹취록 분석결과, 실제로는 1대만 운용됐고 선체 내부에 진입하는 데도 실패한 것으로 밝혀졌다.

당시	당시/NNG
정부는	정부/NNG+는/JX
무인로봇	무인/NNG+로봇/NNG
2대를	2/SN+대/NNB+를/JKO
운용했고	운용/NNG+하/XSV+았/EP+고/EC
선체	선체/NNG
내부	내부/NNG
진입에	진입/NNG+에/JKB
성공했다고	성공/NNG+하/XSV+았/EP+다고/EC
밝혔지만	밝히/VV+었/EP+지만/EC
주파수공용통신	주파수/NNG+공용/NNG+통신/NNG
녹취록	녹취록/NNG
분석결과,	분석/NNG+결과/NNG+,/SP
실제로는	실제로/MAG+는/JX
1대만	1/SN+대/NNB+만/JX
운용됐고	운용/NNG+되/XSV+었/EP+고/EC
내부에	내부/NNG+에/JKB
진입하는	진입/NNG+하/XSV+는/ETM
데도	데/NNB+도/JX
실패한	실패/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.248.8.3
권영빈 특조위 상임위원은 “녹취파일 100만개 중 약 1만개를 분석한 결과인데 나머지 교신기록을 분석하면 훨씬 더 많은 진실이 드러날 것으로 보인다”고 말했다.

권영빈	권영빈/NNP
특조위	특조위/NNG
상임위원은	상임/NNG+위원/NNG+은/JX
“녹취파일	“/SS+녹취/NNG+파일/NNG
100만개	100/SN+만/NR+개/NNB
중	중/NNB
약	약/MMA
1만개를	1/SN+만/NR+개/NNB+를/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과인데	결과/NNG+이/VCP+ㄴ데/EC
나머지	나머지/NNG
교신기록을	교신/NNG+기록/NNG+을/JKO
분석하면	분석/NNG+하/XSV+면/EC
훨씬	훨씬/MAG
더	더/MAG
많은	많/VA+은/ETM
진실이	진실/NNG+이/JKS
드러날	드러나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.248.9.1
이날 청문회에서 특조위는 바닷속에서 끌어올린 세월호를 목포 신항만으로 옮길 플로팅도크의 불법개조 가능성에 대한 의혹 등 세월호 선체 인양의 문제점을 지적했다.

이날	이날/NNG
청문회에서	청문회/NNG+에서/JKB
특조위는	특조위/NNG+는/JX
바닷속에서	바닷속/NNG+에서/JKB
끌어올린	끌어올리/VV+ㄴ/ETM
세월호를	세월호/NNP+를/JKO
목포	목포/NNP
신항만으로	신/XPN+항만/NNG+으로/JKB
옮길	옮기/VV+ㄹ/ETM
플로팅도크의	플로팅/NNG+도크/NNG+의/JKG
불법개조	불법/NNG+개조/NNG
가능성에	가능/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
의혹	의혹/NNG
등	등/NNB
세월호	세월호/NNP
선체	선체/NNG
인양의	인양/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.248.9.2
마무리 발언에서 이석태 특조위 위원장은 “이번 청문회를 통해 찾아야 할 진실이 아직 많이 남아 있음을 알 수 있었다”며 “특조위의 활동기간 보장과 함께 미수습자 수습과 온전한 세월호 선체인양이 보장되어야 한다”고 강조했다.

마무리	마무리/NNG
발언에서	발언/NNG+에서/JKB
이석태	이석태/NNP
특조위	특조위/NNG
위원장은	위원장/NNG+은/JX
“이번	“/SS+이번/NNG
청문회를	청문회/NNG+를/JKO
통해	통하/VV+아/EC
찾아야	찾/VV+아야/EC
할	하/VX+ㄹ/ETM
진실이	진실/NNG+이/JKS
아직	아직/MAG
많이	많이/MAG
남아	남/VV+아/EC
있음을	있/VX+음/ETN+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
있었다”며	있/VA+었/EP+다/EF+”/SS+며/EC
“특조위의	“/SS+특조위/NNG+의/JKG
활동기간	활동/NNG+기간/NNG
보장과	보장/NNG+과/JKB
함께	함께/MAG
미수습자	미/XPN+수습자/NNG
수습과	수습/NNG+과/JC
온전한	온전하/VA+ㄴ/ETM
세월호	세월호/NNP
선체인양이	선체/NNG+인양/NNG+이/JKS
보장되어야	보장/NNG+되/XSV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


