# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.111
metadata : {}


# id : NWRW1800000025.111.1.1
日 자동차업계 ‘10월 위기설’ 비상

日	日/SH
일본 승용차시장은 1990년 510만여 대가 팔린 이후 한 번도 판매량이 연간 500만 대를 넘기지 못했으며 2004년부터 매년 감소하는 추세다.

일본	일본/NNP
승용차시장은	승용차/NNG+시장/NNG+은/JX
1990년	1990/SN+년/NNB
510만여	510/SN+만/NR+여/XSN
대가	대/NNB+가/JKS
팔린	팔리/VV+ㄴ/ETM
이후	이후/NNG
한	한/MMN
번도	번/NNB+도/JX
판매량이	판매량/NNG+이/JKS
연간	연간/NNG
500만	500/SN+만/NR
대를	대/NNB+를/JKO
넘기지	넘기/VV+지/EC
못했으며	못하/VX+았/EP+으며/EC
2004년부터	2004/SN+년/NNB+부터/JX
매년	매년/MAG
감소하는	감소/NNG+하/XSV+는/ETM
추세다.	추세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.111.6.2
승용차 보급률이 포화 상태에 이르렀고, 인구 감소 등의 요인으로 앞으로도 승용차 판매 대수가 점차 감소할 것이라는 예상이 많다.

승용차	승용차/NNG
보급률이	보급/NNG+률/XSN+이/JKS
포화	포화/NNG
상태에	상태/NNG+에/JKB
이르렀고,	이르/VV+었/EP+고/EC+,/SP
인구	인구/NNG
감소	감소/NNG
등의	등/NNB+의/JKG
요인으로	요인/NNG+으로/JKB
앞으로도	앞/NNG+으로/JKB+도/JX
판매	판매/NNG
대수가	대수/NNG+가/JKS
점차	점차/MAG
감소할	감소/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
예상이	예상/NNG+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000025.111.7.1
한국자동차산업연구소는 ‘일본 자동차 내수 판매 부진 원인 분석’ 보고서에서 일본에서 운전 인구 대비 승용차 보유 비율은 하락하기 시작했으며 가구당 승용차 보유량도 2005년 평균 1.12대로 포화상태에 이르렀다고 진단했다.

한국자동차산업연구소는	한국자동차산업연구소/NNP+는/JX
‘일본	‘/SS+일본/NNP
자동차	자동차/NNG
내수	내수/NNG
판매	판매/NNG
부진	부진/NNG
원인	원인/NNG
분석’	분석/NNG+’/SS
보고서에서	보고서/NNG+에서/JKB
일본에서	일본/NNP+에서/JKB
운전	운전/NNG
인구	인구/NNG
대비	대비/NNG
승용차	승용차/NNG
보유	보유/NNG
비율은	비율/NNG+은/JX
하락하기	하락/NNG+하/XSV+기/ETN
시작했으며	시작/NNG+하/XSV+았/EP+으며/EC
가구당	가구/NNG+당/XSN
보유량도	보유량/NNG+도/JX
2005년	2005/SN+년/NNB
평균	평균/NNG
1.12대로	1/SN+./SP+12/SN+대/NNB+로/JKB
포화상태에	포화/NNG+상태/NNG+에/JKB
이르렀다고	이르/VV+었/EP+다고/EC
진단했다.	진단/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.111.7.2
이런 가운데 전체 인구는 2005년부터 감소하기 시작했으며 인구 구성도 구매력이 약한 노년층이 늘어나고 신차 구매율이 2인 이상 가구에 비해 크게 떨어지는 1인 가구가 급증하는 등 승용차 판매 확대에 불리한 방향으로 변하고 있다는 것.

이런	이런/MMD
가운데	가운데/NNG
전체	전체/NNG
인구는	인구/NNG+는/JX
2005년부터	2005/SN+년/NNB+부터/JX
감소하기	감소/NNG+하/XSV+기/ETN
시작했으며	시작/NNG+하/XSV+았/EP+으며/EC
인구	인구/NNG
구성도	구성/NNG+도/JX
구매력이	구매력/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
노년층이	노년/NNG+층/XSN+이/JKS
늘어나고	늘어나/VV+고/EC
신차	신차/NNG
구매율이	구매/NNG+율/XSN+이/JKS
2인	2/SN+인/NNG
이상	이상/NNG
가구에	가구/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
크게	크/VA+게/EC
떨어지는	떨어지/VV+는/ETM
1인	1/SN+인/NNG
가구가	가구/NNG+가/JKS
급증하는	급증/NNG+하/XSV+는/ETM
등	등/NNB
승용차	승용차/NNG
판매	판매/NNG
확대에	확대/NNG+에/JKB
불리한	불리/NNG+하/XSA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
변하고	변하/VV+고/EC
있다는	있/VX+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.111.8.1
대중교통비는 꾸준히 떨어지는 반면 자동차 유지비는 10년간 8.1% 오르고 자동차의 내구 품질이 점점 좋아지면서 소비자들이 차량을 이용하는 기간도 그만큼 길어진 것으로 분석됐다.

대중교통비는	대중교통비/NNG+는/JX
꾸준히	꾸준히/MAG
떨어지는	떨어지/VV+는/ETM
반면	반면/NNG
자동차	자동차/NNG
유지비는	유지비/NNG+는/JX
10년간	10/SN+년/NNB+간/XSN
8.1%	8/SN+./SP+1/SN+%/SW
오르고	오르/VV+고/EC
자동차의	자동차/NNG+의/JKG
내구	내구/NNG
품질이	품질/NNG+이/JKS
점점	점점/MAG
좋아지면서	좋/VA+아/EC+지/VX+면서/EC
소비자들이	소비자/NNG+들/XSN+이/JKS
차량을	차량/NNG+을/JKO
이용하는	이용/NNG+하/XSV+는/ETM
기간도	기간/NNG+도/JX
그만큼	그만큼/MAG
길어진	길어지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.111.8.2
승용차를 6년 이상 보유하는 비율은 1993년 4.5%에서 2005년 12.2%로 늘어났으며 특히 30세 이상과 대도시 거주층에서 그런 경향이 강하게 나타났다.

승용차를	승용차/NNG+를/JKO
6년	6/SN+년/NNB
이상	이상/NNG
보유하는	보유/NNG+하/XSV+는/ETM
비율은	비율/NNG+은/JX
1993년	1993/SN+년/NNB
4.5%에서	4/SN+./SP+5/SN+%/SW+에서/JKB
2005년	2005/SN+년/NNB
12.2%로	12/SN+./SP+2/SN+%/SW+로/JKB
늘어났으며	늘어나/VV+았/EP+으며/EC
특히	특히/MAG
30세	30/SN+세/NNB
이상과	이상/NNG+과/JC
대도시	대/XPN+도시/NNG
거주층에서	거주/NNG+층/XSN+에서/JKB
그런	그런/MMD
경향이	경향/NNG+이/JKS
강하게	강하/VA+게/EC
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.111.9.1
자동차산업연구소 측은 한국의 승용차 판매량도 2000년대 이후 정체 상태에 있지만 일본과 단순 비교하는 것은 잘못이라고 지적했다.

자동차산업연구소	자동차/NNG+산업/NNG+연구소/NNG
측은	측/NNB+은/JX
한국의	한국/NNP+의/JKG
승용차	승용차/NNG
판매량도	판매량/NNG+도/JX
2000년대	2000/SN+년대/NNB
이후	이후/NNG
정체	정체/NNG
상태에	상태/NNG+에/JKB
있지만	있/VA+지만/EC
일본과	일본/NNP+과/JKB
단순	단순/NNG
비교하는	비교/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
잘못이라고	잘못/NNG+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.111.9.2
한국은 1인당 가처분 소득이 지속적으로 상승하고 있으며 가구당 차량이 2006년 기준 평균 0.73대로 아직 충분히 보유량이 늘어날 여력이 있다는 분석이 나온다.

한국은	한국/NNP+은/JX
1인당	1/SN+인/NNG+당/XSN
가처분	가/XPN+처분/NNG
소득이	소득/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
상승하고	상승/NNG+하/XSV+고/EC
있으며	있/VX+으며/EC
가구당	가구/NNG+당/XSN
차량이	차량/NNG+이/JKS
2006년	2006/SN+년/NNB
기준	기준/NNG
평균	평균/NNG
0.73대로	0/SN+./SP+73/SN+대/NNB+로/JKB
아직	아직/MAG
충분히	충분히/MAG
보유량이	보유량/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
여력이	여력/NNG+이/JKS
있다는	있/VA+다는/ETM
분석이	분석/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


