# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.191
metadata : {}


# id : NWRW1800000045.191.1.1
[휴지통]짧은 치마女 훈계하다 허벅지 터치하면 성추행일까

[휴지통]짧은	[/SS+휴지통/NNG+]/SS+짧/VA+은/ETM
쳐다보는	쳐다보/VV+는/ETM
주변	주변/NNG
시선과	시선/NNG+과/JC
수군거림도	수군거리/VV+ㅁ/ETN+도/JX
느껴졌다.	느끼/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.191.3.5
참다못한 최 씨는 좌석에서 일어나 A 씨에게 다가갔다.

참다못한	참/VV+다/EC+못하/VX+ㄴ/ETM
최	최/NNP
씨는	씨/NNB+는/JX
좌석에서	좌석/NNG+에서/JKB
일어나	일어나/VV+아/EC
A	A/SL
씨에게	씨/NNB+에게/JKB
다가갔다.	다가가/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.191.3.6
그의 꼰 다리 오른쪽 허벅지를 손으로 ‘탁’ 치면서 “다리를 내려라”라고 말했다.

그의	그/NP+의/JKG
꼰	꼬/VV+ㄴ/ETM
다리	다리/NNG
오른쪽	오른쪽/NNG
허벅지를	허벅지/NNG+를/JKO
손으로	손/NNG+으로/JKB
‘탁’	‘/SS+탁/MAG+’/SS
치면서	치/VV+면서/EC
“다리를	“/SS+다리/NNG+를/JKO
내려라”라고	내리/VV+어라/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.191.3.7
그러자 불쾌감과 모욕감을 느낀 A 씨가 경찰에 신고했고 최 씨는 그의 허벅지 부분을 손으로 만진 혐의(성추행)로 기소됐다.

그러자	그러/VV+자/EC
불쾌감과	불쾌감/NNG+과/JC
모욕감을	모욕감/NNG+을/JKO
느낀	느끼/VV+ㄴ/ETM
A	A/SL
씨가	씨/NNB+가/JKS
경찰에	경찰/NNG+에/JKB
신고했고	신고/NNG+하/XSV+았/EP+고/EC
최	최/NNP
씨는	씨/NNB+는/JX
그의	그/NP+의/JKG
허벅지	허벅지/NNG
부분을	부분/NNG+을/JKO
손으로	손/NNG+으로/JKB
만진	만지/VV+ㄴ/ETM
혐의(성추행)로	혐의/NNG+(/SS+성추행/NNG+)/SS+로/JKB
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000045.191.3.8
1심 재판부는 유죄로 판단해 벌금 150만 원을 선고했다.

1심	1심/NNG
재판부는	재판부/NNG+는/JX
유죄로	유죄/NNG+로/JKB
판단해	판단/NNG+하/XSV+아/EC
벌금	벌금/NNG
150만	150/SN+만/NR
원을	원/NNB+을/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.191.4.1
하지만 항소심은 여성을 충고하는 과정에서 신체 접촉을 했다면 성추행으로 처벌할 수 없다며 원심을 깨고 무죄를 선고했다.

하지만	하지만/MAJ
항소심은	항소심/NNG+은/JX
여성을	여성/NNG+을/JKO
충고하는	충고/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
신체	신체/NNG
접촉을	접촉/NNG+을/JKO
했다면	하/VV+았/EP+다면/EC
성추행으로	성추행/NNG+으로/JKB
처벌할	처벌/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다며	없/VA+다며/EC
원심을	원심/NNG+을/JKO
깨고	깨/VV+고/EC
무죄를	무죄/NNG+를/JKO
선고했다.	선고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.191.4.2
대구지법 제3형사부(부장판사 김형한)는 25일 최 씨의 항소심에서 “피고인에게 추행 의도가 있었다고 단정할 수 없다”며 무죄 판결을 내렸다.

대구지법	대구지법/NNP
제3형사부(부장판사	제/XPN+3/SN+형사부/NNG+(/SS+부장/NNG+판사/NNG
김형한)는	김형한/NNP+)/SS+는/JX
25일	25/SN+일/NNB
최	최/NNP
씨의	씨/NNB+의/JKG
항소심에서	항소심/NNG+에서/JKB
“피고인에게	“/SS+피고인/NNG+에게/JKB
추행	추행/NNG
의도가	의도/NNG+가/JKS
있었다고	있/VA+었/EP+다고/EC
단정할	단정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다”며	없/VA+다/EF+”/SS+며/EC
무죄	무죄/NNG
판결을	판결/NNG+을/JKO
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.191.4.3
재판부는 “60세 넘은 피고인이 성적 충동에 추행을 저질렀다고 보기 어렵다.

재판부는	재판부/NNG+는/JX
“60세	“/SS+60/SN+세/NNB
넘은	넘/VV+은/ETM
피고인이	피고인/NNG+이/JKS
성적	성/NNG+적/XSN
충동에	충동/NNG+에/JKB
추행을	추행/NNG+을/JKO
저질렀다고	저지르/VV+었/EP+다고/EC
보기	보/VV+기/ETN
어렵다.	어렵/VA+다/EF+./SF


# id : NWRW1800000045.191.4.4
오히려 매우 짧은 치마를 입은 피해자를 발견하고 민망한 지하철 상황을 해소하려고 훈계하다 빚어진 일로 보는 게 자연스럽다”고 선고 이유를 밝혔다.

오히려	오히려/MAG
매우	매우/MAG
짧은	짧/VA+은/ETM
치마를	치마/NNG+를/JKO
입은	입/VV+은/ETM
피해자를	피해자/NNG+를/JKO
발견하고	발견/NNG+하/XSV+고/EC
민망한	민망하/VA+ㄴ/ETM
지하철	지하철/NNG
상황을	상황/NNG+을/JKO
해소하려고	해소/NNG+하/XSV+려고/EC
훈계하다	훈계/NNG+하/XSV+다/EC
빚어진	빚어지/VV+ㄴ/ETM
일로	일/NNG+로/JKB
보는	보/VV+는/ETM
게	거/NNB+이/JKS
자연스럽다”고	자연/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
선고	선고/NNG
이유를	이유/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


