# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.171
metadata : {}


# id : NWRW1800000028.171.1.1
“북에 약 지원까진 막지 말아야”

“북에	“/SS+북/NNP+에/JKB
린튼 회장은 “다제내성 결핵은 치료약을 끊으면 환자는 평생 치료할 수 없는 불치병에 걸리게 되고, 가족 등 주변 사람들은 치명적인 ‘다제내성 결핵’에 감염될 위험에 노출된다”며 “상황이 좋지 않지만, (한국 정부가) 결핵환자들이 먹는 약까지 끊으리라고는 생각하지 않는다”고 말했다.

린튼	린튼/NNP
회장은	회장/NNG+은/JX
“다제내성	“/SS+다제/NNG+내성/NNG
결핵은	결핵/NNG+은/JX
치료약을	치료/NNG+약/NNG+을/JKO
끊으면	끊/VV+으면/EC
환자는	환자/NNG+는/JX
평생	평생/NNG
치료할	치료/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
불치병에	불치병/NNG+에/JKB
걸리게	걸리/VV+게/EC
되고,	되/VV+고/EC+,/SP
가족	가족/NNG
등	등/NNB
주변	주변/NNG
사람들은	사람/NNG+들/XSN+은/JX
치명적인	치명/NNG+적/XSN+이/VCP+ㄴ/ETM
‘다제내성	‘/SS+다제/NNG+내성/NNG
결핵’에	결핵/NNG+’/SS+에/JKB
감염될	감염/NNG+되/XSV+ㄹ/ETM
위험에	위험/NNG+에/JKB
노출된다”며	노출/NNG+되/XSV+ㄴ다/EF+”/SS+며/EC
“상황이	“/SS+상황/NNG+이/JKS
좋지	좋/VA+지/EC
않지만,	않/VX+지만/EC+,/SP
(한국	(/SS+한국/NNP
정부가)	정부/NNG+가/JKS+)/SS
결핵환자들이	결핵/NNG+환자/NNG+들/XSN+이/JKS
먹는	먹/VV+는/ETM
약까지	약/NNG+까지/JX
끊으리라고는	끊/VV+으리라고/EC+는/JX
생각하지	생각/NNG+하/XSV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.171.5.1
린튼 회장은 지난 11~25일 방북해 11개 결핵요양소와 4개 내성결핵센터를 방문해, 환자들을 검진하고 치료제를 전달했다.

린튼	린튼/NNP
회장은	회장/NNG+은/JX
지난	지나/VV+ㄴ/ETM
11~25일	11/SN+~/SO+25/SN+일/NNB
방북해	방북/NNG+하/XSV+아/EC
11개	11/SN+개/NNB
결핵요양소와	결핵/NNG+요양소/NNG+와/JC
4개	4/SN+개/NNB
내성결핵센터를	내성/NNG+결핵/NNG+센터/NNG+를/JKO
방문해,	방문/NNG+하/XSV+아/EC+,/SP
환자들을	환자/NNG+들/XSN+을/JKO
검진하고	검진/NNG+하/XSV+고/EC
치료제를	치료제/NNG+를/JKO
전달했다.	전달/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.171.5.2
유진벨재단은 2007년부터 북녘의 ‘다제내성 결핵환자’ 치료에 집중해왔는데, 환자 한명의 약값만 한해에 1000~1500달러 남짓일 정도로 비용이 많이 들어 환자와 외부 후원자의 ‘1 대 1 결연’ 방식으로 지원 사업을 벌이고 있다.

유진벨재단은	유진벨재단/NNP+은/JX
2007년부터	2007/SN+년/NNB+부터/JX
북녘의	북녘/NNG+의/JKG
‘다제내성	‘/SS+다제/NNG+내성/NNG
결핵환자’	결핵/NNG+환자/NNG+’/SS
치료에	치료/NNG+에/JKB
집중해왔는데,	집중/NNG+하/XSV+아/EC+오/VX+았/EP+는데/EC+,/SP
환자	환자/NNG
한명의	한/MMN+명/NNB+의/JKG
약값만	약값/NNG+만/JX
한해에	한/MMN+해/NNB+에/JKB
1000~1500달러	1000/SN+~/SO+1500/SN+달러/NNB
남짓일	남짓/NNB+이/VCP+ㄹ/ETM
정도로	정도/NNG+로/JKB
비용이	비용/NNG+이/JKS
많이	많이/MAG
들어	들/VV+어/EC
환자와	환자/NNG+와/JC
외부	외부/NNG
후원자의	후원자/NNG+의/JKG
‘1	‘/SS+1/SN
대	대/NNB
1	1/SN
결연’	결연/NNG+’/SS
방식으로	방식/NNG+으로/JKB
지원	지원/NNG
사업을	사업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.171.5.3
일반 결핵환자들이 1차 치료제를 6~8개월 복용하면 완치되는 반면에, 다제내성 결핵환자들은 청각상실·손발저림 등 부작용을 감수하며 100배나 많은 약을 2년6개월에서 3년 남짓 먹어야 치료가 가능하다.

일반	일반/NNG
결핵환자들이	결핵/NNG+환자/NNG+들/XSN+이/JKS
1차	1/SN+차/NNB
치료제를	치료제/NNG+를/JKO
6~8개월	6/SN+~/SO+8/SN+개월/NNB
복용하면	복용/NNG+하/XSV+면/EC
완치되는	완치/NNG+되/XSV+는/ETM
반면에,	반면/NNG+에/JKB+,/SP
다제내성	다제/NNG+내성/NNG
결핵환자들은	결핵/NNG+환자/NNG+들/XSN+은/JX
청각상실·손발저림	청각/NNG+상실/NNG+·/SP+손발/NNG+저리/VV+ㅁ/ETN
등	등/NNB
부작용을	부작용/NNG+을/JKO
감수하며	감수/NNG+하/XSV+며/EC
100배나	100/SN+배/NNG+나/JX
많은	많/VA+은/ETM
약을	약/NNG+을/JKO
2년6개월에서	2/SN+년/NNB+6/SN+개월/NNB+에서/JKB
3년	3/SN+년/NNB
남짓	남짓/NNB
먹어야	먹/VV+어야/EC
치료가	치료/NNG+가/JKS
가능하다.	가능/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.171.5.4
린튼 회장은 “이런 때일수록 인도주의 사업을 보존해야 앞으로 상황이 바뀌어 다른 문제를 풀려고 할 때 도움 될 수 있다”고 정부의 유연한 대처를 주문했다.

린튼	린튼/NNP
회장은	회장/NNG+은/JX
“이런	“/SS+이런/MMD
때일수록	때/NNG+이/VCP+ㄹ수록/EC
인도주의	인도주의/NNG
사업을	사업/NNG+을/JKO
보존해야	보존/NNG+하/XSV+아야/EC
앞으로	앞/NNG+으로/JKB
상황이	상황/NNG+이/JKS
바뀌어	바뀌/VV+어/EC
다른	다른/MMD
문제를	문제/NNG+를/JKO
풀려고	풀/VV+려고/EC
할	하/VX+ㄹ/ETM
때	때/NNG
도움	도움/NNG
될	되/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
정부의	정부/NNG+의/JKG
유연한	유연하/VA+ㄴ/ETM
대처를	대처/NNG+를/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


