# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.331
metadata : {}


# id : NWRW1800000022.331.1.1
[대한민국 제1호] '소년척후대', 스카우트의 원조

[대한민국	[/SS+대한민국/NNP
# id : NWRW1800000022.331.7.4
현재 한국스카우트연맹은 소년척후대와 조선소년군을 둘 다 '한국스카우트의 원조'로 인정하고 있다.

현재	현재/MAG
한국스카우트연맹은	한국스카우트연맹/NNP+은/JX
소년척후대와	소년척후대/NNP+와/JC
조선소년군을	조선소년군/NNP+을/JKO
둘	둘/NR
다	다/MAG
'한국스카우트의	'/SS+한국스카우트/NNP+의/JKG
원조'로	원조/NNG+'/SS+로/JKB
인정하고	인정/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.331.7.5
정 선생과 조 선생 모두 '민족의 실력을 기르는 방편'으로 청소년 운동을 펼쳐 일제 말기 일본 경찰에게 수시로 곤욕을 치렀다.

정	정/NNP
선생과	선생/NNG+과/JC
조	조/NNP
선생	선생/NNG
모두	모두/MAG
'민족의	'/SS+민족/NNG+의/JKG
실력을	실력/NNG+을/JKO
기르는	기르/VV+는/ETM
방편'으로	방편/NNG+'/SS+으로/JKB
청소년	청소년/NNG
운동을	운동/NNG+을/JKO
펼쳐	펼치/VV+어/EC
일제	일제/NNG
말기	말기/NNG
일본	일본/NNP
경찰에게	경찰/NNG+에게/JKB
수시로	수시로/MAG
곤욕을	곤욕/NNG+을/JKO
치렀다.	치르/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.331.8.1
해방 후 외교관으로 활동하던 정 선생은 6·25 전쟁 때 북한군에게 납치된 뒤 소식이 끊겼다.

해방	해방/NNG
후	후/NNG
외교관으로	외교관/NNG+으로/JKB
활동하던	활동/NNG+하/XSV+던/ETM
정	정/NNP
선생은	선생/NNG+은/JX
6·25	6/SN+·/SP+25/SN
전쟁	전쟁/NNG
때	때/NNG
북한군에게	북한군/NNG+에게/JKB
납치된	납치/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
소식이	소식/NNG+이/JKS
끊겼다.	끊기/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.331.8.2
창설자를 잃은 뒤에도 한국스카우트는 풍파를 헤치며 회원 36만명을 거느린 단체로 성장했다.

창설자를	창설자/NNG+를/JKO
잃은	잃/VV+은/ETM
뒤에도	뒤/NNG+에/JKB+도/JX
한국스카우트는	한국스카우트/NNP+는/JX
풍파를	풍파/NNG+를/JKO
헤치며	헤치/VV+며/EC
회원	회원/NNG
36만명을	36/SN+만/NR+명/NNB+을/JKO
거느린	거느리/VV+ㄴ/ETM
단체로	단체/NNG+로/JKB
성장했다.	성장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.331.8.3
1991년 전 세계 스카우트들의 '올림픽'으로 꼽히는 세계잼버리대회를 치르고, 2002년에는 여성에게도 문호를 개방하고 단체 이름 '한국보이스카우트연맹'에서 '보이(boy·소년)'를 떼어냈다.

1991년	1991/SN+년/NNB
전	전/MMN
세계	세계/NNG
스카우트들의	스카우트/NNG+들/XSN+의/JKG
'올림픽'으로	'/SS+올림픽/NNG+'/SS+으로/JKB
꼽히는	꼽히/VV+는/ETM
세계잼버리대회를	세계/NNG+잼버리/NNG+대회/NNG+를/JKO
치르고,	치르/VV+고/EC+,/SP
2002년에는	2002/SN+년/NNB+에/JKB+는/JX
여성에게도	여성/NNG+에게/JKB+도/JX
문호를	문호/NNG+를/JKO
개방하고	개방/NNG+하/XSV+고/EC
단체	단체/NNG
이름	이름/NNG
'한국보이스카우트연맹'에서	'/SS+한국보이스카우트연맹/NNP+'/SS+에서/JKB
'보이(boy·소년)'를	'/SS+보이/NNG+(/SS+boy/SL+·/SP+소년/NNG+)/SS+'/SS+를/JKO
떼어냈다.	떼/VV+어/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.331.8.4
단, 한국걸스카우트연맹은 한국스카우트연맹과는 완전히 다른 단체다.

단,	단/MAJ+,/SP
한국걸스카우트연맹은	한국걸스카우트연맹/NNP+은/JX
한국스카우트연맹과는	한국스카우트연맹/NNP+과/JKB+는/JX
완전히	완전히/MAG
다른	다르/VA+ㄴ/ETM
단체다.	단체/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.331.9.1
정 선생의 부인과 장남은 1993년 차례로 세상을 떠났다.

정	정/NNP
선생의	선생/NNG+의/JKG
부인과	부인/NNG+과/JC
장남은	장남/NNG+은/JX
1993년	1993/SN+년/NNB
차례로	차례/NNG+로/JKB
세상을	세상/NNG+을/JKO
떠났다.	떠나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.331.9.2
후손들은 정 선생도 고인이 됐을 것으로 생각하고 오는 26일 서울 수송교회에서 첫 추모예배를 갖기로 했다.

후손들은	후손/NNG+들/XSN+은/JX
정	정/NNP
선생도	선생/NNG+도/JX
고인이	고인/NNG+이/JKC
됐을	되/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
생각하고	생각/NNG+하/XSV+고/EC
오는	오/VV+는/ETM
26일	26/SN+일/NNB
서울	서울/NNP
수송교회에서	수송교회/NNP+에서/JKB
첫	첫/MMN
추모예배를	추모/NNG+예배/NNG+를/JKO
갖기로	갖/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


