# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.329
metadata : {}


# id : NWRW1800000029.329.1.1
[기자의 눈/이경희]사립은 “속죄” 국립은 “항의”… 보직교수 줄사퇴 엇갈린 속내

[기자의	[/SS+기자/NNG+의/JKG
사립대인 경남대 상명대는 전적으로 학교의 명예를 실추시킨 것에 대해 속죄하고 책임진다는 차원이다.

사립대인	사립대/NNG+이/VCP+ㄴ/ETM
경남대	경남대/NNP
상명대는	상명대/NNP+는/JX
전적으로	전적/NNG+으로/JKB
학교의	학교/NNG+의/JKG
명예를	명예/NNG+를/JKO
실추시킨	실추/NNG+시키/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
속죄하고	속죄/NNG+하/XSV+고/EC
책임진다는	책임지/VV+ㄴ다는/ETM
차원이다.	차원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.329.5.3
반면 국립대인 강원대 충북대는 평가 기준이 지방대에 불리하다며 정부에 항의하는 차원이다.

반면	반면/NNG
국립대인	국립대/NNG+이/VCP+ㄴ/ETM
강원대	강원대/NNP
충북대는	충북대/NNP+는/JX
평가	평가/NNG
기준이	기준/NNG+이/JKS
지방대에	지방대/NNG+에/JKB
불리하다며	불리/NNG+하/XSA+다며/EC
정부에	정부/NNG+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
차원이다.	차원/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.329.6.1
같은 평가를 두고 사립대와 국립대의 반응이 극명하게 갈리는 이유는 양측이 처한 상황이 다르기 때문이다.

같은	같/VA+은/ETM
평가를	평가/NNG+를/JKO
두고	두/VV+고/EC
사립대와	사립대/NNG+와/JC
국립대의	국립대/NNG+의/JKG
반응이	반응/NNG+이/JKS
극명하게	극명/NNG+하/XSA+게/EC
갈리는	갈리/VV+는/ETM
이유는	이유/NNG+는/JX
양측이	양측/NNG+이/JKS
처한	처하/VV+ㄴ/ETM
상황이	상황/NNG+이/JKS
다르기	다르/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.329.6.2
사립대는 ‘목숨’이 달렸지만 국립대는 ‘자존심’이 달렸다.

사립대는	사립대/NNG+는/JX
‘목숨’이	‘/SS+목숨/NNG+’/SS+이/JKS
달렸지만	달리/VV+었/EP+지만/EC
국립대는	국립대/NNG+는/JX
‘자존심’이	‘/SS+자존심/NNG+’/SS+이/JKS
달렸다.	달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.329.6.3
재정지원제한 사립대는 교과부로부터 예산을 한 푼도 지원받지 못한다.

재정지원제한	재정/NNG+지원/NNG+제한/NNG
사립대는	사립대/NNG+는/JX
교과부로부터	교과부/NNG+로부터/JKB
예산을	예산/NNG+을/JKO
한	한/MMN
푼도	푼/NNB+도/JX
지원받지	지원/NNG+받/XSV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.329.6.4
돈도 문제지만 내년에 당장 ‘오명’을 벗지 못하면 지원율 급락 등 치명타가 불가피하고 더 나아가 ‘퇴출 대상’으로 분류될 수도 있다.

돈도	돈/NNG+도/JX
문제지만	문제/NNG+이/VCP+지만/EC
내년에	내년/NNG+에/JKB
당장	당장/NNG
‘오명’을	‘/SS+오명/NNG+’/SS+을/JKO
벗지	벗/VV+지/EC
못하면	못하/VX+면/EC
지원율	지원/NNG+율/XSN
급락	급락/NNG
등	등/NNB
치명타가	치명타/NNG+가/JKS
불가피하고	불가피하/VA+고/EC
더	더/MAG
나아가	나아가/VV+아/EC
‘퇴출	‘/SS+퇴출/NNG
대상’으로	대상/NNG+’/SS+으로/JKB
분류될	분류/NNG+되/XSV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.329.7.1
그러나 국립대는 좋지 않은 평가를 받더라도 정부의 지원금이 그대로 유지된다.

그러나	그러나/MAJ
국립대는	국립대/NNG+는/JX
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
평가를	평가/NNG+를/JKO
받더라도	받/VV+더라도/EC
정부의	정부/NNG+의/JKG
지원금이	지원금/NNG+이/JKS
그대로	그대로/MAG
유지된다.	유지/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.329.7.2
그 대신 개혁 대상이 되면 총장 직선제를 폐지해야 하고 성과목표제, 연봉제를 도입해야 한다.

그	그/MMD
대신	대신/NNG
개혁	개혁/NNG
대상이	대상/NNG+이/JKC
되면	되/VV+면/EC
총장	총장/NNG
직선제를	직선/NNG+제/XSN+를/JKO
폐지해야	폐지/NNG+하/XSV+아야/EC
하고	하/VX+고/EC
성과목표제,	성과/NNG+목표/NNG+제/XSN+,/SP
연봉제를	연봉/NNG+제/XSN+를/JKO
도입해야	도입/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000029.329.7.3
자율권도 대폭 줄어든다.

자율권도	자율/NNG+권/XSN+도/JX
대폭	대폭/MAG
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.329.7.4
강원대 충북대가 구조개혁에 반발하는 이유다.

강원대	강원대/NNP
충북대가	충북대/NNP+가/JKS
구조개혁에	구조/NNG+개혁/NNG+에/JKB
반발하는	반발/NNG+하/XSV+는/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.329.8.1
하지만 이 반발에 선뜻 동의할 수는 없다.

하지만	하지만/MAJ
이	이/MMD
반발에	반발/NNG+에/JKB
선뜻	선뜻/MAG
동의할	동의/NNG+하/XSV+ㄹ/ETM
수는	수/NNB+는/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000029.329.8.2
다른 국립대에 비해 취업률, 재학생 충원율 등 평가지표 점수가 떨어지는 것은 부정할 수 없는 사실이다.

다른	다른/MMD
국립대에	국립대/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
취업률,	취업/NNG+률/XSN+,/SP
재학생	재학/NNG+생/XSN
충원율	충원/NNG+율/XSN
등	등/NNB
평가지표	평가/NNG+지표/NNG
점수가	점수/NNG+가/JKS
떨어지는	떨어지/VV+는/ETM
것은	것/NNB+은/JX
부정할	부정/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
사실이다.	사실/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.329.8.3
이 점을 인정하고 개선하려는 노력부터 보여야 할 것이다.

이	이/MMD
점을	점/NNG+을/JKO
인정하고	인정/NNG+하/XSV+고/EC
개선하려는	개선/NNG+하/XSV+려는/ETM
노력부터	노력/NNG+부터/JX
보여야	보이/VV+어야/EC
할	하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.329.8.4
반성 없이 보직교수 사퇴 카드부터 꺼내는 것은 국립대 교수로서 책임 있는 자세가 아니다.

반성	반성/NNG
없이	없이/MAG
보직교수	보직/NNG+교수/NNG
사퇴	사퇴/NNG
카드부터	카드/NNG+부터/JX
꺼내는	꺼내/VV+는/ETM
것은	것/NNB+은/JX
국립대	국립대/NNG
교수로서	교수/NNG+로서/JKB
책임	책임/NNG
있는	있/VA+는/ETM
자세가	자세/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000029.329.8.5
생존을 위해 눈물겨운 사투를 벌이는 사립대와 비교하면 오만하게 비칠 수도 있다.

생존을	생존/NNG+을/JKO
위해	위하/VV+아/EC
눈물겨운	눈물겹/VA+ㄴ/ETM
사투를	사투/NNG+를/JKO
벌이는	벌이/VV+는/ETM
사립대와	사립대/NNG+와/JKB
비교하면	비교/NNG+하/XSV+면/EC
오만하게	오만/NNG+하/XSA+게/EC
비칠	비치/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.329.9.1
불이익에 반발하기에 앞서 우리 대학의 문제점부터 돌아보는 게 순리다.

불이익에	불/XPN+이익/NNG+에/JKB
반발하기에	반발/NNG+하/XSV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
우리	우리/NP
대학의	대학/NNG+의/JKG
문제점부터	문제점/NNG+부터/JX
돌아보는	돌아보/VV+는/ETM
게	거/NNB+이/JKS
순리다.	순리/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.329.9.2
그래야 내년에는 교과부의 통제에서 자유로워질 수 있지 않겠는가.

그래야	그러/VV+어야/EC
내년에는	내년/NNG+에/JKB+는/JX
교과부의	교과부/NNG+의/JKG
통제에서	통제/NNG+에서/JKB
자유로워질	자유/NNG+롭/XSA+어/EC+지/VX+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않겠는가.	않/VX+겠/EP+는가/EF+./SF


# id : NWRW1800000029.329.9.3
그게 학생에게 돌아가는 피해를 줄일 수 있는 방법이다.

그게	그거/NP+이/JKS
학생에게	학생/NNG+에게/JKB
돌아가는	돌아가/VV+는/ETM
피해를	피해/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
방법이다.	방법/NNG+이/VCP+다/EF+./SF


