# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.400
metadata : {}


# id : NWRW1800000033.400.1.1
[수도권]서울시 비정규직 6231명 직접고용 -정규직화

[수도권]서울시	[/SS+수도/NNG+권/XSN+]/SS+서울시/NNP
이들은 민간 용역업체와 고용 계약을 맺은 뒤 시 공공청사 등에 파견되는 형태로 근무하고 있다.

이들은	이/NP+들/XSN+은/JX
민간	민간/NNG
용역업체와	용역업체/NNG+와/JKB
고용	고용/NNG
계약을	계약/NNG+을/JKO
맺은	맺/VV+은/ETM
뒤	뒤/NNG
시	시/NNG
공공청사	공공/NNG+청사/NNG
등에	등/NNB+에/JKB
파견되는	파견/NNG+되/XSV+는/ETM
형태로	형태/NNG+로/JKB
근무하고	근무/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.400.3.3
그러나 신분이 정규직 공무원으로 전환되는 것은 아니며 정년이 보장되는 무기계약직으로 고용되는 것이다.

그러나	그러나/MAJ
신분이	신분/NNG+이/JKS
정규직	정규직/NNG
공무원으로	공무원/NNG+으로/JKB
전환되는	전환/NNG+되/XSV+는/ETM
것은	것/NNB+은/JX
아니며	아니/VCN+며/EC
정년이	정년/NNG+이/JKS
보장되는	보장/NNG+되/XSV+는/ETM
무기계약직으로	무기/NNG+계약직/NNG+으로/JKB
고용되는	고용/NNG+되/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.400.4.1
현재 서울시에는 청소 분야 4172명(67%)을 비롯해 시설 분야 731명(11.7%), 경비 분야 512명(8.2%), 주차·경정비 등 기타 분야 816명(13.1%)이 간접고용 근로자로 일하고 있다.

현재	현재/MAG
서울시에는	서울시/NNP+에/JKB+는/JX
청소	청소/NNG
분야	분야/NNG
4172명(67%)을	4172/SN+명/NNB+(/SS+67/SN+%/SW+)/SS+을/JKO
비롯해	비롯하/VV+아/EC
시설	시설/NNG
731명(11.7%),	731/SN+명/NNB+(/SS+11/SN+./SP+7/SN+%/SW+)/SS+,/SP
경비	경비/NNG
512명(8.2%),	512/SN+명/NNB+(/SS+8/SN+./SP+2/SN+%/SW+)/SS+,/SP
주차·경정비	주차/NNG+·/SP+경정비/NNG
등	등/NNB
기타	기타/NNG
816명(13.1%)이	816/SN+명/NNB+(/SS+13/SN+./SP+1/SN+%/SW+)/SS+이/JKS
간접고용	간접/NNG+고용/NNG
근로자로	근로자/NNG+로/JKB
일하고	일/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.400.4.2
시는 이들 중 우선 종사자가 가장 많고 임금, 처우가 가장 열악한 청소 근로자 4172명부터 직접 고용하거나 정규직화를 추진한다.

시는	시/NNG+는/JX
이들	이/NP+들/XSN
중	중/NNB
우선	우선/MAG
종사자가	종사자/NNG+가/JKS
가장	가장/MAG
많고	많/VA+고/EC
임금,	임금/NNG+,/SP
처우가	처우/NNG+가/JKS
열악한	열악하/VA+ㄴ/ETM
청소	청소/NNG
근로자	근로자/NNG
4172명부터	4172/SN+명/NNB+부터/JX
직접	직접/MAG
고용하거나	고용/NNG+하/XSV+거나/EC
정규직화를	정규직/NNG+화/XSN+를/JKO
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.400.4.3
청소 근로자는 서울메트로와 도시철도공사에 파견된 인력이 3116명(75%)으로 가장 많고, 다음은 시 본청·사업소 502명(12%) 등이다.

청소	청소/NNG
근로자는	근로자/NNG+는/JX
서울메트로와	서울메트로/NNP+와/JC
도시철도공사에	도시철도공사/NNP+에/JKB
파견된	파견/NNG+되/XSV+ㄴ/ETM
인력이	인력/NNG+이/JKS
3116명(75%)으로	3116/SN+명/NNB+(/SS+75/SN+%/SW+)/SS+으로/JKB
가장	가장/MAG
많고,	많/VA+고/EC+,/SP
다음은	다음/NNG+은/JX
시	시/NNG
본청·사업소	본청/NNG+·/SP+사업소/NNG
502명(12%)	502/SN+명/NNB+(/SS+12/SN+%/SW+)/SS
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.400.4.4
서울메트로와 도시철도공사는 자회사를 설립해 내년 6월 1일 3116명을 정규직으로 전환할 방침이다.

서울메트로와	서울메트로/NNP+와/JC
도시철도공사는	도시철도공사/NNP+는/JX
자회사를	자회사/NNG+를/JKO
설립해	설립/NNG+하/XSV+아/EC
내년	내년/NNG
6월	6/SN+월/NNB
1일	1/SN+일/NNB
3116명을	3116/SN+명/NNB+을/JKO
정규직으로	정규직/NNG+으로/JKB
전환할	전환/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.400.4.5
정년도 현재 민간 용역업체 청소 분야 통상정년인 65세로 조정해 고용을 보장하고 복리후생 혜택도 부여하기로 했다.

정년도	정년/NNG+도/JX
현재	현재/MAG
민간	민간/NNG
용역업체	용역업체/NNG
청소	청소/NNG
분야	분야/NNG
통상정년인	통상/NNG+정년/NNG+이/VCP+ㄴ/ETM
65세로	65/SN+세/NNB+로/JKB
조정해	조정/NNG+하/XSV+아/EC
고용을	고용/NNG+을/JKO
보장하고	보장/NNG+하/XSV+고/EC
복리후생	복리/NNG+후생/NNG
혜택도	혜택/NNG+도/JX
부여하기로	부여/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.400.4.6
시 본청과 사업소 등에서 근무하는 간접고용 비정규직 1056명은 각각의 계약 종료 시점에 맞춰 시가 준공무직으로 직접 고용한다.

시	시/NNG
본청과	본청/NNG+과/JC
사업소	사업소/NNG
등에서	등/NNB+에서/JKB
근무하는	근무/NNG+하/XSV+는/ETM
간접고용	간접/NNG+고용/NNG
비정규직	비/XPN+정규직/NNG
1056명은	1056/SN+명/NNB+은/JX
각각의	각각/NNG+의/JKG
계약	계약/NNG
종료	종료/NNG
시점에	시점/NNG+에/JKB
맞춰	맞추/VV+어/EC
시가	시/NNG+가/JKS
준공무직으로	준/XPN+공무직/NNG+으로/JKB
직접	직접/MAG
고용한다.	고용/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.400.5.1
시는 청소 분야를 시작으로 2014년 시설·경비 분야, 2015년 주차, 경정비 등 기타 분야에 대한 직접고용 및 정규직 전환을 단계적으로 추진한다.

시는	시/NNG+는/JX
청소	청소/NNG
분야를	분야/NNG+를/JKO
시작으로	시작/NNG+으로/JKB
2014년	2014/SN+년/NNB
시설·경비	시설/NNG+·/SP+경비/NNG
분야,	분야/NNG+,/SP
2015년	2015/SN+년/NNB
주차,	주차/NNG+,/SP
경정비	경정비/NNG
등	등/NNB
기타	기타/NNG
분야에	분야/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
직접고용	직접/NNG+고용/NNG
및	및/MAG
정규직	정규직/NNG
전환을	전환/NNG+을/JKO
단계적으로	단계/NNG+적/XSN+으로/JKB
추진한다.	추진/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.400.5.2
5년 후인 2017년에는 전체 간접고용 비정규직을 모두 정규직화할 계획이다.

5년	5/SN+년/NNB
후인	후/NNG+이/VCP+ㄴ/ETM
2017년에는	2017/SN+년/NNB+에/JKB+는/JX
전체	전체/NNG
간접고용	간접/NNG+고용/NNG
비정규직을	비/XPN+정규직/NNG+을/JKO
모두	모두/MAG
정규직화할	정규직/NNG+화/XSN+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.400.5.3
직접고용 분야 공공부문 비정규직 234명도 내년 1월부터 정규직으로 전환한다.

직접고용	직접/NNG+고용/NNG
분야	분야/NNG
공공부문	공공/NNG+부문/NNG
비정규직	비/XPN+정규직/NNG
234명도	234/SN+명/NNB+도/JX
내년	내년/NNG
1월부터	1/SN+월/NNB+부터/JX
정규직으로	정규직/NNG+으로/JKB
전환한다.	전환/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.400.5.4
시는 직접고용으로 전환되는 청소 근로자에게 월평균 156만 원의 임금을 지급하기로 했다.

시는	시/NNG+는/JX
직접고용으로	직접/NNG+고용/NNG+으로/JKB
전환되는	전환/NNG+되/XSV+는/ETM
청소	청소/NNG
근로자에게	근로자/NNG+에게/JKB
월평균	월평균/NNG
156만	156/SN+만/NR
원의	원/NNB+의/JKG
임금을	임금/NNG+을/JKO
지급하기로	지급/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.400.5.5
이는 현재 간접 고용된 청소근로자의 월평균 임금 131만 원보다 19% 정도 인상된 것이다.

이는	이/NP+는/JX
현재	현재/MAG
간접	간접/NNG
고용된	고용/NNG+되/XSV+ㄴ/ETM
청소근로자의	청소/NNG+근로자/NNG+의/JKG
월평균	월평균/NNG
임금	임금/NNG
131만	131/SN+만/NR
원보다	원/NNB+보다/JKB
19%	19/SN+%/SW
정도	정도/NNG
인상된	인상/NNG+되/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.400.5.6
시는 “고용 전환으로 인건비 자체는 현재 658억 원(외주업체 지불)에서 765억 원(직접고용)으로 107억 원이 더 들 것으로 보인다”며 “하지만 민간 용역업체에 지불하는 전체 경비가 415억 원에서 254억 원으로 161억 원 정도 감소해 전체적으로는 54억 원의 예산을 절감하게 된다”고 설명했다.

시는	시/NNG+는/JX
“고용	“/SS+고용/NNG
전환으로	전환/NNG+으로/JKB
인건비	인건비/NNG
자체는	자체/NNG+는/JX
현재	현재/MAG
658억	658/SN+억/NR
원(외주업체	원/NNB+(/SS+외주업체/NNG
지불)에서	지불/NNG+)/SS+에서/JKB
765억	765/SN+억/NR
원(직접고용)으로	원/NNB+(/SS+직접/NNG+고용/NNG+)/SS+으로/JKB
107억	107/SN+억/NR
원이	원/NNB+이/JKS
더	더/MAG
들	들/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“하지만	“/SS+하지만/MAJ
민간	민간/NNG
용역업체에	용역업체/NNG+에/JKB
지불하는	지불/NNG+하/XSV+는/ETM
전체	전체/NNG
경비가	경비/NNG+가/JKS
415억	415/SN+억/NR
원에서	원/NNB+에서/JKB
254억	254/SN+억/NR
원으로	원/NNB+으로/JKB
161억	161/SN+억/NR
원	원/NNB
정도	정도/NNG
감소해	감소/NNG+하/XSV+아/EC
전체적으로는	전체/NNG+적/XSN+으로/JKB+는/JX
54억	54/SN+억/NR
원의	원/NNB+의/JKG
예산을	예산/NNG+을/JKO
절감하게	절감/NNG+하/XSV+게/EC
된다”고	되/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


