# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.87
metadata : {}


# id : NWRW1800000030.87.1.1
"김지미는 웃음에도 서글픔이… 사진찍기 힘들었죠"

"김지미는	"/SS+김지미/NNP+는/JX
웃음에도	웃음/NNG+에/JKB+도/JX
양복,	양복/NNG+,/SP
치약,	치약/NNG+,/SP
탄산음료….	탄산음료/NNG+…/SE+./SF


# id : NWRW1800000030.87.5.3
당시 새롭게 등장한 각종 소비재와 함께 포즈를 취한 모델들은 풍족하고, 행복하고, 화려해 보인다.

당시	당시/NNG
새롭게	새롭/VA+게/EC
등장한	등장/NNG+하/XSV+ㄴ/ETM
각종	각종/NNG
소비재와	소비재/NNG+와/JKB
함께	함께/MAG
포즈를	포즈/NNG+를/JKO
취한	취하/VV+ㄴ/ETM
모델들은	모델/NNG+들/XSN+은/JX
풍족하고,	풍족하/VA+고/EC+,/SP
행복하고,	행복/NNG+하/XSA+고/EC+,/SP
화려해	화려하/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.87.5.4
김한용은 "가난한 시대였기 때문에 광고 사진에서는 '이렇게 살아봤으면' '이렇게 놀아봤으면' 하는 당시 사람들의 '꿈'을 표현하는 것이 더욱 중요했다. 풍요로운 이미지를 담지 않으면 아무도 눈길을 주지 않았다"고 했다.

김한용은	김한용/NNP+은/JX
"가난한	"/SS+가난/NNG+하/XSA+ㄴ/ETM
시대였기	시대/NNG+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
광고	광고/NNG
사진에서는	사진/NNG+에서/JKB+는/JX
'이렇게	'/SS+이렇/VA+게/EC
살아봤으면'	살/VV+아/EC+보/VX+았/EP+으면/EC+'/SS
놀아봤으면'	놀/VV+아/EC+보/VX+았/EP+으면/EC+'/SS
하는	하/VV+는/ETM
당시	당시/NNG
사람들의	사람/NNG+들/XSN+의/JKG
'꿈'을	'/SS+꿈/NNG+'/SS+을/JKO
표현하는	표현/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
더욱	더욱/MAG
중요했다.	중요/NNG+하/XSA+았/EP+다/EF+./SF
풍요로운	풍요/NNG+롭/XSA+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
담지	담/VV+지/EC
않으면	않/VX+으면/EC
아무도	아무/NP+도/JX
눈길을	눈길/NNG+을/JKO
주지	주/VV+지/EC
않았다"고	않/VX+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.87.5.5
단적인 예가 1969년 백화양조주식회사 달력의 '2월' 사진.

단적인	단적/NNG+이/VCP+ㄴ/ETM
예가	예/NNG+가/JKS
1969년	1969/SN+년/NNB
백화양조주식회사	백화양조주식회사/NNP
달력의	달력/NNG+의/JKG
'2월'	'/SS+2/SN+월/NNB+'/SS
사진.	사진/NNG+./SF


# id : NWRW1800000030.87.5.6
영화배우 임성빈이 한 손에 사냥용 총을 들고 눈 쌓인 바위에 걸터앉아있고, 갓 잡은 꿩은 옆에 걸려 있고, 바닥의 모닥불에서는 꿩고기가 익어가는 장면이다.

영화배우	영화배우/NNG
임성빈이	임성빈/NNP+이/JKS
한	한/MMN
손에	손/NNG+에/JKB
사냥용	사냥/NNG+용/XSN
총을	총/NNG+을/JKO
들고	들/VV+고/EC
눈	눈/NNG
쌓인	쌓이/VV+ㄴ/ETM
바위에	바위/NNG+에/JKB
걸터앉아있고,	걸터앉/VV+아/EC+있/VX+고/EC+,/SP
갓	갓/MAG
잡은	잡/VV+은/ETM
꿩은	꿩/NNG+은/JX
옆에	옆/NNG+에/JKB
걸려	걸리/VV+어/EC
있고,	있/VX+고/EC+,/SP
바닥의	바닥/NNG+의/JKG
모닥불에서는	모닥불/NNG+에서/JKB+는/JX
꿩고기가	꿩고기/NNG+가/JKS
익어가는	익/VV+어/EC+가/VX+는/ETM
장면이다.	장면/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.87.5.7
요즘 눈으론 부자연스럽게도 보인다.

요즘	요즘/NNG
눈으론	눈/NNG+으로/JKB+ㄴ/JX
부자연스럽게도	부자연스럽/VA+게/EC+도/JX
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.87.5.8
"젊은 여자와 함께 사냥을 가서 술 한잔 하는 것이 당시 남자들의 로망이었어요."

"젊은	"/SS+젊/VA+은/ETM
여자와	여자/NNG+와/JKB
함께	함께/MAG
사냥을	사냥/NNG+을/JKO
가서	가/VV+아서/EC
술	술/NNG
한잔	한잔/NNG
하는	하/VV+는/ETM
것이	것/NNB+이/JKS
당시	당시/NNG
남자들의	남자/NNG+들/XSN+의/JKG
로망이었어요."	로망/NNG+이/VCP+었/EP+어요/EF+./SF+"/SS


# id : NWRW1800000030.87.6.1
신성일, 최무룡, 최은희, 김지미….

신성일,	신성일/NNP+,/SP
최무룡,	최무룡/NNP+,/SP
최은희,	최은희/NNP+,/SP
김지미….	김지미/NNP+…/SE+./SF


# id : NWRW1800000030.87.6.2
당대 최고의 배우들이 그의 카메라 앞에서 모델을 섰다.

당대	당대/NNG
최고의	최고/NNG+의/JKG
배우들이	배우/NNG+들/XSN+이/JKS
그의	그/NP+의/JKG
카메라	카메라/NNG
앞에서	앞/NNG+에서/JKB
모델을	모델/NNG+을/JKO
섰다.	서/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.87.6.3
인물 사진을 잘 찍는 비결은 최대한 인물의 단점을 제거하고, 장점을 살리는 것.

인물	인물/NNG
사진을	사진/NNG+을/JKO
잘	잘/MAG
찍는	찍/VV+는/ETM
비결은	비결/NNG+은/JX
최대한	최대한/MAG
인물의	인물/NNG+의/JKG
단점을	단점/NNG+을/JKO
제거하고,	제거/NNG+하/XSV+고/EC+,/SP
장점을	장점/NNG+을/JKO
살리는	살리/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000030.87.6.4
김한용은 "모델의 치아, 눈썹, 피부결, 표정까지 유심히 관찰한다. 광고 사진의 생명은 '표정의 아름다움'이라 최대한 밝은 표정을 담으려 노력하지만, 마음이 괴로운 사람은 어쩔 수 없더라. 특히 김지미씨가 웃음에 서글픔이 배어 있어 사진 찍기가 힘들었다"고 했다.

김한용은	김한용/NNP+은/JX
"모델의	"/SS+모델/NNG+의/JKG
치아,	치아/NNG+,/SP
눈썹,	눈썹/NNG+,/SP
피부결,	피부/NNG+결/NNG+,/SP
표정까지	표정/NNG+까지/JX
유심히	유심히/MAG
관찰한다.	관찰/NNG+하/XSV+ㄴ다/EF+./SF
광고	광고/NNG
사진의	사진/NNG+의/JKG
생명은	생명/NNG+은/JX
'표정의	'/SS+표정/NNG+의/JKG
아름다움'이라	아름다움/NNG+'/SS+이/VCP+라/EC
최대한	최대한/MAG
밝은	밝/VA+은/ETM
표정을	표정/NNG+을/JKO
담으려	담/VV+으려/EC
노력하지만,	노력/NNG+하/XSV+지만/EC+,/SP
마음이	마음/NNG+이/JKS
괴로운	괴롭/VA+ㄴ/ETM
사람은	사람/NNG+은/JX
어쩔	어쩌/VV+ㄹ/ETM
수	수/NNB
없더라.	없/VA+더라/EF+./SF
특히	특히/MAG
김지미씨가	김지미/NNP+씨/NNB+가/JKS
웃음에	웃음/NNG+에/JKB
서글픔이	서글픔/NNG+이/JKS
배어	배/VV+어/EC
있어	있/VX+어/EC
사진	사진/NNG
찍기가	찍/VV+기/ETN+가/JKS
힘들었다"고	힘들/VA+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.87.6.5
(02) 418-1315

(02)	(/SS+02/SN+)/SS
418-1315	418/SN+-/SO+1315/SN


