# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.188
metadata : {}


# id : NWRW1800000022.188.1.1
[수도권Ⅲ] 성남시 재개발 지역 재산세 경감;1645가구 해당… 총액 2억7000만원 이를 듯

[수도권Ⅲ]	[/SS+수도/NNG+권/XSN+Ⅲ/SL+]/SS
위해	위하/VV+아/EC
건물이	건물/NNG+이/JKS
철거되면	철거/NNG+되/XSV+면/EC
그	그/MMD
토지를	토지/NNG+를/JKO
대한	대하/VV+ㄴ/ETM
세액이	세액/NNG+이/JKS
3~5배	3/SN+~/SO+5/SN+배/NNG
수준으로	수준/NNG+으로/JKB
급등하는	급등/NNG+하/XSV+는/ETM
문제가	문제/NNG+가/JKS
발생했다.	발생/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.188.3.2
주택이 있을 경우엔 지방세법상 세부담상한제의 적용을 받아 전년보다 3억 이하 5%, 6억 이하 10%, 6억 초과 30%까지만 세금을 올릴 수 있다.

주택이	주택/NNG+이/JKS
있을	있/VA+을/ETM
경우엔	경우/NNG+에/JKB+ㄴ/JX
지방세법상	지방세법/NNG+상/XSN
세부담상한제의	세/NNG+부담/NNG+상한/NNG+제/XSN+의/JKG
적용을	적용/NNG+을/JKO
받아	받/VV+아/EC
전년보다	전년/NNG+보다/JKB
3억	3/SN+억/NR
이하	이하/NNG
5%,	5/SN+%/SW+,/SP
6억	6/SN+억/NR
10%,	10/SN+%/SW+,/SP
초과	초과/NNG
30%까지만	30/SN+%/SW+까지/JX+만/JX
세금을	세금/NNG+을/JKO
올릴	올리/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000022.188.3.3
하지만 주택이 철거되면 토지에 대한 재산세가 부과돼 이러한 세부담상한제의 적용을 받지 못하고 세금이 급등하게 된다.

하지만	하지만/MAJ
주택이	주택/NNG+이/JKS
철거되면	철거/NNG+되/XSV+면/EC
토지에	토지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재산세가	재산세/NNG+가/JKS
부과돼	부과/NNG+되/XSV+어/EC
이러한	이러하/VA+ㄴ/ETM
세부담상한제의	세/NNG+부담/NNG+상한/NNG+제/XSN+의/JKG
적용을	적용/NNG+을/JKO
받지	받/VV+지/EC
못하고	못하/VX+고/EC
세금이	세금/NNG+이/JKS
급등하게	급등/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.188.3.4
성남시 김영자 세정과장은 "특히 성남은 토지가격이 지속적으로 크게 상승해온 지역"이라며 "세부담상한제 적용 없어지면서 억제됐던 재산세가 급등할 수밖에 없었다"라고 말했다.

성남시	성남시/NNP
김영자	김영자/NNP
세정과장은	세정/NNG+과장/NNG+은/JX
"특히	"/SS+특히/MAG
성남은	성남/NNP+은/JX
토지가격이	토지/NNG+가격/NNG+이/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
크게	크/VA+게/EC
상승해온	상승/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
지역"이라며	지역/NNG+"/SS+이/VCP+라며/EC
"세부담상한제	"/SS+세/NNG+부담/NNG+상한/NNG+제/XSN
적용	적용/NNG
없어지면서	없어지/VV+면서/EC
억제됐던	억제/NNG+되/XSV+었/EP+던/ETM
재산세가	재산세/NNG+가/JKS
급등할	급등/NNG+하/XSV+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없었다"라고	없/VA+었/EP+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.188.4.1
이런 문제에 따라 성남시는 현재 재개발 재건축사업이 추진되고 있는 중동3구역 등 28개 지구 주민들의 세 경감을 위해 지난해 10월부터 수차례에 걸쳐 행정안전부에 해결책을 요구했다.

이런	이런/MMD
문제에	문제/NNG+에/JKB
따라	따르/VV+아/EC
성남시는	성남시/NNP+는/JX
현재	현재/MAG
재개발	재/XPN+개발/NNG
재건축사업이	재/XPN+건축/NNG+사업/NNG+이/JKS
추진되고	추진/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
중동3구역	중동/NNP+3/SN+구역/NNG
등	등/NNB
28개	28/SN+개/NNB
지구	지구/NNG
주민들의	주민/NNG+들/XSN+의/JKG
세	세/NNG
경감을	경감/NNG+을/JKO
위해	위하/VV+아/EC
지난해	지난해/NNG
10월부터	10/SN+월/NNB+부터/JX
수차례에	수차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
행정안전부에	행정/NNG+안전부/NNG+에/JKB
해결책을	해결책/NNG+을/JKO
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.188.4.2
결국 행정안전부는 성남시의 특수한 여건으로 시행령을 개정할 없다는 기존 입장을 바꿔 재개발 등으로 주택이 헐릴 경우 세부담상한제를 적용받을 수 있도록 했다.

결국	결국/MAG
행정안전부는	행정/NNG+안전부/NNG+는/JX
성남시의	성남시/NNP+의/JKG
특수한	특수/NNG+하/XSA+ㄴ/ETM
여건으로	여건/NNG+으로/JKB
시행령을	시행령/NNG+을/JKO
개정할	개정/NNG+하/XSV+ㄹ/ETM
없다는	없/VA+다는/ETM
기존	기존/NNG
입장을	입장/NNG+을/JKO
바꿔	바꾸/VV+어/EC
재개발	재/XPN+개발/NNG
등으로	등/NNB+으로/JKB
주택이	주택/NNG+이/JKS
헐릴	헐리/VV+ㄹ/ETM
경우	경우/NNG
세부담상한제를	세/NNG+부담/NNG+상한/NNG+제/XSN+를/JKO
적용받을	적용/NNG+받/XSV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000022.188.5.1
실제 중원구 중동 삼남아파트 단지가 들어서는 지역의 면적 71.8㎡ 토지의 경우 2007년 주택이 있을 때 재산세 11만6560원을 냈다.

실제	실제/MAG
중원구	중원구/NNP
중동	중동/NNP
삼남아파트	삼남/NNG+아파트/NNG
단지가	단지/NNG+가/JKS
들어서는	들어서/VV+는/ETM
지역의	지역/NNG+의/JKG
면적	면적/NNG
71.8㎡	71/SN+./SP+8/SN+㎡/SW
토지의	토지/NNG+의/JKG
경우	경우/NNG
2007년	2007/SN+년/NNB
주택이	주택/NNG+이/JKS
있을	있/VA+을/ETM
때	때/NNG
재산세	재산세/NNG
11만6560원을	11/SN+만/NR+6560/SN+원/NNB+을/JKO
냈다.	내/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.188.5.2
이후 2008년 재개발을 위해 주택이 철거되자 토지에 대한 재산세는 34만5800원으로 전년에 비해 3배 이상 급등했다.

이후	이후/NNG
2008년	2008/SN+년/NNB
재개발을	재/XPN+개발/NNG+을/JKO
위해	위하/VV+아/EC
주택이	주택/NNG+이/JKS
철거되자	철거/NNG+되/XSV+자/EC
토지에	토지/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
재산세는	재산세/NNG+는/JX
34만5800원으로	34/SN+만/NR+5800/SN+원/NNB+으로/JKB
전년에	전년/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
3배	3/SN+배/NNG
이상	이상/NNG
급등했다.	급등/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.188.5.3
하지만 이번 지방세법시행령 개정으로 올해 낼 재산세는 23만2010원으로 작년의 63% 수준으로 재산세 부담이 줄어들게 됐다.

하지만	하지만/MAJ
이번	이번/NNG
지방세법시행령	지방세법/NNG+시행령/NNG
개정으로	개정/NNG+으로/JKB
올해	올해/NNG
낼	내/VV+ㄹ/ETM
재산세는	재산세/NNG+는/JX
23만2010원으로	23/SN+만/NR+2010/SN+원/NNB+으로/JKB
작년의	작년/NNG+의/JKG
63%	63/SN+%/SW
수준으로	수준/NNG+으로/JKB
재산세	재산세/NNG
부담이	부담/NNG+이/JKS
줄어들게	줄어들/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.188.6.1
이대엽 성남시장은 "세부담상한제 적용으로 올해 성남시 재개발·재건축 지역 1645가구 주민들이 총 2억7000여만원의 재산세를 줄일 수 있게 됐다"라고 말했다.

이대엽	이대엽/NNP
성남시장은	성남시장/NNG+은/JX
"세부담상한제	"/SS+세/NNG+부담/NNG+상한/NNG+제/XSN
적용으로	적용/NNG+으로/JKB
올해	올해/NNG
성남시	성남시/NNP
재개발·재건축	재/XPN+개발/NNG+·/SP+재/XPN+건축/NNG
지역	지역/NNG
1645가구	1645/SN+가구/NNG
주민들이	주민/NNG+들/XSN+이/JKS
총	총/MMA
2억7000여만원의	2/SN+억/NR+7000/SN+여/XSN+만/NR+원/NNB+의/JKG
재산세를	재산세/NNG+를/JKO
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다"라고	되/VV+었/EP+다/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


