# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.53
metadata : {}


# id : NWRW1800000022.53.1.1
[名士멘토의 열공특강] 법학자 이호선;승리는 이미 내 안에 있다 "공부엔 자신감이 에너지"

[名士멘토의	[/SS+名士/SH+멘토/NNG+의/JKG
"공부에는	"/SS+공부/NNG+에/JKB+는/JX
자신감만한	자신감/NNG+만/JX+하/VA+ㄴ/ETM
에너지가	에너지/NNG+가/JKS
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000022.53.21.2
사시를 준비하는 동안 '승리는 쟁취하는 것이 아니다.

사시를	사시/NNG+를/JKO
준비하는	준비/NNG+하/XSV+는/ETM
동안	동안/NNG
'승리는	'/SS+승리/NNG+는/JX
쟁취하는	쟁취/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000022.53.21.3
다만 확인할 뿐'이라는 글을 적어 책꽂이에 붙여놓았어요.

다만	다만/MAG
확인할	확인/NNG+하/XSV+ㄹ/ETM
뿐'이라는	뿐/NNB+'/SS+이/VCP+라는/ETM
글을	글/NNG+을/JKO
적어	적/VV+어/EC
책꽂이에	책꽂이/NNG+에/JKB
붙여놓았어요.	붙이/VV+어/EC+놓/VX+았/EP+어요/EF+./SF


# id : NWRW1800000022.53.21.4
이런 자신감과 확신은 자기 정체성에 대한 긍정적인 확인에서 시작됩니다."

이런	이런/MMD
자신감과	자신감/NNG+과/JC
확신은	확신/NNG+은/JX
자기	자기/NNG
정체성에	정체/NNG+성/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
확인에서	확인/NNG+에서/JKB
시작됩니다."	시작/NNG+되/XSV+ㅂ니다/EF+./SF+"/SS


# id : NWRW1800000022.53.22.1
■공부 비결

■공부	■/SW+공부/NNG
비결	비결/NNG


# id : NWRW1800000022.53.23.1
이 교수는 '긍정적인 자기 정체성'이 공부 비결이라고 했다.

이	이/NNP
교수는	교수/NNG+는/JX
'긍정적인	'/SS+긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
자기	자기/NNG
정체성'이	정체/NNG+성/XSN+'/SS+이/JKS
공부	공부/NNG
비결이라고	비결/NNG+이/VCP+라고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.53.23.2
'내가 누구인가'의 물음에 대한 답을 찾게 되자 방황하며 시간을 낭비하지 않게 됐고 공부목표와 과정에 대한 긍정적인 확신도 갖게 됐다.

'내가	'/SS+내/NP+가/JKS
누구인가'의	누구/NP+이/VCP+ㄴ가/EF+'/SS+의/JKG
물음에	물음/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
답을	답/NNG+을/JKO
찾게	찾/VV+게/EC
되자	되/VV+자/EC
방황하며	방황/NNG+하/XSV+며/EC
시간을	시간/NNG+을/JKO
낭비하지	낭비/NNG+하/XSV+지/EC
않게	않/VX+게/EC
됐고	되/VV+었/EP+고/EC
공부목표와	공부/NNG+목표/NNG+와/JC
과정에	과정/NNG+에/JKB
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
확신도	확신/NNG+도/JX
갖게	갖/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.53.24.1
현재 그는 인생 후반의 '부활전'을 꿈꾸고 있다.

현재	현재/MAG
그는	그/NP+는/JX
인생	인생/NNG
후반의	후반/NNG+의/JKG
'부활전'을	'/SS+부활전/NNG+'/SS+을/JKO
꿈꾸고	꿈꾸/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.53.24.2
전공분야 연구는 물론 커뮤니케이션이나 심리학 분야의 지식을 좀 더 체계화할 생각이다.

전공분야	전공/NNG+분야/NNG
연구는	연구/NNG+는/JX
물론	물론/MAG
커뮤니케이션이나	커뮤니케이션/NNG+이나/JC
심리학	심리학/NNG
분야의	분야/NNG+의/JKG
지식을	지식/NNG+을/JKO
좀	좀/MAG
더	더/MAG
체계화할	체계/NNG+화/XSN+하/XSV+ㄹ/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.53.25.1
"사람들에게 위로와 용기를 주고, 제가 그랬듯 이웃들이 '긍정적 자기정체성'을 찾아 삶의 동력으로 삼을 수 있도록 돕고 싶어요."

"사람들에게	"/SS+사람/NNG+들/XSN+에게/JKB
위로와	위로/NNG+와/JC
용기를	용기/NNG+를/JKO
주고,	주/VV+고/EC+,/SP
제가	제/NP+가/JKS
그랬듯	그러/VV+었/EP+듯/EC
이웃들이	이웃/NNG+들/XSN+이/JKS
'긍정적	'/SS+긍정/NNG+적/XSN
자기정체성'을	자기/NNG+정체/NNG+성/XSN+'/SS+을/JKO
찾아	찾/VV+아/EC
삶의	삶/NNG+의/JKG
동력으로	동력/NNG+으로/JKB
삼을	삼/VV+을/ETM
수	수/NNB
있도록	있/VA+도록/EC
돕고	돕/VV+고/EC
싶어요."	싶/VX+어요/EF+./SF+"/SS


# id : NWRW1800000022.53.26.1
이호선 교수가 권하는 공부 Tip

이호선	이호선/NNP
교수가	교수/NNG+가/JKS
권하는	권/NNG+하/XSV+는/ETM
공부	공부/NNG
Tip	Tip/SL


# id : NWRW1800000022.53.27.1
1. 새로운 내용을 배울 때는 시작 전 10분 정도 앞서 배운 내용을 복습하며 워밍업하라.

1.	1/SN+./SF
새로운	새롭/VA+ㄴ/ETM
내용을	내용/NNG+을/JKO
배울	배우/VV+ㄹ/ETM
때는	때/NNG+는/JX
시작	시작/NNG
전	전/NNG
10분	10/SN+분/NNB
정도	정도/NNG
앞서	앞서/MAG
배운	배우/VV+ㄴ/ETM
복습하며	복습/NNG+하/XSV+며/EC
워밍업하라.	워밍업/NNG+하/XSV+라/EF+./SF


# id : NWRW1800000022.53.28.1
2. 문제집을 풀지 않는다.

2.	2/SN+./SF
문제집을	문제집/NNG+을/JKO
풀지	풀/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000022.53.28.2
다만 공부할 뿐이다.

다만	다만/MAG
공부할	공부/NNG+하/XSV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.53.28.3
: 객관식 문제의 답을 모두 달아놓고 공부하라.

:	:/SP
객관식	객관식/NNG
문제의	문제/NNG+의/JKG
답을	답/NNG+을/JKO
모두	모두/MAG
달아놓고	달/VV+아/EC+놓/VX+고/EC
공부하라.	공부/NNG+하/XSV+라/EF+./SF


# id : NWRW1800000022.53.28.4
'~이 아닌 것은?'

'~이	'/SS+~/SO+이/JKC
아닌	아니/VCN+ㄴ/ETM
것은?'	것/NNB+은/JX+?/SF+'/SS


# id : NWRW1800000022.53.28.5
'틀린 것은?'

'틀린	'/SS+틀리/VV+ㄴ/ETM
것은?'	것/NNB+은/JX+?/SF+'/SS


# id : NWRW1800000022.53.28.6
'맞는 것은?'에 대한 선다형 문항을 읽으며 출제경향을 파악하고 '꼬인 문제'의 적응력을 키운다.

'맞는	'/SS+맞/VV+는/ETM
것은?'에	것/NNB+은/JX+?/SF+'/SS+에/JKB
대한	대하/VV+ㄴ/ETM
선다형	선다형/NNG
문항을	문항/NNG+을/JKO
읽으며	읽/VV+으며/EC
출제경향을	출제/NNG+경향/NNG+을/JKO
파악하고	파악/NNG+하/XSV+고/EC
'꼬인	'/SS+꼬이/VV+ㄴ/ETM
문제'의	문제/NNG+'/SS+의/JKG
적응력을	적응력/NNG+을/JKO
키운다.	키우/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.53.28.7
선다형 객관식 문항은 꽤 훌륭한 공부 요약본이다.

선다형	선다형/NNG
객관식	객관식/NNG
문항은	문항/NNG+은/JX
꽤	꽤/MAG
훌륭한	훌륭하/VA+ㄴ/ETM
공부	공부/NNG
요약본이다.	요약본/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.53.29.1
3. 목차와 색인을 복사해 곁에 두고 공부하라.

3.	3/SN+./SF
목차와	목차/NNG+와/JC
색인을	색인/NNG+을/JKO
복사해	복사/NNG+하/XSV+아/EC
곁에	곁/NNG+에/JKB
두고	두/VV+고/EC
공부하라.	공부/NNG+하/XSV+라/EF+./SF


# id : NWRW1800000022.53.29.2
목차가 숲이라면 색인은 나무다.

목차가	목차/NNG+가/JKS
숲이라면	숲/NNG+이/VCP+라면/EC
색인은	색인/NNG+은/JX
나무다.	나무/NNG+이/VCP+다/EF+./SF


