# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.124
metadata : {}


# id : NWRW1800000025.124.1.1
“추신수와 비교할 만한 선수는 전성기때 이치로-게레로 정도”

“추신수와	“/SS+추신수/NNP+와/JKB
전성기의	전성기/NNG+의/JKG
블라디미르	블라디미르/NNP
게레로(35·텍사스)와	게레로/NNP+(/SS+35/SN+·/SP+텍사스/NNP+)/SS+와/JC
이치로(37)	이치로/NNP+(/SS+37/SN+)/SS
정도뿐이라고	정도/NNG+뿐/JX+이/VCP+라고/EC
덧붙였다.	덧붙이/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.124.4.1
추신수의 첫 소속 팀인 시애틀의 아시아 지역 담당 스카우트 테드 하이드는 “추신수는 클럽하우스 직원들이 제발 좀 집에 가달라고 사정할 때까지 남아 훈련을 했다.

추신수의	추신수/NNP+의/JKG
첫	첫/MMN
소속	소속/NNG
팀인	팀/NNG+이/VCP+ㄴ/ETM
시애틀의	시애틀/NNP+의/JKG
아시아	아시아/NNP
지역	지역/NNG
담당	담당/NNG
스카우트	스카우트/NNG
테드	테드/NNP
하이드는	하이드/NNP+는/JX
“추신수는	“/SS+추신수/NNP+는/JX
클럽하우스	클럽하우스/NNG
직원들이	직원/NNG+들/XSN+이/JKS
제발	제발/MAG
좀	좀/MAG
집에	집/NNG+에/JKB
가달라고	가/VV+아/EC+달/VX+라고/EC
사정할	사정/NNG+하/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
남아	남/VV+아/EC
훈련을	훈련/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.124.4.2
훈련 때 가장 먼저 나오고 가장 나중에 떠나는 선수가 추신수였다”고 떠올리면서 추신수가 클리블랜드의 미래로 떠오를 수 있었던 데는 피나는 노력이 있었음을 알렸다.

훈련	훈련/NNG
때	때/NNG
가장	가장/MAG
먼저	먼저/MAG
나오고	나오/VV+고/EC
나중에	나중/NNG+에/JKB
떠나는	떠나/VV+는/ETM
선수가	선수/NNG+가/JKS
추신수였다”고	추신수/NNP+이/VCP+었/EP+다/EF+”/SS+고/JKQ
떠올리면서	떠올리/VV+면서/EC
추신수가	추신수/NNP+가/JKS
클리블랜드의	클리블랜드/NNP+의/JKG
미래로	미래/NNG+로/JKB
떠오를	떠오르/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
데는	데/NNB+는/JX
피나는	피나/VV+는/ETM
노력이	노력/NNG+이/JKS
있었음을	있/VA+었/EP+음/ETN+을/JKO
알렸다.	알리/VV+었/EP+다/EF+./SF


