# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.39
metadata : {}


# id : NWRW1800000046.39.1.1
"친구가 싸우면 화해시키는 것처럼 韓·日갈등에 美가 나설 수도 있어"

"친구가	"/SS+친구/NNG+가/JKS
그는 최근 재단 홈페이지에 올린 글에서 아베 담화가 "책임 회피로 일관한 실망스러운 문서"라며 "다른 나라를 안심시킬 큰 기회를 놓쳤다"고 말했었다.

그는	그/NP+는/JX
최근	최근/NNG
재단	재단/NNG
홈페이지에	홈페이지/NNG+에/JKB
올린	올리/VV+ㄴ/ETM
글에서	글/NNG+에서/JKB
아베	아베/NNP
담화가	담화/NNG+가/JKS
"책임	"/SS+책임/NNG
회피로	회피/NNG+로/JKB
일관한	일관/NNG+하/XSV+ㄴ/ETM
실망스러운	실망/NNG+스럽/XSA+ㄴ/ETM
문서"라며	문서/NNG+"/SS+이/VCP+라며/EC
"다른	"/SS+다른/MMD
나라를	나라/NNG+를/JKO
안심시킬	안심/NNG+시키/XSV+ㄹ/ETM
큰	크/VA+ㄴ/ETM
기회를	기회/NNG+를/JKO
놓쳤다"고	놓치/VV+었/EP+다/EF+"/SS+고/JKQ
말했었다.	말/NNG+하/XSV+았었/EP+다/EF+./SF


# id : NWRW1800000046.39.5.1
―미·일 관계는 잘돼 가고 있는데, 한·일 관계는 썩 좋지 않다.

―미·일	―/SS+미/NNP+·/SP+일/NNP
관계는	관계/NNG+는/JX
잘돼	잘/MAG+되/XSV+어/EC
가고	가/VX+고/EC
있는데,	있/VX+는데/EC+,/SP
한·일	한·일/NNP
썩	썩/MAG
좋지	좋/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000046.39.5.2
어떻게 될 것 같나.

어떻게	어떻/VA+게/EC
될	되/VV+ㄹ/ETM
것	것/NNB
같나.	같/VA+나/EF+./SF


# id : NWRW1800000046.39.6.1
"지금보다 더 좋아질 수 있는데, 아쉽다.

"지금보다	"/SS+지금/NNG+보다/JKB
더	더/MAG
좋아질	좋/VA+아/EC+지/VX+ㄹ/ETM
수	수/NNB
있는데,	있/VA+는데/EC+,/SP
아쉽다.	아쉽/VA+다/EF+./SF


# id : NWRW1800000046.39.6.2
한국이나 일본의 국익을 위해서라도 좋아져야 한다.

한국이나	한국/NNP+이나/JC
일본의	일본/NNP+의/JKG
국익을	국익/NNG+을/JKO
위해서라도	위하/VV+아서/EC+라도/JX
좋아져야	좋/VA+아/EC+지/VX+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.39.6.3
한·일 양국이 협력해가는 데 대해 미국이 뭔가 할 일이 있을 거다.

한·일	한·일/NNP
양국이	양국/NNG+이/JKS
협력해가는	협력/NNG+하/XSV+아/EC+가/VX+는/ETM
데	데/NNB
대해	대하/VV+아/EC
미국이	미국/NNP+이/JKS
뭔가	뭐/NP+이/VCP+ㄴ가/EF
할	하/VV+ㄹ/ETM
일이	일/NNG+이/JKS
있을	있/VA+을/ETM
거다.	거/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.39.6.4
아시아가 함께 가려면 민주주의라는 공통의 가치, 자유무역을 강조하는 나라들이 앞장서야 한다.

아시아가	아시아/NNP+가/JKS
함께	함께/MAG
가려면	가/VV+려면/EC
민주주의라는	민주주의/NNG+이/VCP+라는/ETM
공통의	공통/NNG+의/JKG
가치,	가치/NNG+,/SP
자유무역을	자유/NNG+무역/NNG+을/JKO
강조하는	강조/NNG+하/XSV+는/ETM
나라들이	나라/NNG+들/XSN+이/JKS
앞장서야	앞장서/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.39.6.5
한국과 일본처럼 민주주의를 실현하는 국가가 함께 가야 한다."

한국과	한국/NNP+과/JC
일본처럼	일본/NNP+처럼/JKB
민주주의를	민주주의/NNG+를/JKO
실현하는	실현/NNG+하/XSV+는/ETM
국가가	국가/NNG+가/JKS
함께	함께/MAG
가야	가/VV+아야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.39.7.1
―한·일 관계 갈등의 원인은 뭐라 보나.

―한·일	―/SS+한·일/NNP
관계	관계/NNG
갈등의	갈등/NNG+의/JKG
원인은	원인/NNG+은/JX
뭐라	뭐/NP+이/VCP+라/EC
보나.	보/VV+나/EF+./SF


# id : NWRW1800000046.39.7.2
누가 더 책임이 있나.

누가	누구/NP+가/JKS
더	더/MAG
책임이	책임/NNG+이/JKS
있나.	있/VA+나/EF+./SF


# id : NWRW1800000046.39.8.1
"화해라는 건 양측 모두가 하는 것이다.

"화해라는	"/SS+화해/NNG+이/VCP+라는/ETM
건	거/NNB+ㄴ/JX
양측	양측/NNG
모두가	모두/NNG+가/JKS
하는	하/VV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.39.8.2
한쪽의 참회(contrition)와 사과(apology)가 있으면, 한쪽은 이를 받아들이고 이해하면서 미래를 향해 나아가는 것이 필요하다.

한쪽의	한쪽/NNG+의/JKG
참회(contrition)와	참회/NNG+(/SS+contrition/SL+)/SS+와/JC
사과(apology)가	사과/NNG+(/SS+apology/SL+)/SS+가/JKS
있으면,	있/VA+으면/EC+,/SP
한쪽은	한쪽/NNG+은/JX
이를	이/NP+를/JKO
받아들이고	받아들이/VV+고/EC
이해하면서	이해/NNG+하/XSV+면서/EC
미래를	미래/NNG+를/JKO
향해	향하/VV+아/EC
나아가는	나아가/VV+는/ETM
것이	것/NNB+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.39.8.3
누가 더 잘못이냐고 묻는다면 정답을 말할 수가 없다.

누가	누구/NP+가/JKS
더	더/MAG
잘못이냐고	잘못/NNG+이/VCP+냐고/EC
묻는다면	묻/VV+는다면/EC
정답을	정답/NNG+을/JKO
말할	말/NNG+하/XSV+ㄹ/ETM
수가	수/NNB+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000046.39.8.4
양측 모두가 역사 문제를 직시하고, 어디서부터 이런 문제가 왔는지를 이해해 미래를 향해 어떻게 나아갈 건지를 중요하게 생각해야 한다.

양측	양측/NNG
모두가	모두/NNG+가/JKS
역사	역사/NNG
문제를	문제/NNG+를/JKO
직시하고,	직시/NNG+하/XSV+고/EC+,/SP
어디서부터	어디/NP+서부터/JKB
이런	이런/MMD
문제가	문제/NNG+가/JKS
왔는지를	오/VV+았/EP+는지/EF+를/JKO
이해해	이해/NNG+하/XSV+아/EC
미래를	미래/NNG+를/JKO
향해	향하/VV+아/EC
어떻게	어떻/VA+게/EC
나아갈	나아가/VV+ㄹ/ETM
건지를	거/NNB+이/VCP+ㄴ지/EF+를/JKO
중요하게	중요/NNG+하/XSA+게/EC
생각해야	생각/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.39.8.5
1998년 김대중 대통령과 오부치 게이조 총리 간의 합의처럼 양국 지도자는 과거사를 극복하고 과감하게 앞으로 나아가야 한다."

1998년	1998/SN+년/NNB
김대중	김대중/NNP
대통령과	대통령/NNG+과/JC
오부치	오부치/NNP
게이조	게이조/NNP
총리	총리/NNG
간의	간/NNB+의/JKG
합의처럼	합의/NNG+처럼/JKB
양국	양국/NNG
지도자는	지도자/NNG+는/JX
과거사를	과거사/NNG+를/JKO
극복하고	극복/NNG+하/XSV+고/EC
과감하게	과감하/VA+게/EC
앞으로	앞/NNG+으로/JKB
나아가야	나아가/VV+아야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.39.9.1
―일본의 지원을 받는 재단인데도 아베 총리의 지난 8월 담화를 비판한 이유는.

―일본의	―/SS+일본/NNP+의/JKG
지원을	지원/NNG+을/JKO
받는	받/VV+는/ETM
재단인데도	재단/NNG+이/VCP+ㄴ데/EC+도/JX
아베	아베/NNP
총리의	총리/NNG+의/JKG
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
담화를	담화/NNG+를/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
이유는.	이유/NNG+는/JX+./SF


# id : NWRW1800000046.39.10.1
"우리 재단은 독립적 기관이다.

"우리	"/SS+우리/NP
재단은	재단/NNG+은/JX
독립적	독립/NNG+적/XSN
기관이다.	기관/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.39.10.2
아베 담화를 비판한 것은 미래를 향해 나가는 데 필요한 움직임이 양쪽 모두에서 필요한데, 아베 담화엔 그것이 부족했기 때문이다.

아베	아베/NNP
담화를	담화/NNG+를/JKO
비판한	비판/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
미래를	미래/NNG+를/JKO
향해	향하/VV+아/EC
나가는	나가/VX+는/ETM
데	데/NNB
필요한	필요/NNG+하/XSA+ㄴ/ETM
움직임이	움직임/NNG+이/JKS
양쪽	양쪽/NNG
모두에서	모두/NNG+에서/JKB
필요한데,	필요/NNG+하/XSA+ㄴ데/EC+,/SP
담화엔	담화/NNG+에/JKB+ㄴ/JX
그것이	그것/NP+이/JKS
부족했기	부족/NNG+하/XSA+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.39.10.3
박근혜 대통령이 아베 담화에 대응하는 방식에는 반가웠다.

박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
아베	아베/NNP
담화에	담화/NNG+에/JKB
대응하는	대응/NNG+하/XSV+는/ETM
방식에는	방식/NNG+에/JKB+는/JX
반가웠다.	반갑/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.39.10.4
앞으로 더 나갈 수 있는 진정한 화해의 뭔가를 기다릴 수 있을 것으로 생각한다."

앞으로	앞/NNG+으로/JKB
더	더/MAG
나갈	나가/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
진정한	진정하/VA+ㄴ/ETM
화해의	화해/NNG+의/JKG
뭔가를	뭐/NP+이/VCP+ㄴ가/EF+를/JKO
기다릴	기다리/VV+ㄹ/ETM
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
생각한다."	생각/NNG+하/XSV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.39.11.1
―아베 담화의 과거사 부분에 대해 진솔하지 않고, 수동적이고, 주체가 불분명하다고 비판했는데.

―아베	―/SS+아베/NNP
담화의	담화/NNG+의/JKG
과거사	과거사/NNG
부분에	부분/NNG+에/JKB
대해	대하/VV+아/EC
진솔하지	진솔하/VA+지/EC
않고,	않/VX+고/EC+,/SP
수동적이고,	수동/NNG+적/XSN+이/VCP+고/EC+,/SP
주체가	주체/NNG+가/JKS
불분명하다고	불분명하/VA+다고/EC
비판했는데.	비판/NNG+하/XSV+았/EP+는데/EF+./SF


# id : NWRW1800000046.39.12.1
"(일본의 식민 지배 등에 대해 책임을 직접 인정했던) 무라야마 담화보다 수동적이고, 직접적이지 않은 점을 지적한 것이다.

"(일본의	"/SS+(/SS+일본/NNP+의/JKG
식민	식민/NNG
지배	지배/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
책임을	책임/NNG+을/JKO
직접	직접/MAG
인정했던)	인정/NNG+하/XSV+았/EP+던/ETM+)/SS
무라야마	무라야마/NNP
담화보다	담화/NNG+보다/JKB
수동적이고,	수동/NNG+적/XSN+이/VCP+고/EC+,/SP
직접적이지	직접/NNG+적/XSN+이/VCP+지/EC
않은	않/VX+은/ETM
점을	점/NNG+을/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.39.12.2
개인적인 소회와는 상관없이 미래를 위해, 지역발전을 위해 리더는 앞으로 국민을 이끌어야 한다."

개인적인	개인/NNG+적/XSN+이/VCP+ㄴ/ETM
소회와는	소회/NNG+와/JKB+는/JX
상관없이	상관없이/MAG
미래를	미래/NNG+를/JKO
위해,	위하/VV+아/EC+,/SP
지역발전을	지역/NNG+발전/NNG+을/JKO
위해	위하/VV+아/EC
리더는	리더/NNG+는/JX
앞으로	앞/NNG+으로/JKB
국민을	국민/NNG+을/JKO
이끌어야	이끌/VV+어야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.39.13.1
―지난 아베 담화 비판 메시지를 보면, 과거사 교육에 상당한 무게를 뒀던데.

―지난	―/SS+지나/VV+ㄴ/ETM
아베	아베/NNP
담화	담화/NNG
비판	비판/NNG
메시지를	메시지/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
과거사	과거사/NNG
교육에	교육/NNG+에/JKB
상당한	상당/NNG+하/XSA+ㄴ/ETM
무게를	무게/NNG+를/JKO
뒀던데.	두/VV+었/EP+던데/EF+./SF


# id : NWRW1800000046.39.14.1
"대부분의 국가에 자랑스러운 역사만 있었던 것은 아니다.

"대부분의	"/SS+대/XPN+부분/NNG+의/JKG
국가에	국가/NNG+에/JKB
자랑스러운	자랑/NNG+스럽/XSA+ㄴ/ETM
역사만	역사/NNG+만/JX
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.39.14.2
미국도 과거 아메리카 원주민과 흑인을 부당하게 대우했다.

미국도	미국/NNP+도/JX
과거	과거/NNG
아메리카	아메리카/NNP
원주민과	원주민/NNG+과/JC
흑인을	흑인/NNG+을/JKO
부당하게	부당/NNG+하/XSA+게/EC
대우했다.	대우/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.39.14.3
국가가 과거에 뭘 잘못했고 잘했는지를 교육하는 것은 중요하다.

국가가	국가/NNG+가/JKS
과거에	과거/NNG+에/JKB
뭘	뭐/NP+ㄹ/JKO
잘못했고	잘못/MAG+하/XSV+았/EP+고/EC
잘했는지를	잘/MAG+하/XSV+았/EP+는지/EF+를/JKO
교육하는	교육/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
중요하다.	중요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.39.14.4
극단적인 시각에서 벗어나기 위해서는 역사를 있는 그대로 알리고 가르쳐서 교훈을 삼아야 한다."

극단적인	극단/NNG+적/XSN+이/VCP+ㄴ/ETM
시각에서	시각/NNG+에서/JKB
벗어나기	벗어나/VV+기/ETN
위해서는	위하/VV+아서/EC+는/JX
역사를	역사/NNG+를/JKO
있는	있/VA+는/ETM
그대로	그대로/MAG
알리고	알리/VV+고/EC
가르쳐서	가르치/VV+어서/EC
교훈을	교훈/NNG+을/JKO
삼아야	삼/VV+아야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.39.15.1
―박 대통령 방미에서 기대하는 것이 있나.

―박	―/SS+박/NNP
대통령	대통령/NNG
방미에서	방미/NNG+에서/JKB
기대하는	기대/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
있나.	있/VA+나/EF+./SF


# id : NWRW1800000046.39.16.1
"훌륭한 방문이 될 것이다.

"훌륭한	"/SS+훌륭하/VA+ㄴ/ETM
방문이	방문/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.39.16.2
한·미 관계는 좋다.

한·미	한·미/NNP
관계는	관계/NNG+는/JX
좋다.	좋/VA+다/EF+./SF


# id : NWRW1800000046.39.16.3
다만, 아베 총리의 지난번 방미 때와 비교하지 않았으면 한다.

다만,	다만/MAG+,/SP
아베	아베/NNP
총리의	총리/NNG+의/JKG
지난번	지난번/NNG
방미	방미/NNG
때와	때/NNG+와/JKB
비교하지	비교/NNG+하/XSV+지/EC
않았으면	않/VX+았/EP+으면/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.39.16.4
각각의 방문은 나름의 배경과 목적이 있다.

각각의	각각/NNG+의/JKG
방문은	방문/NNG+은/JX
나름의	나름/NNB+의/JKG
배경과	배경/NNG+과/JC
목적이	목적/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.39.16.5
양국 정상이 중국 등을 포함한 많은 이야기를 할 것으로 본다."

양국	양국/NNG
정상이	정상/NNG+이/JKS
중국	중국/NNP
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
많은	많/VA+은/ETM
이야기를	이야기/NNG+를/JKO
할	하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
본다."	보/VV+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.39.17.1
―한·일 갈등을 해소하는 계기도 될까.

―한·일	―/SS+한·일/NNP
갈등을	갈등/NNG+을/JKO
해소하는	해소/NNG+하/XSV+는/ETM
계기도	계기/NNG+도/JX
될까.	되/VV+ㄹ까/EF+./SF


# id : NWRW1800000046.39.18.1
"오바마 대통령이 올 초에도 양국 정상을 만나게 하지 않았나.

"오바마	"/SS+오바마/NNP
대통령이	대통령/NNG+이/JKS
올	올/NNG
초에도	초/NNB+에/JKB+도/JX
양국	양국/NNG
정상을	정상/NNG+을/JKO
만나게	만나/VV+게/EC
하지	하/VX+지/EC
않았나.	않/VX+았/EP+나/EF+./SF


# id : NWRW1800000046.39.18.2
친구가 싸우면 좀 잘되게 하려고 나서는 게 당연하다.

친구가	친구/NNG+가/JKS
싸우면	싸우/VV+면/EC
좀	좀/MAG
잘되게	잘/MAG+되/XSV+게/EC
하려고	하/VX+려고/EC
나서는	나서/VV+는/ETM
게	거/NNB+이/JKS
당연하다.	당연/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000046.39.18.3
양국 모두가 중요한 미국의 파트너인 만큼 역할을 할 수도 있을 것이다."

양국	양국/NNG
모두가	모두/NNG+가/JKS
중요한	중요/NNG+하/XSA+ㄴ/ETM
미국의	미국/NNP+의/JKG
파트너인	파트너/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
역할을	역할/NNG+을/JKO
할	하/VV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


