# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.437
metadata : {}


# id : NWRW1800000048.437.1.1
새정치, 오픈프라이머리 당론 채택 무산

새정치,	새정치/NNP+,/SP


# id : NWRW1800000048.437.6.2
최 의원은 살인·강간·강도 등 5대 중대 범죄에 해당되는 경우를 제외하곤 누구나 오픈프라이머리 경선에 나설 수 있도록 입법화하자는 안을 제안한 바 있다.

최	최/NNP
의원은	의원/NNG+은/JX
살인·강간·강도	살인/NNG+·/SP+강간/NNG+·/SP+강도/NNG
등	등/NNB
5대	5/SN+대/NNG
중대	중대/NNG
범죄에	범죄/NNG+에/JKB
해당되는	해당/NNG+되/XSV+는/ETM
경우를	경우/NNG+를/JKO
제외하곤	제외/NNG+하/XSV+곤/EC
누구나	누구/NP+나/JX
오픈프라이머리	오픈프라이머리/NNG
경선에	경선/NNG+에/JKB
나설	나서/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
입법화하자는	입법/NNG+화/XSN+하/XSV+자는/ETM
안을	안/NNG+을/JKO
제안한	제안/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.437.6.3
최 의원은 의총에서 “사무총장 두번 했는데 미운 사람 빼는 거 일도 아니더라.

최	최/NNP
의원은	의원/NNG+은/JX
의총에서	의총/NNG+에서/JKB
“사무총장	“/SS+사무총장/NNG
두번	두/MMN+번/NNB
했는데	하/VV+았/EP+는데/EC
미운	밉/VA+ㄴ/ETM
사람	사람/NNG
빼는	빼/VV+는/ETM
거	거/NNB
일도	일/NNG+도/JX
아니더라.	아니/VCN+더라/EF+./SF


# id : NWRW1800000048.437.6.4
국민들이 선택하는 오픈프라이머리를 꼭 해야 당내 민주주의가 이뤄진다”고 목소리를 높였다.

국민들이	국민/NNG+들/XSN+이/JKS
선택하는	선택/NNG+하/XSV+는/ETM
오픈프라이머리를	오픈프라이머리/NNG+를/JKO
꼭	꼭/MAG
해야	하/VV+아야/EC
당내	당내/NNG
민주주의가	민주주의/NNG+가/JKS
이뤄진다”고	이뤄지/VV+ㄴ다/EF+”/SS+고/JKQ
목소리를	목소리/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.437.6.5
이는 앞서 ‘김상곤 혁신위원회’가 내놓은 ‘현역의원 20% 배제(물갈이)’ 등 공천개혁안을 사실상 폐기하자는 것이라 혁신위의 공천개혁안을 지지한 문재인 대표 쪽과 비주류 사이의 대립구도로 비쳤다.

이는	이/NP+는/JX
앞서	앞서/MAG
‘김상곤	‘/SS+김상곤/NNP
혁신위원회’가	혁신/NNG+위원회/NNG+’/SS+가/JKS
내놓은	내놓/VV+은/ETM
‘현역의원	‘/SS+현역/NNG+의원/NNG
20%	20/SN+%/SW
배제(물갈이)’	배제/NNG+(/SS+물갈이/NNG+)/SS+’/SS
등	등/NNB
공천개혁안을	공천/NNG+개혁안/NNG+을/JKO
사실상	사실/NNG+상/XSN
폐기하자는	폐기/NNG+하/XSV+자는/ETM
것이라	것/NNB+이/VCP+라/EC
혁신위의	혁신위/NNG+의/JKG
지지한	지지/NNG+하/XSV+ㄴ/ETM
문재인	문재인/NNP
대표	대표/NNG
쪽과	쪽/NNB+과/JC
비주류	비/XPN+주류/NNG
사이의	사이/NNG+의/JKG
대립구도로	대립/NNG+구도/NNG+로/JKB
비쳤다.	비치/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.437.7.1
이날 의총이 열리자, 의원들을 격론으로 몰고 간 것은 오픈프라이머리가 아니라 현역 의원 교체 문제였다.

이날	이날/NNG
의총이	의총/NNG+이/JKS
열리자,	열리/VV+자/EC+,/SP
의원들을	의원/NNG+들/XSN+을/JKO
격론으로	격론/NNG+으로/JKB
몰고	몰/VV+고/EC
간	가/VV+ㄴ/ETM
것은	것/NNB+은/JX
오픈프라이머리가	오픈프라이머리/NNG+가/JKC
아니라	아니/VCN+라/EC
현역	현역/NNG
의원	의원/NNG
교체	교체/NNG
문제였다.	문제/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000048.437.7.2
“상임위마다 차이가 큰 법안 발의 건수를 평가지표를 사용하는 것은 문제가 있다”(문병호), “의원이 하위 20%에 들어 출마를 못하면 인간으로서 굴욕적인 것 아니냐”(김영환) 등 의원들은 평가를 통한 인위적 물갈이에 강한 거부감을 보였다.

“상임위마다	“/SS+상임위/NNG+마다/JX
차이가	차이/NNG+가/JKS
큰	크/VA+ㄴ/ETM
법안	법안/NNG
발의	발의/NNG
건수를	건수/NNG+를/JKO
평가지표를	평가/NNG+지표/NNG+를/JKO
사용하는	사용/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
문제가	문제/NNG+가/JKS
있다”(문병호),	있/VA+다/EF+”/SS+(/SS+문병호/NNP+)/SS+,/SP
“의원이	“/SS+의원/NNG+이/JKS
하위	하위/NNG
20%에	20/SN+%/SW+에/JKB
들어	들/VV+어/EC
출마를	출마/NNG+를/JKO
못하면	못/MAG+하/VV+면/EC
인간으로서	인간/NNG+으로서/JKB
굴욕적인	굴욕/NNG+적/XSN+이/VCP+ㄴ/ETM
것	것/NNB
아니냐”(김영환)	아니/VCN+냐/EF+”/SS+(/SS+김영환/NNP+)/SS
등	등/NNB
의원들은	의원/NNG+들/XSN+은/JX
평가를	평가/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
인위적	인위/NNG+적/XSN
물갈이에	물갈이/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
거부감을	거부감/NNG+을/JKO
보였다.	보이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.437.7.3
반면 “국민은 20%가 탈락하는 것으로 알고 있는데 의총에서 다른 결정을 하면 어떻게 생각하겠냐”(홍영표), “당헌·당규에 배치되는 것을 의총에서 의결하는 것은 타당하지 않다”(전해철) 등의 의견도 팽팽히 맞섰다.

반면	반면/NNG
“국민은	“/SS+국민/NNG+은/JX
20%가	20/SN+%/SW+가/JKS
탈락하는	탈락/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있는데	있/VX+는데/EC
의총에서	의총/NNG+에서/JKB
다른	다른/MMD
결정을	결정/NNG+을/JKO
하면	하/VV+면/EC
어떻게	어떻/VA+게/EC
생각하겠냐”(홍영표),	생각/NNG+하/XSV+겠/EP+냐/EF+”/SS+(/SS+홍영표/NNP+)/SS+,/SP
“당헌·당규에	“/SS+당헌/NNG+·/SP+당규/NNG+에/JKB
배치되는	배치/NNG+되/XSV+는/ETM
것을	것/NNB+을/JKO
의결하는	의결/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
타당하지	타당하/VA+지/EC
않다”(전해철)	않/VX+다/EF+”/SS+(/SS+전해철/NNP+)/SS
등의	등/NNB+의/JKG
의견도	의견/NNG+도/JX
팽팽히	팽팽히/MAG
맞섰다.	맞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.437.7.4
‘김상곤 혁신위’의 위원으로 참여했던 우원식 의원은 “현역 의원들이 기득권을 지키기 위한 것으로 비칠 수 있다”고 말했다.

‘김상곤	‘/SS+김상곤/NNP
혁신위’의	혁신위/NNG+’/SS+의/JKG
위원으로	위원/NNG+으로/JKB
참여했던	참여/NNG+하/XSV+았/EP+던/ETM
우원식	우원식/NNP
의원은	의원/NNG+은/JX
“현역	“/SS+현역/NNG
의원들이	의원/NNG+들/XSN+이/JKS
기득권을	기득/NNG+권/XSN+을/JKO
지키기	지키/VV+기/ETN
위한	위하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
비칠	비치/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.437.7.5
결국 김성곤 의원은 “무조건 배제하지 말고 상하위 20%에게 가점이나 감점을 주자”는 ‘중재안’을 제시하기도 했다.

결국	결국/NNG
김성곤	김성곤/NNP
의원은	의원/NNG+은/JX
“무조건	“/SS+무/XPN+조건/NNG
배제하지	배제/NNG+하/XSV+지/EC
말고	말/VX+고/EC
상하위	상하위/NNG
20%에게	20/SN+%/SW+에게/JKB
가점이나	가점/NNG+이나/JC
감점을	감점/NNG+을/JKO
주자”는	주/VV+자/EF+”/SS+는/ETM
‘중재안’을	‘/SS+중재안/NNG+’/SS+을/JKO
제시하기도	제시/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000048.437.7.6
이런 어수선한 분위기 속에서 의결정족수에 모자라는 50여명의 의원만이 의총장에 남자, 이종걸 원내대표는 당론 채택 불발을 선언했다.

이런	이런/MMD
어수선한	어수선하/VA+ㄴ/ETM
분위기	분위기/NNG
속에서	속/NNG+에서/JKB
의결정족수에	의결/NNG+정족수/NNG+에/JKB
모자라는	모자라/VV+는/ETM
50여명의	50/SN+여/XSN+명/NNB+의/JKG
의원만이	의원/NNG+만/JX+이/JKS
의총장에	의총장/NNG+에/JKB
남자,	남/VV+자/EC+,/SP
이종걸	이종걸/NNP
원내대표는	원내/NNG+대표/NNG+는/JX
당론	당론/NNG
채택	채택/NNG
불발을	불발/NNG+을/JKO
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.437.8.1
한편 의원총회 도중 문재인 대표와 박지원 의원은 1시간 가까이 따로 만나 당내 현안에 대해 의견을 나눴다.

한편	한편/MAG
의원총회	의원/NNG+총회/NNG
도중	도중/NNG
문재인	문재인/NNP
대표와	대표/NNG+와/JC
박지원	박지원/NNP
의원은	의원/NNG+은/JX
1시간	1/SN+시간/NNB
가까이	가까이/MAG
따로	따로/MAG
만나	만나/VV+아/EC
당내	당내/NNG
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
의견을	의견/NNG+을/JKO
나눴다.	나누/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.437.8.2
박 의원은 “문 대표가 ‘엔(n)분의 1’로 참여하는 조기 선대위를 구성하든지 물러나서 대권의 길로 간다면 문 대표도 살고 우리 당도 살 수 있다”고 말한 것으로 알려졌다.

박	박/NNP
의원은	의원/NNG+은/JX
“문	“/SS+문/NNP
대표가	대표/NNG+가/JKS
‘엔(n)분의	‘/SS+엔/NNG+(/SS+n/SL+)/SS+분/XSN+의/JKG
1’로	1/SN+’/SS+로/JKB
참여하는	참여/NNG+하/XSV+는/ETM
조기	조기/NNG
선대위를	선대위/NNG+를/JKO
구성하든지	구성/NNG+하/XSV+든지/EC
물러나서	물러나/VV+아서/EC
대권의	대권/NNG+의/JKG
길로	길/NNG+로/JKB
간다면	가/VV+ㄴ다면/EC
문	문/NNP
대표도	대표/NNG+도/JX
살고	살/VV+고/EC
우리	우리/NP
당도	당/NNG+도/JX
살	살/VV+ㄹ/ETM
수	수/NNB
있다”고	있/VA+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


