# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.91
metadata : {}


# id : NWRW1800000045.91.1.1
한림대, 한림케어전형, 사회배려대상자 면담으로 선발

한림대,	한림대/NNP+,/SP
적합성,	적합/NNG+성/XSN+,/SP
기초수학능력,	기초/NNG+수학/NNG+능력/NNG+,/SP
학업의지	학업/NNG+의지/NNG
등을	등/NNB+을/JKO
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.9.3
1단계 서류평가와 2단계 면접평가를 동일한 비율로 반영해 최종 합격자를 선발한다.

1단계	1/SN+단계/NNG
서류평가와	서류/NNG+평가/NNG+와/JC
2단계	2/SN+단계/NNG
면접평가를	면접/NNG+평가/NNG+를/JKO
동일한	동일/NNG+하/XSA+ㄴ/ETM
비율로	비율/NNG+로/JKB
반영해	반영/NNG+하/XSV+아/EC
최종	최종/NNG
합격자를	합격자/NNG+를/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.10.1
의예과 면접은 수험생이 3개의 방을 돌며 각 방에서 제시하는 문제에 답하는 방식으로 진행되며, 10분씩 총 30분 정도 소요된다.

의예과	의예과/NNG
면접은	면접/NNG+은/JX
수험생이	수험/NNG+생/XSN+이/JKS
3개의	3/SN+개/NNB+의/JKG
방을	방/NNG+을/JKO
돌며	돌/VV+며/EC
각	각/MMD
방에서	방/NNG+에서/JKB
제시하는	제시/NNG+하/XSV+는/ETM
문제에	문제/NNG+에/JKB
답하는	답/NNG+하/XSV+는/ETM
방식으로	방식/NNG+으로/JKB
진행되며,	진행/NNG+되/XSV+며/EC+,/SP
10분씩	10/SN+분/NNB+씩/XSN
총	총/MMA
30분	30/SN+분/NNB
정도	정도/NNG
소요된다.	소요/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.10.2
각 방에서는 인성면접, 상황면접, 모의상황면접을 한다.

각	각/MMD
방에서는	방/NNG+에서/JKB+는/JX
인성면접,	인성/NNG+면접/NNG+,/SP
상황면접,	상황/NNG+면접/NNG+,/SP
모의상황면접을	모의/NNG+상황/NNG+면접/NNG+을/JKO
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.10.3
면접 방법과 문항에 관련한 자세한 사항은 한림대 입학처 홈페이지(admission.hallym.ac.kr)를 참조하면 된다.

면접	면접/NNG
방법과	방법/NNG+과/JC
문항에	문항/NNG+에/JKB
관련한	관련/NNG+하/XSV+ㄴ/ETM
자세한	자세하/VA+ㄴ/ETM
사항은	사항/NNG+은/JX
한림대	한림대/NNP
입학처	입학처/NNG
홈페이지(admission.hallym.ac.kr)를	홈페이지/NNG+(/SS+admission/SL+./SP+hallym/SL+./SP+ac/SL+./SP+kr/SL+)/SS+를/JKO
참조하면	참조/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.11.1
한림대는 학생과 교사의 부담을 최소화하기 위해 지원 서류를 간소화했다.

한림대는	한림대/NNP+는/JX
학생과	학생/NNG+과/JC
교사의	교사/NNG+의/JKG
부담을	부담/NNG+을/JKO
최소화하기	최소/NNG+화/XSN+하/XSV+기/ETN
위해	위하/VV+아/EC
지원	지원/NNG
서류를	서류/NNG+를/JKO
간소화했다.	간소/NNG+화/XSN+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.91.11.2
지원자는 학교생활기록부와 자기소개서만 제출하면 된다.

지원자는	지원자/NNG+는/JX
학교생활기록부와	학교생활/NNG+기록부/NNG+와/JC
자기소개서만	자기소개서/NNG+만/JX
제출하면	제출/NNG+하/XSV+면/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.11.3
단 의예과 지원자는 교사추천서를 추가로 내야 한다.

단	단/MAJ
의예과	의예과/NNG
지원자는	지원자/NNG+는/JX
교사추천서를	교사/NNG+추천서/NNG+를/JKO
추가로	추가/NNG+로/JKB
내야	내/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.91.12.1
고영웅 한림대 입학처장은 “학생부종합전형은 학교생활에 충실한 학생에게 유리하도록 평가할 때 사교육 요소를 철저히 배제한다”며 “지원자가 학교생활을 통해 정상적으로 학업을 했는지, 자신의 꿈과 끼를 위해 어떤 노력들을 했는지 교과와 비교과 영역을 종합적으로 평가한다”고 말했다.

고영웅	고영웅/NNP
한림대	한림대/NNP
입학처장은	입학처장/NNG+은/JX
“학생부종합전형은	“/SS+학생부/NNG+종합/NNG+전형/NNG+은/JX
학교생활에	학교생활/NNG+에/JKB
충실한	충실/NNG+하/XSA+ㄴ/ETM
학생에게	학생/NNG+에게/JKB
유리하도록	유리/NNG+하/XSA+도록/EC
평가할	평가/NNG+하/XSV+ㄹ/ETM
때	때/NNG
사교육	사교육/NNG
요소를	요소/NNG+를/JKO
철저히	철저히/MAG
배제한다”며	배제/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“지원자가	“/SS+지원자/NNG+가/JKS
학교생활을	학교생활/NNG+을/JKO
통해	통하/VV+아/EC
정상적으로	정상/NNG+적/XSN+으로/JKB
학업을	학업/NNG+을/JKO
했는지,	하/VV+았/EP+는지/EC+,/SP
자신의	자신/NNG+의/JKG
꿈과	꿈/NNG+과/JC
끼를	끼/NNG+를/JKO
위해	위하/VV+아/EC
어떤	어떤/MMD
노력들을	노력/NNG+들/XSN+을/JKO
했는지	하/VV+았/EP+는지/EC
교과와	교과/NNG+와/JC
비교과	비/XPN+교과/NNG
영역을	영역/NNG+을/JKO
종합적으로	종합/NNG+적/XSN+으로/JKB
평가한다”고	평가/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.91.13.1
학생부교과전형 선발인원은 470명으로 학생부교과 70%와 면접 30%를 반영해 선발한다.

학생부교과전형	학생부/NNG+교과/NNG+전형/NNG
선발인원은	선발/NNG+인원/NNG+은/JX
470명으로	470/SN+명/NNB+으로/JKB
학생부교과	학생부/NNG+교과/NNG
70%와	70/SN+%/SW+와/JC
면접	면접/NNG
30%를	30/SN+%/SW+를/JKO
반영해	반영/NNG+하/XSV+아/EC
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.13.2
면접에서는 학생부연계영역(40%), 인성영역(30%), 학업동기영역(30%)을 평가한다.

면접에서는	면접/NNG+에서/JKB+는/JX
학생부연계영역(40%),	학생부/NNG+연계/NNG+영역/NNG+(/SS+40/SN+%/SW+)/SS+,/SP
인성영역(30%),	인성/NNG+영역/NNG+(/SS+30/SN+%/SW+)/SS+,/SP
학업동기영역(30%)을	학업/NNG+동기/NNG+영역/NNG+(/SS+30/SN+%/SW+)/SS+을/JKO
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.13.3
면접위원 2, 3명이 수험생 1명을 대상으로 10분 정도의 면접을 진행한다.

면접위원	면접/NNG+위원/NNG
2,	2/SN+,/SP
3명이	3/SN+명/NNB+이/JKS
수험생	수험/NNG+생/XSN
1명을	1/SN+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
10분	10/SN+분/NNB
정도의	정도/NNG+의/JKG
면접을	면접/NNG+을/JKO
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.13.4
학생부교과전형은 수능 최저학력기준이 적용된다.

학생부교과전형은	학생부/NNG+교과/NNG+전형/NNG+은/JX
수능	수능/NNG
최저학력기준이	최저/NNG+학력/NNG+기준/NNG+이/JKS
적용된다.	적용/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.91.14.1
이 밖에 한림대는 수시모집 특기자 전형으로 외국어 특기자 31명, 체육 특기자 11명을 선발한다.

이	이/MMD
밖에	밖/NNG+에/JKB
한림대는	한림대/NNP+는/JX
수시모집	수시/NNG+모집/NNG
특기자	특기자/NNG
전형으로	전형/NNG+으로/JKB
외국어	외국어/NNG
31명,	31/SN+명/NNB+,/SP
체육	체육/NNG
11명을	11/SN+명/NNB+을/JKO
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


