# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.406
metadata : {}


# id : NWRW1800000046.406.1.1
[No-show 사라진 양심 '예약 부도'] (2부-4) "예약·위약금 받고, 양심고객은 할인해줘야"

[No-show	[/SS+No/SL+-/SO+show/SL
고재윤 경희대 외식경영학과 교수는 "과거 미국 레스토랑들도 예약 부도로 시달렸지만 1990년대 초반 일부 레스토랑이 예약금 제도를 강행하면서 그 흐름이 전국적으로 퍼졌다"고 했다.

고재윤	고재윤/NNP
경희대	경희대/NNP
외식경영학과	외식/NNG+경영학과/NNG
교수는	교수/NNG+는/JX
"과거	"/SS+과거/NNG
미국	미국/NNP
레스토랑들도	레스토랑/NNG+들/XSN+도/JX
예약	예약/NNG
부도로	부도/NNG+로/JKB
시달렸지만	시달리/VV+었/EP+지만/EC
1990년대	1990/SN+년대/NNB
초반	초반/NNG
일부	일부/NNG
레스토랑이	레스토랑/NNG+이/JKS
예약금	예약금/NNG
제도를	제도/NNG+를/JKO
강행하면서	강행/NNG+하/XSV+면서/EC
그	그/MMD
흐름이	흐름/NNG+이/JKS
전국적으로	전국/NNG+적/XSN+으로/JKB
퍼졌다"고	퍼지/VV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.406.6.1
실제 미국·캐나다 등에서 3만2000여 개의 레스토랑 예약을 대행하는 예약 애플리케이션 '오픈테이블(OpenTable)'은 예약을 지킬 때마다 고객에게 음식값의 100~1000포인트(100포인트당 미화 1달러)를 적립해주고 있다.

실제	실제/NNG
미국·캐나다	미국/NNP+·/SP+캐나다/NNP
등에서	등/NNB+에서/JKB
3만2000여	3/SN+만/NR+2000/SN+여/XSN
개의	개/NNB+의/JKG
레스토랑	레스토랑/NNG
예약을	예약/NNG+을/JKO
대행하는	대행/NNG+하/XSV+는/ETM
예약	예약/NNG
애플리케이션	애플리케이션/NNG
'오픈테이블(OpenTable)'은	'/SS+오픈테이블/NNP+(/SS+OpenTable/SL+)/SS+'/SS+은/JX
지킬	지키/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
고객에게	고객/NNG+에게/JKB
음식값의	음식값/NNG+의/JKG
100~1000포인트(100포인트당	100/SN+~/SO+1000/SN+포인트/NNG+(/SS+100/SN+포인트/NNG+당/XSN
미화	미화/NNG
1달러)를	1/SN+달러/NNB+)/SS+를/JKO
적립해주고	적립/NNG+하/XSV+아/EC+주/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.406.6.2
이 포인트는 오픈테이블에서 결제할 때 사용할 수 있다.

이	이/MMD
포인트는	포인트/NNG+는/JX
오픈테이블에서	오픈테이블/NNP+에서/JKB
결제할	결제/NNG+하/XSV+ㄹ/ETM
때	때/NNG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.406.6.3
올해 초부터 9월 말까지 이 앱에서 발생한 예약 부도율은 4%에 불과하다.

올해	올해/NNG
초부터	초/NNB+부터/JX
9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
이	이/MMD
앱에서	앱/NNG+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
예약	예약/NNG
부도율은	부도/NNG+율/XSN+은/JX
4%에	4/SN+%/SW+에/JKB
불과하다.	불과/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000046.406.6.4
지난 10월 본지 조사에서 한국 식당업계의 예약 부도율은 20%였다.

지난	지나/VV+ㄴ/ETM
10월	10/SN+월/NNB
본지	본지/NNG
조사에서	조사/NNG+에서/JKB
한국	한국/NNP
식당업계의	식당업/NNG+계/XSN+의/JKG
예약	예약/NNG
부도율은	부도/NNG+율/XSN+은/JX
20%였다.	20/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000046.406.7.1
바람직한 소비자 문화를 만들어야 한다는 지적도 있다.

바람직한	바람직하/VA+ㄴ/ETM
소비자	소비자/NNG
문화를	문화/NNG+를/JKO
만들어야	만들/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
지적도	지적/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.406.7.2
유두련 한국소비자업무협회장은 "자기 편한 대로 예약 시간에 나타나지 않거나, 뒤늦게 나타나서 자리를 달라고 떼쓰는 걸 소비자의 권리로 봐선 안 된다"고 했다.

유두련	유두련/NNP
한국소비자업무협회장은	한국소비자업무협회장/NNG+은/JX
"자기	"/SS+자기/NNG
편한	편하/VA+ㄴ/ETM
대로	대로/NNB
예약	예약/NNG
시간에	시간/NNG+에/JKB
나타나지	나타나/VV+지/EC
않거나,	않/VX+거나/EC+,/SP
뒤늦게	뒤늦/VA+게/EC
나타나서	나타나/VV+아서/EC
자리를	자리/NNG+를/JKO
달라고	달/VV+라고/EC
떼쓰는	떼쓰/VV+는/ETM
걸	거/NNB+ㄹ/JKO
소비자의	소비자/NNG+의/JKG
권리로	권리/NNG+로/JKB
봐선	보/VV+아서/EC+ㄴ/JX
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.406.8.1
하지만 '고객은 무조건 왕'이라는 정서가 팽배한 한국에서 고객들의 항의에 서비스 사업자나 종사자가 맞서는 건 여간 어려운 일이 아니다.

하지만	하지만/MAJ
'고객은	'/SS+고객/NNG+은/JX
무조건	무/XPN+조건/NNG
왕'이라는	왕/NNG+'/SS+이/VCP+라는/ETM
정서가	정서/NNG+가/JKS
팽배한	팽배/NNG+하/XSV+ㄴ/ETM
한국에서	한국/NNP+에서/JKB
고객들의	고객/NNG+들/XSN+의/JKG
항의에	항의/NNG+에/JKB
서비스	서비스/NNG
사업자나	사업자/NNG+나/JC
종사자가	종사자/NNG+가/JKS
맞서는	맞서/VV+는/ETM
건	거/NNB+ㄴ/JX
여간	여간/MAG
어려운	어렵/VA+ㄴ/ETM
일이	일/NNG+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.406.9.1
유현정 충북대 소비자학과 교수는 "예약을 지키는 건 기본적인 매너"라며 "식당 등 서비스업체도 예약 고객에게 인센티브 등 차별적인 서비스를 제공할 필요가 있다"고 했다.

유현정	유현정/NNP
충북대	충북대/NNP
소비자학과	소비자학과/NNG
교수는	교수/NNG+는/JX
"예약을	"/SS+예약/NNG+을/JKO
지키는	지키/VV+는/ETM
건	거/NNB+ㄴ/JX
기본적인	기본/NNG+적/XSN+이/VCP+ㄴ/ETM
매너"라며	매너/NNG+"/SS+이/VCP+라며/EC
"식당	"/SS+식당/NNG
등	등/NNB
서비스업체도	서비스업체/NNG+도/JX
예약	예약/NNG
고객에게	고객/NNG+에게/JKB
인센티브	인센티브/NNG
차별적인	차별/NNG+적/XSN+이/VCP+ㄴ/ETM
서비스를	서비스/NNG+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


