# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.154
metadata : {}


# id : NWRW1800000025.154.1.1
[경제 카페]개성공단 선발 vs 후발업체의 ‘극과 극 해석’

[경제	[/SS+경제/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
“북한이	“/SS+북한/NNP+이/JKS
입주기업의	입주/NNG+기업/NNG+의/JKG
철수를	철수/NNG+를/JKO
막아	막/VV+아/EC
공단을	공단/NNG+을/JKO
유지하려는	유지/NNG+하/XSV+려는/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
희망	희망/NNG
섞인	섞이/VV+ㄴ/ETM
반응을	반응/NNG+을/JKO
보였습니다.	보이/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000025.154.3.4
이들은 개성공단 개발 초기에 진출한 덕분에 상대적으로 북한 인력을 충분히 확보할 수 있었고, 수익도 어느 정도 내고 있는 업체입니다.

이들은	이/NP+들/XSN+은/JX
개성공단	개성공단/NNP
개발	개발/NNG
초기에	초기/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
덕분에	덕분/NNG+에/JKB
상대적으로	상대/NNG+적/XSN+으로/JKB
북한	북한/NNP
인력을	인력/NNG+을/JKO
충분히	충분히/MAG
확보할	확보/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있었고,	있/VA+었/EP+고/EC+,/SP
수익도	수익/NNG+도/JX
어느	어느/MMD
정도	정도/NNG
내고	내/VV+고/EC
있는	있/VX+는/ETM
업체입니다.	업체/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.154.4.1
이 선발업체들은 최근 일부 입주기업이 중국에 대체 공장을 설립하려는 움직임을 보이자 북한 지도총국이 이를 만류하는 등 다급해하는 것 같다고도 했습니다.

이	이/MMD
선발업체들은	선발/NNG+업체/NNG+들/XSN+은/JX
최근	최근/MAG
일부	일부/NNG
입주기업이	입주/NNG+기업/NNG+이/JKS
중국에	중국/NNP+에/JKB
대체	대체/MAG
공장을	공장/NNG+을/JKO
설립하려는	설립/NNG+하/XSV+려는/ETM
움직임을	움직임/NNG+을/JKO
보이자	보이/VV+자/EC
북한	북한/NNP
지도총국이	지도/NNG+총국/NNG+이/JKS
이를	이/NP+를/JKO
만류하는	만류/NNG+하/XSV+는/ETM
등	등/NNB
다급해하는	다급하/VA+아/EC+하/VX+는/ETM
것	것/NNB
같다고도	같/VA+다고/EC+도/JX
했습니다.	하/VV+았/EP+습니다/EF+./SF


# id : NWRW1800000025.154.4.2
북한 당국으로선 한 해 4000만 달러 이상의 현금 수입을 보장해주는 개성공단을 포기하기가 쉽지 않을 것이라는 설명입니다.

북한	북한/NNP
당국으로선	당국/NNG+으로서/JKB+ㄴ/JX
한	한/MMN
해	해/NNB
4000만	4000/SN+만/NR
달러	달러/NNB
이상의	이상/NNG+의/JKG
현금	현금/NNG
수입을	수입/NNG+을/JKO
보장해주는	보장/NNG+하/XSV+아/EC+주/VX+는/ETM
개성공단을	개성공단/NNP+을/JKO
포기하기가	포기/NNG+하/XSV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것이라는	것/NNB+이/VCP+라는/ETM
설명입니다.	설명/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.154.5.1
이에 반해 만성적인 인력난으로 적자를 보고 있는 후발업체들은 정반대의 해석을 내놓고 있습니다.

이에	이/NP+에/JKB
반해	반하/VV+아/EC
만성적인	만성/NNG+적/XSN+이/VCP+ㄴ/ETM
인력난으로	인력난/NNG+으로/JKB
적자를	적자/NNG+를/JKO
보고	보/VV+고/EC
있는	있/VX+는/ETM
후발업체들은	후발/NNG+업체/NNG+들/XSN+은/JX
정반대의	정반대/NNG+의/JKG
해석을	해석/NNG+을/JKO
내놓고	내놓/VV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000025.154.5.2
북한이 개성공단 폐쇄를 전제로 부의 유출을 막고, 폐쇄 이후 자산 압류를 위해 사전 정지작업을 벌이는 것이라는 주장입니다.

북한이	북한/NNP+이/JKS
개성공단	개성공단/NNP
폐쇄를	폐쇄/NNG+를/JKO
전제로	전제/NNG+로/JKB
부의	부/NNG+의/JKG
유출을	유출/NNG+을/JKO
막고,	막/VV+고/EC+,/SP
폐쇄	폐쇄/NNG
이후	이후/NNG
자산	자산/NNG
압류를	압류/NNG+를/JKO
위해	위하/VV+아/EC
사전	사전/NNG
정지작업을	정지/NNG+작업/NNG+을/JKO
벌이는	벌이/VV+는/ETM
것이라는	것/NNB+이/VCP+라는/ETM
주장입니다.	주장/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.154.5.3
후발업체들은 북측이 이번 반출 제한조치를 통보할 때 이전처럼 공문으로 하지 않고 총국 관계자가 직접 구두로 전달한 것에 주목하고 있습니다.

후발업체들은	후발/NNG+업체/NNG+들/XSN+은/JX
북측이	북측/NNG+이/JKS
이번	이번/NNG
반출	반출/NNG
제한조치를	제한/NNG+조치/NNG+를/JKO
통보할	통보/NNG+하/XSV+ㄹ/ETM
때	때/NNG
이전처럼	이전/NNG+처럼/JKB
공문으로	공문/NNG+으로/JKB
하지	하/VV+지/EC
않고	않/VX+고/EC
총국	총국/NNG
관계자가	관계자/NNG+가/JKS
직접	직접/MAG
구두로	구두/NNG+로/JKB
전달한	전달/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
주목하고	주목/NNG+하/XSV+고/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000025.154.5.4
문서보다 구속력이 떨어지는 구두 통보의 형식을 빌려 언제라도 말을 바꾸려는 의도일 수 있다는 겁니다.

문서보다	문서/NNG+보다/JKB
구속력이	구속력/NNG+이/JKS
떨어지는	떨어지/VV+는/ETM
구두	구두/NNG
통보의	통보/NNG+의/JKG
형식을	형식/NNG+을/JKO
빌려	빌리/VV+어/EC
언제라도	언제/NP+이/VCP+라도/EC
말을	말/NNG+을/JKO
바꾸려는	바꾸/VV+려는/ETM
의도일	의도/NNG+이/VCP+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
겁니다.	거/NNB+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.154.6.1
북한이 군부의 강경 조치와 지도총국의 유화 제스처를 번갈아 보여주는 강온 양면 전술로 남측을 압박하려는 전통적인 수법이라는 분석도 일각에서 나옵니다.

북한이	북한/NNP+이/JKS
군부의	군부/NNG+의/JKG
강경	강경/NNG
조치와	조치/NNG+와/JC
지도총국의	지도/NNG+총국/NNG+의/JKG
유화	유화/NNG
제스처를	제스처/NNG+를/JKO
번갈아	번갈/VV+아/EC
보여주는	보이/VV+어/EC+주/VX+는/ETM
강온	강온/NNG
양면	양면/NNG
전술로	전술/NNG+로/JKB
남측을	남측/NNG+을/JKO
압박하려는	압박/NNG+하/XSV+려는/ETM
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
수법이라는	수법/NNG+이/VCP+라는/ETM
분석도	분석/NNG+도/JX
일각에서	일각/NNG+에서/JKB
나옵니다.	나오/VV+ㅂ니다/EF+./SF


# id : NWRW1800000025.154.6.2
유화 제스처를 통해 ‘남남 갈등’을 유발하려는 의도가 있다는 얘기도 들립니다.

유화	유화/NNG
제스처를	제스처/NNG+를/JKO
통해	통하/VV+아/EC
‘남남	‘/SS+남남/NNP
갈등’을	갈등/NNG+’/SS+을/JKO
유발하려는	유발/NNG+하/XSV+려는/ETM
의도가	의도/NNG+가/JKS
있다는	있/VA+다는/ETM
얘기도	얘기/NNG+도/JX
들립니다.	들리/VV+ㅂ니다/EF+./SF


# id : NWRW1800000025.154.6.3
어느 쪽의 해석이 맞을지는 대북 심리전 재개 여부와 이에 따른 북측의 대응 등 추후 상황 전개를 지켜봐야 알 수 있을 것 같습니다.

어느	어느/MMD
쪽의	쪽/NNB+의/JKG
해석이	해석/NNG+이/JKS
맞을지는	맞/VV+을지/EF+는/JX
대북	대북/NNG
심리전	심리전/NNG
재개	재개/NNG
여부와	여부/NNG+와/JC
이에	이/NP+에/JKB
따른	따르/VV+ㄴ/ETM
북측의	북측/NNG+의/JKG
대응	대응/NNG
등	등/NNB
추후	추후/NNG
상황	상황/NNG
전개를	전개/NNG+를/JKO
지켜봐야	지켜보/VV+아야/EC
알	알/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것	것/NNB
같습니다.	같/VA+습니다/EF+./SF


# id : NWRW1800000025.154.7.1
다만 중요한 것은 선발이건 후발이건 대부분의 개성공단 입주기업은 대북 사업에서 이익을 낼 수 있다는, 비즈니스적 관점에서 접근해 수십억, 수백억 원을 투자하는 리스크를 스스로 짊어졌다는 점입니다.

다만	다만/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
것은	것/NNB+은/JX
선발이건	선발/NNG+이/VCP+건/EC
후발이건	후발/NNG+이/VCP+건/EC
대부분의	대/XPN+부분/NNG+의/JKG
개성공단	개성공단/NNP
입주기업은	입주/NNG+기업/NNG+은/JX
대북	대북/NNG
사업에서	사업/NNG+에서/JKB
이익을	이익/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있다는,	있/VA+다는/ETM+,/SP
비즈니스적	비즈니스/NNG+적/XSN
관점에서	관점/NNG+에서/JKB
접근해	접근/NNG+하/XSV+아/EC
수십억,	수십억/NR+,/SP
수백억	수백억/NR
원을	원/NNB+을/JKO
투자하는	투자/NNG+하/XSV+는/ETM
리스크를	리스크/NNG+를/JKO
스스로	스스로/MAG
짊어졌다는	짊어지/VV+었/EP+다는/ETM
점입니다.	점/NNG+이/VCP+ㅂ니다/EF+./SF


# id : NWRW1800000025.154.7.2
우리 정부가 인프라 구축 등 대북 사업 지원에 나섰던 것도 부인할 수 없습니다.

우리	우리/NP
정부가	정부/NNG+가/JKS
인프라	인프라/NNG
구축	구축/NNG
등	등/NNB
대북	대북/NNG
사업	사업/NNG
지원에	지원/NNG+에/JKB
나섰던	나서/VV+었/EP+던/ETM
것도	것/NNB+도/JX
부인할	부인/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없습니다.	없/VA+습니다/EF+./SF


# id : NWRW1800000025.154.7.3
북한 역시 개방에 따른 리스크를 각오하고 땅과 인력을 댔습니다.

북한	북한/NNP
역시	역시/MAG
개방에	개방/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
리스크를	리스크/NNG+를/JKO
각오하고	각오/NNG+하/XSV+고/EC
땅과	땅/NNG+과/JC
인력을	인력/NNG+을/JKO
댔습니다.	대/VV+었/EP+습니다/EF+./SF


# id : NWRW1800000025.154.7.4
부디 남북 당국과 기업인들의 이런 초심(初心)이 허무하게 무너지지 않고 결실을 봤으면 하는 간절한 바람입니다.

부디	부디/MAG
남북	남북/NNP
당국과	당국/NNG+과/JC
기업인들의	기업인/NNG+들/XSN+의/JKG
이런	이런/MMD
초심(初心)이	초심/NNG+(/SS+初心/SH+)/SS+이/JKS
허무하게	허무/NNG+하/XSA+게/EC
무너지지	무너지/VV+지/EC
않고	않/VX+고/EC
결실을	결실/NNG+을/JKO
봤으면	보/VV+았/EP+으면/EC
하는	하/VX+는/ETM
간절한	간절하/VA+ㄴ/ETM
바람입니다.	바람/NNG+이/VCP+ㅂ니다/EF+./SF


