# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.230
metadata : {}


# id : NWRW1800000038.230.1.1
'특급 용병'의 한국 생존법… 2S, 그리고 고추장

'특급	'/SS+특급/NNG
헤인즈는 "첫 아이가 아들이어서 같이 농구도 하며 뛰어놀 수 있으면 좋겠다"면서 "꼭 우승을 해서 챔피언 반지와 내 유니폼을 아이의 방에 놓아주고 싶다"고 말했다.

헤인즈는	헤인즈/NNP+는/JX
"첫	"/SS+첫/MMN
아이가	아이/NNG+가/JKS
아들이어서	아들/NNG+이/VCP+어서/EC
같이	같이/MAG
농구도	농구/NNG+도/JX
하며	하/VV+며/EC
뛰어놀	뛰어놀/VV+ㄹ/ETM
수	수/NNB
있으면	있/VA+으면/EC
좋겠다"면서	좋/VA+겠/EP+다/EF+"/SS+면서/EC
"꼭	"/SS+꼭/MAG
우승을	우승/NNG+을/JKO
해서	하/VV+아서/EC
챔피언	챔피언/NNG
반지와	반지/NNG+와/JC
내	나/NP+의/JKG
유니폼을	유니폼/NNG+을/JKO
아이의	아이/NNG+의/JKG
방에	방/NNG+에/JKB
놓아주고	놓/VV+아/EC+주/VX+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.230.8.7
헤인즈는 "한국은 외국인에게도 정을 주는 것 같아 마음에 든다"면서 "다른 팀에 가더라도 계속 한국에서 뛰고 싶다"고 말했다.

헤인즈는	헤인즈/NNP+는/JX
"한국은	"/SS+한국/NNP+은/JX
외국인에게도	외국인/NNG+에게/JKB+도/JX
정을	정/NNG+을/JKO
주는	주/VV+는/ETM
것	것/NNB
같아	같/VA+아/EC
마음에	마음/NNG+에/JKB
든다"면서	들/VV+ㄴ다/EF+"/SS+면서/EC
"다른	"/SS+다른/MMD
팀에	팀/NNG+에/JKB
가더라도	가/VV+더라도/EC
계속	계속/MAG
한국에서	한국/NNP+에서/JKB
뛰고	뛰/VV+고/EC
싶다"고	싶/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


