# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.99
metadata : {}


# id : NWRW1800000029.99.1.1
돼지-기계 담보로 은행대출 받는다… ‘동산대출’ 내년 6월 시행

돼지-기계	돼지/NNG+-/SO+기계/NNG
A 씨처럼 보유 부동산이 없는 중소사업자도 내년 6월부터는 농축산물, 기계, 원재료 등을 은행에 담보로 맡기고 대출을 받을 수 있는 길이 열린다.

A	A/SL
씨처럼	씨/NNB+처럼/JKB
보유	보유/NNG
부동산이	부동산/NNG+이/JKS
없는	없/VA+는/ETM
중소사업자도	중소/NNG+사업자/NNG+도/JX
내년	내년/NNG
6월부터는	6/SN+월/NNB+부터/JX+는/JX
농축산물,	농축산물/NNG+,/SP
기계,	기계/NNG+,/SP
원재료	원재료/NNG
등을	등/NNB+을/JKO
은행에	은행/NNG+에/JKB
담보로	담보/NNG+로/JKB
맡기고	맡기/VV+고/EC
대출을	대출/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
길이	길/NNG+이/JKS
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.99.4.1
금융감독원과 은행연합회는 내년 6월 11일부터 ‘동산·채권 등의 담보에 관한 법률’이 시행됨에 따라 이 같은 내용의 ‘동산담보대출’ 상품을 개발키로 의견을 모았다고 6일 밝혔다.

금융감독원과	금융/NNG+감독원/NNG+과/JKB
은행연합회는	은행연합회/NNP+는/JX
내년	내년/NNG
6월	6/SN+월/NNB
11일부터	11/SN+일/NNB+부터/JX
‘동산·채권	‘/SS+동산/NNG+·/SP+채권/NNG
등의	등/NNB+의/JKG
담보에	담보/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률’이	법률/NNG+’/SS+이/JKS
시행됨에	시행/NNG+되/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
이	이/MMD
같은	같/VA+은/ETM
내용의	내용/NNG+의/JKG
‘동산담보대출’	‘/SS+동산/NNG+담보/NNG+대출/NNG+’/SS
상품을	상품/NNG+을/JKO
개발키로	개발/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모았다고	모으/VV+았/EP+다고/EC
6일	6/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.99.4.2
현재 은행들은 중소사업자가 보유한 농축산물이나 기계 등 동산의 경우 부동산 담보를 보완하는 보조 담보로 활용할 뿐이다.

현재	현재/MAG
은행들은	은행/NNG+들/XSN+은/JX
중소사업자가	중소/NNG+사업자/NNG+가/JKS
보유한	보유/NNG+하/XSV+ㄴ/ETM
농축산물이나	농축산물/NNG+이나/JC
기계	기계/NNG
등	등/NNB
동산의	동산/NNG+의/JKG
경우	경우/NNG
부동산	부동산/NNG
담보를	담보/NNG+를/JKO
보완하는	보완/NNG+하/XSV+는/ETM
보조	보조/NNG
담보로	담보/NNG+로/JKB
활용할	활용/NNG+하/XSV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000029.99.4.3
부동산이 없으면 담보대출이 사실상 어렵다는 얘기다.

부동산이	부동산/NNG+이/JKS
없으면	없/VA+으면/EC
담보대출이	담보/NNG+대출/NNG+이/JKS
사실상	사실/NNG+상/XSN
어렵다는	어렵/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.99.4.4
이 때문에 6월 말 현재 은행권의 전체 동산담보대출 규모는 747억 원으로 전체 기업 대출금(567조5000억 원)의 0.01%에 그치고 있다.

이	이/MMD
때문에	때문/NNB+에/JKB
6월	6/SN+월/NNB
말	말/NNB
현재	현재/MAG
은행권의	은행/NNG+권/XSN+의/JKG
전체	전체/NNG
동산담보대출	동산/NNG+담보/NNG+대출/NNG
규모는	규모/NNG+는/JX
747억	747/SN+억/NR
원으로	원/NNB+으로/JKB
기업	기업/NNG
대출금(567조5000억	대출금/NNG+(/SS+567/SN+조/NR+5000/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
0.01%에	0/SN+./SP+01/SN+%/SW+에/JKB
그치고	그치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.99.5.1
하지만 앞으로 은행들은 △시세 확인과 관리가 용이한 쌀, 보리, 소, 돼지 같은 농축산물 △제조번호가 있어 식별이 가능한 기계 및 기구 △원재료 완제품 등 재고 자산 △매출채권 등에 대해 담보등기를 한 뒤 감정가의 25∼80%에 해당하는 자금을 대출해 주기로 했다.

하지만	하지만/MAJ
앞으로	앞/NNG+으로/JKB
은행들은	은행/NNG+들/XSN+은/JX
△시세	△/SW+시세/NNG
확인과	확인/NNG+과/JC
관리가	관리/NNG+가/JKS
용이한	용이하/VA+ㄴ/ETM
쌀,	쌀/NNG+,/SP
보리,	보리/NNG+,/SP
소,	소/NNG+,/SP
돼지	돼지/NNG
같은	같/VA+은/ETM
농축산물	농축산물/NNG
△제조번호가	△/SW+제조/NNG+번호/NNG+가/JKS
있어	있/VA+어/EC
식별이	식별/NNG+이/JKS
가능한	가능/NNG+하/XSA+ㄴ/ETM
기계	기계/NNG
및	및/MAG
기구	기구/NNG
△원재료	△/SW+원재료/NNG
완제품	완제품/NNG
등	등/NNB
재고	재고/NNG
자산	자산/NNG
△매출채권	△/SW+매출/NNG+채권/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
담보등기를	담보/NNG+등기/NNG+를/JKO
한	하/VV+ㄴ/ETM
뒤	뒤/NNG
감정가의	감정/NNG+가/XSN+의/JKG
25∼80%에	25/SN+∼/SO+80/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
자금을	자금/NNG+을/JKO
대출해	대출/NNG+하/XSV+아/EC
주기로	주/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.99.5.2
대출 기간은 담보의 성격과 자금 용도에 따라 달라진다.

대출	대출/NNG
기간은	기간/NNG+은/JX
담보의	담보/NNG+의/JKG
성격과	성격/NNG+과/JC
자금	자금/NNG
용도에	용도/NNG+에/JKB
따라	따르/VV+아/EC
달라진다.	달라지/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.99.5.3
농축산물 담보로 운전자금을 대출받을 때는 1년 기한의 만기 일시 상환 조건이며 기계류를 담보로 시설자금을 대출받는 사업자는 5년 기한으로 원금 분할 또는 만기 일시 상환 조건 가운데 선택해 대출받을 수 있다.

농축산물	농축산물/NNG
담보로	담보/NNG+로/JKB
운전자금을	운전/NNG+자금/NNG+을/JKO
대출받을	대출/NNG+받/XSV+을/ETM
때는	때/NNG+는/JX
1년	1/SN+년/NNB
기한의	기한/NNG+의/JKG
만기	만기/NNG
일시	일시/NNG
상환	상환/NNG
조건이며	조건/NNG+이/VCP+며/EC
기계류를	기계/NNG+류/XSN+를/JKO
시설자금을	시설/NNG+자금/NNG+을/JKO
대출받는	대출/NNG+받/XSV+는/ETM
사업자는	사업자/NNG+는/JX
5년	5/SN+년/NNB
기한으로	기한/NNG+으로/JKB
원금	원금/NNG
분할	분할/NNG
또는	또는/MAG
조건	조건/NNG
가운데	가운데/NNG
선택해	선택/NNG+하/XSV+아/EC
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.99.6.1
금감원은 이러한 동산담보대출이 도입되면 중소기업의 자금 사정에 숨통이 트일 것으로 보고 있다.

금감원은	금감원/NNG+은/JX
이러한	이러하/VA+ㄴ/ETM
동산담보대출이	동산/NNG+담보/NNG+대출/NNG+이/JKS
도입되면	도입/NNG+되/XSV+면/EC
중소기업의	중소기업/NNG+의/JKG
자금	자금/NNG
사정에	사정/NNG+에/JKB
숨통이	숨통/NNG+이/JKS
트일	트이/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.99.6.2
공장을 빌려 쓰는 대부분의 중소기업들은 경기가 부진할 때면 자금을 융통할 방법이 없어 재고나 설비를 쌓아둔 채 도산하는 사례가 적지 않지만 앞으로는 은행에 동산을 담보로 맡기고 재도전할 수 있기 때문이다.

공장을	공장/NNG+을/JKO
빌려	빌리/VV+어/EC
쓰는	쓰/VV+는/ETM
대부분의	대/XPN+부분/NNG+의/JKG
중소기업들은	중소기업/NNG+들/XSN+은/JX
경기가	경기/NNG+가/JKS
부진할	부진/NNG+하/XSA+ㄹ/ETM
때면	때/NNG+이/VCP+면/EC
자금을	자금/NNG+을/JKO
융통할	융통/NNG+하/XSV+ㄹ/ETM
방법이	방법/NNG+이/JKS
없어	없/VA+어/EC
재고나	재고/NNG+나/JC
설비를	설비/NNG+를/JKO
쌓아둔	쌓/VV+아/EC+두/VX+ㄴ/ETM
채	채/NNB
도산하는	도산/NNG+하/XSV+는/ETM
사례가	사례/NNG+가/JKS
적지	적/VA+지/EC
않지만	않/VX+지만/EC
앞으로는	앞/NNG+으로/JKB+는/JX
은행에	은행/NNG+에/JKB
동산을	동산/NNG+을/JKO
담보로	담보/NNG+로/JKB
맡기고	맡기/VV+고/EC
재도전할	재/XPN+도전/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


