# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.83
metadata : {}


# id : NWRW1800000049.83.1.1
[2016착한브랜드 대상]영림임업, 원칙을 준수하는 정직한 기업

[2016착한브랜드	[/SS+2016/SN+착하/VA+ㄴ/ETM+브랜드/NNG
다양한	다양/NNG+하/XSA+ㄴ/ETM
영림의	영림/NNP+의/JKG
제품은	제품/NNG+은/JX
소비자의	소비자/NNG+의/JKG
기호에	기호/NNG+에/JKB
맞는	맞/VV+는/ETM
다채로운	다채롭/VA+ㄴ/ETM
공간	공간/NNG
연출이	연출/NNG+이/JKS
가능하도록	가능/NNG+하/XSA+도록/EC
디자인,	디자인/NNG+,/SP
사이즈,	사이즈/NNG+,/SP
색상	색상/NNG
등을	등/NNB+을/JKO
맞춤형으로	맞춤/NNG+형/XSN+으로/JKB
운영하는	운영/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.83.4.2
이러한 주문제작 방식은 원자재 입고부터 생산, 조립, 납품, 서비스까지 책임지는 원스톱 생산공정 시스템으로 이뤄진다.

이러한	이러하/VA+ㄴ/ETM
주문제작	주문/NNG+제작/NNG
방식은	방식/NNG+은/JX
원자재	원자재/NNG
입고부터	입/VV+고/EC+부터/JX
생산,	생산/NNG+,/SP
조립,	조립/NNG+,/SP
납품,	납품/NNG+,/SP
서비스까지	서비스/NNG+까지/JX
책임지는	책임지/VV+는/ETM
원스톱	원스톱/NNG
생산공정	생산/NNG+공정/NNG
시스템으로	시스템/NNG+으로/JKB
이뤄진다.	이뤄지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.83.4.3
제품의 구매 단계부터 서비스 단계까지 책임지는 프로세스로서, 믿을 수 있는 최고 품질의 제품을 소비자에게 제공하기 위해 KS, ISO 국제표준인증, 에너지 효율인증 등 인증 획득에도 힘을 기울이고 있다.

제품의	제품/NNG+의/JKG
구매	구매/NNG
단계부터	단계/NNG+부터/JX
서비스	서비스/NNG
단계까지	단계/NNG+까지/JX
책임지는	책임지/VV+는/ETM
프로세스로서,	프로세스/NNG+로서/JKB+,/SP
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
최고	최고/NNG
품질의	품질/NNG+의/JKG
제품을	제품/NNG+을/JKO
소비자에게	소비자/NNG+에게/JKB
제공하기	제공/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
KS,	KS/SL+,/SP
ISO	ISO/SL
국제표준인증,	국제/NNG+표준/NNG+인증/NNG+,/SP
에너지	에너지/NNG
효율인증	효율/NNG+인증/NNG
등	등/NNB
인증	인증/NNG
획득에도	획득/NNG+에/JKB+도/JX
힘을	힘/NNG+을/JKO
기울이고	기울이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.83.5.1
작은 부품부터 포장재까지 정직한 원자재를 사용하여 철저한 품질관리를 추구하는 영림은 원칙 준수를 통해 소비자와의 신뢰를 구축하고 있다.

작은	작/VA+은/ETM
부품부터	부품/NNG+부터/JX
포장재까지	포장재/NNG+까지/JX
정직한	정직/NNG+하/XSA+ㄴ/ETM
원자재를	원자재/NNG+를/JKO
사용하여	사용/NNG+하/XSV+아/EC
철저한	철저/NNG+하/XSA+ㄴ/ETM
품질관리를	품질/NNG+관리/NNG+를/JKO
추구하는	추구/NNG+하/XSV+는/ETM
영림은	영림/NNP+은/JX
원칙	원칙/NNG
준수를	준수/NNG+를/JKO
통해	통하/VV+아/EC
소비자와의	소비자/NNG+와/JKB+의/JKG
신뢰를	신뢰/NNG+를/JKO
구축하고	구축/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.83.5.2
이러한 영림임업의 품질에 대한 자부심은 책임감 있는 사후관리로 이어진다.

이러한	이러하/VA+ㄴ/ETM
영림임업의	영림임업/NNP+의/JKG
품질에	품질/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
자부심은	자부심/NNG+은/JX
책임감	책임감/NNG
있는	있/VA+는/ETM
사후관리로	사후/NNG+관리/NNG+로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.83.5.3
영림 로고가 부착된 정품의 경우 본사에서 책임 애프터서비스를 제공함으로써 오래 사용하는 인테리어 내장재가 지속적으로 좋은 품질을 유지할 수 있도록 하고 있다.

영림	영림/NNP
로고가	로고/NNG+가/JKS
부착된	부착/NNG+되/XSV+ㄴ/ETM
정품의	정품/NNG+의/JKG
경우	경우/NNG
본사에서	본사/NNG+에서/JKB
책임	책임/NNG
애프터서비스를	애프터서비스/NNG+를/JKO
제공함으로써	제공/NNG+하/XSV+ㅁ/ETN+으로써/JKB
오래	오래/MAG
사용하는	사용/NNG+하/XSV+는/ETM
인테리어	인테리어/NNG
내장재가	내장재/NNG+가/JKS
지속적으로	지속/NNG+적/XSN+으로/JKB
좋은	좋/VA+은/ETM
품질을	품질/NNG+을/JKO
유지할	유지/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
하고	하/VX+고/EC
있다.	있/VX+다/EF+./SF


