# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.353
metadata : {}


# id : NWRW1800000041.353.1.1
제약업계 ‘리베이트 투아웃제’ 시행 100일

제약업계	제약업/NNG+계/XSN
2년간	2/SN+년/NNB+간/XSN
17억	17/SN+억/NR
원을	원/NNB+을/JKO
지원받기도	지원/NNG+받/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.353.7.1
병원과 의사들의 분위기도 변하고 있다.

병원과	병원/NNG+과/JC
의사들의	의사/NNG+들/XSN+의/JKG
분위기도	분위기/NNG+도/JX
변하고	변하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.353.7.2
리베이트 의심을 받느니 오리지널 약품이나 해외 약품을 쓰겠다는 의사들이 생겨나고 있다.

리베이트	리베이트/NNG
의심을	의심/NNG+을/JKO
받느니	받/VV+느니/EC
오리지널	오리지널/NNG
약품이나	약품/NNG+이나/JC
해외	해외/NNG
약품을	약품/NNG+을/JKO
쓰겠다는	쓰/VV+겠/EP+다는/ETM
의사들이	의사/NNG+들/XSN+이/JKS
생겨나고	생겨나/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.353.7.3
신한금융투자에 따르면 환자가 처방전으로 약국에서 사는 의약품 매출액인 원외처방액은 8월 7175억 원 규모로 지난해 같은 달보다 2% 감소했다.

신한금융투자에	신한금융투자/NNP+에/JKB
따르면	따르/VV+면/EC
환자가	환자/NNG+가/JKS
처방전으로	처방전/NNG+으로/JKB
약국에서	약국/NNG+에서/JKB
사는	사/VV+는/ETM
의약품	의약품/NNG
매출액인	매출액/NNG+이/VCP+ㄴ/ETM
원외처방액은	원외/NNG+처방액/NNG+은/JX
8월	8/SN+월/NNB
7175억	7175/SN+억/NR
원	원/NNB
규모로	규모/NNG+로/JKB
지난해	지난해/NNG
같은	같/VA+은/ETM
달보다	달/NNG+보다/JKB
2%	2/SN+%/SW
감소했다.	감소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.353.7.4
상위 10개 업체의 8월 처방 실적도 지난해 같은 달보다 6.4% 줄었다.

상위	상위/NNG
10개	10/SN+개/NNB
업체의	업체/NNG+의/JKG
8월	8/SN+월/NNB
처방	처방/NNG
실적도	실적/NNG+도/JX
지난해	지난해/NNG
같은	같/VA+은/ETM
달보다	달/NNG+보다/JKB
6.4%	6/SN+./SP+4/SN+%/SW
줄었다.	줄/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.353.7.5
한 제약업체 관계자는 “여러 변화가 나타나고 있지만 복제약(제네릭)을 주로 판매하고 있는 국내 제약업계의 현실을 감안할 때 리베이트를 기반으로 한 영업전쟁이 사라지는 건 쉽지 않을 것”이라며 “리베이트를 당연시했던 병원 의사들이 함께 노력해야 한다”고 주장했다.

한	하/VV+ㄴ/ETM
제약업체	제약업체/NNG
관계자는	관계자/NNG+는/JX
“여러	“/SS+여러/MMN
변화가	변화/NNG+가/JKS
나타나고	나타나/VV+고/EC
있지만	있/VX+지만/EC
복제약(제네릭)을	복제약/NNG+(/SS+제네릭/NNG+)/SS+을/JKO
주로	주로/MAG
판매하고	판매/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
국내	국내/NNG
제약업계의	제약업/NNG+계/XSN+의/JKG
현실을	현실/NNG+을/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
리베이트를	리베이트/NNG+를/JKO
기반으로	기반/NNG+으로/JKB
영업전쟁이	영업/NNG+전쟁/NNG+이/JKS
사라지는	사라지/VV+는/ETM
건	거/NNB+ㄴ/JX
쉽지	쉽/VA+지/EC
않을	않/VX+을/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“리베이트를	“/SS+리베이트/NNG+를/JKO
당연시했던	당연/NNG+시/XSN+하/XSV+았/EP+던/ETM
병원	병원/NNG
의사들이	의사/NNG+들/XSN+이/JKS
함께	함께/MAG
노력해야	노력/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


