# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.213
metadata : {}


# id : NWRW1800000053.213.1.1
장원준 vs 빅리그 124승

장원준	장원준/NNP
넘는	넘/VV+는/ETM
공백을	공백/NNG+을/JKO
무색하게	무색하/VA+게/EC
하는	하/VX+는/ETM
깜짝	깜짝/MAG
호투를	호투/NNG+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.213.5.2
그는 예선전 2경기에 3일 간격으로 선발 등판해 7이닝 동안 1실점했다.

그는	그/NP+는/JX
예선전	예선전/NNG
2경기에	2/SN+경기/NNG+에/JKB
3일	3/SN+일/NNB
간격으로	간격/NNG+으로/JKB
선발	선발/NNG
등판해	등판/NNG+하/XSV+아/EC
7이닝	7/SN+이닝/NNG
동안	동안/NNG
1실점했다.	1/SN+실점/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.213.5.3
마르키는 최고 구속이 시속 140km 정도지만 싱커를 주무기로 해 슬라이더, 투심패스트볼, 커브, 체인지업 등 다양한 구종으로 땅볼을 유도해냈다.

마르키는	마르키/NNP+는/JX
최고	최고/NNG
구속이	구속/NNG+이/JKS
시속	시속/NNG
140km	140/SN+km/SW
정도지만	정도/NNG+이/VCP+지만/EC
싱커를	싱커/NNG+를/JKO
주무기로	주무기/NNG+로/JKB
해	하/VV+아/EC
슬라이더,	슬라이더/NNG+,/SP
투심패스트볼,	투심패스트볼/NNG+,/SP
커브,	커브/NNG+,/SP
체인지업	체인지업/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
구종으로	구종/NNG+으로/JKB
땅볼을	땅볼/NNG+을/JKO
유도해냈다.	유도/NNG+하/XSV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.213.6.1
전성기 시절 6년 연속 두 자릿수 승수를 거둔 마르키에 맞서는 한국의 선발투수는 지난해 한국 왼손 투수 최초 7년 연속 두 자릿수 승리라는 대기록을 세운 장원준(32·두산)이다.

전성기	전성기/NNG
시절	시절/NNG
6년	6/SN+년/NNB
연속	연속/NNG
두	두/MMN
자릿수	자릿수/NNG
승수를	승/NNG+수/NNG+를/JKO
거둔	거두/VV+ㄴ/ETM
마르키에	마르키/NNP+에/JKB
맞서는	맞서/VV+는/ETM
한국의	한국/NNP+의/JKG
선발투수는	선발/NNG+투수/NNG+는/JX
지난해	지난해/NNG
한국	한국/NNP
왼손	왼손/NNG
투수	투수/NNG
최초	최초/NNG
7년	7/SN+년/NNB
승리라는	승리/NNG+이/VCP+라는/ETM
대기록을	대/XPN+기록/NNG+을/JKO
세운	세우/VV+ㄴ/ETM
장원준(32·두산)이다.	장원준/NNP+(/SS+32/SN+·/SP+두산/NNP+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000053.213.6.2
장원준은 최근 요미우리와의 연습경기, 쿠바와의 평가전에서 제구력과 슬라이더를 앞세워 각각 3이닝 무실점을 기록하며 최상의 컨디션을 보이고 있다.

장원준은	장원준/NNP+은/JX
최근	최근/MAG
요미우리와의	요미우리/NNP+와/JKB+의/JKG
연습경기,	연습/NNG+경기/NNG+,/SP
쿠바와의	쿠바/NNP+와/JKB+의/JKG
평가전에서	평가전/NNG+에서/JKB
제구력과	제구력/NNG+과/JC
슬라이더를	슬라이더/NNG+를/JKO
앞세워	앞세우/VV+어/EC
각각	각각/MAG
3이닝	3/SN+이닝/NNG
무실점을	무/XPN+실점/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
최상의	최상/NNG+의/JKG
컨디션을	컨디션/NNG+을/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.213.7.1
한국과 이스라엘 모두 첫판을 잡아야만 2라운드 진출의 희망을 이어갈 수 있다.

한국과	한국/NNP+과/JC
이스라엘	이스라엘/NNP
모두	모두/MAG
첫판을	첫판/NNG+을/JKO
잡아야만	잡/VV+아야/EC+만/JX
2라운드	2/SN+라운드/NNG
진출의	진출/NNG+의/JKG
희망을	희망/NNG+을/JKO
이어갈	잇/VV+어/EC+가/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.213.7.2
풍부한 경험을 지닌 두 선발투수의 어깨에 양 팀의 첫승이 달렸다.

풍부한	풍부하/VA+ㄴ/ETM
경험을	경험/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
두	두/MMN
선발투수의	선발/NNG+투수/NNG+의/JKG
어깨에	어깨/NNG+에/JKB
양	양/MMN
팀의	팀/NNG+의/JKG
첫승이	첫/MMN+승/NNG+이/JKS
달렸다.	달리/VV+었/EP+다/EF+./SF


