# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.75
metadata : {}


# id : NWRW1800000037.75.1.1
[에너지가 미래다]가볍게 입고 ‘빼고 끄고 걷는’ 절전 캠페인 전개

[에너지가	[/SS+에너지/NNG+가/JKS
냉동기	냉동기/NNG
가동	가동/NNG
부하	부하/NNG
감소와	감소/NNG+와/JC
생산량	생산량/NNG
조절,	조절/NNG+,/SP
제조	제조/NNG
사업장이	사업장/NNG+이/JKS
보유하고	보유/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
발전기	발전기/NNG
등을	등/NNB+을/JKO
통한	통하/VV+ㄴ/ETM
절전을	절전/NNG+을/JKO
시행한다.	시행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.75.5.1
7월 말∼8월 초에 집중된 여름휴가는 8월 5일부터 30일까지 4주에 걸쳐 분산해서 떠나도록 했다.

7월	7/SN+월/NNB
말∼8월	말/NNB+∼/SO+8/SN+월/NNB
초에	초/NNB+에/JKB
집중된	집중/NNG+되/XSV+ㄴ/ETM
여름휴가는	여름휴가/NNG+는/JX
8월	8/SN+월/NNB
5일부터	5/SN+일/NNB+부터/JX
30일까지	30/SN+일/NNB+까지/JX
4주에	4/SN+주/NNB+에/JKB
걸쳐	걸치/VV+어/EC
분산해서	분산/NNG+하/XSV+아서/EC
떠나도록	떠나/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.75.5.2
회사에서는 실내온도가 상승하거나 조명 소등으로 실내가 어두워짐에 따라 겪는 불편함을 완화하기 위해 소형 조명스탠드, 소형 선풍기, 쿨 방석 등 보조용품을 전 임직원에게 나눠줄 계획이다.

회사에서는	회사/NNG+에서/JKB+는/JX
실내온도가	실내/NNG+온도/NNG+가/JKS
상승하거나	상승/NNG+하/XSV+거나/EC
조명	조명/NNG
소등으로	소등/NNG+으로/JKB
실내가	실내/NNG+가/JKS
어두워짐에	어둡/VA+어/EC+지/VX+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
겪는	겪/VV+는/ETM
불편함을	불편/NNG+하/XSA+ㅁ/ETN+을/JKO
완화하기	완화/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
소형	소형/NNG
조명스탠드,	조명스탠드/NNG+,/SP
선풍기,	선풍기/NNG+,/SP
쿨	쿨/NNG
방석	방석/NNG
등	등/NNB
보조용품을	보조용품/NNG+을/JKO
전	전/MMN
임직원에게	임직원/NNG+에게/JKB
나눠줄	나누/VV+어/EC+주/VX+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.75.6.1
삼성전자는 PC를 쓰지 않은 채 일정 시간이 경과하면 자동으로 전원을 끄는 소프트웨어를 보급하고 임직원 절전 캠페인 ‘빼고, 끄고, 걷고’를 포함해 다양한 사내 캠페인도 전개한다.

삼성전자는	삼성전자/NNP+는/JX
PC를	PC/SL+를/JKO
쓰지	쓰/VV+지/EC
않은	않/VX+은/ETM
채	채/NNB
일정	일정/NNG
시간이	시간/NNG+이/JKS
경과하면	경과/NNG+하/XSV+면/EC
자동으로	자동/NNG+으로/JKB
전원을	전원/NNG+을/JKO
끄는	끄/VV+는/ETM
소프트웨어를	소프트웨어/NNG+를/JKO
보급하고	보급/NNG+하/XSV+고/EC
임직원	임직원/NNG
절전	절전/NNG
캠페인	캠페인/NNG
‘빼고,	‘/SS+빼/VV+고/EC+,/SP
끄고,	끄/VV+고/EC+,/SP
걷고’를	걷/VV+고/EC+’/SS+를/JKO
포함해	포함/NNG+하/XSV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
사내	사내/NNG
캠페인도	캠페인/NNG+도/JX
전개한다.	전개/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.75.6.2
△엘리베이터 같이 타기 생활화 △엘리베이터 이용시 닫힘버튼을 누르지 말기 △냉난방 효과를 위해 출입문이 잘 닫혔는지 확인하기 △개인용 냉난방기 사용 자제 △모니터에 절전모드 설정 △수돗물을 아껴서 사용하기 등이다.

△엘리베이터	△/SW+엘리베이터/NNG
같이	같이/MAG
타기	타/VV+기/ETN
생활화	생활/NNG+화/XSN
이용시	이용/NNG+시/NNB
닫힘버튼을	닫히/VV+ㅁ/ETN+버튼/NNG+을/JKO
누르지	누르/VV+지/EC
말기	말/VX+기/ETN
△냉난방	△/SW+냉난방/NNG
효과를	효과/NNG+를/JKO
위해	위하/VV+아/EC
출입문이	출입문/NNG+이/JKS
잘	잘/MAG
닫혔는지	닫히/VV+었/EP+는지/EF
확인하기	확인/NNG+하/XSV+기/ETN
△개인용	△/SW+개인/NNG+용/XSN
냉난방기	냉난방기/NNG
사용	사용/NNG
자제	자제/NNG
△모니터에	△/SW+모니터/NNG+에/JKB
절전모드	절전/NNG+모드/NNG
설정	설정/NNG
△수돗물을	△/SW+수돗물/NNG+을/JKO
아껴서	아끼/VV+어서/EC
사용하기	사용/NNG+하/XSV+기/ETN
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.75.7.1
삼성은 그룹 차원에서도 1조5000억 원을 투자해 현재 에너지 사용량의 20% 정도를 절감한다는 내용의 ‘에너지 절감 대책’을 발표했다.

삼성은	삼성/NNP+은/JX
그룹	그룹/NNG
차원에서도	차원/NNG+에서/JKB+도/JX
1조5000억	1/SN+조/NR+5000/SN+억/NR
원을	원/NNB+을/JKO
투자해	투자/NNG+하/XSV+아/EC
현재	현재/MAG
에너지	에너지/NNG
사용량의	사용량/NNG+의/JKG
20%	20/SN+%/SW
정도를	정도/NNG+를/JKO
절감한다는	절감/NNG+하/XSV+ㄴ다는/ETM
내용의	내용/NNG+의/JKG
‘에너지	‘/SS+에너지/NNG
절감	절감/NNG
대책’을	대책/NNG+’/SS+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.75.7.2
2015년까지 세계 최고 수준의 에너지 효율을 달성하기 위해 △발광다이오드(LED) 조명으로 전면 교체 △제조사업장 에너지효율 개선 △신재생에너지 적용 등 ‘3대 에너지 절감 방안’을 실행하기로 했다.

2015년까지	2015/SN+년/NNB+까지/JX
세계	세계/NNG
최고	최고/NNG
수준의	수준/NNG+의/JKG
에너지	에너지/NNG
효율을	효율/NNG+을/JKO
달성하기	달성/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
△발광다이오드(LED)	△/SW+발광/NNG+다이오드/NNG+(/SS+LED/SL+)/SS
조명으로	조명/NNG+으로/JKB
전면	전면/NNG
교체	교체/NNG
△제조사업장	△/SW+제조/NNG+사업장/NNG
에너지효율	에너지/NNG+효율/NNG
개선	개선/NNG
△신재생에너지	△/SW+신/XPN+재생/NNG+에너지/NNG
적용	적용/NNG
등	등/NNB
‘3대	‘/SS+3/SN+대/NNG
절감	절감/NNG
방안’을	방안/NNG+’/SS+을/JKO
실행하기로	실행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.75.7.3
에너지 낭비가 없는지 살펴보기 위해 사내 에너지 전문가들로 진단팀도 구성했다.

에너지	에너지/NNG
낭비가	낭비/NNG+가/JKS
없는지	없/VA+는지/EF
살펴보기	살펴보/VV+기/ETN
위해	위하/VV+아/EC
사내	사내/NNG
전문가들로	전문가/NNG+들/XSN+로/JKB
진단팀도	진단/NNG+팀/NNG+도/JX
구성했다.	구성/NNG+하/XSV+았/EP+다/EF+./SF


