# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.138
metadata : {}


# id : NWRW1800000032.138.1.1
일 자위대, 남수단에 장기파병 결정

일	일/NNP
이번에	이번/NNG+에/JKB
파견하는	파견/NNG+하/XSV+는/ETM
자위대의	자위대/NNG+의/JKG
장기주둔을	장기/NNG+주둔/NNG+을/JKO
계기로	계기/NNG+로/JKB
민주당은	민주당/NNP+은/JX
1일	1/SN+일/NNB
내각·외무·방위	내각/NNG+·/SP+외무/NNG+·/SP+방위/NNG
부문	부문/NNG
합동회의를	합동/NNG+회의/NNG+를/JKO
열어	열/VV+어/EC
무기사용을	무기/NNG+사용/NNG+을/JKO
매우	매우/MAG
엄격히	엄격히/MAG
규제한	규제/NNG+하/XSV+ㄴ/ETM
이른바	이른바/MAG
‘파병	‘/SS+파병/NNG
5원칙’도	5/SN+원칙/NNG+’/SS+도/JX
재검토에	재/XPN+검토/NNG+에/JKB
착수했다.	착수/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.8.2
일본은 자위대의 피케이오 활동 때 정당방위나 긴급피난의 경우에만 무기를 사용하도록 하고 있으나, 이를 완화하려는 것이다.

일본은	일본/NNP+은/JX
자위대의	자위대/NNG+의/JKG
피케이오	피케이오/NNG
활동	활동/NNG
때	때/NNG
정당방위나	정당방위/NNG+나/JC
긴급피난의	긴급/NNG+피난/NNG+의/JKG
경우에만	경우/NNG+에/JKB+만/JX
무기를	무기/NNG+를/JKO
사용하도록	사용/NNG+하/XSV+도록/EC
하고	하/VX+고/EC
있으나,	있/VX+으나/EC+,/SP
이를	이/NP+를/JKO
완화하려는	완화/NNG+하/XSV+려는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000032.138.8.3
<요미우리신문>은 “민주당이 내년 1월 정기국회에서 개정안을 내는 것을 목표로 하고 있다”고 전했다.

<요미우리신문>은	</SS+요미우리신문/NNP+>/SS+은/JX
“민주당이	“/SS+민주당/NNP+이/JKS
내년	내년/NNG
1월	1/SN+월/NNB
정기국회에서	정기/NNG+국회/NNG+에서/JKB
개정안을	개정안/NNG+을/JKO
내는	내/VV+는/ETM
것을	것/NNB+을/JKO
목표로	목표/NNG+로/JKB
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.9.1
한편 노다 요시히코 총리는 1일 중의원 회의에서 일본의 집단적 자위권의 행사와 관련해 “현시점에서는 ‘헌법 해석상 행사할 수 없다’는 정부의 입장을 바꾸지 않을 것”이라고 말했다.

한편	한편/MAG
노다	노다/NNP
요시히코	요시히코/NNP
총리는	총리/NNG+는/JX
1일	1/SN+일/NNB
중의원	중의원/NNG
회의에서	회의/NNG+에서/JKB
일본의	일본/NNP+의/JKG
집단적	집단/NNG+적/XSN
자위권의	자위/NNG+권/XSN+의/JKG
행사와	행사/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
“현시점에서는	“/SS+현시점/NNG+에서/JKB+는/JX
‘헌법	‘/SS+헌법/NNG
해석상	해석/NNG+상/XSN
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다’는	없/VA+다/EF+’/SS+는/ETM
정부의	정부/NNG+의/JKG
입장을	입장/NNG+을/JKO
바꾸지	바꾸/VV+지/EC
않을	않/VX+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.138.9.2
그는 취임 전 쓴 글에서는 “집단적 자위권을 행사할 수 없다면, 자위대의 국외파병은 원래 못한다”며 “원칙적으로 인정해야 한다”고 주장한 바 있다.

그는	그/NP+는/JX
취임	취임/NNG
전	전/NNG
쓴	쓰/VV+ㄴ/ETM
글에서는	글/NNG+에서/JKB+는/JX
“집단적	“/SS+집단/NNG+적/XSN
자위권을	자위/NNG+권/XSN+을/JKO
행사할	행사/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없다면,	없/VA+다면/EC+,/SP
자위대의	자위대/NNG+의/JKG
국외파병은	국외/NNG+파병/NNG+은/JX
원래	원래/MAG
못한다”며	못/MAG+하/VV+ㄴ다/EF+”/SS+며/EC
“원칙적으로	“/SS+원칙/NNG+적/XSN+으로/JKB
인정해야	인정/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
주장한	주장/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


