# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.369
metadata : {}


# id : NWRW1800000045.369.1.1
“사찰 논란 SKT회선은 내부 실험용” “명확한 근거 대라”

“사찰	“/SS+사찰/NNG
있었고	있/VA+었/EP+고/EC
상식적으로도	상식/NNG+적/XSN+으로/JKB+도/JX
들어보면	듣/VV+어/EC+보/VX+면/EC
맞는	맞/VV+는/ETM
설명이	설명/NNG+이/JKS
많았다”고	많/VA+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.8.1
반면 새정치연합은 로그파일 등 자료가 제대로 제출되지 않은 것을 두고 불만을 제기했다.

반면	반면/NNG
새정치연합은	새정치연합/NNP+은/JX
로그파일	로그/NNG+파일/NNG
등	등/NNB
자료가	자료/NNG+가/JKS
제대로	제대로/MAG
제출되지	제출/NNG+되/XSV+지/EC
않은	않/VX+은/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
불만을	불만/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.8.2
정보위 야당 간사인 새정치연합 신경민 의원은 “총 34개의 자료를 요구했는데 일부에 대해선 ‘해당 무(無)’라는 답변이 왔다”며 “사실상 자료 제출을 한 것이 없다.

정보위	정보위/NNG
야당	야당/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
새정치연합	새정치연합/NNP
신경민	신경민/NNP
의원은	의원/NNG+은/JX
“총	“/SS+총/MMA
34개의	34/SN+개/NNB+의/JKG
자료를	자료/NNG+를/JKO
요구했는데	요구/NNG+하/XSV+았/EP+는데/EC
일부에	일부/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
‘해당	‘/SS+해당/NNG
무(無)’라는	무/NNG+(/SS+無/SH+)/SS+’/SS+이/VCP+라는/ETM
답변이	답변/NNG+이/JKS
왔다”며	오/VV+았/EP+다/EF+”/SS+며/EC
“사실상	“/SS+사실/NNG+상/XSN
자료	자료/NNG
제출을	제출/NNG+을/JKO
한	하/VV+ㄴ/ETM
것이	것/NNB+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000045.369.8.3
국정원장은 ‘자료 제출에 노력하겠다’는 뻔한 얘기를 했다”고 지적했다.

국정원장은	국정원장/NNG+은/JX
‘자료	‘/SS+자료/NNG
제출에	제출/NNG+에/JKB
노력하겠다’는	노력/NNG+하/XSV+겠/EP+다/EF+’/SS+는/ETM
뻔한	뻔하/VA+ㄴ/ETM
얘기를	얘기/NNG+를/JKO
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.9.1
신 의원은 “51개를 지운 것을 확신하느냐고 국정원에 물었는데 근거는 뚜렷하지 않다”며 “시원한 얘기를 못 들었다”고 말했다.

신	신/NNP
의원은	의원/NNG+은/JX
“51개를	“/SS+51/SN+개/NNB+를/JKO
지운	지우/VV+ㄴ/ETM
것을	것/NNB+을/JKO
확신하느냐고	확신/NNG+하/XSV+느냐고/EC
국정원에	국정원/NNG+에/JKB
물었는데	묻/VV+었/EP+는데/EC
근거는	근거/NNG+는/JX
뚜렷하지	뚜렷하/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“시원한	“/SS+시원하/VA+ㄴ/ETM
얘기를	얘기/NNG+를/JKO
못	못/MAG
들었다”고	듣/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.9.2
같은 당 김광진 의원도 “해킹 프로그램 ‘RCS(리모트 컨트롤 시스템)’의 카카오톡 도청이 불가능하다”는 국정원장의 발언을 두고 “아무런 근거 없이 믿어 달라고만 한다”고 비판했다.

같은	같/VA+은/ETM
당	당/NNG
김광진	김광진/NNP
의원도	의원/NNG+도/JX
“해킹	“/SS+해킹/NNG
프로그램	프로그램/NNG
‘RCS(리모트	‘/SS+RCS/SL+(/SS+리모트/NNG
컨트롤	컨트롤/NNG
시스템)’의	시스템/NNG+)/SS+’/SS+의/JKG
카카오톡	카카오톡/NNP
도청이	도청/NNG+이/JKS
불가능하다”는	불/XPN+가능/NNG+하/XSA+다/EF+”/SS+는/ETM
국정원장의	국정원장/NNG+의/JKG
발언을	발언/NNG+을/JKO
두고	두/VV+고/EC
“아무런	“/SS+아무런/MMD
근거	근거/NNG
없이	없이/MAG
믿어	믿/VV+어/EC
달라고만	달/VX+라고/EC+만/JX
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.10.1
김 의원은 임 과장이 삭제한 파일을 복구한 것과 관련해서도 “한 페이지에 (복구한 파일을) 리스트(형식으)로 해놓아 의미가 없는 보고서”라고 평가절하했다.

김	김/NNP
의원은	의원/NNG+은/JX
임	임/NNP
과장이	과장/NNG+이/JKS
삭제한	삭제/NNG+하/XSV+ㄴ/ETM
파일을	파일/NNG+을/JKO
복구한	복구/NNG+하/XSV+ㄴ/ETM
것과	것/NNB+과/JKB
관련해서도	관련/NNG+하/XSV+아서/EC+도/JX
“한	“/SS+한/MMN
페이지에	페이지/NNG+에/JKB
(복구한	(/SS+복구/NNG+하/XSV+ㄴ/ETM
파일을)	파일/NNG+을/JKO+)/SS
리스트(형식으)로	리스트/NNG+(/SS+형식/NNG+으/NA+)/SS+로/JKB
해놓아	하/VV+아/EC+놓/VX+아/EC
의미가	의미/NNG+가/JKS
없는	없/VA+는/ETM
보고서”라고	보고서/NNG+”/SS+라고/JKQ
평가절하했다.	평가/NNG+절하/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.11.1
○ 국정원 “SK텔레콤 회선 사찰 없었다”

○	○/SW
국정원	국정원/NNG
“SK텔레콤	“/SS+SK텔레콤/NNP
회선	회선/NNG
사찰	사찰/NNG
없었다”	없/VA+었/EP+다/EF+”/SS


# id : NWRW1800000045.369.12.1
국정원은 내국인 사찰 논란을 불러일으켰던 SK텔레콤에 가입된 9개 인터넷주소(IP주소)를 해킹한 의혹에 대해 근거 자료를 제시하며 적극 해명한 것으로 전해졌다.

국정원은	국정원/NNG+은/JX
내국인	내국인/NNG
사찰	사찰/NNG
논란을	논란/NNG+을/JKO
불러일으켰던	불러일으키/VV+었/EP+던/ETM
SK텔레콤에	SK텔레콤/NNP+에/JKB
가입된	가입/NNG+되/XSV+ㄴ/ETM
9개	9/SN+개/NNB
인터넷주소(IP주소)를	인터넷/NNG+주소/NNG+(/SS+IP/SL+주소/NNG+)/SS+를/JKO
해킹한	해킹/NNG+하/XSV+ㄴ/ETM
의혹에	의혹/NNG+에/JKB
대해	대하/VV+아/EC
근거	근거/NNG
자료를	자료/NNG+를/JKO
제시하며	제시/NNG+하/XSV+며/EC
적극	적극/NNG
해명한	해명/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.369.12.2
국정원은 이날 여야 정보위원들을 상대로 ‘시연’까지 하면서 첩보활동을 위한 실험용이라고 해명했다.

국정원은	국정원/NNG+은/JX
이날	이날/NNG
여야	여야/NNG
정보위원들을	정보위원/NNG+들/XSN+을/JKO
상대로	상대/NNG+로/JKB
‘시연’까지	‘/SS+시연/NNG+’/SS+까지/JX
하면서	하/VV+면서/EC
첩보활동을	첩보/NNG+활동/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
실험용이라고	실험/NNG+용/XSN+이/VCP+라고/EC
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.13.1
새누리당 이철우 의원은 “(야당에서) 의혹을 제기한 국내 IP주소 3개 모두 (국정원 내부의) 실험용이라는 것을 국정원이 확실하게 보여줬다”면서 “언론에서 제기한 2개의 IP주소도 실험용이라는 것을 국정원이 밝혔다”고 설명했다.

새누리당	새누리당/NNP
이철우	이철우/NNP
의원은	의원/NNG+은/JX
“(야당에서)	“/SS+(/SS+야당/NNG+에서/JKB+)/SS
의혹을	의혹/NNG+을/JKO
제기한	제기/NNG+하/XSV+ㄴ/ETM
국내	국내/NNG
IP주소	IP/SL+주소/NNG
3개	3/SN+개/NNB
모두	모두/MAG
(국정원	(/SS+국정원/NNG
내부의)	내부/NNG+의/JKG+)/SS
실험용이라는	실험/NNG+용/XSN+이/VCP+라는/ETM
것을	것/NNB+을/JKO
국정원이	국정원/NNG+이/JKS
확실하게	확실하/VA+게/EC
보여줬다”면서	보이/VV+어/EC+주/VX+었/EP+다/EF+”/SS+면서/EC
“언론에서	“/SS+언론/NNG+에서/JKB
2개의	2/SN+개/NNB+의/JKG
IP주소도	IP/SL+주소/NNG+도/JX
밝혔다”고	밝히/VV+었/EP+다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.369.13.2
박민식 의원은 “국정원 스마트폰과 (이탈리아 업체인) ‘해킹팀’의 접속 시간이 정확히 일치하고, 번호 소유주가 실험을 한 국정원으로 딱 나온다”고 밝혔다.

박민식	박민식/NNP
의원은	의원/NNG+은/JX
“국정원	“/SS+국정원/NNG
스마트폰과	스마트폰/NNG+과/JKB
(이탈리아	(/SS+이탈리아/NNP
업체인)	업체/NNG+이/VCP+ㄴ/ETM+)/SS
‘해킹팀’의	‘/SS+해킹/NNG+팀/NNG+’/SS+의/JKG
접속	접속/NNG
시간이	시간/NNG+이/JKS
정확히	정확히/MAG
일치하고,	일치/NNG+하/XSV+고/EC+,/SP
번호	번호/NNG
소유주가	소유주/NNG+가/JKS
실험을	실험/NNG+을/JKO
한	하/VV+ㄴ/ETM
국정원으로	국정원/NNG+으로/JKB
딱	딱/MAG
나온다”고	나오/VV+ㄴ다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.369.14.1
한편 새정치연합 국민정보지키기위원회 위원장인 안철수 의원은 기자간담회에서 “(국정원이) 요청한 자료를 제대로 제출하고, 전문가들이 5인 이상 참여해 일을 할 수 있도록 최소한 1개월의 시간이 필요하다”며 “이런 조건이 갖춰지면 정보위에 참석하고 필요하면 (국회 정보위로 옮겨 내가 갖고 있는 ‘안랩’ 주식을) 백지신탁 하겠다”고 말했다.

한편	한편/MAG
새정치연합	새정치연합/NNP
국민정보지키기위원회	국민/NNG+정보/NNG+지키/VV+기/ETN+위원회/NNG
위원장인	위원장/NNG+이/VCP+ㄴ/ETM
안철수	안철수/NNP
의원은	의원/NNG+은/JX
기자간담회에서	기자/NNG+간담회/NNG+에서/JKB
“(국정원이)	“/SS+(/SS+국정원/NNG+이/JKS+)/SS
요청한	요청/NNG+하/XSV+ㄴ/ETM
자료를	자료/NNG+를/JKO
제대로	제대로/MAG
제출하고,	제출/NNG+하/XSV+고/EC+,/SP
전문가들이	전문가/NNG+들/XSN+이/JKS
5인	5/SN+인/NNG
이상	이상/NNG
참여해	참여/NNG+하/XSV+아/EC
일을	일/NNG+을/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
최소한	최소한/MAG
1개월의	1/SN+개월/NNB+의/JKG
시간이	시간/NNG+이/JKS
필요하다”며	필요/NNG+하/XSA+다/EF+”/SS+며/EC
“이런	“/SS+이런/MMD
조건이	조건/NNG+이/JKS
갖춰지면	갖추/VV+어/EC+지/VX+면/EC
정보위에	정보위/NNG+에/JKB
참석하고	참석/NNG+하/XSV+고/EC
필요하면	필요/NNG+하/XSA+면/EC
(국회	(/SS+국회/NNG
정보위로	정보위/NNG+로/JKB
옮겨	옮기/VV+어/EC
내가	내/NP+가/JKS
갖고	갖/VV+고/EC
있는	있/VX+는/ETM
‘안랩’	‘/SS+안랩/NNP+’/SS
주식을)	주식/NNG+을/JKO+)/SS
백지신탁	백지/NNG+신탁/NNG
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


