# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.81
metadata : {}


# id : NWRW1800000026.81.1.1
[금융회사의 글로벌 & 고객만족 경영] 현대카드, 비씨카드;현대카드_고객만족 최우선… 시장점유 확대, 비씨카드_해외 수수료 없애… 5천억원 절감

[금융회사의	[/SS+금융/NNG+회사/NNG+의/JKG
'고객만족	'/SS+고객/NNG+만족/NNG
원년'으로	원년/NNG+'/SS+으로/JKB
선포하고	선포/NNG+하/XSV+고/EC
전	전/MMN
직원들에게	직원/NNG+들/XSN+에게/JKB
이	이/NP
같은	같/VA+은/ETM
고해성사를	고해/NNG+성사/NNG+를/JKO
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.4.1
시장이 성숙기에 접어든 카드업계에서는 시장점유율을 1%포인트 끌어올리는 것만 해도 경이적으로 받아들여진다.

시장이	시장/NNG+이/JKS
성숙기에	성숙기/NNG+에/JKB
접어든	접어들/VV+ㄴ/ETM
카드업계에서는	카드업/NNG+계/XSN+에서/JKB+는/JX
시장점유율을	시장/NNG+점유/NNG+율/XSN+을/JKO
1%포인트	1/SN+%/SW+포인트/NNG
끌어올리는	끌어올리/VV+는/ETM
것만	것/NNB+만/JX
해도	하/VV+아도/EC
경이적으로	경이/NNG+적/XSN+으로/JKB
받아들여진다.	받아들이/VV+어/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000026.81.4.2
하지만 현대카드는 지난 2003년 10월 정 사장 취임 당시 2% 미만이었던 시장점유율을 작년 말 기준으로 16% 후반까지 끌어올렸다.

하지만	하지만/MAJ
현대카드는	현대카드/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2003년	2003/SN+년/NNB
10월	10/SN+월/NNB
정	정/NNP
사장	사장/NNG
취임	취임/NNG
당시	당시/NNG
2%	2/SN+%/SW
미만이었던	미만/NNG+이/VCP+었/EP+던/ETM
시장점유율을	시장/NNG+점유/NNG+율/XSN+을/JKO
작년	작년/NNG
말	말/NNB
기준으로	기준/NNG+으로/JKB
16%	16/SN+%/SW
후반까지	후반/NNG+까지/JX
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.81.4.3
이 같은 성공은 연회비 100만원이 넘는 블랙카드 출시, 단일브랜드로 국내 최다인 700만 장 이상을 판매한 현대카드M 등 고객의 숨겨진 욕구까지 찾아내 실현시켰기 때문에 가능했던 것으로 평가된다.

이	이/NP
같은	같/VA+은/ETM
성공은	성공/NNG+은/JX
연회비	연회비/NNG
100만원이	100/SN+만/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
블랙카드	블랙/NNG+카드/NNG
출시,	출시/NNG+,/SP
단일브랜드로	단일/NNG+브랜드/NNG+로/JKB
국내	국내/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
700만	700/SN+만/NR
장	장/NNB
이상을	이상/NNG+을/JKO
판매한	판매/NNG+하/XSV+ㄴ/ETM
현대카드M	현대카드M/NNP
등	등/NNB
고객의	고객/NNG+의/JKG
숨겨진	숨기/VV+어/EC+지/VX+ㄴ/ETM
욕구까지	욕구/NNG+까지/JX
찾아내	찾아내/VV+어/EC
실현시켰기	실현/NNG+시키/XSV+었/EP+기/ETN
때문에	때문/NNB+에/JKB
가능했던	가능/NNG+하/XSA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
평가된다.	평가/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.81.4.4
고객의 입장을 먼저 고려해 거둔 이러한 성과에도 불구하고 정태영 사장은 최근 고객만족을 화두로 들고 나왔다.

고객의	고객/NNG+의/JKG
입장을	입장/NNG+을/JKO
먼저	먼저/MAG
고려해	고려/NNG+하/XSV+아/EC
거둔	거두/VV+ㄴ/ETM
이러한	이러하/VA+ㄴ/ETM
성과에도	성과/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
정태영	정태영/NNP
사장은	사장/NNG+은/JX
최근	최근/NNG
고객만족을	고객/NNG+만족/NNG+을/JKO
화두로	화두/NNG+로/JKB
들고	들/VV+고/EC
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.5.1
정 사장은 "지난 몇 년간 회사가 외형적으로 눈부신 성장을 했지만 고객만족에 총력을 기울이지 않았다고 생각한다"며 "고객만족은 '좋은 회사'(good company)를 넘어 '위대한 회사'(great company)로 가기 위한 필수적 과제"라고 말했다.

정	정/NNP
사장은	사장/NNG+은/JX
"지난	"/SS+지나/VV+ㄴ/ETM
몇	몇/NR
년간	년/NNB+간/XSN
회사가	회사/NNG+가/JKS
외형적으로	외형/NNG+적/XSN+으로/JKB
눈부신	눈부시/VA+ㄴ/ETM
성장을	성장/NNG+을/JKO
했지만	하/VV+았/EP+지만/EC
고객만족에	고객/NNG+만족/NNG+에/JKB
총력을	총력/NNG+을/JKO
기울이지	기울이/VV+지/EC
않았다고	않/VX+았/EP+다고/EC
생각한다"며	생각/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"고객만족은	"/SS+고객/NNG+만족/NNG+은/JX
'좋은	'/SS+좋/VA+은/ETM
회사'(good	회사/NNG+'/SS+(/SS+good/SL
company)를	company/SL+)/SS+를/JKO
넘어	넘/VV+어/EC
'위대한	'/SS+위대하/VA+ㄴ/ETM
회사'(great	회사/NNG+'/SS+(/SS+great/SL
company)로	company/SL+)/SS+로/JKB
가기	가/VV+기/ETN
위한	위하/VV+ㄴ/ETM
필수적	필수/NNG+적/XSN
과제"라고	과제/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.5.2
이에 정 사장은 고객만족을 가리키는 CS(Customer Satisfaction)의 의미를 '고객 해법'(Customer Solution)으로 재정의했다.

이에	이/NP+에/JKB
정	정/NNP
사장은	사장/NNG+은/JX
고객만족을	고객/NNG+만족/NNG+을/JKO
가리키는	가리키/VV+는/ETM
CS(Customer	CS/SL+(/SS+Customer/SL
Satisfaction)의	Satisfaction/SL+)/SS+의/JKG
의미를	의미/NNG+를/JKO
'고객	'/SS+고객/NNG
해법'(Customer	해법/NNG+'/SS+(/SS+Customer/SL
Solution)으로	Solution/SL+)/SS+으로/JKB
재정의했다.	재/XPN+정의/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.6.1
구체적으로 지난해 현대캐피탈·카드의 모든 사업실을 대상으로 고객만족과 관련된 문제점과 개선사항을 빠짐없이 취합해 보고하도록 했다.

구체적으로	구체/NNG+적/XSN+으로/JKB
지난해	지난해/NNG
현대캐피탈·카드의	현대캐피탈/NNP+·/SP+카드/NNG+의/JKG
모든	모든/MMN
사업실을	사업실/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
고객만족과	고객/NNG+만족/NNG+과/JKB
관련된	관련/NNG+되/XSV+ㄴ/ETM
문제점과	문제점/NNG+과/JC
개선사항을	개선/NNG+사항/NNG+을/JKO
빠짐없이	빠짐없이/MAG
취합해	취합/NNG+하/XSV+아/EC
보고하도록	보고/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.81.6.2
총 494건의 문제점이 접수돼 370건의 개선과제로 정리됐다.

총	총/MMA
494건의	494/SN+건/NNB+의/JKG
문제점이	문제점/NNG+이/JKS
접수돼	접수/NNG+되/XSV+어/EC
370건의	370/SN+건/NNB+의/JKG
개선과제로	개선/NNG+과제/NNG+로/JKB
정리됐다.	정리/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.81.6.3
이 중 230건이 해결됐고, 나머지 과제는 진행현황과 처리결과를 사장에게 직접 보고하도록 했다.

이	이/NP
중	중/NNB
230건이	230/SN+건/NNB+이/JKS
해결됐고,	해결/NNG+되/XSV+었/EP+고/EC+,/SP
나머지	나머지/NNG
과제는	과제/NNG+는/JX
진행현황과	진행/NNG+현황/NNG+과/JC
처리결과를	처리/NNG+결과/NNG+를/JKO
사장에게	사장/NNG+에게/JKB
직접	직접/MAG
보고하도록	보고/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.81.7.1
또 고객 관점에서 시급하게 해결해야 할 10개의 개선과제를 선정했다.

또	또/MAG
고객	고객/NNG
관점에서	관점/NNG+에서/JKB
시급하게	시급하/VA+게/EC
해결해야	해결/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
10개의	10/SN+개/NNB+의/JKG
개선과제를	개선/NNG+과제/NNG+를/JKO
선정했다.	선정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.7.2
가격이 합리적으로 매겨졌는지, 고객이 유용한 서비스·혜택을 이용하고 있는지, 커뮤니케이션은 친절하고 정확하게 이뤄지고 있는지 등을 기준으로 골라낸 것들이다.

가격이	가격/NNG+이/JKS
합리적으로	합리/NNG+적/XSN+으로/JKB
매겨졌는지,	매기/VV+어/EC+지/VX+었/EP+는지/EC+,/SP
고객이	고객/NNG+이/JKS
유용한	유용/NNG+하/XSA+ㄴ/ETM
서비스·혜택을	서비스/NNG+·/SP+혜택/NNG+을/JKO
이용하고	이용/NNG+하/XSV+고/EC
있는지,	있/VX+는지/EC+,/SP
커뮤니케이션은	커뮤니케이션/NNG+은/JX
친절하고	친절/NNG+하/XSA+고/EC
정확하게	정확/NNG+하/XSA+게/EC
이뤄지고	이뤄지/VV+고/EC
있는지	있/VX+는지/EC
등을	등/NNB+을/JKO
기준으로	기준/NNG+으로/JKB
골라낸	골라내/VV+ㄴ/ETM
것들이다.	것/NNB+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000026.81.7.3
정 사장은 "금융업은 특성상 상품의 판매, 서비스 제공 과정에서 지속적이고 반복적으로 고객과의 접촉이 발생한다"며 "고객만족은 금융업의 성패를 결정하고, 나아가 기업의 영속성을 가늠할 핵심요소"라고 말했다.

정	정/NNP
사장은	사장/NNG+은/JX
"금융업은	"/SS+금융업/NNG+은/JX
특성상	특성/NNG+상/XSN
상품의	상품/NNG+의/JKG
판매,	판매/NNG+,/SP
서비스	서비스/NNG
제공	제공/NNG
과정에서	과정/NNG+에서/JKB
지속적이고	지속/NNG+적/XSN+이/VCP+고/EC
반복적으로	반복/NNG+적/XSN+으로/JKB
고객과의	고객/NNG+과/JKB+의/JKG
접촉이	접촉/NNG+이/JKS
발생한다"며	발생/NNG+하/XSV+ㄴ다/EF+"/SS+며/EC
"고객만족은	"/SS+고객/NNG+만족/NNG+은/JX
금융업의	금융업/NNG+의/JKG
성패를	성패/NNG+를/JKO
결정하고,	결정/NNG+하/XSV+고/EC+,/SP
나아가	나아가/VV+아/EC
기업의	기업/NNG+의/JKG
영속성을	영속/NNG+성/XSN+을/JKO
가늠할	가늠/NNG+하/XSV+ㄹ/ETM
핵심요소"라고	핵심/NNG+요소/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.8.1
“유리창을 깨라!”

“유리창을	“/SS+유리창/NNG+을/JKO
깨라!”	깨/VV+어라/EF+!/SF+”/SS


# id : NWRW1800000026.81.9.1
장형덕 비씨카드 사장이 고객만족 경영에 대해 설명할 때 종종 인용하는 문구다.

장형덕	장형덕/NNP
비씨카드	비씨카드/NNP
사장이	사장/NNG+이/JKS
고객만족	고객/NNG+만족/NNG
경영에	경영/NNG+에/JKB
대해	대하/VV+아/EC
설명할	설명/NNG+하/XSV+ㄹ/ETM
때	때/NNG
종종	종종/MAG
인용하는	인용/NNG+하/XSV+는/ETM
문구다.	문구/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.81.9.2
이 말의 속뜻은 유리창을 깨려면 먼저 닦아봐야 한다는 것이다.

이	이/MMD
말의	말/NNG+의/JKG
속뜻은	속뜻/NNG+은/JX
유리창을	유리창/NNG+을/JKO
깨려면	깨/VV+려면/EC
먼저	먼저/MAG
닦아봐야	닦/VV+아/EC+보/VX+아야/EC
한다는	하/VX+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.81.9.3
장 사장은 “고객만족을 위해 반드시 해야 할 일인데도 기업의 사소한 이익이나 주위의 눈치만 살피느라 시도조차 하지 않는 경우가 적지 않다”며 “어떤 기업이든 도전하고 최선을 다하면 기대했던 이상의 결과를 얻고 고객의 인정과 사랑을 받는다”고 말했다.

장	장/NNP
사장은	사장/NNG+은/JX
“고객만족을	“/SS+고객/NNG+만족/NNG+을/JKO
위해	위하/VV+아/EC
반드시	반드시/MAG
해야	하/VV+아야/EC
할	하/VX+ㄹ/ETM
일인데도	일/NNG+이/VCP+ㄴ데/EC+도/JX
기업의	기업/NNG+의/JKG
사소한	사소하/VA+ㄴ/ETM
이익이나	이익/NNG+이나/JC
주위의	주위/NNG+의/JKG
눈치만	눈치/NNG+만/JX
살피느라	살피/VV+느라/EC
시도조차	시도/NNG+조차/JX
하지	하/VV+지/EC
않는	않/VX+는/ETM
경우가	경우/NNG+가/JKS
적지	적/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
“어떤	“/SS+어떤/MMD
기업이든	기업/NNG+이/VCP+든/EC
도전하고	도전/NNG+하/XSV+고/EC
최선을	최선/NNG+을/JKO
다하면	다/MAG+하/XSV+면/EC
기대했던	기대/NNG+하/XSV+았/EP+던/ETM
이상의	이상/NNG+의/JKG
결과를	결과/NNG+를/JKO
얻고	얻/VV+고/EC
고객의	고객/NNG+의/JKG
인정과	인정/NNG+과/JC
사랑을	사랑/NNG+을/JKO
받는다”고	받/VV+는다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.10.1
지난 2008년 3월 취임 이후 장 사장 스스로도 여러 번 유리창을 깼다.

지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
3월	3/SN+월/NNB
취임	취임/NNG
이후	이후/NNG
장	장/NNP
사장	사장/NNG
스스로도	스스로/NNG+도/JX
여러	여러/MMN
번	번/NNB
유리창을	유리창/NNG+을/JKO
깼다.	깨/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.81.10.2
대표적인 예가 작년 초 고위자문직을 맡고 있던 비자카드가 국내 카드사들에 대해 국내 사용수수료(해외가 아닌 국내에서 신용카드를 사용해도 사용액의 일정 비율을 비자카드에 납부하는 것)를 사전 상의도 없이 일방적으로 올리려 할 때 이에 반발해 자문직을 사퇴했던 경우다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
예가	예/NNG+가/JKS
작년	작년/NNG
초	초/NNB
고위자문직을	고위/NNG+자문/NNG+직/NNG+을/JKO
맡고	맡/VV+고/EC
있던	있/VX+던/ETM
비자카드가	비자카드/NNP+가/JKS
국내	국내/NNG
카드사들에	카드사/NNG+들/XSN+에/JKB
대해	대하/VV+아/EC
사용수수료(해외가	사용/NNG+수수료/NNG+(/SS+해외/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
국내에서	국내/NNG+에서/JKB
신용카드를	신용/NNG+카드/NNG+를/JKO
사용해도	사용/NNG+하/XSV+아도/EC
사용액의	사용액/NNG+의/JKG
일정	일정/NNG
비율을	비율/NNG+을/JKO
비자카드에	비자카드/NNP+에/JKB
납부하는	납부/NNG+하/XSV+는/ETM
것)를	것/NNB+)/SS+를/JKO
사전	사전/NNG
상의도	상의/NNG+도/JX
없이	없이/MAG
일방적으로	일방/NNG+적/XSN+으로/JKB
올리려	올리/VV+려/EC
할	하/VX+ㄹ/ETM
때	때/NNG
이에	이/NP+에/JKB
반발해	반발/NNG+하/XSV+아/EC
자문직을	자문/NNG+직/NNG+을/JKO
사퇴했던	사퇴/NNG+하/XSV+았/EP+던/ETM
경우다.	경우/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.81.10.3
당시만 해도 국내 카드사들은 외국계 카드사들에 대한 국내 사용수수료 지급을 당연하게 생각하는 분위기였다.

당시만	당시/NNG+만/JX
해도	하/VV+아도/EC
국내	국내/NNG
카드사들은	카드사/NNG+들/XSN+은/JX
외국계	외국/NNG+계/XSN
카드사들에	카드사/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
사용수수료	사용/NNG+수수료/NNG
지급을	지급/NNG+을/JKO
당연하게	당연/NNG+하/XSA+게/EC
생각하는	생각/NNG+하/XSV+는/ETM
분위기였다.	분위기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.81.10.4
당시 이 문제가 이슈화되면서 결국 비자카드는 국내 사용수수료 인상을 철회했다.

당시	당시/NNG
이	이/MMD
문제가	문제/NNG+가/JKS
이슈화되면서	이슈/NNG+화/XSN+되/XSV+면서/EC
결국	결국/MAG
비자카드는	비자카드/NNP+는/JX
국내	국내/NNG
사용수수료	사용/NNG+수수료/NNG
인상을	인상/NNG+을/JKO
철회했다.	철회/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.11.1
비자카드와 대립각을 세웠던 일이 방문 유리창을 깬 경우에 해당한다면, 올해 초 미국의 지급결제업체 DFS와 제휴를 체결한 일은 베란다 통유리를 깬 것에 비견될 수 있겠다.

비자카드와	비자카드/NNP+와/JC
대립각을	대립각/NNG+을/JKO
세웠던	세우/VV+었/EP+던/ETM
일이	일/NNG+이/JKS
방문	방문/NNG
유리창을	유리창/NNG+을/JKO
깬	깨/VV+ㄴ/ETM
경우에	경우/NNG+에/JKB
해당한다면,	해당/NNG+하/XSV+ㄴ다면/EC+,/SP
올해	올해/NNG
초	초/NNB
미국의	미국/NNP+의/JKG
지급결제업체	지급/NNG+결제/NNG+업체/NNG
DFS와	DFS/SL+와/JKB
제휴를	제휴/NNG+를/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
일은	일/NNG+은/JX
베란다	베란다/NNG
통유리를	통유리/NNG+를/JKO
것에	것/NNB+에/JKB
비견될	비견/NNG+되/XSV+ㄹ/ETM
수	수/NNB
있겠다.	있/VA+겠/EP+다/EF+./SF


# id : NWRW1800000026.81.11.2
지난 1월 말 비씨카드는 미국을 비롯한 전 세계 160여 개국에 지급결제망을 확보하고 있는 DFS사의 지급결제망을 사용할 수 있도록 계약을 맺었다.

지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
말	말/NNB
비씨카드는	비씨카드/NNP+는/JX
미국을	미국/NNP+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
전	전/MMN
세계	세계/NNG
160여	160/SN+여/XSN
개국에	개국/NNB+에/JKB
지급결제망을	지급/NNG+결제/NNG+망/NNG+을/JKO
확보하고	확보/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
DFS사의	DFS/SL+사/NNG+의/JKG
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
계약을	계약/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.81.11.3
기존 비씨카드만 갖고 해외 결제가 가능해질 뿐 아니라, 비씨카드 고객 입장에서는 다른 해외 제휴카드를 사용할 때 물었던 1%의 사용수수료도 낼 필요가 없어졌다.

기존	기존/NNG
비씨카드만	비씨카드/NNP+만/JX
갖고	갖/VV+고/EC
해외	해외/NNG
결제가	결제/NNG+가/JKS
가능해질	가능/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
뿐	뿐/NNB
아니라,	아니/VCN+라/EC+,/SP
비씨카드	비씨카드/NNP
고객	고객/NNG
입장에서는	입장/NNG+에서/JKB+는/JX
다른	다른/MMD
제휴카드를	제휴/NNG+카드/NNG+를/JKO
사용할	사용/NNG+하/XSV+ㄹ/ETM
때	때/NNG
물었던	물/VV+었/EP+던/ETM
1%의	1/SN+%/SW+의/JKG
사용수수료도	사용/NNG+수수료/NNG+도/JX
낼	내/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
없어졌다.	없어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.81.11.4
해외에서 국내 카드를 사용하게 하려면 으레 비자나 마스타 같은 해외카드사와 제휴해 비싼 수수료를 물어야 한다는 것이 상식이었는데, 소비자들에게 유리한 다른 루트를 개척함으로써 이 같은 상식의 틀을 깬 것이다.

해외에서	해외/NNG+에서/JKB
국내	국내/NNG
카드를	카드/NNG+를/JKO
사용하게	사용/NNG+하/XSV+게/EC
하려면	하/VX+려면/EC
으레	으레/MAG
비자나	비자/NNP+나/JC
마스타	마스타/NNP
같은	같/VA+은/ETM
해외카드사와	해외/NNG+카드사/NNG+와/JKB
제휴해	제휴/NNG+하/XSV+아/EC
비싼	비싸/VA+ㄴ/ETM
수수료를	수수료/NNG+를/JKO
물어야	물/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
것이	것/NNB+이/JKS
상식이었는데,	상식/NNG+이/VCP+었/EP+는데/EC+,/SP
소비자들에게	소비자/NNG+들/XSN+에게/JKB
유리한	유리/NNG+하/XSA+ㄴ/ETM
다른	다른/MMD
루트를	루트/NNG+를/JKO
개척함으로써	개척/NNG+하/XSV+ㅁ/ETN+으로써/JKB
이	이/NP
상식의	상식/NNG+의/JKG
틀을	틀/NNG+을/JKO
깬	깨/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.81.11.5
장 사장은 “비씨카드 기준으로 향후 10년간 해외 카드사에 지급해야 할 1조원 상당의 수수료를 5000억원 수준으로 줄일 수 있을 것”이라고 말했다.

장	장/NNP
사장은	사장/NNG+은/JX
“비씨카드	“/SS+비씨카드/NNP
기준으로	기준/NNG+으로/JKB
향후	향후/NNG
10년간	10/SN+년/NNB+간/XSN
해외	해외/NNG
카드사에	카드사/NNG+에/JKB
지급해야	지급/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
1조원	1/SN+조/NR+원/NNB
상당의	상당/NNG+의/JKG
수수료를	수수료/NNG+를/JKO
5000억원	5000/SN+억/NR+원/NNB
수준으로	수준/NNG+으로/JKB
줄일	줄이/VV+ㄹ/ETM
수	수/NNB
있을	있/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.11.6
결국 이 같은 비용 절감은 소비자들에게 혜택으로 돌아가게 된다.

결국	결국/MAG
이	이/NP
같은	같/VA+은/ETM
비용	비용/NNG
절감은	절감/NNG+은/JX
소비자들에게	소비자/NNG+들/XSN+에게/JKB
혜택으로	혜택/NNG+으로/JKB
돌아가게	돌아가/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.81.12.1
지난 2008년 말부터 광고 등을 통해 소개된 ‘카드를 뛰어넘는다’(Beyond Card)는 비씨카드의 새로운 슬로건은 장형덕 사장의 머리에서 나왔다.

지난	지나/VV+ㄴ/ETM
2008년	2008/SN+년/NNB
말부터	말/NNB+부터/JX
광고	광고/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
소개된	소개/NNG+되/XSV+ㄴ/ETM
‘카드를	‘/SS+카드/NNG+를/JKO
뛰어넘는다’(Beyond	뛰어넘/VV+는다/EF+’/SS+(/SS+Beyond/SL
Card)는	Card/SL+)/SS+는/JX
비씨카드의	비씨카드/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
슬로건은	슬로건/NNG+은/JX
장형덕	장형덕/NNP
사장의	사장/NNG+의/JKG
머리에서	머리/NNG+에서/JKB
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.81.12.2
유리창을 깨라는 평소의 철학이 카드의 상식을 뛰어넘는다는 비씨카드의 새로운 슬로건으로 재탄생한 것이다.

유리창을	유리창/NNG+을/JKO
깨라는	깨/VV+라는/ETM
평소의	평소/NNG+의/JKG
철학이	철학/NNG+이/JKS
카드의	카드/NNG+의/JKG
상식을	상식/NNG+을/JKO
뛰어넘는다는	뛰어넘/VV+는다는/ETM
비씨카드의	비씨카드/NNP+의/JKG
새로운	새롭/VA+ㄴ/ETM
슬로건으로	슬로건/NNG+으로/JKB
재탄생한	재/XPN+탄생/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


