# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.114
metadata : {}


# id : NWRW1800000048.114.1.1
미, 발트3국에 탱크 등 중화기 비축

미,	미/NNP+,/SP
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.114.8.1
미 국방부는 3000~5000명 병력의 여단을 무장시키기에 충분한 무기들을 동유럽 동맹국들의 기지에 비축할 방침이다.

미	미/NNP
국방부는	국방부/NNG+는/JX
3000~5000명	3000/SN+~/SO+5000/SN+명/NNB
병력의	병력/NNG+의/JKG
여단을	여단/NNG+을/JKO
무장시키기에	무장/NNG+시키/XSV+기에/EC
충분한	충분하/VA+ㄴ/ETM
무기들을	무기/NNG+들/XSN+을/JKO
동유럽	동유럽/NNP
동맹국들의	동맹국/NNG+들/XSN+의/JKG
기지에	기지/NNG+에/JKB
비축할	비축/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.114.8.2
특히, 약 150명 정도의 중대 병력을 무장할 무기들을 러시아의 핵심 지역과 국경을 맞댄 발트해 3국에 각각 배치할 계획도 있다.

특히,	특히/MAG+,/SP
약	약/MMA
150명	150/SN+명/NNB
정도의	정도/NNG+의/JKG
중대	중대/NNG
병력을	병력/NNG+을/JKO
무장할	무장/NNG+하/XSV+ㄹ/ETM
무기들을	무기/NNG+들/XSN+을/JKO
러시아의	러시아/NNP+의/JKG
핵심	핵심/NNG
지역과	지역/NNG+과/JKB
국경을	국경/NNG+을/JKO
맞댄	맞대/VV+ㄴ/ETM
발트해	발트해/NNP
3국에	3국/NNG+에/JKB
각각	각각/MAG
배치할	배치/NNG+하/XSV+ㄹ/ETM
계획도	계획/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.114.8.3
중대 또는 750여명의 대대 병력을 무장할 무기들을 폴란드, 루마니아, 불가리아, 헝가리에도 비축·배치할 예정이다.

중대	중대/NNG
또는	또는/MAG
750여명의	750/SN+여/XSN+명/NNB+의/JKG
대대	대대/NNG
병력을	병력/NNG+을/JKO
무장할	무장/NNG+하/XSV+ㄹ/ETM
무기들을	무기/NNG+들/XSN+을/JKO
폴란드,	폴란드/NNP+,/SP
루마니아,	루마니아/NNP+,/SP
불가리아,	불가리아/NNP+,/SP
헝가리에도	헝가리/NNP+에/JKB+도/JX
비축·배치할	비축/NNG+·/SP+배치/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.114.9.1
무기 등 군사장비의 선제적 배치는 미군한테 시간과 돈, 자원을 절약하는 효과를 가져올 것으로 보인다.

무기	무기/NNG
등	등/NNB
군사장비의	군사/NNG+장비/NNG+의/JKG
선제적	선제/NNG+적/XSN
배치는	배치/NNG+는/JX
미군한테	미군/NNG+한테/JKB
시간과	시간/NNG+과/JC
돈,	돈/NNG+,/SP
자원을	자원/NNG+을/JKO
절약하는	절약/NNG+하/XSV+는/ETM
효과를	효과/NNG+를/JKO
가져올	가져오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.114.9.2
현재 미군은 유럽 현지훈련 때마다 장비들을 유럽으로 수송한 뒤 다시 철수시키는 작업을 반복하고 있다.

현재	현재/MAG
미군은	미군/NNG+은/JX
유럽	유럽/NNP
현지훈련	현지/NNG+훈련/NNG
때마다	때/NNG+마다/JX
장비들을	장비/NNG+들/XSN+을/JKO
유럽으로	유럽/NNP+으로/JKB
수송한	수송/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
다시	다시/MAG
철수시키는	철수/NNG+시키/XSV+는/ETM
작업을	작업/NNG+을/JKO
반복하고	반복/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.114.9.3
미군은 유럽 현지에 적합한 여단 병력의 무장으로 약 250대의 M1-A2 탱크와 브래들리 전투차량 등을 포함한 1200대의 차량과 곡사포 등이 필요하다고 본다.

미군은	미군/NNG+은/JX
유럽	유럽/NNP
현지에	현지/NNG+에/JKB
적합한	적합/NNG+하/XSA+ㄴ/ETM
여단	여단/NNG
병력의	병력/NNG+의/JKG
무장으로	무장/NNG+으로/JKB
약	약/MMA
250대의	250/SN+대/NNB+의/JKG
M1-A2	M/SL+1/SN+-/SO+A/SL+2/SN
탱크와	탱크/NNG+와/JC
브래들리	브래들리/NNP
전투차량	전투/NNG+차량/NNG
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
1200대의	1200/SN+대/NNB+의/JKG
차량과	차량/NNG+과/JC
곡사포	곡사포/NNG
등이	등/NNB+이/JKS
필요하다고	필요/NNG+하/XSA+다고/EC
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.114.10.1
지난해 러시아의 크림반도 합병 뒤 미 육군은 독일의 그라펜뵈어 및 다른 기지 등에 비축한 장비 규모를 대대급에서 여단급으로 격상했다고 밝힌 바 있다.

지난해	지난해/NNG
러시아의	러시아/NNP+의/JKG
크림반도	크림반도/NNP
합병	합병/NNG
뒤	뒤/NNG
미	미/NNP
육군은	육군/NNG+은/JX
독일의	독일/NNP+의/JKG
그라펜뵈어	그라펜뵈어/NNP
및	및/MAG
다른	다른/MMD
기지	기지/NNG
등에	등/NNB+에/JKB
비축한	비축/NNG+하/XSV+ㄴ/ETM
장비	장비/NNG
규모를	규모/NNG+를/JKO
대대급에서	대대급/NNG+에서/JKB
여단급으로	여단급/NNG+으로/JKB
격상했다고	격상/NNG+하/XSV+았/EP+다고/EC
밝힌	밝히/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.114.10.2
현재 미군은 육군 제3보병사단 소속의 대대급 부대를 유럽에 정기적으로 순환 파견해 현지의 무기와 장비를 사용해 훈련시키고 있다.

현재	현재/MAG
미군은	미군/NNG+은/JX
육군	육군/NNG
제3보병사단	제/XPN+3/SN+보병/NNG+사단/NNG
소속의	소속/NNG+의/JKG
대대급	대대급/NNG
부대를	부대/NNG+를/JKO
유럽에	유럽/NNP+에/JKB
정기적으로	정기/NNG+적/XSN+으로/JKB
순환	순환/NNG
파견해	파견/NNG+하/XSV+아/EC
현지의	현지/NNG+의/JKG
무기와	무기/NNG+와/JC
장비를	장비/NNG+를/JKO
사용해	사용/NNG+하/XSV+아/EC
훈련시키고	훈련/NNG+시키/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000048.114.10.3
미 국방부는 무기 등 장비를 동유럽 쪽으로 전진배치시키기 전에 독일 등지에 배치된 장비들을 강화한다는 방침이다.

미	미/NNP
국방부는	국방부/NNG+는/JX
무기	무기/NNG
등	등/NNB
장비를	장비/NNG+를/JKO
동유럽	동유럽/NNP
쪽으로	쪽/NNB+으로/JKB
전진배치시키기	전진/NNG+배치/NNG+시키/XSV+기/ETN
전에	전/NNG+에/JKB
독일	독일/NNP
등지에	등지/NNB+에/JKB
배치된	배치/NNG+되/XSV+ㄴ/ETM
장비들을	장비/NNG+들/XSN+을/JKO
강화한다는	강화/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.114.11.1
동유럽 쪽에 선제적인 무기 비축은 미국의 개입에 대한 신뢰의 징표로 작용할 것이며, 1961년 베를린 위기 뒤 미국이 배치했던 ‘베를린여단’이 수행했던 것과 같은 억지력으로 작용할 것으로 보인다.

동유럽	동유럽/NNP
쪽에	쪽/NNB+에/JKB
선제적인	선제/NNG+적/XSN+이/VCP+ㄴ/ETM
무기	무기/NNG
비축은	비축/NNG+은/JX
미국의	미국/NNP+의/JKG
개입에	개입/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
신뢰의	신뢰/NNG+의/JKG
징표로	징표/NNG+로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
1961년	1961/SN+년/NNB
베를린	베를린/NNP
위기	위기/NNG
뒤	뒤/NNG
미국이	미국/NNP+이/JKS
배치했던	배치/NNG+하/XSV+았/EP+던/ETM
‘베를린여단’이	‘/SS+베를린/NNP+여단/NNG+’/SS+이/JKS
수행했던	수행/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
억지력으로	억지력/NNG+으로/JKB
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.114.11.2
또 ‘미리 배치되는’ 무기들은 1990년 쿠웨이트를 침공한 이라크를 축출한 미국과 연합군이 그 이후 쿠웨이트에 유지했던 무기량과 유사하다고 신문은 지적했다.

또	또/MAG
‘미리	‘/SS+미리/MAG
배치되는’	배치/NNG+되/XSV+는/ETM+’/SS
무기들은	무기/NNG+들/XSN+은/JX
1990년	1990/SN+년/NNB
쿠웨이트를	쿠웨이트/NNP+를/JKO
침공한	침공/NNG+하/XSV+ㄴ/ETM
이라크를	이라크/NNP+를/JKO
축출한	축출/NNG+하/XSV+ㄴ/ETM
미국과	미국/NNP+과/JC
연합군이	연합군/NNG+이/JKS
그	그/MMD
이후	이후/NNG
쿠웨이트에	쿠웨이트/NNP+에/JKB
유지했던	유지/NNG+하/XSV+았/EP+던/ETM
무기량과	무기/NNG+량/NNG+과/JKB
유사하다고	유사/NNG+하/XSA+다고/EC
신문은	신문/NNG+은/JX
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.114.12.1
동유럽 무기배치 정책 실현에는 애슈턴 카터 국방장관과 백악관의 승인이 남아있으나, 이달에 브뤼셀에서 열리는 나토 국방장관 회의 전에 승인이 날 것으로 보인다고 국방부 고위관리들이 전했다.

동유럽	동유럽/NNP
무기배치	무기/NNG+배치/NNG
정책	정책/NNG
실현에는	실현/NNG+에/JKB+는/JX
애슈턴	애슈턴/NNP
카터	카터/NNP
국방장관과	국방/NNG+장관/NNG+과/JC
백악관의	백악관/NNP+의/JKG
승인이	승인/NNG+이/JKS
남아있으나,	남/VV+아/EC+있/VX+으나/EC+,/SP
이달에	이달/NNG+에/JKB
브뤼셀에서	브뤼셀/NNP+에서/JKB
열리는	열리/VV+는/ETM
나토	나토/NNP
국방장관	국방/NNG+장관/NNG
회의	회의/NNG
전에	전/NNG+에/JKB
날	나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다고	보이/VV+ㄴ다고/EC
국방부	국방부/NNG
고위관리들이	고위/NNG+관리/NNG+들/XSN+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


