# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.81
metadata : {}


# id : NWRW1800000056.81.1.1
미·중 첫 경제대화, 빈손으로 막내려

미·중	미/NNP+·/SP+중/NNP
열린	열리/VV+ㄴ/ETM
포괄적	포괄/NNG+적/XSN
경제대화에는	경제/NNG+대화/NNG+에/JKB+는/JX
미국	미국/NNP
쪽에서	쪽/NNB+에서/JKB
스티븐	스티븐/NNP
므누신	므누신/NNP
재무장관과	재무/NNG+장관/NNG+과/JC
윌버	윌버/NNP
로스	로스/NNP
상무장관,	상무/NNG+장관/NNG+,/SP
재러드	재러드/NNP
쿠슈너	쿠슈너/NNP
백악관	백악관/NNP
선임고문	선임/NNG+고문/NNG
등이	등/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.81.6.2
중국 쪽에선 왕양 부총리와 주광야오 재정부 부부장 등이 나섰다.

중국	중국/NNP
쪽에선	쪽/NNB+에서/JKB+ㄴ/JX
왕양	왕양/NNP
부총리와	부총리/NNG+와/JC
주광야오	주광야오/NNP
재정부	재정부/NNG
부부장	부부장/NNG
등이	등/NNB+이/JKS
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.81.7.1
하지만 양쪽은 회담 뒤에 예정됐던 기자회견을 갑자기 취소했다.

하지만	하지만/MAJ
양쪽은	양쪽/NNG+은/JX
회담	회담/NNG
뒤에	뒤/NNG+에/JKB
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
기자회견을	기자/NNG+회견/NNG+을/JKO
갑자기	갑자기/MAG
취소했다.	취소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.81.7.2
취소 이유도 설명하지 않았다.

취소	취소/NNG
이유도	이유/NNG+도/JX
설명하지	설명/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.81.7.3
공동성명도 내지 않았다.

공동성명도	공동/NNG+성명/NNG+도/JX
내지	내/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.81.8.1
미국 고위 당국자는 회담 뒤 <로이터> 통신에 양쪽은 “솔직한 의견 교환”을 했다며, 미국 쪽 입장에서 중요하게 여긴 무역 및 경제 의제에 대한 합의에 실패했다고 밝혔다.

미국	미국/NNP
고위	고위/NNG
당국자는	당국자/NNG+는/JX
회담	회담/NNG
뒤	뒤/NNG
<로이터>	</SS+로이터/NNP+>/SS
통신에	통신/NNG+에/JKB
양쪽은	양쪽/NNG+은/JX
“솔직한	“/SS+솔직하/VA+ㄴ/ETM
의견	의견/NNG
교환”을	교환/NNG+”/SS+을/JKO
했다며,	하/VV+았/EP+다며/EC+,/SP
쪽	쪽/NNB
입장에서	입장/NNG+에서/JKB
중요하게	중요/NNG+하/XSA+게/EC
여긴	여기/VV+ㄴ/ETM
무역	무역/NNG
및	및/MAG
경제	경제/NNG
의제에	의제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
합의에	합의/NNG+에/JKB
실패했다고	실패/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.81.8.2
<파이낸셜 타임스>도 회담 관계자의 말을 인용해 미국이 이전보다 강하게 접근했으며, 이에 따라 양쪽이 “상당히 거칠었다”고 회담 분위기를 전했다.

<파이낸셜	</SS+파이낸셜/NNP
타임스>도	타임스/NNP+>/SS+도/JX
회담	회담/NNG
관계자의	관계자/NNG+의/JKG
말을	말/NNG+을/JKO
인용해	인용/NNG+하/XSV+아/EC
미국이	미국/NNP+이/JKS
이전보다	이전/NNG+보다/JKB
강하게	강하/VA+게/EC
접근했으며,	접근/NNG+하/XSV+았/EP+으며/EC+,/SP
이에	이/NP+에/JKB
따라	따르/VV+아/EC
양쪽이	양쪽/NNG+이/JKS
“상당히	“/SS+상당히/MAG
거칠었다”고	거칠/VA+었/EP+다/EF+”/SS+고/JKQ
분위기를	분위기/NNG+를/JKO
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.81.9.1
므누신 장관과 로스 장관도 “무역 문제의 균형, 공정성, 호혜성의 원칙은 계속 미국의 입장으로 유지될 것이다.

므누신	므누신/NNP
장관과	장관/NNG+과/JC
로스	로스/NNP
장관도	장관/NNG+도/JX
“무역	“/SS+무역/NNG
문제의	문제/NNG+의/JKG
균형,	균형/NNG+,/SP
공정성,	공정/NNG+성/XSN+,/SP
호혜성의	호혜/NNG+성/XSN+의/JKG
원칙은	원칙/NNG+은/JX
계속	계속/MAG
미국의	미국/NNP+의/JKG
입장으로	입장/NNG+으로/JKB
유지될	유지/NNG+되/XSV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.81.9.2
이를 통해 우리는 미국 노동자와 기업에 평평한 운동장에서 경쟁할 기회를 줄 것”이라며 미국 쪽 입장만 설명하는 간단한 성명을 내놨다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
우리는	우리/NP+는/JX
미국	미국/NNP
노동자와	노동자/NNG+와/JC
기업에	기업/NNG+에/JKB
평평한	평평하/VA+ㄴ/ETM
운동장에서	운동장/NNG+에서/JKB
경쟁할	경쟁/NNG+하/XSV+ㄹ/ETM
기회를	기회/NNG+를/JKO
줄	주/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
쪽	쪽/NNB
입장만	입장/NNG+만/JX
설명하는	설명/NNG+하/XSV+는/ETM
간단한	간단하/VA+ㄴ/ETM
성명을	성명/NNG+을/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.81.9.3
무역·통상 문제에서 미-중의 입장이 팽팽하게 맞섰음을 짐작할 수 있다.

무역·통상	무역/NNG+·/SP+통상/NNG
문제에서	문제/NNG+에서/JKB
미-중의	미/NNP+-/SO+중/NNP+의/JKG
입장이	입장/NNG+이/JKS
팽팽하게	팽팽하/VA+게/EC
맞섰음을	맞서/VV+었/EP+음/ETN+을/JKO
짐작할	짐작/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000056.81.9.4
또한, 두 장관은 성명에서 “중국은 (미국의 대중국) 무역적자를 줄이려는 공통된 목표를 인정했다”고 밝혔지만 이는 아주 원론적인 것이다.

또한,	또한/MAG+,/SP
두	두/MMN
장관은	장관/NNG+은/JX
성명에서	성명/NNG+에서/JKB
“중국은	“/SS+중국/NNP+은/JX
(미국의	(/SS+미국/NNP+의/JKG
대중국)	대중국/NNG+)/SS
무역적자를	무역/NNG+적자/NNG+를/JKO
줄이려는	줄이/VV+려는/ETM
공통된	공통/NNG+되/XSV+ㄴ/ETM
목표를	목표/NNG+를/JKO
인정했다”고	인정/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔지만	밝히/VV+었/EP+지만/EC
이는	이/NP+는/JX
아주	아주/MAG
원론적인	원론/NNG+적/XSN+이/VCP+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.81.9.5
이는 양국이 구체적인 행동 계획에 합의하지 못했음을 방증하는 것이다.

이는	이/NP+는/JX
양국이	양국/NNG+이/JKS
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
행동	행동/NNG
계획에	계획/NNG+에/JKB
합의하지	합의/NNG+하/XSV+지/EC
못했음을	못하/VX+았/EP+음/ETN+을/JKO
방증하는	방증/NNG+하/XSV+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.81.9.6
중국 쪽은 별도의 입장을 내놓지 않았다.

중국	중국/NNP
쪽은	쪽/NNB+은/JX
별도의	별도/NNG+의/JKG
입장을	입장/NNG+을/JKO
내놓지	내놓/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.81.10.1
핵심 쟁점은 미국의 대중 무역적자 해소 방안을 둘러싼 갈등이었다고 외신들은 분석했다.

핵심	핵심/NNG
쟁점은	쟁점/NNG+은/JX
미국의	미국/NNP+의/JKG
대중	대중/NNG
무역적자	무역/NNG+적자/NNG
해소	해소/NNG
방안을	방안/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
갈등이었다고	갈등/NNG+이/VCP+었/EP+다고/EC
외신들은	외신/NNG+들/XSN+은/JX
분석했다.	분석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.81.10.2
미국의 대중 무역적자는 지난달 254억달러로, 전달(220억달러)에 비해 되레 늘어나 2015년 10월 이후 최대를 기록했다.

미국의	미국/NNP+의/JKG
대중	대중/NNG
무역적자는	무역/NNG+적자/NNG+는/JX
지난달	지난달/NNG
254억달러로,	254/SN+억/NR+달러/NNB+로/JKB+,/SP
전달(220억달러)에	전달/NNG+(/SS+220/SN+억/NR+달러/NNB+)/SS+에/JKB
비해	비/NNG+하/XSV+아/EC
되레	되레/MAG
늘어나	늘어나/VV+아/EC
2015년	2015/SN+년/NNB
10월	10/SN+월/NNB
이후	이후/NNG
최대를	최대/NNG+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.81.10.3
미-중의 지난 5월 ‘100일 계획’ 합의로 중국이 쇠고기와 대두 시장 등을 개방했지만, 미국은 시간이 흐를수록 ‘빵 부스러기’에 지나지 않았다며 불만을 쌓아갔다.

미-중의	미/NNP+-/SO+중/NNP+의/JKG
지난	지나/VV+ㄴ/ETM
5월	5/SN+월/NNB
‘100일	‘/SS+100/SN+일/NNB
계획’	계획/NNG+’/SS
합의로	합의/NNG+로/JKB
중국이	중국/NNP+이/JKS
쇠고기와	쇠고기/NNG+와/JC
대두	대두/NNG
시장	시장/NNG
등을	등/NNB+을/JKO
개방했지만,	개방/NNG+하/XSV+았/EP+지만/EC+,/SP
미국은	미국/NNP+은/JX
시간이	시간/NNG+이/JKS
흐를수록	흐르/VV+ㄹ수록/EC
‘빵	‘/SS+빵/NNG
부스러기’에	부스러기/NNG+’/SS+에/JKB
지나지	지나/VV+지/EC
않았다며	않/VX+았/EP+다며/EC
불만을	불만/NNG+을/JKO
쌓아갔다.	쌓/VV+아/EC+가/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.81.11.1
이에 따라 미국 쪽은 중국의 기업 보조금 철폐, 해외 기업 투자에 대한 규제 완화, 철강 과잉 공급 해소 등을 요구하며 압박 수위를 높였다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
미국	미국/NNP
쪽은	쪽/NNB+은/JX
중국의	중국/NNP+의/JKG
기업	기업/NNG
보조금	보조금/NNG
철폐,	철폐/NNG+,/SP
해외	해외/NNG
투자에	투자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
규제	규제/NNG
완화,	완화/NNG+,/SP
철강	철강/NNG
과잉	과잉/NNG
공급	공급/NNG
해소	해소/NNG
등을	등/NNB+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
압박	압박/NNG
수위를	수위/NNG+를/JKO
높였다.	높이/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.81.11.2
또한 ‘100일 계획’으로는 부족하니 ‘1년 계획’을 짜자고 중국에 요구해왔다.

또한	또한/MAG
‘100일	‘/SS+100/SN+일/NNB
계획’으로는	계획/NNG+’/SS+으로/JKB+는/JX
부족하니	부족/NNG+하/XSA+니/EC
‘1년	‘/SS+1/SN+년/NNB
계획’을	계획/NNG+’/SS+을/JKO
짜자고	짜/VV+자고/EC
중국에	중국/NNP+에/JKB
요구해왔다.	요구/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.81.12.1
이에 비해, 중국은 시 주석의 권력을 공고히하기 위한 올 가을 당대회를 앞두고 큰 폭의 양보는 힘들다는 입장을 보여왔다.

이에	이/NP+에/JKB
비해,	비/NNG+하/XSV+아/EC+,/SP
중국은	중국/NNP+은/JX
시	시/NNP
주석의	주석/NNG+의/JKG
권력을	권력/NNG+을/JKO
공고히하기	공고히/MAG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
올	올/NNG
가을	가을/NNG
당대회를	당/NNG+대회/NNG+를/JKO
앞두고	앞두/VV+고/EC
큰	크/VA+ㄴ/ETM
폭의	폭/NNG+의/JKG
양보는	양보/NNG+는/JX
힘들다는	힘들/VA+다는/ETM
입장을	입장/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.81.12.2
또한, 대중 무역적자를 줄이고 싶으면 안보를 이유로 중국에 대한 첨단기술이나 제품 수출을 금지하고 있는 규제를 풀으라고 미국에 역공을 펼쳐왔다.

또한,	또한/MAG+,/SP
대중	대중/NNG
무역적자를	무역/NNG+적자/NNG+를/JKO
줄이고	줄이/VV+고/EC
싶으면	싶/VX+으면/EC
안보를	안보/NNG+를/JKO
이유로	이유/NNG+로/JKB
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
첨단기술이나	첨단/NNG+기술/NNG+이나/JC
제품	제품/NNG
수출을	수출/NNG+을/JKO
금지하고	금지/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
규제를	규제/NNG+를/JKO
풀으라고	풀/VV+으라고/EC
미국에	미국/NNP+에/JKB
역공을	역공/NNG+을/JKO
펼쳐왔다.	펼치/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.81.13.1
미-중 관계는 지난달 말 외교·안보대화 이후 미국의 중국에 대한 인신매매 최하위등급 강등, 대만 무기 판매 승인, 남중국해 작전 등으로 갈등이 커지는 국면이 계속되고 있다.

미-중	미/NNP+-/SO+중/NNP
관계는	관계/NNG+는/JX
지난달	지난달/NNG
말	말/NNB
외교·안보대화	외교/NNG+·/SP+안보/NNG+대화/NNG
이후	이후/NNG
미국의	미국/NNP+의/JKG
중국에	중국/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
인신매매	인신매매/NNG
최하위등급	최/XPN+하위/NNG+등급/NNG
강등,	강등/NNG+,/SP
대만	대만/NNP
무기	무기/NNG
판매	판매/NNG
승인,	승인/NNG+,/SP
남중국해	남중국해/NNP
작전	작전/NNG
등으로	등/NNB+으로/JKB
갈등이	갈등/NNG+이/JKS
커지는	커지/VV+는/ETM
국면이	국면/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.81.13.2
지난 9일 주요 20개국(G20) 정상회의를 계기로 열린 트럼프 대통령과 시 주석의 정상회담에서도 분위기가 험악했던 것으로 알려졌다.

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
주요	주요/NNG
20개국(G20)	20/SN+개국/NNB+(/SS+G/SL+20/SN+)/SS
정상회의를	정상/NNG+회의/NNG+를/JKO
계기로	계기/NNG+로/JKB
열린	열리/VV+ㄴ/ETM
트럼프	트럼프/NNP
대통령과	대통령/NNG+과/JC
시	시/NNP
주석의	주석/NNG+의/JKG
정상회담에서도	정상/NNG+회담/NNG+에서/JKB+도/JX
분위기가	분위기/NNG+가/JKS
험악했던	험악하/VA+았/EP+던/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.81.14.1
양국 관계는 미국은 무역적자 해소와 일자리 창출, 중국은 당대회 등 각자의 정치적 의제가 직접적으로 맞물려 있어 당분간 접점을 찾기가 쉽지는 않아 보인다.

양국	양국/NNG
관계는	관계/NNG+는/JX
미국은	미국/NNP+은/JX
무역적자	무역/NNG+적자/NNG
해소와	해소/NNG+와/JC
일자리	일자리/NNG
창출,	창출/NNG+,/SP
중국은	중국/NNP+은/JX
당대회	당/NNG+대회/NNG
등	등/NNB
각자의	각자/NNG+의/JKG
정치적	정치/NNG+적/XSN
의제가	의제/NNG+가/JKS
직접적으로	직접/NNG+적/XSN+으로/JKB
맞물려	맞물리/VV+어/EC
있어	있/VX+어/EC
당분간	당분간/MAG
접점을	접점/NNG+을/JKO
찾기가	찾/VV+기/ETN+가/JKS
쉽지는	쉽/VA+지/EC+는/JX
않아	않/VX+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.81.14.2
미국이 북한 문제와 연계시켜 중국을 흔들 수도 있다.

미국이	미국/NNP+이/JKS
북한	북한/NNP
문제와	문제/NNG+와/JKB
연계시켜	연계/NNG+시키/XSV+어/EC
중국을	중국/NNP+을/JKO
흔들	흔들/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다.	있/VA+다/EF+./SF


