# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.403
metadata : {}


# id : NWRW1800000028.403.1.1
“한화, 비계열사 수천억 부당지원” /검찰, 정황 포착…재무책임자 조사

“한화,	“/SS+한화/NNP+,/SP
# id : NWRW1800000028.403.3.2
홍 사장은 그룹 구조조정본부 부사장, 그룹 경영기획실 투자운영담당 부사장 등을 지낸 한화의 ‘재무통’으로, 그룹 전체의 자금사정을 가장 잘 파악하고 있는 핵심 인물로 꼽힌다.

홍	홍/NNP
사장은	사장/NNG+은/JX
그룹	그룹/NNG
구조조정본부	구조/NNG+조정/NNG+본부/NNG
부사장,	부사장/NNG+,/SP
경영기획실	경영/NNG+기획실/NNG
투자운영담당	투자/NNG+운영/NNG+담당/NNG
부사장	부사장/NNG
등을	등/NNB+을/JKO
지낸	지내/VV+ㄴ/ETM
한화의	한화/NNP+의/JKG
‘재무통’으로,	‘/SS+재무통/NNG+’/SS+으로/JKB+,/SP
전체의	전체/NNG+의/JKG
자금사정을	자금/NNG+사정/NNG+을/JKO
가장	가장/MAG
잘	잘/MAG
파악하고	파악/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
핵심	핵심/NNG
인물로	인물/NNG+로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.403.4.1
검찰은 그룹 본사 및 계열사 압수수색과 계좌추적 등을 통해 한화그룹이 3~4년 전 계열사를 동원해 비계열사인 유통업체 씨스페이스에 수천억원의 자금을 부당지원한 정황을 파악한 것으로 알려졌다.

검찰은	검찰/NNG+은/JX
그룹	그룹/NNG
본사	본사/NNG
및	및/MAG
계열사	계열사/NNG
압수수색과	압수/NNG+수색/NNG+과/JC
계좌추적	계좌/NNG+추적/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
한화그룹이	한화그룹/NNP+이/JKS
3~4년	3/SN+~/SO+4/SN+년/NNB
전	전/NNG
계열사를	계열사/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
비계열사인	비/XPN+계열사/NNG+이/VCP+ㄴ/ETM
유통업체	유통업체/NNG
씨스페이스에	씨스페이스/NNP+에/JKB
수천억원의	수천억/NR+원/NNB+의/JKG
자금을	자금/NNG+을/JKO
부당지원한	부당/NNG+지원/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
파악한	파악/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.403.4.2
검찰은 이 과정에서 홍 사장이 중심적인 역할을 한 것으로 보고, 씨스페이스에 거액의 자금을 지원한 경위가 무엇인지, 그룹 수뇌부의 지시가 있었는지 여부 등을 집중 추궁했다.

검찰은	검찰/NNG+은/JX
이	이/MMD
과정에서	과정/NNG+에서/JKB
홍	홍/NNP
사장이	사장/NNG+이/JKS
중심적인	중심/NNG+적/XSN+이/VCP+ㄴ/ETM
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고,	보/VV+고/EC+,/SP
씨스페이스에	씨스페이스/NNP+에/JKB
거액의	거액/NNG+의/JKG
자금을	자금/NNG+을/JKO
지원한	지원/NNG+하/XSV+ㄴ/ETM
경위가	경위/NNG+가/JKS
무엇인지,	무엇/NP+이/VCP+ㄴ지/EF+,/SP
그룹	그룹/NNG
수뇌부의	수뇌부/NNG+의/JKG
지시가	지시/NNG+가/JKS
있었는지	있/VA+었/EP+는지/EF
여부	여부/NNG
등을	등/NNB+을/JKO
집중	집중/NNG
추궁했다.	추궁/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.403.4.3
씨스페이스는 1989년 한화유통(현 한화갤러리아)이 출자했다가 독립한 회사로, 검찰은 지난 5일 압수수색을 통해 이 회사의 회계장부 등을 확보한 바 있다.

씨스페이스는	씨스페이스/NNP+는/JX
1989년	1989/SN+년/NNB
한화유통(현	한화유통/NNP+(/SS+현/MMD
한화갤러리아)이	한화갤러리아/NNP+)/SS+이/JKS
출자했다가	출자/NNG+하/XSV+았/EP+다가/EC
독립한	독립/NNG+하/XSV+ㄴ/ETM
회사로,	회사/NNG+로/JKB+,/SP
검찰은	검찰/NNG+은/JX
지난	지나/VV+ㄴ/ETM
5일	5/SN+일/NNB
압수수색을	압수/NNG+수색/NNG+을/JKO
통해	통하/VV+아/EC
이	이/MMD
회사의	회사/NNG+의/JKG
회계장부	회계/NNG+장부/NNG
등을	등/NNB+을/JKO
확보한	확보/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.403.5.1
수사 초기 검찰은 한화그룹 김승연(58) 회장이 차명계좌와 계열사들을 동원해 거액의 비자금을 조성했을 것으로 보고 집중 조사했지만, 수사를 진행하면서 거꾸로 그룹에서 비계열사로 자금을 부당지원한 정황을 포착한 것으로 알려졌다.

수사	수사/NNG
초기	초기/NNG
검찰은	검찰/NNG+은/JX
한화그룹	한화그룹/NNP
김승연(58)	김승연/NNP+(/SS+58/SN+)/SS
회장이	회장/NNG+이/JKS
차명계좌와	차명/NNG+계좌/NNG+와/JC
계열사들을	계열사/NNG+들/XSN+을/JKO
동원해	동원/NNG+하/XSV+아/EC
거액의	거액/NNG+의/JKG
비자금을	비자금/NNG+을/JKO
조성했을	조성/NNG+하/XSV+았/EP+을/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
집중	집중/NNG
조사했지만,	조사/NNG+하/XSV+았/EP+지만/EC+,/SP
수사를	수사/NNG+를/JKO
진행하면서	진행/NNG+하/XSV+면서/EC
거꾸로	거꾸로/MAG
그룹에서	그룹/NNG+에서/JKB
비계열사로	비/XPN+계열사/NNG+로/JKB
자금을	자금/NNG+을/JKO
부당지원한	부당/NNG+지원/NNG+하/XSV+ㄴ/ETM
정황을	정황/NNG+을/JKO
포착한	포착/NNG+하/XSV+ㄴ/ETM
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.403.5.2
검찰은 부당 자금 지원에 대해 ‘업무상 배임’ 혐의 적용을 검토중인 것으로 전해졌다.

검찰은	검찰/NNG+은/JX
부당	부당/NNG
자금	자금/NNG
지원에	지원/NNG+에/JKB
대해	대하/VV+아/EC
‘업무상	‘/SS+업무/NNG+상/XSN
배임’	배임/NNG+’/SS
혐의	혐의/NNG
적용을	적용/NNG+을/JKO
검토중인	검토/NNG+중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.403.6.1
검찰은 홍 사장에 대한 조사가 마무리되는 대로 김 회장의 소환 여부 등을 결정할 계획이다.

검찰은	검찰/NNG+은/JX
홍	홍/NNP
사장에	사장/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
조사가	조사/NNG+가/JKS
마무리되는	마무리/NNG+되/XSV+는/ETM
대로	대로/NNB
김	김/NNP
회장의	회장/NNG+의/JKG
소환	소환/NNG
여부	여부/NNG
등을	등/NNB+을/JKO
결정할	결정/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.403.6.2
이에 앞서 지난 16일에는 최상순(64) 그룹 부회장이 소환조사를 받아, 검찰 수사가 정점에 다가가고 있다는 분석이 검찰 안팎에서 나오고 있다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
지난	지나/VV+ㄴ/ETM
16일에는	16/SN+일/NNB+에/JKB+는/JX
최상순(64)	최상순/NNP+(/SS+64/SN+)/SS
그룹	그룹/NNG
부회장이	부회장/NNG+이/JKS
소환조사를	소환/NNG+조사/NNG+를/JKO
받아,	받/VV+아/EC+,/SP
검찰	검찰/NNG
수사가	수사/NNG+가/JKS
정점에	정점/NNG+에/JKB
다가가고	다가가/VV+고/EC
있다는	있/VX+다는/ETM
분석이	분석/NNG+이/JKS
안팎에서	안팎/NNG+에서/JKB
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.403.7.1
한화그룹 관계자는 씨스페이스 지원에 대해 “연쇄부도를 막기 위해 구조조정 차원에서 적법하게 이뤄진 일”이라고 해명했다.

한화그룹	한화그룹/NNP
관계자는	관계자/NNG+는/JX
씨스페이스	씨스페이스/NNP
지원에	지원/NNG+에/JKB
대해	대하/VV+아/EC
“연쇄부도를	“/SS+연쇄/NNG+부도/NNG+를/JKO
막기	막/VV+기/ETN
위해	위하/VV+아/EC
구조조정	구조/NNG+조정/NNG
차원에서	차원/NNG+에서/JKB
적법하게	적법/NNG+하/XSA+게/EC
이뤄진	이뤄지/VV+ㄴ/ETM
일”이라고	일/NNG+”/SS+이라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


