# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.189
metadata : {}


# id : NWRW1800000052.189.1.1
노란색 ‘쿱’ 택시 잘~ 나갑니다

노란색	노란색/NNG
26일 서울 택시협동조합의 가동률은 지난해 12월 기준으로 98.8%, 운송수입금은 29만8102원으로 업계 평균(68.7%, 24만1020원)을 크게 상회한 것으로 파악됐다.

26일	26/SN+일/NNB
서울	서울/NNP
택시협동조합의	택시/NNG+협동조합/NNG+의/JKG
가동률은	가동/NNG+률/XSN+은/JX
지난해	지난해/NNG
12월	12/SN+월/NNB
기준으로	기준/NNG+으로/JKB
98.8%,	98/SN+./SP+8/SN+%/SW+,/SP
운송수입금은	운송/NNG+수입금/NNG+은/JX
29만8102원으로	29/SN+만/NR+8102/SN+원/NNB+으로/JKB
업계	업계/NNG
평균(68.7%,	평균/NNG+(/SS+68/SN+./SP+7/SN+%/SW+,/SP
24만1020원)을	24/SN+만/NR+1020/SN+원/NNB+)/SS+을/JKO
크게	크/VA+게/EC
상회한	상회/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악됐다.	파악/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000052.189.6.2
가동률이란 차량 1대를 24시간 동안 얼마나 운행하고 있는지를 보여주는 지표이고, 운송수입금은 사납금을 초과하는 수입분을 뜻한다.

가동률이란	가동/NNG+률/XSN+이란/JX
차량	차량/NNG
1대를	1/SN+대/NNB+를/JKO
24시간	24/SN+시간/NNB
동안	동안/NNG
얼마나	얼마나/MAG
운행하고	운행/NNG+하/XSV+고/EC
있는지를	있/VX+는지/EF+를/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
지표이고,	지표/NNG+이/VCP+고/EC+,/SP
운송수입금은	운송/NNG+수입금/NNG+은/JX
사납금을	사납금/NNG+을/JKO
초과하는	초과/NNG+하/XSV+는/ETM
수입분을	수입분/NNG+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.189.7.1
조합원 택시기사들은 월평균 약 250만원의 소득을 올리고 있는 것으로 알려졌다.

조합원	조합원/NNG
택시기사들은	택시/NNG+기사/NNG+들/XSN+은/JX
월평균	월평균/NNG
약	약/MMA
250만원의	250/SN+만/NR+원/NNB+의/JKG
소득을	소득/NNG+을/JKO
올리고	올리/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.189.7.2
법인택시 기사 기본급여 115만~130만원에 견줘 크게 높은 수준이다.

법인택시	법인/NNG+택시/NNG
기사	기사/NNG
기본급여	기본/NNG+급여/NNG
115만~130만원에	115/SN+만/NR+~/SO+130/SN+만/NR+원/NNB+에/JKB
견줘	견주/VV+어/EC
크게	크/VA+게/EC
높은	높/VA+은/ETM
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.189.7.3
서울시 관계자는 “법인택시 기사들은 운송수입금을 회사에 납부하지 않는 경향이 커 실제 급여는 이보다는 클 것”이라면서도 “협동조합택시는 가동률이 높고 출자금에 따른 배당금이 있어 수입이 훨씬 높다는 사실은 변하지 않는다”고 설명했다.

서울시	서울시/NNP
관계자는	관계자/NNG+는/JX
“법인택시	“/SS+법인/NNG+택시/NNG
기사들은	기사/NNG+들/XSN+은/JX
운송수입금을	운송/NNG+수입금/NNG+을/JKO
회사에	회사/NNG+에/JKB
납부하지	납부/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
경향이	경향/NNG+이/JKS
커	크/VA+어/EC
실제	실제/NNG
급여는	급여/NNG+는/JX
이보다는	이/NP+보다/JKB+는/JX
클	크/VA+ㄹ/ETM
것”이라면서도	것/NNB+”/SS+이/VCP+라면서/EC+도/JX
“협동조합택시는	“/SS+협동조합/NNG+택시/NNG+는/JX
가동률이	가동/NNG+률/XSN+이/JKS
높고	높/VA+고/EC
출자금에	출자금/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
배당금이	배당금/NNG+이/JKS
있어	있/VA+어/EC
수입이	수입/NNG+이/JKS
훨씬	훨씬/MAG
높다는	높/VA+다는/ETM
사실은	사실/NNG+은/JX
변하지	변하/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.189.8.1
이런 경영성과가 알려지며 택시기사들 사이에 협동조합 택시로 바꾸려는 시도도 늘고 있다.

이런	이런/MMD
경영성과가	경영/NNG+성과/NNG+가/JKS
알려지며	알려지/VV+며/EC
택시기사들	택시/NNG+기사/NNG+들/XSN
사이에	사이/NNG+에/JKB
협동조합	협동조합/NNG
택시로	택시/NNG+로/JKB
바꾸려는	바꾸/VV+려는/ETM
시도도	시도/NNG+도/JX
늘고	늘/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.189.8.2
조합원은 출범 초기 100명에서 현재 180명으로 늘었다.

조합원은	조합원/NNG+은/JX
출범	출범/NNG
초기	초기/NNG
100명에서	100/SN+명/NNB+에서/JKB
현재	현재/MAG
180명으로	180/SN+명/NNB+으로/JKB
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.189.8.3
차량도 71대에서 76대로 증가했다.

차량도	차량/NNG+도/JX
71대에서	71/SN+대/NNB+에서/JKB
76대로	76/SN+대/NNB+로/JKB
증가했다.	증가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.189.8.4
현재 120명이 가입 대기 중이고, 상담 후 의향서를 제출한 사람만 500명이 넘는다.

현재	현재/MAG
120명이	120/SN+명/NNB+이/JKS
가입	가입/NNG
대기	대기/NNG
중이고,	중/NNB+이/VCP+고/EC+,/SP
상담	상담/NNG
후	후/NNG
의향서를	의향서/NNG+를/JKO
제출한	제출/NNG+하/XSV+ㄴ/ETM
사람만	사람/NNG+만/JX
500명이	500/SN+명/NNB+이/JKS
넘는다.	넘/VV+는다/EF+./SF


# id : NWRW1800000052.189.8.5
하지만 현재 이용 중인 주차장이 좁아 조합원으로 받아주지 못하고 있는 실정이다.

하지만	하지만/MAJ
현재	현재/MAG
이용	이용/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
주차장이	주차장/NNG+이/JKS
좁아	좁/VA+아/EC
조합원으로	조합원/NNG+으로/JKB
받아주지	받/VV+아/EC+주/VX+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
실정이다.	실정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.189.9.1
다른 지역에서도 관심이 높다.

다른	다른/MMD
지역에서도	지역/NNG+에서/JKB+도/JX
관심이	관심/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000052.189.9.2
김수혁 서울 택시협동조합 사업본부장은 “부산, 대구 등 30곳에서 서울을 찾아와 상담을 요청하고 있다”고 말했다.

김수혁	김수혁/NNP
서울	서울/NNP
택시협동조합	택시/NNG+협동조합/NNG
사업본부장은	사업/NNG+본부장/NNG+은/JX
“부산,	“/SS+부산/NNP+,/SP
대구	대구/NNP
등	등/NNB
30곳에서	30/SN+곳/NNG+에서/JKB
서울을	서울/NNP+을/JKO
찾아와	찾아오/VV+아/EC
상담을	상담/NNG+을/JKO
요청하고	요청/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


