# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.22
metadata : {}


# id : NWRW1800000025.22.1.1
[인문사회]‘왜 그랬을까’… 인간행동의 비밀을 벗기다

[인문사회]‘왜	[/SS+인문/NNG+사회/NNG+]/SS+‘/SS+왜/MAG
생물학자	생물학자/NNG
새뮤얼	새뮤얼/NNP
플랙스먼은	플랙스먼/NNP+은/JX
각국	각국/NNG
5432명의	5432/SN+명/NNB+의/JKG
임신부를	임신부/NNG+를/JKO
조사했는데	조사/NNG+하/XSV+았/EP+는데/EC
가장	가장/MAG
구역질을	구역/NNG+질/XSN+을/JKO
일으키는	일으키/VV+는/ETM
음식은	음식/NNG+은/JX
역시	역시/MAG
고기였다.	고기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.22.8.6
저자는 “우리의 음식 선호와 기피 기제는 독소를 피하면서도 에너지원을 충분히 얻어야 하는 과제를 달성하게끔 자연선택이 빚은 작품”이라고 말한다.

저자는	저자/NNG+는/JX
“우리의	“/SS+우리/NP+의/JKG
음식	음식/NNG
선호와	선호/NNG+와/JC
기피	기피/NNG
기제는	기제/NNG+는/JX
독소를	독소/NNG+를/JKO
피하면서도	피하/VV+면서/EC+도/JX
에너지원을	에너지원/NNG+을/JKO
충분히	충분히/MAG
얻어야	얻/VV+어야/EC
하는	하/VX+는/ETM
과제를	과제/NNG+를/JKO
달성하게끔	달성/NNG+하/XSV+게끔/EC
자연선택이	자연/NNG+선택/NNG+이/JKS
빚은	빚/VV+은/ETM
작품”이라고	작품/NNG+”/SS+이라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.9.1
종교는 ‘행위자 탐지’라는 개념으로 설명한다.

종교는	종교/NNG+는/JX
‘행위자	‘/SS+행위자/NNG
탐지’라는	탐지/NNG+’/SS+이/VCP+라는/ETM
개념으로	개념/NNG+으로/JKB
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.9.2
산에서 작은 소리를 들었을 때 별것 아닌데도 깜짝 놀라는 것은 인류가 맹수로부터 몸을 보호하기 위해 우선 위험이 존재한다고 믿고 발 빠르게 대처하도록 진화한 결과다.

산에서	산/NNG+에서/JKB
작은	작/VA+은/ETM
소리를	소리/NNG+를/JKO
들었을	듣/VV+었/EP+을/ETM
때	때/NNG
별것	별것/NNG
아닌데도	아니/VCN+ㄴ데/EC+도/JX
깜짝	깜짝/MAG
놀라는	놀라/VV+는/ETM
것은	것/NNB+은/JX
인류가	인류/NNG+가/JKS
맹수로부터	맹수/NNG+로부터/JKB
몸을	몸/NNG+을/JKO
보호하기	보호/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
우선	우선/MAG
위험이	위험/NNG+이/JKS
존재한다고	존재/NNG+하/XSV+ㄴ다고/EC
믿고	믿/VV+고/EC
발	발/NNG
빠르게	빠르/VA+게/EC
대처하도록	대처/NNG+하/XSV+도록/EC
진화한	진화/NNG+하/XSV+ㄴ/ETM
결과다.	결과/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.22.9.3
일단 무언가 있다고 판단하는 탐지 적응 때문에 인간은 하늘에서 예수와 비슷한 모양의 구름을 보고 예수의 얼굴이 나타났다고 확신하는 초자연적인 현상을 경험한다.

일단	일단/MAG
무언가	무어/NP+이/VCP+ㄴ가/EF
있다고	있/VA+다고/EC
판단하는	판단/NNG+하/XSV+는/ETM
탐지	탐지/NNG
적응	적응/NNG
때문에	때문/NNB+에/JKB
인간은	인간/NNG+은/JX
하늘에서	하늘/NNG+에서/JKB
예수와	예수/NNP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
모양의	모양/NNG+의/JKG
구름을	구름/NNG+을/JKO
보고	보/VV+고/EC
예수의	예수/NNP+의/JKG
얼굴이	얼굴/NNG+이/JKS
나타났다고	나타나/VV+았/EP+다고/EC
확신하는	확신/NNG+하/XSV+는/ETM
초자연적인	초/XPN+자연/NNG+적/XSN+이/VCP+ㄴ/ETM
현상을	현상/NNG+을/JKO
경험한다.	경험/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.9.4
이런 경험은 자연스럽게 악령이 존재하고 이로부터 사람을 지켜줄 신이 있다는 관념으로 이어진다.

이런	이런/MMD
경험은	경험/NNG+은/JX
자연스럽게	자연/NNG+스럽/XSA+게/EC
악령이	악령/NNG+이/JKS
존재하고	존재/NNG+하/XSV+고/EC
이로부터	이/NP+로부터/JKB
사람을	사람/NNG+을/JKO
지켜줄	지키/VV+어/EC+주/VX+ㄹ/ETM
신이	신/NNG+이/JKS
있다는	있/VA+다는/ETM
관념으로	관념/NNG+으로/JKB
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.10.1
‘심리학의 힘’은 사회심리학을 빌려 인간행동을 설명하는 책이다.

‘심리학의	‘/SS+심리학/NNG+의/JKG
힘’은	힘/NNG+’/SS+은/JX
사회심리학을	사회/NNG+심리학/NNG+을/JKO
빌려	빌리/VV+어/EC
인간행동을	인간/NNG+행동/NNG+을/JKO
설명하는	설명/NNG+하/XSV+는/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.22.10.2
사회심리학은 문화, 제도, 규범 등이 인간 심리에 어떤 영향을 미치는지를 탐구하는 학문이다.

사회심리학은	사회/NNG+심리학/NNG+은/JX
문화,	문화/NNG+,/SP
제도,	제도/NNG+,/SP
규범	규범/NNG
등이	등/NNB+이/JKS
인간	인간/NNG
심리에	심리/NNG+에/JKB
어떤	어떤/MMD
영향을	영향/NNG+을/JKO
미치는지를	미치/VV+는지/EF+를/JKO
탐구하는	탐구/NNG+하/XSV+는/ETM
학문이다.	학문/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.22.10.3
충남대 심리학과 교수인 저자는 스포츠 스타와 연예인의 행동, 영화의 등장인물 등을 예로 들어 인간 심리를 설명한다.

충남대	충남대/NNP
심리학과	심리학과/NNG
교수인	교수/NNG+이/VCP+ㄴ/ETM
저자는	저자/NNG+는/JX
스포츠	스포츠/NNG
스타와	스타/NNG+와/JC
연예인의	연예인/NNG+의/JKG
행동,	행동/NNG+,/SP
영화의	영화/NNG+의/JKG
등장인물	등장인물/NNG
등을	등/NNB+을/JKO
예로	예/NNG+로/JKB
들어	들/VV+어/EC
인간	인간/NNG
심리를	심리/NNG+를/JKO
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.11.1
영화 ‘해피엔드’에서 여주인공(전도연)은 불륜을 저지르다 남편에게 살해되는 처참한 최후를 맞는데 많은 사람이 그가 죽어 마땅하다고 생각했다.

영화	영화/NNG
‘해피엔드’에서	‘/SS+해피엔드/NNG+’/SS+에서/JKB
여주인공(전도연)은	여주인공/NNG+(/SS+전도연/NNP+)/SS+은/JX
불륜을	불륜/NNG+을/JKO
저지르다	저지르/VV+다/EC
남편에게	남편/NNG+에게/JKB
살해되는	살해/NNG+되/XSV+는/ETM
처참한	처참하/VA+ㄴ/ETM
최후를	최후/NNG+를/JKO
맞는데	맞/VV+는데/EC
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKS
그가	그/NP+가/JKS
죽어	죽/VV+어/EC
마땅하다고	마땅하/VA+다고/EC
생각했다.	생각/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.22.11.2
저자는 그 이유를 배우 전도연의 동안(童顔)에서 찾는다.

저자는	저자/NNG+는/JX
그	그/MMD
이유를	이유/NNG+를/JKO
배우	배우/NNG
전도연의	전도연/NNP+의/JKG
동안(童顔)에서	동안/NNG+(/SS+童顔/SH+)/SS+에서/JKB
찾는다.	찾/VV+는다/EF+./SF


# id : NWRW1800000025.22.11.3
사람들은 동안인 사람에 대해 아이처럼 순수한 영혼을 가졌을 것으로 기대하는데 이런 기대가 깨지면 보통사람보다 더 혹독한 처벌을 요구한다는 것이다.

사람들은	사람/NNG+들/XSN+은/JX
동안인	동안/NNG+이/VCP+ㄴ/ETM
사람에	사람/NNG+에/JKB
대해	대하/VV+아/EC
아이처럼	아이/NNG+처럼/JKB
순수한	순수/NNG+하/XSA+ㄴ/ETM
영혼을	영혼/NNG+을/JKO
가졌을	가지/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
기대하는데	기대/NNG+하/XSV+는데/EC
이런	이런/MMD
기대가	기대/NNG+가/JKS
깨지면	깨지/VV+면/EC
보통사람보다	보통/NNG+사람/NNG+보다/JKB
더	더/MAG
혹독한	혹독하/VA+ㄴ/ETM
처벌을	처벌/NNG+을/JKO
요구한다는	요구/NNG+하/XSV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.22.12.1
영국의 축구스타 데이비드 베컴은 2004년 유럽선수권 8강전에서 페널티킥을 실축했다.

영국의	영국/NNP+의/JKG
축구스타	축구/NNG+스타/NNG
데이비드	데이비드/NNP
베컴은	베컴/NNP+은/JX
2004년	2004/SN+년/NNB
유럽선수권	유럽/NNP+선수/NNG+권/XSN
8강전에서	8/SN+강전/NNB+에서/JKB
페널티킥을	페널티/NNG+킥/NNG+을/JKO
실축했다.	실축/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.22.12.2
킥의 달인인 베컴이 이런 실수를 저지른 이유를 저자는 ‘사회적 억제’ 현상으로 설명한다.

킥의	킥/NNG+의/JKG
달인인	달인/NNG+이/VCP+ㄴ/ETM
베컴이	베컴/NNP+이/JKS
이런	이런/MMD
실수를	실수/NNG+를/JKO
저지른	저지르/VV+ㄴ/ETM
이유를	이유/NNG+를/JKO
저자는	저자/NNG+는/JX
‘사회적	‘/SS+사회/NNG+적/XSN
억제’	억제/NNG+’/SS
현상으로	현상/NNG+으로/JKB
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.12.3
이 개념은 많은 관중이 자신의 행위를 지켜보는 경우 개인의 수행능력이 떨어진다는 것이다.

이	이/MMD
개념은	개념/NNG+은/JX
많은	많/VA+은/ETM
관중이	관중/NNG+이/JKS
자신의	자신/NNG+의/JKG
행위를	행위/NNG+를/JKO
지켜보는	지켜보/VV+는/ETM
경우	경우/NNG
개인의	개인/NNG+의/JKG
수행능력이	수행/NNG+능력/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.22.12.4
반면 사람들이 지켜보면 능률이 오르는 경우도 있는데 이는 ‘사회적 촉진’이라고 부른다.

반면	반면/NNG
사람들이	사람/NNG+들/XSN+이/JKS
지켜보면	지켜보/VV+면/EC
능률이	능률/NNG+이/JKS
오르는	오르/VV+는/ETM
경우도	경우/NNG+도/JX
있는데	있/VA+는데/EC
이는	이/NP+는/JX
‘사회적	‘/SS+사회/NNG+적/XSN
촉진’이라고	촉진/NNG+’/SS+이라고/JKQ
부른다.	부르/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.12.5
저자는 “상대적으로 쉬운 일은 촉진을 일으키도록 여러 사람과 함께하고 어렵거나 처음 접하는 일은 억제를 방지하기 위해 혼자 집중하는 것이 현명한 선택”이라고 말한다.

저자는	저자/NNG+는/JX
“상대적으로	“/SS+상대/NNG+적/XSN+으로/JKB
쉬운	쉽/VA+ㄴ/ETM
일은	일/NNG+은/JX
촉진을	촉진/NNG+을/JKO
일으키도록	일으키/VV+도록/EC
여러	여러/MMN
사람과	사람/NNG+과/JKB
함께하고	함께/MAG+하/XSV+고/EC
어렵거나	어렵/VA+거나/EC
처음	처음/NNG
접하는	접하/VV+는/ETM
억제를	억제/NNG+를/JKO
방지하기	방지/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
혼자	혼자/NNG
집중하는	집중/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
현명한	현명/NNG+하/XSA+ㄴ/ETM
선택”이라고	선택/NNG+”/SS+이라고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.13.1
배우 문근영의 기부는 동일시라는 개념으로 설명한다.

배우	배우/NNG
문근영의	문근영/NNP+의/JKG
기부는	기부/NNG+는/JX
동일시라는	동일/NNG+시/XSN+이/VCP+라는/ETM
개념으로	개념/NNG+으로/JKB
설명한다.	설명/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.22.13.2
문근영은 2008년 6월 한 주간지와의 인터뷰에서 “어렸을 때 엄마를 정말 좋아했는데 엄마한테 좋은 딸이 되고 싶었다”고 말했다.

문근영은	문근영/NNP+은/JX
2008년	2008/SN+년/NNB
6월	6/SN+월/NNB
한	한/MMN
주간지와의	주간지/NNG+와/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“어렸을	“/SS+어리/VA+었/EP+을/ETM
때	때/NNG
엄마를	엄마/NNG+를/JKO
정말	정말/MAG
좋아했는데	좋아하/VV+았/EP+는데/EC
엄마한테	엄마/NNG+한테/JKB
좋은	좋/VA+은/ETM
딸이	딸/NNG+이/JKC
되고	되/VV+고/EC
싶었다”고	싶/VX+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.22.13.3
문근영의 부모는 그가 배우가 되겠다고 했을 때 벌게 될 돈의 일부를 좋은 일에 쓰겠다는 약속을 받았다.

문근영의	문근영/NNP+의/JKG
부모는	부모/NNG+는/JX
그가	그/NP+가/JKS
배우가	배우/NNG+가/JKC
되겠다고	되/VV+겠/EP+다고/EC
했을	하/VV+았/EP+을/ETM
때	때/NNG
벌게	벌/VV+게/EC
될	되/VV+ㄹ/ETM
돈의	돈/NNG+의/JKG
일부를	일부/NNG+를/JKO
좋은	좋/VA+은/ETM
일에	일/NNG+에/JKB
쓰겠다는	쓰/VV+겠/EP+다는/ETM
약속을	약속/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.22.14.1
저자는 “아동이 동일시하는 대상이 약자에 대해 배려하는 세계관을 가졌다면 아동은 동일시를 통해 이런 세계관을 자신의 것으로 내면화한다”고 말한다.

저자는	저자/NNG+는/JX
“아동이	“/SS+아동/NNG+이/JKS
동일시하는	동일/NNG+시/XSN+하/XSV+는/ETM
대상이	대상/NNG+이/JKS
약자에	약자/NNG+에/JKB
대해	대하/VV+아/EC
배려하는	배려/NNG+하/XSV+는/ETM
세계관을	세계관/NNG+을/JKO
가졌다면	가지/VV+었/EP+다면/EC
아동은	아동/NNG+은/JX
동일시를	동일/NNG+시/XSN+를/JKO
통해	통하/VV+아/EC
이런	이런/MMD
자신의	자신/NNG+의/JKG
것으로	것/NNB+으로/JKB
내면화한다”고	내면/NNG+화/XSN+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


