# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.312
metadata : {}


# id : NWRW1800000030.312.1.1
4野 단일화로 표는 모았지만… 현장선 '물과 기름'

4野	4/SN+野/SH
못하고	못하/VX+고/EC
선거운동	선거/NNG+운동/NNG
지원을	지원/NNG+을/JKO
서로	서로/MAG
기피하는	기피/NNG+하/XSV+는/ETM
현상까지	현상/NNG+까지/JX
벌어졌다.	벌어지/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.312.4.1
◆서로 "오지 말라"고 기피

◆서로	◆/SW+서로/MAG
"오지	"/SS+오/VV+지/EC
말라"고	말/VX+라/EF+"/SS+고/JKQ
기피	기피/NNG


# id : NWRW1800000030.312.5.1
국민참여당 유시민 대표는 민주당의 기피 대상이다.

국민참여당	국민참여당/NNP
유시민	유시민/NNP
대표는	대표/NNG+는/JX
민주당의	민주당/NNP+의/JKG
기피	기피/NNG
대상이다.	대상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.312.5.2
유 대표는 지난 13일 손학규 민주당 대표를 지원하기 위해 분당을 지역에 27일까지 내내 머무를 수도 있다는 뜻을 밝혔으나 민주당 박지원 원내대표가 거절했다.

유	유/NNP
대표는	대표/NNG+는/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
손학규	손학규/NNP
민주당	민주당/NNP
대표를	대표/NNG+를/JKO
지원하기	지원/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
분당을	분당을/NNP
지역에	지역/NNG+에/JKB
27일까지	27/SN+일/NNB+까지/JX
내내	내내/MAG
머무를	머무르/VV+ㄹ/ETM
수도	수/NNB+도/JX
있다는	있/VA+다는/ETM
뜻을	뜻/NNG+을/JKO
밝혔으나	밝히/VV+었/EP+으나/EC
박지원	박지원/NNP
원내대표가	원내/NNG+대표/NNG+가/JKS
거절했다.	거절/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.312.5.3
분당을 지역의 보수 정서를 감안할 때 유 대표의 도움이 오히려 역효과를 부를 수 있다는 이야기였다.

분당을	분당을/NNP
지역의	지역/NNG+의/JKG
보수	보수/NNG
정서를	정서/NNG+를/JKO
감안할	감안/NNG+하/XSV+ㄹ/ETM
때	때/NNG
유	유/NNP
대표의	대표/NNG+의/JKG
도움이	도움/NNG+이/JKS
오히려	오히려/MAG
역효과를	역효과/NNG+를/JKO
부를	부르/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
이야기였다.	이야기/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.312.6.1
경남 김해에선 반대로 국민참여당이 민주당 의원들의 유세지원을 기피하고 있다.

경남	경남/NNP
김해에선	김해/NNP+에서/JKB+ㄴ/JX
반대로	반대/NNG+로/JKB
국민참여당이	국민참여당/NNP+이/JKS
민주당	민주당/NNP
의원들의	의원/NNG+들/XSN+의/JKG
유세지원을	유세/NNG+지원/NNG+을/JKO
기피하고	기피/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.312.6.2
참여당 관계자는 "민주당 의원들이 아무리 돌아다녀도 별로 도움되지 않는다"면서 "오겠다는 사람도 별로 없지만 오겠다고 해도 달갑지 않다"고 했다.

참여당	참여당/NNP
관계자는	관계자/NNG+는/JX
"민주당	"/SS+민주당/NNP
의원들이	의원/NNG+들/XSN+이/JKS
아무리	아무리/MAG
돌아다녀도	돌아다니/VV+어도/EC
별로	별로/MAG
도움되지	도움/NNG+되/XSV+지/EC
않는다"면서	않/VX+는다/EF+"/SS+면서/EC
"오겠다는	"/SS+오/VV+겠/EP+다는/ETM
사람도	사람/NNG+도/JX
없지만	없/VA+지만/EC
오겠다고	오/VV+겠/EP+다고/EC
해도	하/VV+아도/EC
달갑지	달갑/VA+지/EC
않다"고	않/VX+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.312.6.3
민주당측 관계자도 "단일화 과정에서 국민참여당에 질려버렸다"면서 "한나라당의 당선을 바라는 것은 아니지만 지역 조직을 적극적으로 가동하기는 어려울 것"이라고 말했다.

민주당측	민주당/NNP+측/NNB
관계자도	관계자/NNG+도/JX
"단일화	"/SS+단일/NNG+화/XSN
과정에서	과정/NNG+에서/JKB
국민참여당에	국민참여당/NNP+에/JKB
질려버렸다"면서	질리/VV+어/EC+버리/VX+었/EP+다/EF+"/SS+면서/EC
"한나라당의	"/SS+한나라당/NNP+의/JKG
당선을	당선/NNG+을/JKO
바라는	바라/VV+는/ETM
것은	것/NNB+은/JX
아니지만	아니/VCN+지만/EC
지역	지역/NNG
조직을	조직/NNG+을/JKO
적극적으로	적극/NNG+적/XSN+으로/JKB
가동하기는	가동/NNG+하/XSV+기/ETN+는/JX
어려울	어렵/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.312.7.1
◆지역 조직은 따로따로

◆지역	◆/SW+지역/NNG
조직은	조직/NNG+은/JX
따로따로	따로따로/MAG


# id : NWRW1800000030.312.8.1
전남 순천 국회의원 보궐선거는 민주당이 다른 지역의 단일화 성사를 위해 민주노동당에 양보했다.

전남	전남/NNP
순천	순천/NNP
국회의원	국회/NNG+의원/NNG
보궐선거는	보궐/NNG+선거/NNG+는/JX
민주당이	민주당/NNP+이/JKS
다른	다른/MMD
지역의	지역/NNG+의/JKG
단일화	단일/NNG+화/XSN
성사를	성사/NNG+를/JKO
위해	위하/VV+아/EC
민주노동당에	민주노동당/NNP+에/JKB
양보했다.	양보/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.312.8.2
그러나 현장의 민주당 조직은 전혀 협조가 되지 않는 상황이다.

그러나	그러나/MAJ
현장의	현장/NNG+의/JKG
민주당	민주당/NNP
조직은	조직/NNG+은/JX
전혀	전혀/MAG
협조가	협조/NNG+가/JKC
되지	되/VV+지/EC
않는	않/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.312.8.3
조순용 전 청와대 정무수석, 구희승 변호사, 김경재 전 의원 등 당선 후 민주당 입당을 공언하는 사람들이 대거 무소속으로 출마했기 때문이다.

조순용	조순용/NNP
전	전/MMD
청와대	청와대/NNP
정무수석,	정무/NNG+수석/NNG+,/SP
구희승	구희승/NNP
변호사,	변호사/NNG+,/SP
김경재	김경재/NNP
의원	의원/NNG
등	등/NNB
당선	당선/NNG
후	후/NNG
민주당	민주당/NNP
입당을	입당/NNG+을/JKO
공언하는	공언/NNG+하/XSV+는/ETM
사람들이	사람/NNG+들/XSN+이/JKS
대거	대거/MAG
무소속으로	무/XPN+소속/NNG+으로/JKB
출마했기	출마/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.312.8.4
도의원·구의원들 및 민주당 당원협의회 등 민주당 조직은 무소속 후보들과의 친소(親疏) 관계에 따라 이들을 지원하고 있거나 아예 관여하지 않는 상황이다.

도의원·구의원들	도/NNG+의원/NNG+·/SP+구/NNG+의원/NNG+들/XSN
및	및/MAG
민주당	민주당/NNP
당원협의회	당원/NNG+협의회/NNG
등	등/NNB
조직은	조직/NNG+은/JX
무소속	무/XPN+소속/NNG
후보들과의	후보/NNG+들/XSN+과/JKB+의/JKG
친소(親疏)	친소/NNG+(/SS+親疏/SH+)/SS
관계에	관계/NNG+에/JKB
따라	따르/VV+아/EC
이들을	이/NP+들/XSN+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있거나	있/VX+거나/EC
아예	아예/MAG
관여하지	관여/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.312.8.5
만약 민주노동당 후보가 낙선할 경우 내년 4월 총선에서 호남지역의 단일화가 사실상 무의미해질 것이라는 관측마저 제기되고 있다.

만약	만약/MAG
민주노동당	민주노동당/NNP
후보가	후보/NNG+가/JKS
낙선할	낙선/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
내년	내년/NNG
4월	4/SN+월/NNB
총선에서	총선/NNG+에서/JKB
호남지역의	호남지역/NNP+의/JKG
단일화가	단일/NNG+화/XSN+가/JKS
사실상	사실/NNG+상/XSN
무의미해질	무/XPN+의미/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
관측마저	관측/NNG+마저/JX
제기되고	제기/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.312.9.1
김해에선 단일화 과정에서 갈라졌던 '친노(親盧)' 사람들 간 분열이 여전하다고 한다.

김해에선	김해/NNP+에서/JKB+ㄴ/JX
단일화	단일/NNG+화/XSN
과정에서	과정/NNG+에서/JKB
갈라졌던	갈라지/VV+었/EP+던/ETM
'친노(親盧)'	'/SS+친/XPN+노/NNP+(/SS+親盧/SH+)/SS+'/SS
사람들	사람/NNG+들/XSN
간	간/NNB
분열이	분열/NNG+이/JKS
여전하다고	여전하/VA+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.312.9.2
노무현 전 대통령의 형 건평씨를 중심으로 한 친노그룹은 자신들이 지원한 곽진업 전 국세청 차장이 단일화 경선에서 패배하자 손을 놓고 있고, 참여당측은 이들에게 '구(舊)친노'라는 이름까지 붙여놓고 있다.

노무현	노무현/NNP
전	전/MMD
대통령의	대통령/NNG+의/JKG
형	형/NNG
건평씨를	건평/NNP+씨/NNB+를/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
친노그룹은	친/XPN+노/NNP+그룹/NNG+은/JX
자신들이	자신/NNG+들/XSN+이/JKS
지원한	지원/NNG+하/XSV+ㄴ/ETM
곽진업	곽진업/NNP
국세청	국세청/NNG
차장이	차장/NNG+이/JKS
단일화	단일/NNG+화/XSN
경선에서	경선/NNG+에서/JKB
패배하자	패배/NNG+하/XSV+자/EC
손을	손/NNG+을/JKO
놓고	놓/VV+고/EC
있고,	있/VX+고/EC+,/SP
참여당측은	참여당/NNP+측/NNB+은/JX
이들에게	이/NP+들/XSN+에게/JKB
'구(舊)친노'라는	'/SS+구/XPN+(/SS+舊/SH+)/SS+친/XPN+노/NNP+'/SS+이/VCP+라는/ETM
이름까지	이름/NNG+까지/JX
붙여놓고	붙이/VV+어/EC+놓/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.312.9.3
또 일부에선 민주당과 '구친노계열' 사람들이 내년 4월 총선을 앞두고 참여당의 원내 입성을 바라지 않는다는 얘기까지 나오고 있다.

또	또/MAG
일부에선	일부/NNG+에서/JKB+ㄴ/JX
민주당과	민주당/NNP+과/JC
'구친노계열'	'/SS+구/XPN+친/XPN+노/NNP+계열/NNG+'/SS
사람들이	사람/NNG+들/XSN+이/JKS
내년	내년/NNG
4월	4/SN+월/NNB
총선을	총선/NNG+을/JKO
앞두고	앞두/VV+고/EC
참여당의	참여당/NNP+의/JKG
원내	원내/NNG
입성을	입성/NNG+을/JKO
바라지	바라/VV+지/EC
않는다는	않/VX+는다는/ETM
얘기까지	얘기/NNG+까지/JX
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.312.10.1
◆"실제 득표에선 위력 발휘"

◆"실제	◆/SW+"/SS+실제/NNG
득표에선	득표/NNG+에서/JKB+ㄴ/JX
위력	위력/NNG
발휘"	발휘/NNG+"/SS


# id : NWRW1800000030.312.11.1
그러나 야권에선 선거운동 과정은 삐걱댈 수 있어도 실제 투표에서는 단일화가 큰 위력을 발휘할 것으로 보고 있다.

그러나	그러나/MAJ
야권에선	야권/NNG+에서/JKB+ㄴ/JX
선거운동	선거/NNG+운동/NNG
과정은	과정/NNG+은/JX
삐걱댈	삐걱대/VV+ㄹ/ETM
수	수/NNB
있어도	있/VA+어도/EC
실제	실제/NNG
투표에서는	투표/NNG+에서/JKB+는/JX
단일화가	단일/NNG+화/XSN+가/JKS
큰	크/VA+ㄴ/ETM
위력을	위력/NNG+을/JKO
발휘할	발휘/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.312.11.2
민주당 관계자는 "투표용지에 한나라당 후보 1명과 야당 후보 1명만 나오게 되면 반(反)한나라당 유권자들이 민주당이든 국참당이든, 민노당이든 결국 야당 후보를 찍게 될 것"이라고 했다.

민주당	민주당/NNP
관계자는	관계자/NNG+는/JX
"투표용지에	"/SS+투표용지/NNG+에/JKB
한나라당	한나라당/NNP
후보	후보/NNG
1명과	1/SN+명/NNB+과/JC
야당	야당/NNG
1명만	1/SN+명/NNB+만/JX
나오게	나오/VV+게/EC
되면	되/VV+면/EC
반(反)한나라당	반/XPN+(/SS+反/SH+)/SS+한나라당/NNP
유권자들이	유권자/NNG+들/XSN+이/JKS
민주당이든	민주당/NNP+이/VCP+든/EC
국참당이든,	국참당/NNP+이/VCP+든/EC+,/SP
민노당이든	민노당/NNP+이/VCP+든/EC
결국	결국/MAG
후보를	후보/NNG+를/JKO
찍게	찍/VV+게/EC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.312.11.3
야 4당이 선거운동기간 개시 전에 주요 선거구의 단일화를 모두 성공시킨 것은 처음이다.

야	야/NNG
4당이	4/SN+당/NNG+이/JKS
선거운동기간	선거/NNG+운동/NNG+기간/NNG
개시	개시/NNG
전에	전/NNG+에/JKB
주요	주요/NNG
선거구의	선거구/NNG+의/JKG
단일화를	단일/NNG+화/XSN+를/JKO
모두	모두/MAG
성공시킨	성공/NNG+시키/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000030.312.11.4
야 4당 단일화는 내년 총선과 대선 때도 정국의 향배를 가름할 수 있는 요인이다.

야	야/NNG
4당	4/SN+당/NNG
단일화는	단일/NNG+화/XSN+는/JX
내년	내년/NNG
총선과	총선/NNG+과/JC
대선	대선/NNG
때도	때/NNG+도/JX
정국의	정국/NNG+의/JKG
향배를	향배/NNG+를/JKO
가름할	가름/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
요인이다.	요인/NNG+이/VCP+다/EF+./SF


